Code,Date,Open,High,Low,Close,Volume
IDFC,2016-08-16 09:15:00, 56.8, 56.85, 56.8, 56.8, 4096
IDFC,2016-08-16 09:16:00, 56.8, 56.85, 56.7, 56.85, 27763
IDFC,2016-08-16 09:17:00, 56.85, 56.85, 56.7, 56.7, 4665
IDFC,2016-08-16 09:18:00, 56.7, 56.7, 56.5, 56.55, 47547
IDFC,2016-08-16 09:20:00, 56.7, 56.9, 56.65, 56.9, 30529
IDFC,2016-08-16 09:19:00, 56.55, 56.7, 56.55, 56.7, 15613
IDFC,2016-08-16 09:21:00, 56.9, 56.9, 56.8, 56.8, 1490
IDFC,2016-08-16 09:23:00, 56.85, 56.9, 56.8, 56.85, 10243
IDFC,2016-08-16 09:22:00, 56.8, 56.9, 56.75, 56.85, 15428
IDFC,2016-08-16 09:24:00, 56.85, 56.95, 56.85, 56.95, 3440
IDFC,2016-08-16 09:25:00, 56.95, 56.95, 56.85, 56.9, 19197
IDFC,2016-08-16 09:26:00, 56.9, 57.05, 56.9, 56.95, 26676
IDFC,2016-08-16 09:27:00, 57, 57.05, 56.9, 57, 15723
IDFC,2016-08-16 09:28:00, 57, 57, 56.9, 56.95, 20494
IDFC,2016-08-16 09:29:00, 56.95, 57.05, 56.9, 57.05, 7422
IDFC,2016-08-16 09:30:00, 57, 57, 56.9, 56.95, 7405
IDFC,2016-08-16 09:31:00, 56.95, 57, 56.9, 56.95, 6451
IDFC,2016-08-16 09:32:00, 56.95, 56.95, 56.9, 56.9, 5329
IDFC,2016-08-16 09:33:00, 56.95, 56.95, 56.9, 56.9, 2262
IDFC,2016-08-16 09:34:00, 56.9, 56.95, 56.9, 56.95, 8079
IDFC,2016-08-16 09:35:00, 56.95, 57, 56.9, 57, 700
IDFC,2016-08-16 09:36:00, 57, 57, 56.9, 56.9, 5210
IDFC,2016-08-16 09:37:00, 56.9, 56.95, 56.9, 56.95, 440
IDFC,2016-08-16 09:38:00, 56.95, 56.95, 56.9, 56.9, 1816
IDFC,2016-08-16 09:39:00, 56.9, 56.95, 56.9, 56.95, 3988
IDFC,2016-08-16 09:40:00, 56.95, 57, 56.9, 56.9, 3181
IDFC,2016-08-16 09:41:00, 56.9, 57, 56.9, 56.95, 6392
IDFC,2016-08-16 09:42:00, 56.95, 57, 56.95, 56.95, 1100
IDFC,2016-08-16 09:43:00, 56.95, 57, 56.95, 56.95, 1894
IDFC,2016-08-16 09:44:00, 56.95, 57, 56.95, 56.95, 354
IDFC,2016-08-16 09:45:00, 56.95, 57, 56.95, 56.95, 635
IDFC,2016-08-16 09:46:00, 56.95, 57.25, 56.95, 57.2, 36621
IDFC,2016-08-16 09:47:00, 57.2, 57.25, 57.15, 57.25, 726
IDFC,2016-08-16 09:48:00, 57.25, 57.25, 57.15, 57.15, 9003
IDFC,2016-08-16 09:49:00, 57.15, 57.15, 57.15, 57.15, 677
IDFC,2016-08-16 09:50:00, 57.15, 57.3, 57.15, 57.2, 11395
IDFC,2016-08-16 09:51:00, 57.15, 57.2, 57.1, 57.2, 11658
IDFC,2016-08-16 09:52:00, 57.2, 57.2, 57.1, 57.15, 2245
IDFC,2016-08-16 09:53:00, 57.15, 57.15, 57.1, 57.1, 945
IDFC,2016-08-16 09:54:00, 57.1, 57.15, 57.1, 57.15, 1100
IDFC,2016-08-16 09:55:00, 57.15, 57.15, 57.05, 57.1, 4706
IDFC,2016-08-16 09:56:00, 57.1, 57.15, 57.1, 57.1, 459
IDFC,2016-08-16 09:57:00, 57.1, 57.15, 57.1, 57.15, 759
IDFC,2016-08-16 09:58:00, 57.15, 57.15, 57.1, 57.1, 1168
IDFC,2016-08-16 09:59:00, 57.15, 57.15, 57.05, 57.05, 4778
