Code,Date,Open,High,Low,Close,Volume
IGL,2016-08-16 09:15:00, 676.65, 678.3, 676.2, 676.95, 1221
IGL,2016-08-16 09:16:00, 676.95, 677.05, 676.05, 676.85, 378
IGL,2016-08-16 09:17:00, 676.85, 676.95, 675.25, 675.25, 1003
IGL,2016-08-16 09:18:00, 675, 675.3, 674.05, 674.45, 723
IGL,2016-08-16 09:19:00, 674.45, 676.9, 673.1, 674, 863
IGL,2016-08-16 09:20:00, 674, 677.7, 673.9, 677.7, 521
IGL,2016-08-16 09:21:00, 677.7, 679.2, 677.7, 678.5, 604
IGL,2016-08-16 09:22:00, 678.5, 678.75, 678.25, 678.65, 503
IGL,2016-08-16 09:23:00, 678.65, 679.9, 678.25, 678.25, 1542
IGL,2016-08-16 09:24:00, 678.2, 678.55, 677.6, 678.05, 468
IGL,2016-08-16 09:25:00, 678.05, 678.25, 678.05, 678.05, 116
IGL,2016-08-16 09:26:00, 678.05, 678.35, 678.05, 678.35, 44
IGL,2016-08-16 09:27:00, 678.35, 678.6, 678.1, 678.35, 700
IGL,2016-08-16 09:28:00, 678.35, 678.55, 678.3, 678.3, 73
IGL,2016-08-16 09:29:00, 678.3, 678.55, 678.3, 678.3, 23
IGL,2016-08-16 09:30:00, 678.3, 678.5, 677.75, 678.5, 2202
IGL,2016-08-16 09:31:00, 678.55, 678.55, 677.95, 677.95, 17
IGL,2016-08-16 09:32:00, 677.95, 678.7, 677.95, 678.55, 65
IGL,2016-08-16 09:33:00, 678.55, 678.55, 678.1, 678.1, 795
IGL,2016-08-16 09:34:00, 678.6, 678.8, 678, 678.15, 462
IGL,2016-08-16 09:35:00, 678.15, 678.15, 677.5, 677.95, 149
IGL,2016-08-16 09:36:00, 677.55, 677.8, 677.35, 677.35, 641
IGL,2016-08-16 09:37:00, 677.35, 677.35, 677, 677.05, 34
IGL,2016-08-16 09:38:00, 677.05, 677.7, 676, 677.7, 741
IGL,2016-08-16 09:39:00, 677.7, 678.1, 677.2, 677.2, 12
IGL,2016-08-16 09:40:00, 677.2, 677.2, 677.2, 677.2, 0
IGL,2016-08-16 09:41:00, 677.75, 677.75, 677.1, 677.7, 223
IGL,2016-08-16 09:42:00, 677.35, 677.35, 677.2, 677.2, 30
IGL,2016-08-16 09:43:00, 677.2, 677.2, 677.2, 677.2, 0
IGL,2016-08-16 09:44:00, 677.2, 677.65, 677.2, 677.65, 20
IGL,2016-08-16 09:45:00, 677.65, 677.65, 677.65, 677.65, 0
IGL,2016-08-16 09:46:00, 677.65, 677.65, 677.5, 677.5, 50
IGL,2016-08-16 09:47:00, 677.5, 677.6, 677.5, 677.6, 20
IGL,2016-08-16 09:48:00, 677.6, 677.65, 677.6, 677.65, 2
IGL,2016-08-16 09:49:00, 677.65, 677.65, 677, 677.5, 240
IGL,2016-08-16 09:50:00, 677.5, 677.5, 677.05, 677.45, 71
IGL,2016-08-16 09:51:00, 677.45, 677.45, 677.15, 677.15, 46
IGL,2016-08-16 09:52:00, 677.15, 677.8, 677.1, 677.6, 956
IGL,2016-08-16 09:53:00, 677.6, 677.8, 676.65, 677.25, 3679
IGL,2016-08-16 09:54:00, 677.25, 678, 677.05, 677.9, 445
