Code,Date,Open,High,Low,Close,Volume
INDIACEM,2016-08-16 09:16:00, 120.45, 121.25, 120.45, 121.2, 36869
INDIACEM,2016-08-16 09:15:00, 121, 121.35, 120.45, 120.45, 19424
INDIACEM,2016-08-16 09:17:00, 121.25, 122.05, 121.25, 121.8, 37142
INDIACEM,2016-08-16 09:18:00, 121.8, 121.8, 121.2, 121.2, 21074
INDIACEM,2016-08-16 09:19:00, 121.2, 121.65, 121, 121.35, 16314
INDIACEM,2016-08-16 09:20:00, 121.35, 121.65, 121.35, 121.65, 6180
INDIACEM,2016-08-16 09:21:00, 121.65, 121.75, 121.5, 121.55, 26324
INDIACEM,2016-08-16 09:22:00, 121.55, 121.55, 121.2, 121.45, 4344
INDIACEM,2016-08-16 09:23:00, 121.5, 121.5, 121.3, 121.4, 2113
INDIACEM,2016-08-16 09:24:00, 121.4, 121.45, 121.15, 121.45, 5596
INDIACEM,2016-08-16 09:25:00, 121.45, 121.45, 121.35, 121.4, 1100
INDIACEM,2016-08-16 09:27:00, 121.5, 121.55, 121.35, 121.45, 4031
INDIACEM,2016-08-16 09:26:00, 121.4, 121.5, 121.3, 121.5, 5316
INDIACEM,2016-08-16 09:28:00, 121.45, 121.9, 121.45, 121.7, 4128
INDIACEM,2016-08-16 09:29:00, 121.7, 121.85, 121.5, 121.75, 5600
INDIACEM,2016-08-16 09:30:00, 121.75, 121.9, 121.65, 121.9, 2948
INDIACEM,2016-08-16 09:31:00, 121.85, 121.85, 121.7, 121.8, 13320
INDIACEM,2016-08-16 09:32:00, 121.8, 121.8, 121.7, 121.8, 2104
INDIACEM,2016-08-16 09:33:00, 121.8, 121.8, 121.55, 121.55, 6556
INDIACEM,2016-08-16 09:34:00, 121.65, 121.85, 121.55, 121.85, 2777
INDIACEM,2016-08-16 09:35:00, 121.7, 121.8, 121.65, 121.8, 2887
INDIACEM,2016-08-16 09:36:00, 121.85, 121.85, 121.7, 121.8, 2561
INDIACEM,2016-08-16 09:37:00, 121.8, 121.85, 121.7, 121.7, 1939
INDIACEM,2016-08-16 09:38:00, 121.7, 121.8, 121.65, 121.8, 2440
INDIACEM,2016-08-16 09:39:00, 121.8, 121.8, 121.6, 121.8, 1578
INDIACEM,2016-08-16 09:40:00, 121.75, 121.85, 121.7, 121.8, 873
INDIACEM,2016-08-16 09:41:00, 121.8, 121.8, 121.65, 121.7, 6465
INDIACEM,2016-08-16 09:42:00, 121.7, 121.7, 121.6, 121.6, 1508
INDIACEM,2016-08-16 09:43:00, 121.6, 121.65, 121.55, 121.65, 3060
INDIACEM,2016-08-16 09:44:00, 121.55, 121.55, 121.4, 121.4, 17594
INDIACEM,2016-08-16 09:45:00, 121.4, 121.45, 121.3, 121.3, 13838
INDIACEM,2016-08-16 09:46:00, 121.3, 121.5, 121.3, 121.5, 5460
INDIACEM,2016-08-16 09:47:00, 121.5, 121.5, 121.3, 121.45, 2604
INDIACEM,2016-08-16 09:48:00, 121.45, 121.55, 121.4, 121.4, 2638
INDIACEM,2016-08-16 09:49:00, 121.4, 121.5, 121.4, 121.5, 215
INDIACEM,2016-08-16 09:50:00, 121.5, 121.65, 121.45, 121.65, 1344
INDIACEM,2016-08-16 09:51:00, 121.65, 121.9, 121.65, 121.7, 9097
INDIACEM,2016-08-16 09:52:00, 121.7, 121.75, 121.5, 121.6, 2259
INDIACEM,2016-08-16 09:53:00, 121.6, 121.75, 121.6, 121.75, 1041
INDIACEM,2016-08-16 09:54:00, 121.75, 121.75, 121.6, 121.75, 5361
INDIACEM,2016-08-16 09:55:00, 121.75, 121.8, 121.65, 121.65, 424
INDIACEM,2016-08-16 09:56:00, 121.65, 121.7, 121.65, 121.65, 3105
INDIACEM,2016-08-16 09:57:00, 121.65, 121.65, 121.65, 121.65, 5
INDIACEM,2016-08-16 09:58:00, 121.65, 121.7, 121.5, 121.6, 3263
INDIACEM,2016-08-16 09:59:00, 121.6, 121.6, 121.5, 121.6, 1040
INDIACEM,2016-08-16 10:00:00, 121.6, 121.6, 121.45, 121.45, 2701
INDIACEM,2016-08-16 10:01:00, 121.45, 121.55, 121.45, 121.45, 480
INDIACEM,2016-08-16 10:02:00, 121.45, 121.5, 121.3, 121.3, 1937
INDIACEM,2016-08-16 10:03:00, 121.3, 121.55, 121.3, 121.45, 779
INDIACEM,2016-08-16 10:04:00, 121.45, 121.6, 121.45, 121.55, 72
INDIACEM,2016-08-16 10:05:00, 121.55, 121.65, 121.55, 121.65, 1808
INDIACEM,2016-08-16 10:06:00, 121.65, 121.65, 121.55, 121.55, 1050
INDIACEM,2016-08-16 10:07:00, 121.6, 121.6, 121.4, 121.4, 2896
INDIACEM,2016-08-16 10:08:00, 121.4, 121.5, 121.4, 121.5, 2829
INDIACEM,2016-08-16 10:09:00, 121.5, 121.5, 120.75, 120.85, 18414
INDIACEM,2016-08-16 10:10:00, 120.85, 120.9, 120.6, 120.6, 15209
INDIACEM,2016-08-16 10:11:00, 120.65, 120.7, 120.45, 120.5, 7584
INDIACEM,2016-08-16 10:12:00, 120.5, 120.5, 120.4, 120.4, 28565
INDIACEM,2016-08-16 10:13:00, 120.4, 120.5, 120.35, 120.4, 3467
INDIACEM,2016-08-16 10:14:00, 120.4, 120.5, 120.35, 120.5, 9830
INDIACEM,2016-08-16 10:15:00, 120.5, 120.5, 120.45, 120.45, 4102
INDIACEM,2016-08-16 10:16:00, 120.45, 120.5, 119.4, 119.55, 63542
INDIACEM,2016-08-16 10:17:00, 119.55, 119.75, 119.5, 119.7, 10878
INDIACEM,2016-08-16 10:18:00, 119.7, 119.8, 119.7, 119.7, 8517
INDIACEM,2016-08-16 10:19:00, 119.7, 119.8, 119.4, 119.45, 16344
INDIACEM,2016-08-16 10:20:00, 119.45, 119.45, 119.25, 119.35, 15048
INDIACEM,2016-08-16 10:21:00, 119.35, 119.95, 119.3, 119.75, 7007
INDIACEM,2016-08-16 10:22:00, 119.75, 119.75, 119.5, 119.5, 5154
INDIACEM,2016-08-16 10:23:00, 119.5, 119.6, 119.45, 119.5, 3168
INDIACEM,2016-08-16 10:24:00, 119.5, 119.5, 119.35, 119.4, 3884
INDIACEM,2016-08-16 10:25:00, 119.4, 119.6, 119.3, 119.4, 34470
INDIACEM,2016-08-16 10:26:00, 119.4, 119.5, 119.35, 119.45, 2689
INDIACEM,2016-08-16 10:27:00, 119.45, 119.5, 119.35, 119.5, 4912
INDIACEM,2016-08-16 10:28:00, 119.5, 119.5, 119.35, 119.4, 4113
INDIACEM,2016-08-16 10:29:00, 119.35, 119.4, 119.05, 119.05, 40431
INDIACEM,2016-08-16 10:30:00, 119.05, 119.15, 118.6, 118.65, 72042
INDIACEM,2016-08-16 10:31:00, 118.65, 118.85, 118.5, 118.8, 44794
INDIACEM,2016-08-16 10:32:00, 118.8, 119, 118.75, 118.75, 14488
INDIACEM,2016-08-16 10:33:00, 118.75, 118.85, 118.75, 118.8, 9575
INDIACEM,2016-08-16 10:34:00, 118.7, 118.95, 118.6, 118.75, 4543
INDIACEM,2016-08-16 10:35:00, 118.75, 118.9, 118.75, 118.9, 10524
INDIACEM,2016-08-16 10:36:00, 119, 119.25, 119, 119.1, 4521
INDIACEM,2016-08-16 10:37:00, 119.1, 119.25, 119.1, 119.25, 5104
INDIACEM,2016-08-16 10:38:00, 119.25, 119.25, 119.2, 119.2, 1681
INDIACEM,2016-08-16 10:39:00, 119.2, 119.6, 119.2, 119.6, 17156
INDIACEM,2016-08-16 10:40:00, 119.55, 119.6, 119.4, 119.5, 4480
INDIACEM,2016-08-16 10:41:00, 119.5, 119.5, 119.25, 119.25, 4001
INDIACEM,2016-08-16 10:42:00, 119.25, 119.45, 119.25, 119.4, 2543
INDIACEM,2016-08-16 10:43:00, 119.4, 119.4, 119.3, 119.3, 2076
INDIACEM,2016-08-16 10:44:00, 119.3, 119.45, 119.3, 119.45, 1240
INDIACEM,2016-08-16 10:45:00, 119.45, 119.45, 119.05, 119.2, 8743
INDIACEM,2016-08-16 10:46:00, 119.2, 119.25, 119.15, 119.25, 1130
INDIACEM,2016-08-16 10:47:00, 119.25, 119.3, 119.1, 119.25, 585
INDIACEM,2016-08-16 10:48:00, 119.25, 119.3, 119.1, 119.2, 2973
INDIACEM,2016-08-16 10:49:00, 119.15, 119.15, 119.15, 119.15, 40
INDIACEM,2016-08-16 10:50:00, 119.15, 119.35, 119.15, 119.35, 2304
INDIACEM,2016-08-16 10:51:00, 119.35, 119.5, 119.3, 119.3, 8232
INDIACEM,2016-08-16 10:52:00, 119.3, 119.5, 119.3, 119.5, 2335
INDIACEM,2016-08-16 10:53:00, 119.5, 119.55, 119.45, 119.55, 1869
