Code,Date,Open,High,Low,Close,Volume
INDIAVIX,2016-08-16 09:15:00, 13.77, 13.94, 13.33, 13.9, 0
INDIAVIX,2016-08-16 09:16:00, 13.9, 14.01, 13.89, 13.97, 0
INDIAVIX,2016-08-16 09:17:00, 13.97, 13.98, 13.88, 13.92, 0
INDIAVIX,2016-08-16 09:18:00, 13.92, 13.98, 13.91, 13.95, 0
INDIAVIX,2016-08-16 09:19:00, 13.95, 14.01, 13.95, 13.96, 0
INDIAVIX,2016-08-16 09:20:00, 13.96, 13.99, 13.94, 13.95, 0
INDIAVIX,2016-08-16 09:21:00, 13.95, 14.02, 13.88, 14.01, 0
INDIAVIX,2016-08-16 09:22:00, 14.02, 14.06, 14, 14.01, 0
INDIAVIX,2016-08-16 09:23:00, 14.01, 14.26, 13.98, 14.26, 0
INDIAVIX,2016-08-16 09:24:00, 14.27, 14.28, 14.23, 14.23, 0
INDIAVIX,2016-08-16 09:25:00, 14.23, 14.28, 14.23, 14.26, 0
INDIAVIX,2016-08-16 09:26:00, 14.26, 14.27, 14.21, 14.24, 0
INDIAVIX,2016-08-16 09:27:00, 14.24, 14.26, 14.23, 14.26, 0
INDIAVIX,2016-08-16 09:28:00, 14.26, 14.33, 14.26, 14.3, 0
INDIAVIX,2016-08-16 09:29:00, 14.3, 14.3, 14.25, 14.27, 0
INDIAVIX,2016-08-16 09:31:00, 14.22, 14.23, 14.2, 14.22, 0
INDIAVIX,2016-08-16 09:30:00, 14.24, 14.27, 14.21, 14.22, 0
INDIAVIX,2016-08-16 09:32:00, 14.23, 14.24, 14.2, 14.2, 0
INDIAVIX,2016-08-16 09:33:00, 14.2, 14.26, 14.2, 14.25, 0
INDIAVIX,2016-08-16 09:34:00, 14.24, 14.27, 14.23, 14.26, 0
INDIAVIX,2016-08-16 09:35:00, 14.26, 14.29, 14.26, 14.27, 0
INDIAVIX,2016-08-16 09:36:00, 14.27, 14.27, 14.24, 14.25, 0
INDIAVIX,2016-08-16 09:37:00, 14.25, 14.26, 14.24, 14.25, 0
INDIAVIX,2016-08-16 09:38:00, 14.25, 14.28, 14.25, 14.26, 0
INDIAVIX,2016-08-16 09:39:00, 14.26, 14.41, 14.26, 14.4, 0
INDIAVIX,2016-08-16 09:40:00, 14.4, 14.4, 14.38, 14.39, 0
INDIAVIX,2016-08-16 09:41:00, 14.39, 14.42, 14.39, 14.39, 0
INDIAVIX,2016-08-16 09:42:00, 14.39, 14.39, 14.37, 14.39, 0
INDIAVIX,2016-08-16 09:43:00, 14.39, 14.39, 14.38, 14.38, 0
INDIAVIX,2016-08-16 09:44:00, 14.38, 14.39, 14.38, 14.38, 0
INDIAVIX,2016-08-16 09:45:00, 14.38, 14.39, 14.38, 14.38, 0
INDIAVIX,2016-08-16 09:46:00, 14.37, 14.41, 14.37, 14.38, 0
INDIAVIX,2016-08-16 09:48:00, 14.38, 14.39, 14.36, 14.37, 0
INDIAVIX,2016-08-16 09:47:00, 14.38, 14.39, 14.37, 14.38, 0
INDIAVIX,2016-08-16 09:49:00, 14.37, 14.38, 14.36, 14.37, 0
INDIAVIX,2016-08-16 09:50:00, 14.37, 14.37, 14.34, 14.36, 0
INDIAVIX,2016-08-16 09:51:00, 14.36, 14.39, 14.34, 14.39, 0
INDIAVIX,2016-08-16 09:52:00, 14.38, 14.38, 14.35, 14.36, 0
INDIAVIX,2016-08-16 09:53:00, 14.36, 14.4, 14.36, 14.39, 0
INDIAVIX,2016-08-16 09:54:00, 14.39, 14.41, 14.38, 14.4, 0
INDIAVIX,2016-08-16 09:57:00, 14.42, 14.42, 14.39, 14.39, 0
INDIAVIX,2016-08-16 09:56:00, 14.41, 14.42, 14.4, 14.42, 0
INDIAVIX,2016-08-16 09:55:00, 14.41, 14.42, 14.38, 14.41, 0
INDIAVIX,2016-08-16 09:58:00, 14.39, 14.41, 14.37, 14.37, 0
INDIAVIX,2016-08-16 09:59:00, 14.38, 14.41, 14.37, 14.4, 0
