Code,Date,Open,High,Low,Close,Volume
INDUSINDBK,2016-08-16 09:15:00, 1171, 1171.1, 1164.45, 1164.65, 5185
INDUSINDBK,2016-08-16 09:16:00, 1164.95, 1168.4, 1164.6, 1166.25, 2405
INDUSINDBK,2016-08-16 09:17:00, 1166.55, 1167.4, 1165.55, 1165.6, 3183
INDUSINDBK,2016-08-16 09:18:00, 1165.55, 1166.3, 1164.15, 1166.15, 4845
INDUSINDBK,2016-08-16 09:19:00, 1166, 1166.1, 1164.75, 1164.8, 2063
INDUSINDBK,2016-08-16 09:20:00, 1164.8, 1165.9, 1164.05, 1165.5, 1947
INDUSINDBK,2016-08-16 09:21:00, 1165.5, 1165.9, 1164.75, 1164.8, 1860
INDUSINDBK,2016-08-16 09:22:00, 1164.95, 1166.55, 1164.75, 1166.55, 1836
INDUSINDBK,2016-08-16 09:23:00, 1166.55, 1167.55, 1166.55, 1167.5, 3864
INDUSINDBK,2016-08-16 09:24:00, 1166.6, 1166.65, 1165.1, 1166.1, 4674
INDUSINDBK,2016-08-16 09:25:00, 1166.1, 1167.55, 1166.05, 1166.3, 1658
INDUSINDBK,2016-08-16 09:26:00, 1166.3, 1167.55, 1166.25, 1166.65, 331
INDUSINDBK,2016-08-16 09:27:00, 1166.65, 1167.95, 1166.65, 1167.7, 436
INDUSINDBK,2016-08-16 09:28:00, 1167.7, 1169.2, 1167.7, 1168.95, 780
INDUSINDBK,2016-08-16 09:29:00, 1168.95, 1170.45, 1168.95, 1170, 2402
INDUSINDBK,2016-08-16 09:30:00, 1169.95, 1171.8, 1168.85, 1171.5, 6072
INDUSINDBK,2016-08-16 09:31:00, 1171.5, 1172.1, 1170.65, 1170.65, 4002
INDUSINDBK,2016-08-16 09:32:00, 1170.7, 1171.8, 1170.7, 1171.35, 2189
INDUSINDBK,2016-08-16 09:33:00, 1171.35, 1171.45, 1169.95, 1170.2, 2665
INDUSINDBK,2016-08-16 09:34:00, 1170.2, 1171.75, 1170.2, 1171.4, 2021
INDUSINDBK,2016-08-16 09:35:00, 1171.4, 1171.85, 1171.15, 1171.7, 2748
INDUSINDBK,2016-08-16 09:36:00, 1171.8, 1172.75, 1171.55, 1172.2, 2887
INDUSINDBK,2016-08-16 09:37:00, 1172.6, 1172.75, 1170.15, 1172.4, 3056
INDUSINDBK,2016-08-16 09:38:00, 1172.1, 1173, 1172.1, 1172.8, 689
INDUSINDBK,2016-08-16 09:39:00, 1172.75, 1174.7, 1172.75, 1174.45, 3061
INDUSINDBK,2016-08-16 09:40:00, 1174.35, 1174.6, 1172.95, 1173.35, 4221
INDUSINDBK,2016-08-16 09:41:00, 1173.35, 1174.4, 1173.15, 1174.3, 918
INDUSINDBK,2016-08-16 09:42:00, 1174.3, 1174.3, 1173.65, 1173.95, 546
INDUSINDBK,2016-08-16 09:43:00, 1173.95, 1173.95, 1173.85, 1173.95, 1042
INDUSINDBK,2016-08-16 09:44:00, 1173.9, 1174.15, 1172.85, 1173.95, 2029
INDUSINDBK,2016-08-16 09:45:00, 1173.95, 1174.05, 1173.3, 1173.85, 803
INDUSINDBK,2016-08-16 09:46:00, 1173.85, 1175.5, 1173.85, 1174.8, 5110
INDUSINDBK,2016-08-16 09:47:00, 1174.8, 1175.4, 1173.55, 1174.2, 2455
INDUSINDBK,2016-08-16 09:48:00, 1174.2, 1174.6, 1173.6, 1173.75, 1444
INDUSINDBK,2016-08-16 09:49:00, 1173.55, 1174.35, 1173.55, 1174.15, 1236
INDUSINDBK,2016-08-16 09:50:00, 1174.05, 1175.3, 1174.05, 1175.3, 2061
INDUSINDBK,2016-08-16 09:51:00, 1175.15, 1176.4, 1175.05, 1176.4, 3911
INDUSINDBK,2016-08-16 09:52:00, 1176.55, 1176.6, 1174.7, 1175.6, 5701
INDUSINDBK,2016-08-16 09:53:00, 1175.75, 1176, 1175.1, 1175.1, 2825
INDUSINDBK,2016-08-16 09:54:00, 1176, 1176.15, 1174.25, 1174.85, 2543
INDUSINDBK,2016-08-16 09:55:00, 1174.85, 1176, 1174.75, 1175.5, 1546
INDUSINDBK,2016-08-16 09:56:00, 1175.45, 1175.5, 1174.85, 1175.2, 906
INDUSINDBK,2016-08-16 09:57:00, 1175.1, 1175.8, 1175.1, 1175.3, 508
INDUSINDBK,2016-08-16 09:58:00, 1175.15, 1175.3, 1174.3, 1174.55, 1937
INDUSINDBK,2016-08-16 09:59:00, 1174.3, 1174.55, 1173.5, 1173.95, 1083
INDUSINDBK,2016-08-16 10:00:00, 1173.55, 1174, 1173.05, 1173.75, 2710
INDUSINDBK,2016-08-16 10:01:00, 1173.75, 1174.85, 1173.6, 1174.85, 1710
INDUSINDBK,2016-08-16 10:02:00, 1174.35, 1175.65, 1174.35, 1175.15, 708
INDUSINDBK,2016-08-16 10:03:00, 1175.15, 1177, 1175.05, 1175.05, 3895
INDUSINDBK,2016-08-16 10:04:00, 1175.05, 1175.9, 1174.9, 1175.05, 1458
INDUSINDBK,2016-08-16 10:05:00, 1174.9, 1175.8, 1174.9, 1175.05, 1401
INDUSINDBK,2016-08-16 10:06:00, 1174.9, 1175.25, 1174.9, 1175.2, 2384
INDUSINDBK,2016-08-16 10:07:00, 1175.5, 1175.8, 1175.05, 1175.5, 1946
INDUSINDBK,2016-08-16 10:09:00, 1175.5, 1176.7, 1175.45, 1176.7, 1725
INDUSINDBK,2016-08-16 10:08:00, 1175.4, 1175.7, 1175.1, 1175.45, 1545
INDUSINDBK,2016-08-16 10:10:00, 1176.7, 1177, 1176, 1177, 2207
INDUSINDBK,2016-08-16 10:11:00, 1177, 1177, 1176.3, 1176.7, 2298
INDUSINDBK,2016-08-16 10:12:00, 1176.6, 1176.75, 1176.15, 1176.15, 1095
INDUSINDBK,2016-08-16 10:13:00, 1176.35, 1177.65, 1176.2, 1177.5, 2185
INDUSINDBK,2016-08-16 10:14:00, 1177.2, 1178.75, 1177.2, 1178.7, 3132
INDUSINDBK,2016-08-16 10:15:00, 1178.15, 1178.8, 1178, 1178.7, 2355
INDUSINDBK,2016-08-16 10:16:00, 1178.3, 1179.5, 1178.05, 1179, 3887
