Code,Date,Open,High,Low,Close,Volume
IRB,2016-08-16 09:15:00, 207.8, 207.8, 204.55, 205.1, 22466
IRB,2016-08-16 09:16:00, 204.7, 206.9, 204.7, 206.7, 10824
IRB,2016-08-16 09:17:00, 206.45, 207.5, 206, 206.05, 13289
IRB,2016-08-16 09:18:00, 206.05, 206.5, 206, 206.5, 8988
IRB,2016-08-16 09:19:00, 206.4, 206.65, 206.05, 206.4, 7096
IRB,2016-08-16 09:20:00, 206.4, 207.55, 206.4, 207.3, 10788
IRB,2016-08-16 09:21:00, 207.3, 207.55, 206.95, 207, 6283
IRB,2016-08-16 09:22:00, 207, 207.55, 206.8, 207.35, 9557
IRB,2016-08-16 09:23:00, 207.2, 207.5, 206.8, 206.8, 7113
IRB,2016-08-16 09:24:00, 206.95, 207.2, 206.8, 207.2, 4488
IRB,2016-08-16 09:25:00, 207.2, 207.3, 206.8, 206.9, 3259
IRB,2016-08-16 09:26:00, 206.9, 207.25, 206.8, 207.2, 7771
IRB,2016-08-16 09:27:00, 207.2, 207.5, 207.15, 207.45, 4125
IRB,2016-08-16 09:28:00, 207.45, 207.5, 207.25, 207.4, 3770
IRB,2016-08-16 09:29:00, 207.4, 207.75, 207.4, 207.6, 2400
IRB,2016-08-16 09:30:00, 207.6, 207.7, 207.2, 207.7, 6311
IRB,2016-08-16 09:31:00, 207.7, 207.9, 207.65, 207.75, 5542
IRB,2016-08-16 09:32:00, 207.7, 207.9, 207.6, 207.6, 9388
IRB,2016-08-16 09:33:00, 207.45, 207.6, 207.1, 207.3, 4475
IRB,2016-08-16 09:34:00, 207.3, 207.55, 207.15, 207.55, 2336
IRB,2016-08-16 09:35:00, 207.55, 207.6, 207.25, 207.6, 785
IRB,2016-08-16 09:36:00, 207.4, 207.6, 206.95, 207.25, 10480
IRB,2016-08-16 09:37:00, 207.25, 207.6, 206.95, 207.5, 6635
IRB,2016-08-16 09:38:00, 207.7, 207.7, 207.25, 207.3, 2973
IRB,2016-08-16 09:39:00, 207.5, 207.65, 207.3, 207.65, 4952
IRB,2016-08-16 09:41:00, 207.7, 207.7, 207.2, 207.3, 2905
IRB,2016-08-16 09:42:00, 207.4, 207.4, 207, 207.15, 984
IRB,2016-08-16 09:40:00, 207.7, 207.7, 207.4, 207.45, 2127
IRB,2016-08-16 09:43:00, 207.15, 207.5, 207, 207.5, 2810
IRB,2016-08-16 09:44:00, 207.5, 207.6, 207.45, 207.6, 1131
IRB,2016-08-16 09:45:00, 207.6, 207.7, 207.35, 207.55, 5660
IRB,2016-08-16 09:46:00, 207.55, 207.9, 207.4, 207.5, 7681
