Code,Date,Open,High,Low,Close,Volume
ITC,2016-08-16 09:15:00, 254.25, 255.25, 253.8, 255, 360021
ITC,2016-08-16 09:16:00, 255, 257.5, 255, 257.5, 145365
ITC,2016-08-16 09:17:00, 257.45, 258, 256.35, 256.55, 89890
ITC,2016-08-16 09:18:00, 256.65, 257.25, 256.5, 257.1, 76767
ITC,2016-08-16 09:19:00, 257.15, 257.3, 257, 257.25, 59239
ITC,2016-08-16 09:20:00, 257.3, 257.4, 257.05, 257.1, 68428
ITC,2016-08-16 09:21:00, 257.1, 257.45, 257.05, 257.2, 40269
ITC,2016-08-16 09:22:00, 257.05, 257.2, 256.1, 256.15, 112956
ITC,2016-08-16 09:23:00, 256.1, 256.6, 256.1, 256.4, 50730
ITC,2016-08-16 09:24:00, 256.45, 257.15, 256.4, 256.85, 66106
ITC,2016-08-16 09:25:00, 256.8, 257.15, 256.65, 256.85, 52198
ITC,2016-08-16 09:26:00, 256.85, 257.45, 256.85, 257.4, 106359
ITC,2016-08-16 09:27:00, 257.45, 257.5, 257.1, 257.35, 55018
ITC,2016-08-16 09:28:00, 257.35, 257.45, 257.15, 257.15, 33687
ITC,2016-08-16 09:29:00, 257.15, 257.25, 257, 257.2, 26155
ITC,2016-08-16 09:30:00, 257.1, 257.45, 256.7, 257.4, 76378
ITC,2016-08-16 09:31:00, 257.35, 257.4, 256.95, 256.95, 23992
ITC,2016-08-16 09:32:00, 257, 257.1, 256.6, 257.1, 33218
ITC,2016-08-16 09:33:00, 257.1, 257.1, 256.6, 256.9, 23470
ITC,2016-08-16 09:34:00, 256.85, 257.15, 256.5, 256.75, 50905
ITC,2016-08-16 09:35:00, 256.75, 257.1, 256.75, 257.05, 17361
ITC,2016-08-16 09:36:00, 257.15, 257.2, 256.85, 257.05, 23548
ITC,2016-08-16 09:37:00, 257, 257.15, 256.65, 256.8, 36574
ITC,2016-08-16 09:39:00, 256.65, 256.95, 256.65, 256.9, 15561
ITC,2016-08-16 09:38:00, 256.8, 256.95, 256.65, 256.65, 14527
ITC,2016-08-16 09:40:00, 256.9, 256.9, 256.35, 256.7, 34856
ITC,2016-08-16 09:41:00, 256.75, 256.9, 256.65, 256.85, 13186
ITC,2016-08-16 09:42:00, 256.95, 256.95, 256.8, 256.85, 16749
ITC,2016-08-16 09:43:00, 256.9, 256.95, 256.5, 256.75, 42275
ITC,2016-08-16 09:44:00, 256.8, 256.9, 256.75, 256.8, 23469
ITC,2016-08-16 09:45:00, 256.75, 256.9, 256.65, 256.75, 45888
ITC,2016-08-16 09:46:00, 256.75, 256.9, 256.5, 256.7, 37702
ITC,2016-08-16 09:47:00, 256.8, 256.85, 256.55, 256.7, 24058
ITC,2016-08-16 09:48:00, 256.65, 256.85, 256.6, 256.8, 25756
ITC,2016-08-16 09:49:00, 256.85, 256.85, 256.55, 256.8, 35391
ITC,2016-08-16 09:50:00, 256.85, 256.85, 256.8, 256.8, 14781
ITC,2016-08-16 09:51:00, 256.8, 256.85, 256.6, 256.65, 23418
ITC,2016-08-16 09:52:00, 256.65, 256.85, 256.65, 256.8, 23689
ITC,2016-08-16 09:53:00, 256.8, 256.9, 256.7, 256.7, 51710
ITC,2016-08-16 09:54:00, 256.8, 256.9, 256.6, 256.7, 79752
ITC,2016-08-16 09:55:00, 256.75, 256.8, 256.7, 256.7, 32964
ITC,2016-08-16 09:56:00, 256.7, 256.8, 256.7, 256.75, 19699
ITC,2016-08-16 09:57:00, 256.8, 256.8, 256.7, 256.75, 19416
ITC,2016-08-16 09:58:00, 256.75, 256.8, 256.7, 256.7, 38621
