Code,Date,Open,High,Low,Close,Volume
JINDALSTEL,2016-08-16 09:15:00, 81.05, 81.15, 80.9, 80.9, 82128
JINDALSTEL,2016-08-16 09:16:00, 80.9, 80.9, 80.7, 80.8, 28316
JINDALSTEL,2016-08-16 09:17:00, 80.7, 81, 80.7, 81, 73243
JINDALSTEL,2016-08-16 09:18:00, 80.85, 81.1, 80.85, 81.1, 19763
JINDALSTEL,2016-08-16 09:19:00, 81.1, 81.15, 80.8, 80.9, 60039
JINDALSTEL,2016-08-16 09:20:00, 80.95, 81.1, 80.95, 81, 38833
JINDALSTEL,2016-08-16 09:21:00, 81, 81.2, 81, 81.05, 42726
JINDALSTEL,2016-08-16 09:22:00, 81.05, 81.1, 80.85, 80.95, 37095
JINDALSTEL,2016-08-16 09:23:00, 80.9, 80.95, 80.8, 80.9, 31751
JINDALSTEL,2016-08-16 09:24:00, 80.9, 80.9, 80.75, 80.75, 35929
JINDALSTEL,2016-08-16 09:25:00, 80.75, 80.8, 80.65, 80.75, 16061
JINDALSTEL,2016-08-16 09:26:00, 80.75, 80.95, 80.75, 80.9, 40315
JINDALSTEL,2016-08-16 09:27:00, 80.9, 80.95, 80.85, 80.9, 4542
JINDALSTEL,2016-08-16 09:28:00, 80.9, 80.95, 80.8, 80.85, 7303
JINDALSTEL,2016-08-16 09:29:00, 80.8, 80.9, 80.8, 80.85, 11675
JINDALSTEL,2016-08-16 09:30:00, 80.85, 80.9, 80.8, 80.85, 15357
JINDALSTEL,2016-08-16 09:31:00, 80.85, 80.85, 80.75, 80.8, 26769
JINDALSTEL,2016-08-16 09:33:00, 80.85, 80.85, 80.8, 80.85, 48345
JINDALSTEL,2016-08-16 09:32:00, 80.8, 80.85, 80.8, 80.85, 18316
JINDALSTEL,2016-08-16 09:34:00, 80.8, 80.85, 80.8, 80.85, 10969
JINDALSTEL,2016-08-16 09:35:00, 80.85, 80.9, 80.8, 80.85, 11948
JINDALSTEL,2016-08-16 09:36:00, 80.85, 80.9, 80.8, 80.85, 22079
JINDALSTEL,2016-08-16 09:37:00, 80.85, 80.95, 80.85, 80.85, 29888
JINDALSTEL,2016-08-16 09:38:00, 80.85, 81, 80.85, 80.95, 16373
JINDALSTEL,2016-08-16 09:39:00, 80.95, 80.95, 80.85, 80.9, 6456
JINDALSTEL,2016-08-16 09:40:00, 80.9, 81, 80.85, 81, 6791
JINDALSTEL,2016-08-16 09:41:00, 81, 81, 80.9, 80.95, 7186
JINDALSTEL,2016-08-16 09:42:00, 81, 81.05, 80.95, 81.05, 23304
JINDALSTEL,2016-08-16 09:43:00, 81.1, 81.55, 81.05, 81.35, 80382
JINDALSTEL,2016-08-16 09:44:00, 81.3, 81.35, 81.2, 81.25, 33312
JINDALSTEL,2016-08-16 09:45:00, 81.25, 81.35, 81.15, 81.25, 16948
JINDALSTEL,2016-08-16 09:46:00, 81.1, 81.7, 81.1, 81.5, 75084
JINDALSTEL,2016-08-16 09:47:00, 81.55, 81.7, 81.5, 81.6, 19481
JINDALSTEL,2016-08-16 09:48:00, 81.6, 81.6, 81.5, 81.55, 16846
JINDALSTEL,2016-08-16 09:49:00, 81.55, 81.6, 81.5, 81.5, 11191
JINDALSTEL,2016-08-16 09:50:00, 81.5, 81.6, 81.45, 81.5, 20728
JINDALSTEL,2016-08-16 09:51:00, 81.5, 81.55, 81.4, 81.4, 9268
JINDALSTEL,2016-08-16 09:52:00, 81.4, 81.5, 81.3, 81.3, 5198
JINDALSTEL,2016-08-16 09:53:00, 81.3, 81.35, 81.3, 81.35, 6052
JINDALSTEL,2016-08-16 09:54:00, 81.4, 81.4, 81.35, 81.35, 8456
JINDALSTEL,2016-08-16 09:55:00, 81.35, 81.35, 81.25, 81.25, 12513
JINDALSTEL,2016-08-16 09:56:00, 81.25, 81.3, 81, 81.15, 25064
JINDALSTEL,2016-08-16 09:57:00, 81.15, 81.25, 81.1, 81.15, 6663
JINDALSTEL,2016-08-16 09:58:00, 81.15, 81.25, 81.15, 81.2, 2701
JINDALSTEL,2016-08-16 10:00:00, 81.1, 81.2, 81.1, 81.15, 7284
JINDALSTEL,2016-08-16 09:59:00, 81.2, 81.2, 81.15, 81.15, 2977
JINDALSTEL,2016-08-16 10:01:00, 81.2, 81.2, 81.1, 81.15, 9601
JINDALSTEL,2016-08-16 10:02:00, 81.15, 81.35, 81.1, 81.35, 14422
JINDALSTEL,2016-08-16 10:03:00, 81.35, 81.5, 81.25, 81.5, 25563
JINDALSTEL,2016-08-16 10:04:00, 81.5, 81.5, 81.4, 81.4, 22666
JINDALSTEL,2016-08-16 10:05:00, 81.4, 81.4, 81.35, 81.4, 3939
JINDALSTEL,2016-08-16 10:06:00, 81.4, 81.4, 81.3, 81.35, 13817
JINDALSTEL,2016-08-16 10:07:00, 81.35, 81.35, 81.35, 81.35, 5069
JINDALSTEL,2016-08-16 10:08:00, 81.35, 81.4, 81.2, 81.25, 27163
JINDALSTEL,2016-08-16 10:09:00, 81.25, 81.25, 81.25, 81.25, 323
JINDALSTEL,2016-08-16 10:10:00, 81.25, 81.35, 81.25, 81.35, 2570
JINDALSTEL,2016-08-16 10:11:00, 81.35, 81.35, 81.25, 81.3, 9681
JINDALSTEL,2016-08-16 10:12:00, 81.3, 81.35, 81.25, 81.25, 2524
JINDALSTEL,2016-08-16 10:13:00, 81.25, 81.3, 81.25, 81.3, 1263
JINDALSTEL,2016-08-16 10:14:00, 81.3, 81.35, 81.3, 81.35, 2508
JINDALSTEL,2016-08-16 10:16:00, 81.35, 81.35, 81.25, 81.25, 3464
JINDALSTEL,2016-08-16 10:15:00, 81.35, 81.35, 81.25, 81.35, 5654
JINDALSTEL,2016-08-16 10:17:00, 81.25, 81.3, 81.25, 81.3, 8067
JINDALSTEL,2016-08-16 10:18:00, 81.35, 81.35, 81.1, 81.15, 13098
JINDALSTEL,2016-08-16 10:19:00, 81.15, 81.15, 81.05, 81.15, 5783
JINDALSTEL,2016-08-16 10:21:00, 81.1, 81.15, 81.05, 81.05, 5646
JINDALSTEL,2016-08-16 10:20:00, 81.15, 81.15, 81.05, 81.1, 4407
JINDALSTEL,2016-08-16 10:22:00, 81.05, 81.15, 81.05, 81.15, 4244
JINDALSTEL,2016-08-16 10:23:00, 81.15, 81.15, 81, 81.1, 14997
JINDALSTEL,2016-08-16 10:24:00, 81, 81, 80.95, 81, 19939
JINDALSTEL,2016-08-16 10:25:00, 81, 81, 80.75, 80.85, 37370
JINDALSTEL,2016-08-16 10:26:00, 80.85, 80.9, 80.7, 80.9, 11935
