Code,Date,Open,High,Low,Close,Volume
JISLJALEQS,2016-08-16 09:15:00, 76.5, 76.5, 75.8, 75.8, 320520
JISLJALEQS,2016-08-16 09:16:00, 75.75, 76.1, 75.7, 76.05, 175589
JISLJALEQS,2016-08-16 09:17:00, 76, 76.5, 76, 76.5, 254387
JISLJALEQS,2016-08-16 09:18:00, 76.6, 77.25, 76.55, 76.9, 370746
JISLJALEQS,2016-08-16 09:19:00, 76.85, 77.15, 76.5, 77.1, 338293
JISLJALEQS,2016-08-16 09:20:00, 77, 77.35, 76.8, 77.15, 415360
JISLJALEQS,2016-08-16 09:21:00, 77.15, 77.25, 76.5, 76.7, 266819
JISLJALEQS,2016-08-16 09:22:00, 76.7, 76.95, 76.5, 76.9, 169527
JISLJALEQS,2016-08-16 09:23:00, 76.9, 77.1, 76.7, 77, 163249
JISLJALEQS,2016-08-16 09:24:00, 77, 77.1, 76.7, 76.75, 172257
JISLJALEQS,2016-08-16 09:25:00, 76.75, 76.85, 76.05, 76.2, 223127
JISLJALEQS,2016-08-16 09:27:00, 76.4, 76.6, 76.25, 76.45, 116028
JISLJALEQS,2016-08-16 09:26:00, 76.3, 76.6, 76.1, 76.4, 157611
JISLJALEQS,2016-08-16 09:28:00, 76.4, 76.6, 76.4, 76.55, 17358
JISLJALEQS,2016-08-16 09:30:00, 76.6, 76.7, 76.55, 76.6, 53842
JISLJALEQS,2016-08-16 09:29:00, 76.55, 76.7, 76.3, 76.7, 151831
JISLJALEQS,2016-08-16 09:31:00, 76.55, 76.65, 76.3, 76.4, 44335
JISLJALEQS,2016-08-16 09:32:00, 76.35, 76.45, 76.3, 76.35, 25341
JISLJALEQS,2016-08-16 09:33:00, 76.35, 76.4, 76.2, 76.25, 52360
JISLJALEQS,2016-08-16 09:35:00, 76.3, 76.4, 76.3, 76.3, 104314
JISLJALEQS,2016-08-16 09:34:00, 76.3, 76.35, 76.2, 76.3, 29913
JISLJALEQS,2016-08-16 09:37:00, 76.3, 76.4, 76.2, 76.3, 30082
JISLJALEQS,2016-08-16 09:36:00, 76.3, 76.4, 76.2, 76.3, 62531
JISLJALEQS,2016-08-16 09:38:00, 76.3, 76.45, 76.3, 76.35, 20749
JISLJALEQS,2016-08-16 09:39:00, 76.3, 76.45, 76.3, 76.45, 14175
JISLJALEQS,2016-08-16 09:40:00, 76.35, 76.45, 76.3, 76.45, 10824
JISLJALEQS,2016-08-16 09:41:00, 76.4, 76.45, 76.4, 76.4, 32510
JISLJALEQS,2016-08-16 09:42:00, 76.45, 76.45, 76.35, 76.4, 22916
JISLJALEQS,2016-08-16 09:44:00, 76.5, 76.9, 76.45, 76.8, 99965
JISLJALEQS,2016-08-16 09:43:00, 76.4, 76.5, 76.35, 76.4, 27460
JISLJALEQS,2016-08-16 09:45:00, 76.8, 77.35, 76.8, 77.35, 357531
JISLJALEQS,2016-08-16 09:46:00, 77.35, 77.7, 77.05, 77.3, 379421
JISLJALEQS,2016-08-16 09:47:00, 77.35, 77.5, 77.3, 77.5, 89017
JISLJALEQS,2016-08-16 09:48:00, 77.5, 77.8, 77.3, 77.35, 161122
JISLJALEQS,2016-08-16 09:49:00, 77.35, 77.6, 77.1, 77.55, 107571
JISLJALEQS,2016-08-16 09:50:00, 77.55, 77.85, 77.4, 77.85, 208489
JISLJALEQS,2016-08-16 09:51:00, 77.75, 77.95, 77.6, 77.75, 265613
JISLJALEQS,2016-08-16 09:52:00, 77.75, 77.8, 77.65, 77.8, 79431
JISLJALEQS,2016-08-16 09:53:00, 77.75, 78.4, 77.75, 78.35, 680287
JISLJALEQS,2016-08-16 09:54:00, 78.3, 78.4, 78.15, 78.35, 289157
