Code,Date,Open,High,Low,Close,Volume
JSWENERGY,2016-08-16 09:15:00, 79.6, 80, 79.6, 79.85, 14256
JSWENERGY,2016-08-16 09:17:00, 79.8, 79.95, 79.8, 79.9, 10964
JSWENERGY,2016-08-16 09:16:00, 79.8, 79.85, 79.65, 79.8, 15003
JSWENERGY,2016-08-16 09:18:00, 79.9, 79.95, 79.8, 79.8, 6284
JSWENERGY,2016-08-16 09:19:00, 79.9, 79.95, 79.7, 79.7, 25050
JSWENERGY,2016-08-16 09:21:00, 79.85, 80, 79.8, 79.95, 16963
JSWENERGY,2016-08-16 09:20:00, 79.8, 79.9, 79.75, 79.85, 24767
JSWENERGY,2016-08-16 09:22:00, 79.95, 80, 79.9, 79.9, 18169
JSWENERGY,2016-08-16 09:23:00, 79.9, 80.3, 79.9, 80.3, 62045
JSWENERGY,2016-08-16 09:24:00, 80.4, 80.4, 80.25, 80.3, 11515
JSWENERGY,2016-08-16 09:25:00, 80.3, 80.4, 80.05, 80.15, 11549
JSWENERGY,2016-08-16 09:26:00, 80.15, 80.5, 80.1, 80.5, 21250
JSWENERGY,2016-08-16 09:27:00, 80.55, 80.75, 80.55, 80.75, 19354
JSWENERGY,2016-08-16 09:28:00, 80.8, 80.8, 80.5, 80.5, 17014
JSWENERGY,2016-08-16 09:29:00, 80.5, 80.55, 80.35, 80.35, 5801
JSWENERGY,2016-08-16 09:30:00, 80.3, 80.6, 80.3, 80.6, 15724
JSWENERGY,2016-08-16 09:31:00, 80.6, 80.65, 80.6, 80.6, 405
JSWENERGY,2016-08-16 09:32:00, 80.6, 80.65, 80.5, 80.55, 5822
JSWENERGY,2016-08-16 09:33:00, 80.55, 80.6, 80.45, 80.45, 14840
JSWENERGY,2016-08-16 09:34:00, 80.4, 80.45, 80.3, 80.4, 3025
JSWENERGY,2016-08-16 09:35:00, 80.4, 80.45, 80.4, 80.45, 1950
JSWENERGY,2016-08-16 09:36:00, 80.45, 80.45, 80.2, 80.3, 4641
JSWENERGY,2016-08-16 09:37:00, 80.3, 80.3, 80.25, 80.3, 5206
JSWENERGY,2016-08-16 09:38:00, 80.3, 80.35, 80.25, 80.35, 7021
JSWENERGY,2016-08-16 09:39:00, 80.35, 80.4, 80.35, 80.4, 1993
JSWENERGY,2016-08-16 09:40:00, 80.4, 80.5, 80.4, 80.5, 2700
JSWENERGY,2016-08-16 09:41:00, 80.5, 80.5, 80.4, 80.4, 647
JSWENERGY,2016-08-16 09:42:00, 80.5, 80.5, 80.4, 80.4, 1888
JSWENERGY,2016-08-16 09:43:00, 80.4, 80.55, 80.4, 80.55, 5344
JSWENERGY,2016-08-16 09:44:00, 80.55, 80.55, 80.5, 80.5, 200
JSWENERGY,2016-08-16 09:45:00, 80.5, 80.5, 80.45, 80.5, 975
JSWENERGY,2016-08-16 09:46:00, 80.5, 80.5, 80.4, 80.45, 1754
JSWENERGY,2016-08-16 09:47:00, 80.45, 80.45, 80.4, 80.45, 1889
JSWENERGY,2016-08-16 09:48:00, 80.45, 80.5, 80.4, 80.4, 1866
JSWENERGY,2016-08-16 09:49:00, 80.4, 80.45, 80.4, 80.45, 696
JSWENERGY,2016-08-16 09:50:00, 80.45, 80.5, 80.4, 80.45, 2373
JSWENERGY,2016-08-16 09:51:00, 80.45, 80.6, 80.45, 80.6, 3548
JSWENERGY,2016-08-16 09:52:00, 80.6, 80.65, 80.55, 80.6, 2673
