Code,Date,Open,High,Low,Close,Volume
JSWSTEEL,2016-08-16 09:15:00, 1730.15, 1730.8, 1725.75, 1726, 1912
JSWSTEEL,2016-08-16 09:16:00, 1726, 1726, 1720.05, 1720.9, 4629
JSWSTEEL,2016-08-16 09:17:00, 1720.9, 1720.95, 1717.05, 1720.35, 3325
JSWSTEEL,2016-08-16 09:18:00, 1720.35, 1720.35, 1718.4, 1719.85, 6255
JSWSTEEL,2016-08-16 09:19:00, 1719.55, 1720.2, 1717.75, 1718.6, 1930
JSWSTEEL,2016-08-16 09:20:00, 1718.6, 1718.6, 1715.4, 1716.6, 8826
JSWSTEEL,2016-08-16 09:21:00, 1716.4, 1723.25, 1716.4, 1722.55, 2895
JSWSTEEL,2016-08-16 09:22:00, 1721.7, 1732, 1719.7, 1730.75, 6513
JSWSTEEL,2016-08-16 09:23:00, 1729.65, 1739.85, 1729.65, 1735.6, 9717
JSWSTEEL,2016-08-16 09:24:00, 1736.05, 1737.95, 1733.55, 1737.05, 4319
JSWSTEEL,2016-08-16 09:25:00, 1737.65, 1738.6, 1734.55, 1735.65, 3740
JSWSTEEL,2016-08-16 09:26:00, 1735.35, 1737.4, 1734.7, 1736.05, 2747
JSWSTEEL,2016-08-16 09:27:00, 1736.05, 1736.65, 1734, 1734.25, 3387
JSWSTEEL,2016-08-16 09:28:00, 1734.8, 1736.95, 1734, 1736.95, 2679
JSWSTEEL,2016-08-16 09:29:00, 1736.95, 1737, 1735, 1735.1, 1103
JSWSTEEL,2016-08-16 09:30:00, 1735.1, 1737, 1734.5, 1737, 2230
JSWSTEEL,2016-08-16 09:31:00, 1737, 1737.5, 1735.5, 1735.6, 3344
JSWSTEEL,2016-08-16 09:32:00, 1735.6, 1737.65, 1735.6, 1737.4, 1244
JSWSTEEL,2016-08-16 09:33:00, 1737.4, 1737.5, 1734, 1734.45, 1575
JSWSTEEL,2016-08-16 09:34:00, 1734.45, 1734.75, 1734, 1734.75, 887
JSWSTEEL,2016-08-16 09:35:00, 1734.75, 1734.75, 1733.1, 1733.6, 1291
JSWSTEEL,2016-08-16 09:36:00, 1733.6, 1734.75, 1733.6, 1734.75, 532
JSWSTEEL,2016-08-16 09:37:00, 1735, 1737.85, 1734.05, 1737.2, 1206
JSWSTEEL,2016-08-16 09:38:00, 1737.2, 1737.25, 1736.1, 1736.1, 817
JSWSTEEL,2016-08-16 09:40:00, 1737.25, 1738, 1735.75, 1736.4, 1440
JSWSTEEL,2016-08-16 09:39:00, 1736.1, 1737.85, 1736.05, 1737.85, 2090
JSWSTEEL,2016-08-16 09:41:00, 1736.4, 1737.5, 1736.35, 1737.15, 543
JSWSTEEL,2016-08-16 09:43:00, 1737, 1738, 1737, 1737.65, 889
JSWSTEEL,2016-08-16 09:42:00, 1737.15, 1737.4, 1736.1, 1737, 335
JSWSTEEL,2016-08-16 09:44:00, 1737.65, 1738, 1736.95, 1737.65, 734
JSWSTEEL,2016-08-16 09:45:00, 1737.65, 1740, 1737.6, 1739.7, 4013
JSWSTEEL,2016-08-16 09:46:00, 1740, 1742.7, 1739.65, 1741.3, 6663
JSWSTEEL,2016-08-16 09:47:00, 1741.85, 1743.75, 1741, 1743.3, 3414
JSWSTEEL,2016-08-16 09:48:00, 1743.15, 1743.3, 1742, 1742, 1986
JSWSTEEL,2016-08-16 09:49:00, 1742, 1742.95, 1741.05, 1741.85, 1327
JSWSTEEL,2016-08-16 09:50:00, 1741.85, 1742.8, 1741.55, 1741.9, 941
JSWSTEEL,2016-08-16 09:51:00, 1741, 1742.2, 1739, 1740.55, 2705
JSWSTEEL,2016-08-16 09:52:00, 1740.55, 1741.65, 1737.55, 1738.8, 748
JSWSTEEL,2016-08-16 09:53:00, 1738.8, 1738.8, 1736, 1736.75, 3110
JSWSTEEL,2016-08-16 09:54:00, 1737.7, 1740.6, 1737.3, 1737.4, 1361
JSWSTEEL,2016-08-16 09:55:00, 1737.4, 1739.8, 1737.4, 1738.5, 444
JSWSTEEL,2016-08-16 09:56:00, 1738.5, 1738.95, 1736.85, 1737.3, 1352
JSWSTEEL,2016-08-16 09:57:00, 1737.3, 1737.35, 1736.35, 1737.15, 995
JSWSTEEL,2016-08-16 09:58:00, 1737.15, 1738.2, 1736.8, 1737, 720
JSWSTEEL,2016-08-16 09:59:00, 1737, 1737.45, 1736.4, 1736.7, 1135
JSWSTEEL,2016-08-16 10:00:00, 1737.35, 1737.4, 1736, 1736.85, 806
JSWSTEEL,2016-08-16 10:01:00, 1737, 1737, 1736, 1736.5, 997
JSWSTEEL,2016-08-16 10:02:00, 1736.5, 1737.8, 1736.3, 1736.3, 1278
JSWSTEEL,2016-08-16 10:03:00, 1736.3, 1737.4, 1736.3, 1736.6, 586
JSWSTEEL,2016-08-16 10:04:00, 1736.6, 1737.75, 1736.6, 1737.35, 532
JSWSTEEL,2016-08-16 10:05:00, 1737.35, 1737.45, 1736, 1736, 1257
