Code,Date,Open,High,Low,Close,Volume
JUBLFOOD,2016-08-16 09:15:00, 1188.05, 1190, 1186.8, 1190, 1353
JUBLFOOD,2016-08-16 09:16:00, 1190.35, 1191.45, 1188.75, 1189.1, 1160
JUBLFOOD,2016-08-16 09:17:00, 1189.1, 1189.95, 1187.35, 1187.95, 1448
JUBLFOOD,2016-08-16 09:18:00, 1187.95, 1189, 1185.7, 1188.2, 1751
JUBLFOOD,2016-08-16 09:19:00, 1188.2, 1195.8, 1188.2, 1194.65, 4350
JUBLFOOD,2016-08-16 09:20:00, 1194.65, 1198.45, 1194.65, 1196.95, 4910
JUBLFOOD,2016-08-16 09:21:00, 1196.95, 1198.7, 1196.95, 1198, 2714
JUBLFOOD,2016-08-16 09:23:00, 1202.2, 1204.7, 1202, 1202.8, 9746
JUBLFOOD,2016-08-16 09:22:00, 1198, 1205, 1198, 1202.2, 6503
JUBLFOOD,2016-08-16 09:24:00, 1202.6, 1203.4, 1201.5, 1202.55, 3289
JUBLFOOD,2016-08-16 09:25:00, 1202.9, 1203, 1199.05, 1200.75, 6177
JUBLFOOD,2016-08-16 09:26:00, 1200.75, 1202.95, 1200.75, 1201, 3522
JUBLFOOD,2016-08-16 09:27:00, 1201, 1202.85, 1199.4, 1201.2, 4002
JUBLFOOD,2016-08-16 09:28:00, 1202, 1203.4, 1202, 1202.5, 2347
JUBLFOOD,2016-08-16 09:30:00, 1202.2, 1205, 1201.3, 1205, 2307
JUBLFOOD,2016-08-16 09:29:00, 1202.5, 1203.75, 1202.5, 1203.45, 2478
JUBLFOOD,2016-08-16 09:31:00, 1205, 1208, 1204.4, 1206.6, 7749
JUBLFOOD,2016-08-16 09:32:00, 1206.6, 1209.7, 1206.6, 1208.85, 1919
JUBLFOOD,2016-08-16 09:34:00, 1208, 1209.55, 1206.25, 1208.9, 5636
JUBLFOOD,2016-08-16 09:33:00, 1209.2, 1209.5, 1207.95, 1208.6, 4484
JUBLFOOD,2016-08-16 09:35:00, 1208.5, 1209.2, 1208.45, 1208.8, 2356
JUBLFOOD,2016-08-16 09:36:00, 1208.8, 1208.85, 1207.25, 1207.25, 1904
JUBLFOOD,2016-08-16 09:37:00, 1207.25, 1209, 1207.25, 1209, 1933
JUBLFOOD,2016-08-16 09:38:00, 1209, 1210, 1207.3, 1207.85, 6902
JUBLFOOD,2016-08-16 09:40:00, 1208.55, 1209.45, 1208.25, 1209.45, 2477
JUBLFOOD,2016-08-16 09:39:00, 1207.85, 1209.5, 1207.5, 1208.7, 3447
JUBLFOOD,2016-08-16 09:41:00, 1209.5, 1211, 1209.4, 1210.5, 10074
JUBLFOOD,2016-08-16 09:42:00, 1210.5, 1211.9, 1210, 1211.75, 3307
JUBLFOOD,2016-08-16 09:43:00, 1211.75, 1214.7, 1211.3, 1214.3, 7599
JUBLFOOD,2016-08-16 09:44:00, 1214.7, 1216.45, 1214.25, 1216.4, 7319
JUBLFOOD,2016-08-16 09:45:00, 1216.4, 1216.7, 1213.1, 1213.65, 5026
JUBLFOOD,2016-08-16 09:46:00, 1213.25, 1217.05, 1213.2, 1215.85, 13521
JUBLFOOD,2016-08-16 09:47:00, 1216, 1216.9, 1215.3, 1216.5, 2772
JUBLFOOD,2016-08-16 09:48:00, 1216.5, 1216.5, 1215, 1215.95, 1420
JUBLFOOD,2016-08-16 09:49:00, 1215.95, 1216, 1214.2, 1214.9, 1121
JUBLFOOD,2016-08-16 09:50:00, 1214.65, 1216, 1214.65, 1214.65, 2412
JUBLFOOD,2016-08-16 09:51:00, 1214.65, 1215, 1213.55, 1214.95, 2517
JUBLFOOD,2016-08-16 09:52:00, 1214.95, 1214.95, 1208.75, 1210, 3289
JUBLFOOD,2016-08-16 09:53:00, 1210, 1211, 1209.05, 1210.2, 3431
JUBLFOOD,2016-08-16 09:54:00, 1211, 1212.3, 1210.2, 1210.2, 1279
JUBLFOOD,2016-08-16 09:55:00, 1210.2, 1212.4, 1210, 1211.1, 2345
JUBLFOOD,2016-08-16 09:56:00, 1211.1, 1214.75, 1211.1, 1213.55, 2572
JUBLFOOD,2016-08-16 09:57:00, 1213.55, 1216, 1213.4, 1215.95, 2729
JUBLFOOD,2016-08-16 09:58:00, 1215.85, 1215.85, 1213.15, 1214, 346
JUBLFOOD,2016-08-16 10:00:00, 1212.4, 1214, 1212, 1214, 2260
JUBLFOOD,2016-08-16 09:59:00, 1214, 1214, 1212.4, 1212.4, 800
JUBLFOOD,2016-08-16 10:01:00, 1213.9, 1213.95, 1212, 1212, 1120
JUBLFOOD,2016-08-16 10:02:00, 1211.55, 1213.5, 1211.1, 1211.9, 2229
JUBLFOOD,2016-08-16 10:03:00, 1211.9, 1216.9, 1211.85, 1215.3, 10624
JUBLFOOD,2016-08-16 10:04:00, 1216.7, 1216.7, 1212, 1213, 4165
JUBLFOOD,2016-08-16 10:05:00, 1213, 1216.3, 1213, 1215.8, 1656
JUBLFOOD,2016-08-16 10:06:00, 1215.25, 1216.5, 1215, 1216.4, 2971
JUBLFOOD,2016-08-16 10:07:00, 1216.4, 1216.85, 1214.05, 1214.8, 1905
JUBLFOOD,2016-08-16 10:08:00, 1214.8, 1216, 1212.6, 1215.25, 1402
JUBLFOOD,2016-08-16 10:09:00, 1215.15, 1216.9, 1215.1, 1215.2, 1283
JUBLFOOD,2016-08-16 10:11:00, 1219.7, 1220, 1217.8, 1218, 7475
JUBLFOOD,2016-08-16 10:10:00, 1215.2, 1218.9, 1215.2, 1218.65, 4854
JUBLFOOD,2016-08-16 10:12:00, 1217.5, 1219.6, 1214.65, 1219.35, 7266
JUBLFOOD,2016-08-16 10:13:00, 1219.4, 1219.45, 1217, 1218.35, 3198
