Code,Date,Open,High,Low,Close,Volume
JUSTDIAL,2016-08-16 09:15:00, 476.35, 477.4, 470.1, 470.95, 37128
JUSTDIAL,2016-08-16 09:16:00, 470.9, 470.95, 466, 470.4, 34637
JUSTDIAL,2016-08-16 09:17:00, 470.95, 470.95, 468.9, 469.4, 18976
JUSTDIAL,2016-08-16 09:18:00, 469.25, 469.8, 468.15, 469.45, 12512
JUSTDIAL,2016-08-16 09:19:00, 469.45, 469.5, 467.05, 467.05, 12800
JUSTDIAL,2016-08-16 09:20:00, 467.05, 470.75, 467.05, 470.45, 16530
JUSTDIAL,2016-08-16 09:23:00, 472.65, 472.75, 472.05, 472.7, 8327
JUSTDIAL,2016-08-16 09:21:00, 470.75, 473.35, 470.75, 472, 21212
JUSTDIAL,2016-08-16 09:22:00, 471.6, 472.5, 471.1, 472.5, 11979
JUSTDIAL,2016-08-16 09:24:00, 472.7, 472.8, 472, 472.5, 5878
JUSTDIAL,2016-08-16 09:25:00, 472.85, 472.95, 471.75, 471.95, 5493
JUSTDIAL,2016-08-16 09:28:00, 469, 469.8, 468.8, 469.3, 9065
JUSTDIAL,2016-08-16 09:26:00, 471.95, 472, 468.1, 468.6, 11423
JUSTDIAL,2016-08-16 09:27:00, 468.95, 470, 468.7, 469, 10242
JUSTDIAL,2016-08-16 09:29:00, 469.45, 469.6, 468.45, 468.45, 9079
JUSTDIAL,2016-08-16 09:30:00, 468.45, 471.1, 468.1, 470, 18142
JUSTDIAL,2016-08-16 09:31:00, 470, 475.15, 470, 475.15, 16311
JUSTDIAL,2016-08-16 09:33:00, 476, 476.65, 472.8, 473.65, 17210
JUSTDIAL,2016-08-16 09:32:00, 475.35, 479.5, 475.35, 476.05, 51351
JUSTDIAL,2016-08-16 09:34:00, 473.55, 475.5, 472.65, 475.05, 28023
JUSTDIAL,2016-08-16 09:35:00, 475, 475.5, 473.5, 474.75, 11661
JUSTDIAL,2016-08-16 09:36:00, 474.75, 475, 472.9, 473.6, 10231
JUSTDIAL,2016-08-16 09:37:00, 473.6, 475, 473.3, 475, 9918
JUSTDIAL,2016-08-16 09:38:00, 474.95, 477, 474.95, 476.45, 8518
JUSTDIAL,2016-08-16 09:39:00, 476.45, 477.3, 475.85, 476.25, 17342
JUSTDIAL,2016-08-16 09:40:00, 476.35, 478.5, 475.95, 478.5, 12672
JUSTDIAL,2016-08-16 09:41:00, 478.95, 478.95, 476.05, 477.75, 10935
JUSTDIAL,2016-08-16 09:42:00, 477.95, 478.4, 476.9, 477.15, 8653
JUSTDIAL,2016-08-16 09:43:00, 477.1, 477.95, 476.85, 477.5, 5946
JUSTDIAL,2016-08-16 09:44:00, 477.05, 477.6, 476.6, 477, 6582
JUSTDIAL,2016-08-16 09:45:00, 477, 477.3, 476.55, 476.55, 3391
JUSTDIAL,2016-08-16 09:46:00, 476.55, 477.15, 476.55, 477.05, 4876
JUSTDIAL,2016-08-16 09:47:00, 477.15, 477.35, 476.55, 477, 4100
JUSTDIAL,2016-08-16 09:48:00, 477.05, 477.5, 476.6, 477.3, 3753
JUSTDIAL,2016-08-16 09:49:00, 477.3, 477.5, 476.7, 476.7, 3150
JUSTDIAL,2016-08-16 09:50:00, 476.7, 477.5, 476.6, 476.9, 5716
JUSTDIAL,2016-08-16 09:51:00, 476.95, 477.35, 476.4, 476.95, 7492
JUSTDIAL,2016-08-16 09:52:00, 476.95, 477, 476.55, 476.7, 2119
JUSTDIAL,2016-08-16 09:53:00, 476.55, 476.95, 476.4, 476.5, 3421
JUSTDIAL,2016-08-16 09:54:00, 476.5, 476.9, 476.35, 476.85, 2445
JUSTDIAL,2016-08-16 09:55:00, 476.75, 476.9, 476.4, 476.5, 1575
JUSTDIAL,2016-08-16 09:56:00, 476.8, 476.8, 476, 476.35, 7876
JUSTDIAL,2016-08-16 09:57:00, 476.35, 476.35, 476, 476, 4226
JUSTDIAL,2016-08-16 09:58:00, 476, 476, 472.55, 472.85, 20373
JUSTDIAL,2016-08-16 09:59:00, 472.55, 473.1, 471.8, 471.85, 15086
JUSTDIAL,2016-08-16 10:00:00, 471.85, 473.9, 471.8, 473.5, 6397
JUSTDIAL,2016-08-16 10:01:00, 473.5, 476, 473.35, 474.3, 10674
JUSTDIAL,2016-08-16 10:02:00, 474.4, 475.65, 473.45, 473.6, 5215
JUSTDIAL,2016-08-16 10:03:00, 473.9, 474.65, 473.55, 474.35, 4817
JUSTDIAL,2016-08-16 10:04:00, 474.5, 475, 474, 474, 5590
JUSTDIAL,2016-08-16 10:05:00, 474, 475, 474, 474.8, 2021
JUSTDIAL,2016-08-16 10:06:00, 474.8, 475, 474.4, 474.4, 940
JUSTDIAL,2016-08-16 10:07:00, 474.4, 474.85, 473.6, 474.8, 3901
JUSTDIAL,2016-08-16 10:08:00, 474.8, 474.8, 473.05, 473.2, 6532
JUSTDIAL,2016-08-16 10:09:00, 473.2, 473.95, 473.2, 473.9, 3122
JUSTDIAL,2016-08-16 10:10:00, 473.9, 474.3, 472.85, 474.3, 7658
JUSTDIAL,2016-08-16 10:11:00, 474, 474.15, 473.05, 473.85, 2846
JUSTDIAL,2016-08-16 10:12:00, 473.8, 474.9, 473.8, 474.75, 6060
JUSTDIAL,2016-08-16 10:13:00, 474.75, 475, 474.5, 475, 5193
JUSTDIAL,2016-08-16 10:14:00, 475, 476.1, 474.95, 475.9, 6255
JUSTDIAL,2016-08-16 10:15:00, 475.9, 476.1, 475, 475.9, 2643
JUSTDIAL,2016-08-16 10:16:00, 475.9, 476, 475.5, 475.7, 3407
JUSTDIAL,2016-08-16 10:17:00, 475.95, 476.25, 475.55, 475.95, 5813
JUSTDIAL,2016-08-16 10:18:00, 476.25, 478.5, 475.8, 478.45, 23668
JUSTDIAL,2016-08-16 10:19:00, 478.5, 488.95, 478.4, 488.45, 106318
JUSTDIAL,2016-08-16 10:20:00, 488.95, 488.95, 483.4, 483.4, 52930
JUSTDIAL,2016-08-16 10:21:00, 482.9, 488.05, 482.45, 488, 42871
JUSTDIAL,2016-08-16 10:22:00, 488.15, 491.95, 488.15, 490.65, 114100
JUSTDIAL,2016-08-16 10:23:00, 490.5, 491.8, 489.25, 489.95, 47224
JUSTDIAL,2016-08-16 10:24:00, 489.4, 491, 489.4, 490.55, 36898
JUSTDIAL,2016-08-16 10:25:00, 490.1, 494, 489.5, 493, 56341
JUSTDIAL,2016-08-16 10:26:00, 493.45, 494, 491.2, 491.2, 34823
JUSTDIAL,2016-08-16 10:27:00, 491.15, 491.8, 491, 491.65, 12375
JUSTDIAL,2016-08-16 10:28:00, 491.4, 491.7, 489.8, 490, 24923
JUSTDIAL,2016-08-16 10:29:00, 490, 490.35, 489.15, 490, 27770
JUSTDIAL,2016-08-16 10:30:00, 490, 492.8, 490, 491.6, 23427
JUSTDIAL,2016-08-16 10:31:00, 491.3, 491.65, 489.8, 490.05, 11290
JUSTDIAL,2016-08-16 10:32:00, 490.15, 490.95, 489.95, 490.05, 12627
JUSTDIAL,2016-08-16 10:33:00, 490, 490.5, 489.65, 490, 19403
JUSTDIAL,2016-08-16 10:34:00, 490.15, 493.5, 489.9, 493.5, 21208
JUSTDIAL,2016-08-16 10:35:00, 493.45, 495.55, 492.7, 492.95, 46732
JUSTDIAL,2016-08-16 10:36:00, 492.95, 493.95, 492.25, 492.5, 22313
JUSTDIAL,2016-08-16 10:37:00, 492.95, 495.4, 492.35, 494.7, 29003
JUSTDIAL,2016-08-16 10:38:00, 494.7, 496.45, 493.85, 496.3, 34766
JUSTDIAL,2016-08-16 10:39:00, 496.25, 499.4, 496.05, 498.5, 99545
JUSTDIAL,2016-08-16 10:40:00, 499.3, 501.5, 499.3, 500.1, 100959
JUSTDIAL,2016-08-16 10:41:00, 499.5, 503, 499.5, 501.9, 72466
JUSTDIAL,2016-08-16 10:42:00, 501.85, 501.85, 499.05, 499.05, 51409
JUSTDIAL,2016-08-16 10:43:00, 499.1, 500, 497.25, 499.75, 43269
JUSTDIAL,2016-08-16 10:44:00, 500, 500.7, 499.3, 499.55, 18000
JUSTDIAL,2016-08-16 10:45:00, 499.55, 499.6, 497.3, 498.5, 32463
JUSTDIAL,2016-08-16 10:46:00, 498.5, 500, 498.45, 499.2, 23093
JUSTDIAL,2016-08-16 10:47:00, 499.6, 499.6, 497.5, 498.45, 11205
JUSTDIAL,2016-08-16 10:48:00, 498.55, 500.95, 498.5, 500.95, 19368
JUSTDIAL,2016-08-16 10:49:00, 501, 502.2, 499.5, 499.5, 36263
JUSTDIAL,2016-08-16 10:50:00, 499.3, 501.5, 499.3, 500.5, 22988
JUSTDIAL,2016-08-16 10:51:00, 500.7, 501.15, 500, 500.35, 10770
JUSTDIAL,2016-08-16 10:52:00, 500.3, 500.95, 498.5, 498.5, 12466
JUSTDIAL,2016-08-16 10:53:00, 499, 499.55, 498.45, 498.45, 10254
JUSTDIAL,2016-08-16 10:54:00, 498.45, 498.85, 497.4, 498, 21341
JUSTDIAL,2016-08-16 10:55:00, 498, 498.45, 497.45, 497.8, 8010
JUSTDIAL,2016-08-16 10:56:00, 497.8, 498.45, 497.5, 497.6, 10422
JUSTDIAL,2016-08-16 10:57:00, 498.05, 498.2, 493.7, 494.75, 68319
JUSTDIAL,2016-08-16 10:58:00, 494.95, 496.7, 494.1, 494.75, 32243
JUSTDIAL,2016-08-16 10:59:00, 494.25, 495.3, 494, 495, 14381
JUSTDIAL,2016-08-16 11:00:00, 495, 497, 494, 495.35, 28420
JUSTDIAL,2016-08-16 11:01:00, 495.35, 496.15, 494.5, 495.65, 11799
JUSTDIAL,2016-08-16 11:02:00, 495.1, 495.5, 494.25, 494.45, 7064
JUSTDIAL,2016-08-16 11:03:00, 494.7, 495.95, 494, 495.4, 10631
JUSTDIAL,2016-08-16 11:04:00, 495.5, 495.75, 495.05, 495.1, 7562
JUSTDIAL,2016-08-16 11:05:00, 495.1, 495.5, 494.25, 494.4, 7458
JUSTDIAL,2016-08-16 11:06:00, 494.4, 495.3, 494.4, 495.3, 10626
JUSTDIAL,2016-08-16 11:07:00, 495.45, 496.55, 495, 496.2, 15025
JUSTDIAL,2016-08-16 11:08:00, 496.55, 499.3, 496.55, 499, 32615
JUSTDIAL,2016-08-16 11:09:00, 499, 499.5, 498, 498.65, 14245
JUSTDIAL,2016-08-16 11:10:00, 498.95, 500, 498.9, 499.9, 19930
JUSTDIAL,2016-08-16 11:11:00, 499.9, 499.9, 497.85, 498.95, 9117
JUSTDIAL,2016-08-16 11:12:00, 498.75, 499.75, 498.55, 498.55, 7681
JUSTDIAL,2016-08-16 11:13:00, 498.55, 498.8, 497.8, 497.8, 4520
JUSTDIAL,2016-08-16 11:14:00, 497.55, 498.35, 497.05, 498, 6267
JUSTDIAL,2016-08-16 11:15:00, 498, 498.5, 497, 497.05, 8719
JUSTDIAL,2016-08-16 11:16:00, 497.25, 498.35, 496.65, 496.65, 4924
JUSTDIAL,2016-08-16 11:17:00, 496.95, 497.6, 496, 497.6, 12299
JUSTDIAL,2016-08-16 11:18:00, 497.6, 498.45, 497.6, 497.9, 4896
JUSTDIAL,2016-08-16 11:19:00, 497.65, 498.2, 496.7, 497.75, 5360
JUSTDIAL,2016-08-16 11:20:00, 497.55, 497.95, 497.1, 497.2, 4238
JUSTDIAL,2016-08-16 11:21:00, 497.7, 498.45, 497.55, 497.7, 7477
JUSTDIAL,2016-08-16 11:22:00, 497.9, 498, 497.2, 497.65, 4609
JUSTDIAL,2016-08-16 11:23:00, 497.65, 498.4, 497.65, 497.9, 8256
JUSTDIAL,2016-08-16 11:24:00, 497.95, 497.95, 497, 497.5, 6978
JUSTDIAL,2016-08-16 11:25:00, 497.5, 497.9, 497.05, 497.05, 3300
JUSTDIAL,2016-08-16 11:26:00, 497.4, 497.45, 497.05, 497.1, 1564
JUSTDIAL,2016-08-16 11:27:00, 497.15, 497.15, 495.6, 496.3, 13395
JUSTDIAL,2016-08-16 11:28:00, 496.3, 496.6, 495.55, 495.55, 7390
JUSTDIAL,2016-08-16 11:29:00, 495.55, 496.35, 495.55, 496.15, 7856
JUSTDIAL,2016-08-16 11:30:00, 496.15, 497.45, 496.1, 497.45, 6175
JUSTDIAL,2016-08-16 11:31:00, 497.45, 497.45, 495.85, 496.85, 6614
JUSTDIAL,2016-08-16 11:32:00, 496.85, 496.9, 495.8, 496.9, 8804
JUSTDIAL,2016-08-16 11:33:00, 496.9, 497, 496.4, 496.95, 6324
JUSTDIAL,2016-08-16 11:34:00, 496.85, 497.2, 496.7, 496.75, 1780
JUSTDIAL,2016-08-16 11:35:00, 496.75, 496.75, 496.2, 496.6, 2809
JUSTDIAL,2016-08-16 11:36:00, 496.6, 496.75, 496.25, 496.3, 3724
JUSTDIAL,2016-08-16 11:37:00, 496.25, 496.3, 496.05, 496.25, 6637
JUSTDIAL,2016-08-16 11:38:00, 496.25, 496.5, 495.75, 495.85, 8457
JUSTDIAL,2016-08-16 11:39:00, 495.85, 496.2, 494, 494.15, 29511
JUSTDIAL,2016-08-16 11:40:00, 494.1, 496, 494.1, 495.35, 15563
JUSTDIAL,2016-08-16 11:41:00, 495.35, 495.35, 493.75, 493.8, 15857
JUSTDIAL,2016-08-16 11:42:00, 493.7, 494.1, 491.1, 493, 38299
JUSTDIAL,2016-08-16 11:43:00, 492.8, 493, 491.1, 492.25, 17135
JUSTDIAL,2016-08-16 11:44:00, 492.35, 494, 492.25, 493.95, 11265
JUSTDIAL,2016-08-16 11:45:00, 494, 494, 493, 493.65, 7470
JUSTDIAL,2016-08-16 11:46:00, 493.9, 494.65, 493.6, 494, 10649
JUSTDIAL,2016-08-16 11:47:00, 494, 494.5, 493.7, 494.25, 8373
JUSTDIAL,2016-08-16 11:48:00, 494.25, 495.6, 494.2, 494.8, 22450
JUSTDIAL,2016-08-16 11:49:00, 495.15, 495.95, 494.8, 495.15, 10325
JUSTDIAL,2016-08-16 11:50:00, 495.25, 495.5, 494.1, 494.75, 7443
JUSTDIAL,2016-08-16 11:51:00, 495.15, 495.15, 494.05, 494.95, 7416
JUSTDIAL,2016-08-16 11:52:00, 494.95, 494.95, 494, 494.2, 7292
JUSTDIAL,2016-08-16 11:53:00, 494.2, 494.25, 493.55, 493.8, 7933
JUSTDIAL,2016-08-16 11:54:00, 493.8, 494.8, 493.7, 493.7, 6099
JUSTDIAL,2016-08-16 11:55:00, 493.7, 493.9, 492.05, 492.35, 19666
JUSTDIAL,2016-08-16 11:56:00, 492.35, 494.15, 492.35, 494, 7609
JUSTDIAL,2016-08-16 11:57:00, 494, 495.55, 493.85, 494.25, 16368
JUSTDIAL,2016-08-16 11:58:00, 494.85, 495.7, 494.1, 494.1, 10769
JUSTDIAL,2016-08-16 11:59:00, 494.1, 494.4, 493, 493.2, 12096
JUSTDIAL,2016-08-16 12:00:00, 493.3, 493.3, 491.05, 492, 20409
JUSTDIAL,2016-08-16 12:01:00, 492, 493.9, 491.8, 492.5, 11977
JUSTDIAL,2016-08-16 12:02:00, 492.5, 494.5, 492.5, 493.8, 13170
JUSTDIAL,2016-08-16 12:03:00, 493.8, 494.6, 493.3, 493.7, 12852
JUSTDIAL,2016-08-16 12:04:00, 493.65, 493.65, 492.15, 493.2, 12035
JUSTDIAL,2016-08-16 12:05:00, 493.45, 494.2, 493.4, 493.65, 5753
JUSTDIAL,2016-08-16 12:06:00, 493.65, 493.8, 492.6, 493.65, 4123
JUSTDIAL,2016-08-16 12:07:00, 493.65, 493.65, 492.55, 493.05, 4201
JUSTDIAL,2016-08-16 12:08:00, 493.55, 494, 493, 493.7, 2249
JUSTDIAL,2016-08-16 12:09:00, 493.7, 494.05, 493.6, 493.95, 3709
JUSTDIAL,2016-08-16 12:10:00, 493.95, 494.2, 493.1, 494, 5992
JUSTDIAL,2016-08-16 12:11:00, 494, 494.7, 493.45, 494.7, 6457
JUSTDIAL,2016-08-16 12:12:00, 494.7, 494.7, 493.1, 493.2, 8794
JUSTDIAL,2016-08-16 12:13:00, 493.2, 494, 492.55, 493.5, 6434
JUSTDIAL,2016-08-16 12:14:00, 493.5, 494, 493.1, 493.2, 1447
JUSTDIAL,2016-08-16 12:15:00, 493.2, 493.4, 493, 493, 1833
JUSTDIAL,2016-08-16 12:16:00, 493, 493.5, 492.9, 493.5, 2771
JUSTDIAL,2016-08-16 12:17:00, 493.5, 493.95, 493.15, 493.9, 2512
JUSTDIAL,2016-08-16 12:18:00, 493.9, 493.9, 492.9, 493.3, 5864
JUSTDIAL,2016-08-16 12:19:00, 493.3, 493.3, 493.1, 493.25, 1388
JUSTDIAL,2016-08-16 12:20:00, 493.25, 493.4, 493.05, 493.05, 1512
JUSTDIAL,2016-08-16 12:21:00, 493.05, 493.75, 493.05, 493.65, 1817
JUSTDIAL,2016-08-16 12:22:00, 493.65, 493.65, 493.05, 493.05, 1255
JUSTDIAL,2016-08-16 12:23:00, 493.05, 493.7, 493.05, 493.55, 1182
JUSTDIAL,2016-08-16 12:24:00, 493.55, 493.8, 493.25, 493.55, 505
JUSTDIAL,2016-08-16 12:25:00, 493.55, 493.9, 493.55, 493.6, 2207
JUSTDIAL,2016-08-16 12:26:00, 493.6, 494, 493.55, 494, 2729
JUSTDIAL,2016-08-16 12:27:00, 493.8, 494.5, 493.7, 494, 4784
JUSTDIAL,2016-08-16 12:28:00, 494, 494, 493.4, 493.5, 1398
JUSTDIAL,2016-08-16 12:29:00, 493.25, 493.6, 493.25, 493.35, 1512
JUSTDIAL,2016-08-16 12:30:00, 493.4, 493.4, 493.05, 493.1, 3362
JUSTDIAL,2016-08-16 12:31:00, 493.1, 493.6, 493.1, 493.1, 3042
JUSTDIAL,2016-08-16 12:32:00, 493.35, 493.6, 493.3, 493.35, 820
JUSTDIAL,2016-08-16 12:33:00, 493.6, 494, 493.35, 493.55, 2667
JUSTDIAL,2016-08-16 12:34:00, 493.55, 493.6, 493.3, 493.6, 1387
JUSTDIAL,2016-08-16 12:35:00, 493.6, 493.85, 493.35, 493.4, 4930
JUSTDIAL,2016-08-16 12:36:00, 493.4, 494, 493.35, 493.95, 3060
JUSTDIAL,2016-08-16 12:37:00, 493.95, 494.35, 493.55, 494, 2570
JUSTDIAL,2016-08-16 12:38:00, 493.55, 494.35, 493.55, 493.55, 1935
JUSTDIAL,2016-08-16 12:39:00, 493.95, 493.95, 493.6, 493.65, 572
JUSTDIAL,2016-08-16 12:40:00, 493.65, 494, 493.5, 493.6, 2344
JUSTDIAL,2016-08-16 12:41:00, 493.6, 493.9, 493.45, 493.85, 2205
JUSTDIAL,2016-08-16 12:42:00, 493.95, 493.95, 493.1, 493.25, 3560
JUSTDIAL,2016-08-16 12:43:00, 493.25, 493.3, 493, 493.1, 4423
JUSTDIAL,2016-08-16 12:44:00, 493.1, 493.25, 491.8, 491.8, 12420
JUSTDIAL,2016-08-16 12:45:00, 491.8, 491.9, 489.75, 490.6, 43296
JUSTDIAL,2016-08-16 12:46:00, 490.45, 492, 490.05, 491.2, 16637
JUSTDIAL,2016-08-16 12:47:00, 490.8, 492.45, 490.8, 491.55, 9948
JUSTDIAL,2016-08-16 12:48:00, 491.55, 492, 491, 491, 7657
JUSTDIAL,2016-08-16 12:49:00, 491, 491.75, 490.9, 491.15, 7012
JUSTDIAL,2016-08-16 12:50:00, 491.15, 491.4, 490.7, 490.9, 3807
JUSTDIAL,2016-08-16 12:51:00, 490.7, 490.8, 489, 489.8, 14008
JUSTDIAL,2016-08-16 12:52:00, 489.8, 490, 488.1, 488.6, 18173
JUSTDIAL,2016-08-16 12:53:00, 488.4, 488.4, 482.7, 483.15, 75162
JUSTDIAL,2016-08-16 12:54:00, 483.4, 487.7, 483.15, 487.65, 31300
JUSTDIAL,2016-08-16 12:55:00, 487.15, 487.45, 486.05, 486.35, 19117
JUSTDIAL,2016-08-16 12:56:00, 486.65, 487, 486, 486.65, 10547
JUSTDIAL,2016-08-16 12:57:00, 486.65, 486.95, 486.3, 486.55, 9308
JUSTDIAL,2016-08-16 12:58:00, 486.55, 487, 486.45, 486.8, 13503
JUSTDIAL,2016-08-16 12:59:00, 487.05, 487.7, 486.45, 487.5, 10904
JUSTDIAL,2016-08-16 13:00:00, 487.6, 487.9, 487.25, 487.7, 4039
JUSTDIAL,2016-08-16 13:01:00, 487.9, 488.8, 487.45, 488.6, 8967
JUSTDIAL,2016-08-16 13:02:00, 488.8, 488.8, 487.5, 487.9, 10574
JUSTDIAL,2016-08-16 13:03:00, 487.9, 488.45, 487.6, 487.8, 3503
JUSTDIAL,2016-08-16 13:04:00, 487.8, 488, 487.2, 487.2, 3328
JUSTDIAL,2016-08-16 13:05:00, 487.5, 487.65, 487.15, 487.6, 2647
JUSTDIAL,2016-08-16 13:06:00, 487.65, 488.25, 487.65, 488.2, 4636
JUSTDIAL,2016-08-16 13:07:00, 488.2, 488.6, 487.85, 488.1, 2348
JUSTDIAL,2016-08-16 13:08:00, 488.1, 488.2, 487.85, 488.2, 1851
JUSTDIAL,2016-08-16 13:09:00, 488.2, 488.8, 488.15, 488.65, 7555
JUSTDIAL,2016-08-16 13:10:00, 488.65, 488.65, 487.3, 487.3, 6493
JUSTDIAL,2016-08-16 13:11:00, 487.3, 487.95, 487.15, 487.3, 5183
JUSTDIAL,2016-08-16 13:12:00, 487.05, 487.25, 486.15, 486.4, 7497
JUSTDIAL,2016-08-16 13:13:00, 486.4, 486.6, 486, 486.2, 7040
JUSTDIAL,2016-08-16 13:14:00, 486.2, 486.75, 486.1, 486.15, 6244
JUSTDIAL,2016-08-16 13:15:00, 486.1, 486.1, 484.05, 484.8, 17659
JUSTDIAL,2016-08-16 13:16:00, 484.8, 485.75, 484.3, 484.75, 6939
JUSTDIAL,2016-08-16 13:17:00, 484.55, 486.2, 484.4, 486.2, 5466
JUSTDIAL,2016-08-16 13:18:00, 486.25, 486.5, 485.75, 486.5, 8660
JUSTDIAL,2016-08-16 13:19:00, 486.35, 486.9, 486.35, 486.85, 2762
JUSTDIAL,2016-08-16 13:20:00, 486.7, 487.4, 486.7, 487.25, 6588
JUSTDIAL,2016-08-16 13:21:00, 487.25, 487.75, 487.15, 487.25, 4343
JUSTDIAL,2016-08-16 13:22:00, 487.25, 487.25, 486.85, 486.85, 2573
JUSTDIAL,2016-08-16 13:23:00, 487.2, 487.2, 486.8, 487.15, 1618
JUSTDIAL,2016-08-16 13:24:00, 487.2, 487.2, 486.6, 486.95, 1915
JUSTDIAL,2016-08-16 13:25:00, 486.95, 486.95, 486.5, 486.5, 1958
JUSTDIAL,2016-08-16 13:26:00, 486.5, 486.6, 484.85, 484.85, 6769
JUSTDIAL,2016-08-16 13:27:00, 484.9, 485.8, 484.65, 485.65, 8721
JUSTDIAL,2016-08-16 13:28:00, 485.65, 485.8, 484.85, 484.9, 6722
JUSTDIAL,2016-08-16 13:29:00, 485.2, 485.45, 484.5, 485.15, 7134
JUSTDIAL,2016-08-16 13:30:00, 485.15, 485.35, 483.8, 483.8, 19850
JUSTDIAL,2016-08-16 13:31:00, 483.25, 485, 483.05, 485, 10589
JUSTDIAL,2016-08-16 13:32:00, 485, 485.35, 483.55, 483.8, 4039
JUSTDIAL,2016-08-16 13:33:00, 483.8, 484.55, 482.75, 483.8, 9340
JUSTDIAL,2016-08-16 13:34:00, 483.8, 483.8, 482.25, 482.9, 11081
JUSTDIAL,2016-08-16 13:35:00, 482.9, 482.9, 480.35, 480.75, 43013
JUSTDIAL,2016-08-16 13:36:00, 480.85, 480.85, 476.4, 476.4, 59170
JUSTDIAL,2016-08-16 13:37:00, 476.65, 479.3, 476.5, 479.3, 36205
JUSTDIAL,2016-08-16 13:38:00, 479.3, 480.7, 479.3, 480.45, 15754
JUSTDIAL,2016-08-16 13:39:00, 480.5, 480.75, 479.45, 479.8, 18430
JUSTDIAL,2016-08-16 13:40:00, 479.8, 480.35, 478.05, 478.35, 13662
JUSTDIAL,2016-08-16 13:41:00, 478, 478.4, 477, 478.2, 20350
JUSTDIAL,2016-08-16 13:42:00, 478.2, 479.4, 477.65, 479, 12955
JUSTDIAL,2016-08-16 13:43:00, 479.3, 480, 478.95, 478.95, 8553
JUSTDIAL,2016-08-16 13:44:00, 478.9, 480.5, 478.9, 479.3, 13705
JUSTDIAL,2016-08-16 13:45:00, 479.3, 480.4, 479, 480.15, 16550
JUSTDIAL,2016-08-16 13:46:00, 480.15, 481.95, 479.6, 480.8, 23070
JUSTDIAL,2016-08-16 13:47:00, 481.25, 483.8, 480.55, 483.45, 15597
JUSTDIAL,2016-08-16 13:48:00, 483.4, 486, 483.4, 485.45, 39393
JUSTDIAL,2016-08-16 13:49:00, 484.95, 485.6, 483.15, 483.45, 14307
JUSTDIAL,2016-08-16 13:50:00, 483.55, 483.65, 482.6, 482.6, 14441
