Code,Date,Open,High,Low,Close,Volume
KSCL,2016-08-16 09:15:00, 381.5, 381.65, 380, 381.65, 669
KSCL,2016-08-16 09:16:00, 381.65, 381.65, 377.65, 381, 4241
KSCL,2016-08-16 09:17:00, 381.35, 382, 380.45, 381, 2937
KSCL,2016-08-16 09:18:00, 381, 381.5, 380.1, 381.05, 2680
KSCL,2016-08-16 09:20:00, 380.45, 380.85, 379.9, 380, 1323
KSCL,2016-08-16 09:19:00, 381.05, 381.15, 379.6, 380.4, 3549
KSCL,2016-08-16 09:21:00, 380.05, 380.8, 380, 380.75, 3363
KSCL,2016-08-16 09:23:00, 379.8, 380.8, 379.8, 380.4, 673
KSCL,2016-08-16 09:22:00, 380.3, 381.35, 379.25, 379.25, 3432
KSCL,2016-08-16 09:24:00, 380.15, 380.15, 379.4, 380.05, 3711
KSCL,2016-08-16 09:25:00, 380.05, 380.05, 379.4, 379.4, 1114
KSCL,2016-08-16 09:26:00, 379.4, 380, 379.4, 379.9, 587
KSCL,2016-08-16 09:27:00, 379.95, 380.85, 379.95, 380.7, 2640
KSCL,2016-08-16 09:28:00, 380.5, 380.5, 380, 380.35, 377
KSCL,2016-08-16 09:29:00, 380.35, 380.35, 380.05, 380.35, 125
KSCL,2016-08-16 09:31:00, 380.05, 380.55, 380.05, 380.55, 180
KSCL,2016-08-16 09:30:00, 380.35, 380.35, 380.05, 380.05, 47
KSCL,2016-08-16 09:32:00, 380.55, 380.55, 380.15, 380.15, 335
KSCL,2016-08-16 09:33:00, 380, 380, 379.4, 379.4, 1070
KSCL,2016-08-16 09:34:00, 379.4, 379.4, 379.3, 379.3, 100
KSCL,2016-08-16 09:35:00, 379.65, 379.65, 379.45, 379.6, 301
KSCL,2016-08-16 09:36:00, 379.45, 379.65, 379.4, 379.45, 477
KSCL,2016-08-16 09:37:00, 379.45, 379.45, 379.4, 379.45, 50
KSCL,2016-08-16 09:38:00, 379.45, 379.45, 379.25, 379.25, 171
KSCL,2016-08-16 09:39:00, 379.25, 379.25, 379.1, 379.2, 152
KSCL,2016-08-16 09:40:00, 379.35, 379.55, 379, 379.55, 1359
KSCL,2016-08-16 09:41:00, 379.55, 379.55, 379, 379, 75
KSCL,2016-08-16 09:42:00, 379, 379.05, 378.95, 379, 524
KSCL,2016-08-16 09:43:00, 379, 379, 378.3, 378.3, 420
KSCL,2016-08-16 09:44:00, 378.3, 378.4, 377.8, 378.15, 575
KSCL,2016-08-16 09:45:00, 378.15, 379.4, 377.55, 379.15, 3180
KSCL,2016-08-16 09:46:00, 379.15, 379.3, 379.1, 379.1, 310
KSCL,2016-08-16 09:47:00, 379.1, 379.2, 379.1, 379.2, 176
KSCL,2016-08-16 09:48:00, 379.2, 379.2, 378.7, 378.7, 250
KSCL,2016-08-16 09:49:00, 378.7, 378.9, 378.35, 378.7, 808
KSCL,2016-08-16 09:50:00, 379, 379, 378.55, 378.55, 730
KSCL,2016-08-16 09:51:00, 378.55, 378.8, 378.55, 378.7, 11
KSCL,2016-08-16 09:52:00, 378.8, 378.8, 378.65, 378.8, 881
KSCL,2016-08-16 09:53:00, 378.8, 378.8, 378.4, 378.4, 260
KSCL,2016-08-16 09:54:00, 378.4, 378.85, 378.4, 378.75, 289
KSCL,2016-08-16 09:55:00, 378.85, 378.85, 378.75, 378.75, 106
KSCL,2016-08-16 09:56:00, 378.75, 378.75, 378.45, 378.45, 194
KSCL,2016-08-16 09:57:00, 378.45, 378.7, 378.45, 378.7, 10
KSCL,2016-08-16 09:58:00, 378.7, 379.4, 378.4, 378.7, 2484
KSCL,2016-08-16 09:59:00, 378.7, 379, 378.6, 378.7, 612
KSCL,2016-08-16 10:00:00, 378.7, 379.2, 378.65, 379.2, 1660
KSCL,2016-08-16 10:01:00, 379.1, 379.35, 379.1, 379.25, 183
KSCL,2016-08-16 10:02:00, 379.25, 379.7, 379.25, 379.7, 1597
KSCL,2016-08-16 10:03:00, 379.7, 380.05, 379.7, 379.85, 822
KSCL,2016-08-16 10:04:00, 379.85, 380.05, 379.85, 379.9, 26
KSCL,2016-08-16 10:05:00, 379.9, 380.85, 379.9, 380.85, 1153
KSCL,2016-08-16 10:06:00, 380.85, 380.9, 380.35, 380.9, 475
KSCL,2016-08-16 10:07:00, 380.55, 381.2, 380.55, 381.2, 2740
