Code,Date,Open,High,Low,Close,Volume
L&TFH,2016-08-16 09:15:00, 90.45, 90.55, 90.3, 90.35, 57644
L&TFH,2016-08-16 09:16:00, 90.3, 90.8, 90.3, 90.8, 63274
L&TFH,2016-08-16 09:17:00, 90.75, 90.8, 90.55, 90.55, 42015
L&TFH,2016-08-16 09:18:00, 90.55, 90.6, 90.45, 90.5, 35731
L&TFH,2016-08-16 09:19:00, 90.5, 90.5, 90.35, 90.35, 17311
L&TFH,2016-08-16 09:20:00, 90.35, 90.7, 90.25, 90.7, 65355
L&TFH,2016-08-16 09:21:00, 90.95, 91.05, 90.7, 90.75, 70941
L&TFH,2016-08-16 09:22:00, 90.8, 90.9, 90.6, 90.9, 17538
L&TFH,2016-08-16 09:23:00, 90.9, 90.9, 90.6, 90.8, 25093
L&TFH,2016-08-16 09:24:00, 90.85, 90.85, 90.65, 90.8, 17884
L&TFH,2016-08-16 09:25:00, 90.8, 90.8, 90.65, 90.65, 22458
L&TFH,2016-08-16 09:26:00, 90.65, 90.8, 90.6, 90.8, 29694
L&TFH,2016-08-16 09:27:00, 90.8, 90.85, 90.7, 90.8, 25977
L&TFH,2016-08-16 09:28:00, 90.85, 90.9, 90.75, 90.75, 11768
L&TFH,2016-08-16 09:29:00, 90.85, 91, 90.8, 90.85, 36481
L&TFH,2016-08-16 09:30:00, 90.85, 90.95, 90.8, 90.8, 19330
L&TFH,2016-08-16 09:31:00, 90.8, 90.9, 90.7, 90.75, 18408
L&TFH,2016-08-16 09:32:00, 90.75, 90.8, 90.7, 90.75, 9104
L&TFH,2016-08-16 09:33:00, 90.75, 90.85, 90.65, 90.65, 15741
L&TFH,2016-08-16 09:34:00, 90.65, 90.75, 90.65, 90.75, 13476
L&TFH,2016-08-16 09:35:00, 90.75, 90.75, 90.6, 90.6, 15468
L&TFH,2016-08-16 09:36:00, 90.6, 90.7, 90.5, 90.55, 10661
L&TFH,2016-08-16 09:37:00, 90.5, 90.6, 90.5, 90.6, 7987
L&TFH,2016-08-16 09:38:00, 90.6, 90.65, 90.5, 90.55, 11745
L&TFH,2016-08-16 09:39:00, 90.55, 90.7, 90.5, 90.65, 15222
L&TFH,2016-08-16 09:40:00, 90.65, 90.7, 90.55, 90.65, 9838
L&TFH,2016-08-16 09:41:00, 90.65, 90.65, 90.55, 90.6, 2716
L&TFH,2016-08-16 09:42:00, 90.6, 90.65, 90.55, 90.6, 35379
L&TFH,2016-08-16 09:43:00, 90.6, 90.65, 90.5, 90.6, 4267
L&TFH,2016-08-16 09:44:00, 90.6, 90.7, 90.55, 90.6, 10116
L&TFH,2016-08-16 09:45:00, 90.7, 90.7, 90.6, 90.6, 3620
L&TFH,2016-08-16 09:46:00, 90.6, 90.7, 90.55, 90.7, 1382
L&TFH,2016-08-16 09:47:00, 90.7, 90.75, 90.7, 90.75, 9224
L&TFH,2016-08-16 09:48:00, 90.75, 90.85, 90.75, 90.8, 7324
L&TFH,2016-08-16 09:49:00, 90.8, 90.85, 90.7, 90.7, 12041
L&TFH,2016-08-16 09:50:00, 90.7, 90.9, 90.7, 90.9, 11857
L&TFH,2016-08-16 09:51:00, 90.85, 91.25, 90.85, 91, 61178
L&TFH,2016-08-16 09:52:00, 91, 91.1, 90.95, 90.95, 20873
L&TFH,2016-08-16 09:53:00, 91, 91.05, 90.85, 90.9, 10720
L&TFH,2016-08-16 09:54:00, 90.8, 90.95, 90.75, 90.85, 79772
L&TFH,2016-08-16 09:55:00, 90.85, 91, 90.85, 90.9, 12603
L&TFH,2016-08-16 09:56:00, 90.9, 90.95, 90.7, 90.8, 17666
L&TFH,2016-08-16 09:57:00, 90.7, 90.85, 90.65, 90.65, 23143
L&TFH,2016-08-16 09:58:00, 90.65, 90.65, 90.55, 90.6, 14426
L&TFH,2016-08-16 09:59:00, 90.6, 90.65, 90.5, 90.6, 4969
L&TFH,2016-08-16 10:00:00, 90.6, 90.7, 90.55, 90.65, 9339
L&TFH,2016-08-16 10:01:00, 90.65, 90.65, 90.55, 90.6, 8145
L&TFH,2016-08-16 10:02:00, 90.6, 90.65, 90.55, 90.65, 7162
L&TFH,2016-08-16 10:03:00, 90.65, 90.8, 90.6, 90.75, 5592
L&TFH,2016-08-16 10:04:00, 90.75, 90.85, 90.65, 90.8, 7961
L&TFH,2016-08-16 10:05:00, 90.7, 90.8, 90.65, 90.7, 2798
L&TFH,2016-08-16 10:06:00, 90.7, 90.7, 90.6, 90.6, 2550
L&TFH,2016-08-16 10:07:00, 90.6, 90.7, 90.6, 90.6, 1353
L&TFH,2016-08-16 10:08:00, 90.6, 90.7, 90.6, 90.65, 5790
L&TFH,2016-08-16 10:09:00, 90.65, 90.7, 90.55, 90.6, 2726
L&TFH,2016-08-16 10:10:00, 90.6, 90.6, 90.55, 90.6, 4106
L&TFH,2016-08-16 10:11:00, 90.65, 90.65, 90.6, 90.65, 4100
L&TFH,2016-08-16 10:12:00, 90.65, 90.7, 90.6, 90.7, 2494
L&TFH,2016-08-16 10:13:00, 90.6, 90.7, 90.6, 90.65, 1027
L&TFH,2016-08-16 10:14:00, 90.7, 90.7, 90.6, 90.65, 3602
L&TFH,2016-08-16 10:15:00, 90.65, 90.65, 90.6, 90.6, 4052
L&TFH,2016-08-16 10:16:00, 90.6, 90.7, 90.55, 90.7, 4686
L&TFH,2016-08-16 10:17:00, 90.7, 90.7, 90.55, 90.55, 7537
L&TFH,2016-08-16 10:18:00, 90.55, 90.7, 90.55, 90.7, 1138
