Code,Date,Open,High,Low,Close,Volume
LICHSGFIN,2016-08-16 09:15:00, 554.95, 554.95, 550.4, 551.5, 60383
LICHSGFIN,2016-08-16 09:16:00, 552.55, 552.55, 549.15, 550.55, 39747
LICHSGFIN,2016-08-16 09:17:00, 550.6, 551.9, 550.4, 550.7, 17638
LICHSGFIN,2016-08-16 09:18:00, 550.55, 551.25, 549.85, 550.05, 13505
LICHSGFIN,2016-08-16 09:19:00, 550.05, 551, 550.05, 551, 13093
LICHSGFIN,2016-08-16 09:20:00, 551, 553.35, 550.6, 553.25, 14212
LICHSGFIN,2016-08-16 09:21:00, 553.45, 554.4, 552.4, 552.4, 18847
LICHSGFIN,2016-08-16 09:22:00, 552.4, 553, 552.3, 552.55, 16788
LICHSGFIN,2016-08-16 09:23:00, 552.55, 554.4, 552.55, 554.3, 29437
LICHSGFIN,2016-08-16 09:24:00, 554.3, 554.3, 553.15, 553.3, 6494
LICHSGFIN,2016-08-16 09:25:00, 553.2, 553.4, 552.7, 552.7, 8860
LICHSGFIN,2016-08-16 09:26:00, 552.7, 554, 552.7, 554, 10490
LICHSGFIN,2016-08-16 09:27:00, 554, 554.25, 553.4, 553.4, 10717
LICHSGFIN,2016-08-16 09:28:00, 553.55, 554.3, 553.45, 554, 6726
LICHSGFIN,2016-08-16 09:29:00, 554, 554.5, 553.8, 554.35, 10687
LICHSGFIN,2016-08-16 09:30:00, 554.35, 555, 553.7, 554.75, 47148
LICHSGFIN,2016-08-16 09:31:00, 555, 555.2, 554.75, 555.05, 36262
LICHSGFIN,2016-08-16 09:33:00, 555.2, 555.5, 554.9, 555.05, 119323
LICHSGFIN,2016-08-16 09:32:00, 555.05, 555.3, 554.8, 554.9, 17459
LICHSGFIN,2016-08-16 09:34:00, 555.05, 555.9, 554.5, 555.05, 70506
LICHSGFIN,2016-08-16 09:35:00, 555.05, 555.3, 554.4, 555.15, 62754
LICHSGFIN,2016-08-16 09:36:00, 555.1, 555.15, 555, 555.15, 41459
LICHSGFIN,2016-08-16 09:37:00, 555.05, 555.1, 554, 554, 29757
LICHSGFIN,2016-08-16 09:38:00, 554.25, 554.25, 553, 553.35, 14299
LICHSGFIN,2016-08-16 09:39:00, 553.3, 554.25, 553, 554.25, 4937
LICHSGFIN,2016-08-16 09:41:00, 554.75, 554.75, 554, 554.15, 3387
LICHSGFIN,2016-08-16 09:40:00, 554.1, 554.75, 553.5, 554.75, 8038
LICHSGFIN,2016-08-16 09:42:00, 554.15, 554.2, 553, 553, 5943
LICHSGFIN,2016-08-16 09:43:00, 553, 553.15, 552.75, 552.75, 5321
LICHSGFIN,2016-08-16 09:44:00, 552.7, 552.9, 552.05, 552.75, 7870
LICHSGFIN,2016-08-16 09:45:00, 552.75, 552.95, 552.65, 552.95, 2281
LICHSGFIN,2016-08-16 09:46:00, 552.95, 553.3, 552.65, 553.2, 2380
LICHSGFIN,2016-08-16 09:47:00, 552.85, 553.6, 552.85, 553.55, 8769
LICHSGFIN,2016-08-16 09:48:00, 553.55, 554, 552.85, 552.85, 2439
LICHSGFIN,2016-08-16 09:49:00, 552.85, 553.1, 552.75, 552.75, 5364
LICHSGFIN,2016-08-16 09:50:00, 552.7, 553, 552.6, 553, 3661
LICHSGFIN,2016-08-16 09:51:00, 553, 553.25, 552.65, 552.8, 6156
LICHSGFIN,2016-08-16 09:52:00, 552.95, 553, 552.5, 552.5, 1904
LICHSGFIN,2016-08-16 09:53:00, 552.5, 552.9, 552.3, 552.4, 3642
LICHSGFIN,2016-08-16 09:54:00, 552.4, 552.7, 551, 551, 12258
LICHSGFIN,2016-08-16 09:55:00, 550.95, 551.5, 550.8, 551, 5136
LICHSGFIN,2016-08-16 09:56:00, 551, 551.25, 550.55, 550.9, 6142
LICHSGFIN,2016-08-16 09:57:00, 550.9, 552.45, 550.9, 552.25, 8824
LICHSGFIN,2016-08-16 09:58:00, 552.25, 552.55, 551.95, 552.25, 4255
LICHSGFIN,2016-08-16 09:59:00, 552.35, 552.35, 551.2, 551.5, 4693
LICHSGFIN,2016-08-16 10:00:00, 551.5, 552.75, 551.4, 552.25, 4335
LICHSGFIN,2016-08-16 10:01:00, 552.25, 552.3, 551.25, 551.7, 9823
LICHSGFIN,2016-08-16 10:02:00, 551.7, 552.5, 551.45, 552.25, 6973
LICHSGFIN,2016-08-16 10:03:00, 552.7, 552.95, 552, 552.2, 3842
LICHSGFIN,2016-08-16 10:04:00, 552.2, 552.75, 552.2, 552.55, 2541
LICHSGFIN,2016-08-16 10:05:00, 552.55, 552.8, 552.45, 552.45, 1348
LICHSGFIN,2016-08-16 10:06:00, 552.35, 552.4, 552, 552.4, 2652
LICHSGFIN,2016-08-16 10:07:00, 552.4, 552.45, 552.1, 552.2, 1252
LICHSGFIN,2016-08-16 10:08:00, 552.05, 552.25, 552, 552, 1984
LICHSGFIN,2016-08-16 10:09:00, 552, 552.25, 551.8, 551.95, 2885
LICHSGFIN,2016-08-16 10:10:00, 551.95, 551.95, 551.7, 551.7, 1598
LICHSGFIN,2016-08-16 10:11:00, 551.75, 551.95, 551.75, 551.75, 1289
LICHSGFIN,2016-08-16 10:12:00, 551.7, 551.95, 551.7, 551.75, 1361
LICHSGFIN,2016-08-16 10:13:00, 551.75, 551.9, 551.75, 551.75, 1315
LICHSGFIN,2016-08-16 10:14:00, 551.75, 551.95, 551.5, 551.9, 2963
LICHSGFIN,2016-08-16 10:15:00, 551.9, 552.25, 551.85, 552.25, 2100
LICHSGFIN,2016-08-16 10:16:00, 552.25, 552.35, 551.8, 551.8, 2011
LICHSGFIN,2016-08-16 10:17:00, 551.8, 552.1, 551.6, 552.1, 1457
LICHSGFIN,2016-08-16 10:18:00, 552.1, 552.1, 551.5, 551.5, 1755
LICHSGFIN,2016-08-16 10:19:00, 551.5, 551.7, 551.35, 551.35, 1688
LICHSGFIN,2016-08-16 10:20:00, 551.35, 551.7, 551.35, 551.7, 510
LICHSGFIN,2016-08-16 10:21:00, 551.7, 551.7, 551.5, 551.55, 1235
LICHSGFIN,2016-08-16 10:22:00, 551.55, 551.7, 551.5, 551.5, 1103
LICHSGFIN,2016-08-16 10:23:00, 551.5, 551.65, 551.2, 551.25, 2648
LICHSGFIN,2016-08-16 10:24:00, 551.25, 551.65, 551.25, 551.45, 1912
LICHSGFIN,2016-08-16 10:25:00, 551.45, 551.5, 551.2, 551.25, 2395
LICHSGFIN,2016-08-16 10:26:00, 551.25, 551.7, 551.05, 551.7, 4878
LICHSGFIN,2016-08-16 10:27:00, 551.7, 551.7, 551.4, 551.5, 2121
