Code,Date,Open,High,Low,Close,Volume
MARICO,2016-08-16 09:15:00, 297.5, 297.5, 295.45, 295.45, 4632
MARICO,2016-08-16 09:16:00, 295.45, 296, 295.4, 295.65, 3301
MARICO,2016-08-16 09:17:00, 295.7, 295.75, 295.4, 295.55, 3643
MARICO,2016-08-16 09:18:00, 295.55, 295.55, 295.45, 295.45, 1181
MARICO,2016-08-16 09:19:00, 295.55, 295.95, 295.4, 295.9, 4526
MARICO,2016-08-16 09:20:00, 295.65, 295.7, 295.25, 295.65, 4739
MARICO,2016-08-16 09:21:00, 295.65, 295.8, 295.5, 295.65, 4509
MARICO,2016-08-16 09:22:00, 295.65, 295.7, 295.35, 295.65, 2032
MARICO,2016-08-16 09:23:00, 295.65, 295.85, 295.65, 295.7, 4906
MARICO,2016-08-16 09:25:00, 295.65, 295.9, 295.65, 295.85, 2808
MARICO,2016-08-16 09:24:00, 295.7, 295.7, 295.65, 295.65, 910
MARICO,2016-08-16 09:26:00, 295.85, 296, 295.85, 296, 2300
MARICO,2016-08-16 09:27:00, 296, 296, 295.85, 295.9, 1360
MARICO,2016-08-16 09:28:00, 295.9, 296.05, 295.9, 296, 1599
MARICO,2016-08-16 09:29:00, 296, 296.15, 296, 296.15, 1203
MARICO,2016-08-16 09:30:00, 296.15, 296.6, 296.15, 296.6, 2355
MARICO,2016-08-16 09:31:00, 296.6, 296.75, 296.45, 296.5, 3888
MARICO,2016-08-16 09:32:00, 296.5, 296.7, 296.45, 296.45, 1559
MARICO,2016-08-16 09:33:00, 296.45, 296.6, 296.3, 296.3, 2468
MARICO,2016-08-16 09:34:00, 296.25, 296.4, 296.2, 296.35, 731
MARICO,2016-08-16 09:35:00, 296.35, 296.35, 296.25, 296.3, 1710
MARICO,2016-08-16 09:36:00, 296.3, 296.35, 296.25, 296.25, 597
MARICO,2016-08-16 09:37:00, 296.3, 296.3, 296.2, 296.25, 1341
MARICO,2016-08-16 09:39:00, 296.2, 296.25, 296.1, 296.2, 1520
MARICO,2016-08-16 09:38:00, 296.25, 296.25, 296.2, 296.2, 690
MARICO,2016-08-16 09:40:00, 296.2, 296.3, 296.15, 296.3, 790
MARICO,2016-08-16 09:41:00, 296.3, 296.45, 296.25, 296.45, 1575
MARICO,2016-08-16 09:42:00, 296.45, 296.45, 296.3, 296.3, 1904
MARICO,2016-08-16 09:43:00, 296.3, 296.35, 296.3, 296.3, 268
MARICO,2016-08-16 09:44:00, 296.35, 296.35, 296.3, 296.35, 496
MARICO,2016-08-16 09:45:00, 296.35, 296.4, 296.35, 296.4, 1038
MARICO,2016-08-16 09:46:00, 296.45, 296.45, 296.35, 296.35, 1170
MARICO,2016-08-16 09:47:00, 296.4, 296.4, 296.35, 296.35, 439
MARICO,2016-08-16 09:48:00, 296.4, 296.4, 296.25, 296.3, 1322
MARICO,2016-08-16 09:49:00, 296.3, 296.45, 296.15, 296.45, 2769
MARICO,2016-08-16 09:50:00, 296.45, 296.6, 296.35, 296.5, 201979
MARICO,2016-08-16 09:51:00, 296.5, 296.5, 296.4, 296.4, 547
MARICO,2016-08-16 09:53:00, 296.15, 296.3, 296.15, 296.3, 1072
MARICO,2016-08-16 09:52:00, 296.4, 296.4, 296.15, 296.15, 769
MARICO,2016-08-16 09:54:00, 296.25, 296.5, 296.25, 296.4, 1472
MARICO,2016-08-16 09:57:00, 296.4, 296.5, 296.35, 296.4, 1435
MARICO,2016-08-16 09:56:00, 296.35, 296.5, 296.35, 296.4, 1237
MARICO,2016-08-16 09:55:00, 296.4, 296.45, 296.35, 296.45, 1112
MARICO,2016-08-16 09:58:00, 296.4, 296.5, 296.35, 296.5, 591
MARICO,2016-08-16 09:59:00, 296.4, 296.5, 296.4, 296.45, 343
MARICO,2016-08-16 10:00:00, 296.45, 296.55, 296.4, 296.55, 1232
MARICO,2016-08-16 10:02:00, 296.7, 296.8, 296.7, 296.8, 1850
MARICO,2016-08-16 10:01:00, 296.55, 296.7, 296.55, 296.7, 1404
MARICO,2016-08-16 10:03:00, 296.8, 296.8, 296.75, 296.8, 1210
MARICO,2016-08-16 10:04:00, 296.8, 296.8, 296.65, 296.65, 1451
MARICO,2016-08-16 10:05:00, 296.65, 296.75, 296.65, 296.7, 420
MARICO,2016-08-16 10:06:00, 296.65, 296.75, 296.65, 296.75, 705
MARICO,2016-08-16 10:07:00, 296.7, 296.9, 296.7, 296.9, 2306
MARICO,2016-08-16 10:08:00, 296.9, 297.6, 296.55, 297.6, 29635
MARICO,2016-08-16 10:09:00, 297.6, 298.6, 297.6, 298.5, 6766
MARICO,2016-08-16 10:11:00, 298.7, 299.65, 298.65, 299.65, 6110
MARICO,2016-08-16 10:10:00, 298.5, 298.95, 298.5, 298.7, 7329
MARICO,2016-08-16 10:12:00, 299.5, 300.9, 299.5, 300.2, 24294
MARICO,2016-08-16 10:13:00, 300.2, 301.05, 300.2, 301, 2736
MARICO,2016-08-16 10:14:00, 301.05, 301.1, 300.95, 301, 4878
MARICO,2016-08-16 10:15:00, 300.95, 302, 300.9, 301.95, 17463
MARICO,2016-08-16 10:16:00, 301.95, 302.85, 301.95, 302.45, 5422
MARICO,2016-08-16 10:17:00, 302.45, 302.45, 302.05, 302.2, 4903
MARICO,2016-08-16 10:18:00, 302.2, 302.2, 301.65, 301.65, 6195
MARICO,2016-08-16 10:19:00, 301.65, 301.75, 301.45, 301.55, 3705
MARICO,2016-08-16 10:20:00, 301.55, 301.75, 301.4, 301.6, 1646
MARICO,2016-08-16 10:21:00, 301.6, 301.6, 301.2, 301.45, 4968
MARICO,2016-08-16 10:22:00, 301.4, 302, 301.25, 301.65, 4525
MARICO,2016-08-16 10:23:00, 301.65, 301.65, 301.3, 301.5, 3651
MARICO,2016-08-16 10:24:00, 301.5, 301.65, 301.5, 301.6, 1896
MARICO,2016-08-16 10:25:00, 301.6, 301.6, 301.25, 301.5, 2219
MARICO,2016-08-16 10:26:00, 301.5, 301.5, 301.2, 301.2, 2061
MARICO,2016-08-16 10:27:00, 301.2, 301.45, 301.1, 301.1, 3269
MARICO,2016-08-16 10:28:00, 301.1, 301.1, 300.75, 300.8, 2663
MARICO,2016-08-16 10:29:00, 300.8, 300.85, 300.65, 300.7, 2109
MARICO,2016-08-16 10:30:00, 300.7, 300.7, 300.35, 300.6, 1797
MARICO,2016-08-16 10:31:00, 300.6, 300.65, 300.6, 300.6, 1534
MARICO,2016-08-16 10:32:00, 300.6, 300.65, 300.2, 300.2, 2043
MARICO,2016-08-16 10:33:00, 300.2, 300.35, 300.1, 300.1, 1668
MARICO,2016-08-16 10:34:00, 300.1, 300.35, 300.1, 300.15, 1391
MARICO,2016-08-16 10:35:00, 300.15, 300.3, 300.05, 300.05, 1809
MARICO,2016-08-16 10:36:00, 300.05, 300.1, 299.75, 299.75, 7048
MARICO,2016-08-16 10:37:00, 299.75, 300.25, 299.7, 299.9, 2460
MARICO,2016-08-16 10:38:00, 299.9, 299.9, 299.8, 299.9, 1457
MARICO,2016-08-16 10:39:00, 299.9, 299.9, 299.25, 299.45, 2843
MARICO,2016-08-16 10:40:00, 299.45, 299.55, 299.3, 299.3, 1541
MARICO,2016-08-16 10:41:00, 299.3, 299.45, 299, 299, 4311
MARICO,2016-08-16 10:42:00, 299, 299.1, 299, 299, 1296
MARICO,2016-08-16 10:43:00, 299, 300.15, 299, 299.95, 6564
MARICO,2016-08-16 10:44:00, 300, 300.15, 299.25, 299.25, 3643
MARICO,2016-08-16 10:45:00, 299.25, 299.45, 299.1, 299.2, 1399
MARICO,2016-08-16 10:46:00, 299.2, 299.35, 298.35, 298.35, 4253
MARICO,2016-08-16 10:47:00, 298.5, 299.15, 298, 298.9, 5076
MARICO,2016-08-16 10:48:00, 298.9, 299.1, 298.4, 298.5, 2466
MARICO,2016-08-16 10:49:00, 298.5, 298.65, 298.5, 298.5, 2869
MARICO,2016-08-16 10:50:00, 298.5, 298.6, 298.45, 298.6, 1817
MARICO,2016-08-16 10:51:00, 298.4, 298.6, 298.3, 298.3, 1502
MARICO,2016-08-16 10:52:00, 298.35, 298.35, 298.25, 298.25, 1045
MARICO,2016-08-16 10:53:00, 298.05, 298.15, 298.05, 298.1, 165
MARICO,2016-08-16 10:54:00, 298.1, 298.35, 298.1, 298.2, 3187
MARICO,2016-08-16 10:55:00, 298.05, 298.25, 298.05, 298.25, 356
MARICO,2016-08-16 10:56:00, 298.25, 298.25, 297.55, 298, 1495
MARICO,2016-08-16 10:57:00, 298.1, 298.1, 297.8, 298.05, 1469
MARICO,2016-08-16 10:58:00, 298.05, 298.05, 297.55, 297.55, 40372
MARICO,2016-08-16 10:59:00, 297.55, 297.55, 297.25, 297.4, 1616
MARICO,2016-08-16 11:00:00, 297.3, 297.4, 296.9, 296.9, 1006
MARICO,2016-08-16 11:01:00, 296.9, 296.9, 296.25, 296.5, 3477
MARICO,2016-08-16 11:02:00, 296.5, 296.6, 296.45, 296.5, 521
MARICO,2016-08-16 11:03:00, 296.5, 296.5, 296.05, 296.1, 2894
MARICO,2016-08-16 11:04:00, 295.95, 296.15, 295.65, 296.05, 5975
MARICO,2016-08-16 11:05:00, 296.05, 296.25, 295.8, 296, 5291
MARICO,2016-08-16 11:06:00, 296, 296.8, 295.85, 296.35, 10449
MARICO,2016-08-16 11:07:00, 296.3, 296.35, 296.05, 296.3, 319
MARICO,2016-08-16 11:08:00, 296.3, 296.45, 296.15, 296.45, 1586
MARICO,2016-08-16 11:09:00, 296.5, 296.75, 296.25, 296.75, 2244
MARICO,2016-08-16 11:10:00, 296.75, 297, 296.65, 296.9, 1671
MARICO,2016-08-16 11:11:00, 296.9, 296.9, 296.6, 296.6, 15260
MARICO,2016-08-16 11:12:00, 296.6, 296.95, 296.6, 296.8, 2419
MARICO,2016-08-16 11:13:00, 296.8, 296.85, 296.65, 296.8, 470
MARICO,2016-08-16 11:14:00, 296.8, 296.9, 296.7, 296.9, 848
MARICO,2016-08-16 11:15:00, 296.9, 296.9, 296.65, 296.8, 428
MARICO,2016-08-16 11:16:00, 296.8, 296.8, 296.6, 296.65, 219
MARICO,2016-08-16 11:17:00, 296.65, 296.75, 296.5, 296.6, 652
MARICO,2016-08-16 11:18:00, 296.45, 296.45, 296.1, 296.15, 252
MARICO,2016-08-16 11:19:00, 296.15, 296.15, 296, 296, 710
MARICO,2016-08-16 11:20:00, 296, 296.05, 296, 296.05, 126
MARICO,2016-08-16 11:21:00, 296.15, 296.2, 296.1, 296.15, 366
MARICO,2016-08-16 11:22:00, 296.15, 296.6, 296.15, 296.5, 1202
MARICO,2016-08-16 11:23:00, 296.5, 296.85, 296.45, 296.85, 2599
MARICO,2016-08-16 11:24:00, 296.85, 296.85, 296.8, 296.85, 1244
MARICO,2016-08-16 11:25:00, 296.8, 297.6, 296.8, 297.2, 2821
MARICO,2016-08-16 11:26:00, 297.05, 297.2, 296.9, 297.2, 312
