Code,Date,Open,High,Low,Close,Volume
MARUTI,2016-08-16 09:15:00, 4948, 4948, 4924.1, 4924.15, 7517
MARUTI,2016-08-16 09:16:00, 4922.35, 4925, 4905.05, 4917.9, 9164
MARUTI,2016-08-16 09:17:00, 4912.65, 4922.95, 4912.65, 4922, 4095
MARUTI,2016-08-16 09:18:00, 4922, 4924.45, 4920.6, 4924, 3546
MARUTI,2016-08-16 09:19:00, 4924, 4925, 4919.35, 4921.25, 3507
MARUTI,2016-08-16 09:20:00, 4922, 4925, 4915.35, 4925, 4368
MARUTI,2016-08-16 09:22:00, 4924.55, 4924.6, 4921.6, 4924.3, 1883
MARUTI,2016-08-16 09:24:00, 4921.75, 4922.9, 4920, 4920.95, 981
MARUTI,2016-08-16 09:21:00, 4925, 4930.1, 4924.8, 4926, 5866
MARUTI,2016-08-16 09:23:00, 4922.5, 4924.7, 4920, 4920.65, 1613
MARUTI,2016-08-16 09:26:00, 4922.1, 4925, 4920.95, 4923.75, 770
MARUTI,2016-08-16 09:27:00, 4923.75, 4924.75, 4920, 4921.5, 1446
MARUTI,2016-08-16 09:28:00, 4921.5, 4922.85, 4921.2, 4922.85, 1044
MARUTI,2016-08-16 09:25:00, 4921, 4922.1, 4920, 4922.1, 1520
MARUTI,2016-08-16 09:29:00, 4922.85, 4925, 4922.45, 4925, 792
MARUTI,2016-08-16 09:30:00, 4925, 4925, 4921.5, 4923.15, 960
MARUTI,2016-08-16 09:31:00, 4923.15, 4923.9, 4920.6, 4921.45, 962
MARUTI,2016-08-16 09:32:00, 4921.45, 4922.2, 4919, 4920, 921
MARUTI,2016-08-16 09:33:00, 4920.65, 4920.65, 4910, 4912, 2597
MARUTI,2016-08-16 09:34:00, 4912, 4915.8, 4908.6, 4915.8, 1447
MARUTI,2016-08-16 09:35:00, 4915.8, 4915.8, 4910, 4912, 1913
MARUTI,2016-08-16 09:36:00, 4912, 4913.35, 4910.7, 4913, 1083
MARUTI,2016-08-16 09:37:00, 4913, 4914, 4909.8, 4910.9, 2766
MARUTI,2016-08-16 09:38:00, 4910.9, 4910.95, 4909.95, 4910.95, 1339
MARUTI,2016-08-16 09:39:00, 4910.95, 4920, 4910.95, 4920, 896
MARUTI,2016-08-16 09:40:00, 4920, 4921.9, 4919, 4921.85, 690
MARUTI,2016-08-16 09:41:00, 4921.4, 4922.45, 4920.05, 4920.05, 715
MARUTI,2016-08-16 09:42:00, 4920.95, 4920.95, 4913, 4914.5, 1067
MARUTI,2016-08-16 09:43:00, 4914.5, 4920, 4913.1, 4919, 873
MARUTI,2016-08-16 09:44:00, 4919, 4922.95, 4919, 4922.95, 1239
MARUTI,2016-08-16 09:45:00, 4922.95, 4925, 4922.6, 4922.6, 1881
MARUTI,2016-08-16 09:46:00, 4922.6, 4923.9, 4921.4, 4921.4, 1236
MARUTI,2016-08-16 09:47:00, 4921.4, 4922.9, 4920.15, 4922.9, 283
MARUTI,2016-08-16 09:48:00, 4922.9, 4928.4, 4922.85, 4928.4, 1386
MARUTI,2016-08-16 09:49:00, 4928.4, 4928.4, 4924, 4924, 1645
MARUTI,2016-08-16 09:50:00, 4924, 4924, 4920, 4920, 1434
