Code,Date,Open,High,Low,Close,Volume
MCLEODRUSS,2016-08-16 09:15:00, 180.9, 180.9, 179.7, 179.7, 2456
MCLEODRUSS,2016-08-16 09:16:00, 180.05, 180.05, 179.6, 179.6, 948
MCLEODRUSS,2016-08-16 09:17:00, 179.6, 180.25, 179.6, 180, 527
MCLEODRUSS,2016-08-16 09:19:00, 179.5, 179.5, 179, 179.1, 758
MCLEODRUSS,2016-08-16 09:18:00, 180, 180, 179.3, 179.5, 810
MCLEODRUSS,2016-08-16 09:20:00, 179.1, 179.65, 179.1, 179.65, 1296
MCLEODRUSS,2016-08-16 09:21:00, 179.65, 180.1, 179.65, 179.9, 1811
MCLEODRUSS,2016-08-16 09:22:00, 179.75, 179.75, 179.3, 179.5, 2363
MCLEODRUSS,2016-08-16 09:23:00, 179.55, 179.85, 179.55, 179.6, 5247
MCLEODRUSS,2016-08-16 09:24:00, 179.6, 179.65, 179.4, 179.4, 3118
MCLEODRUSS,2016-08-16 09:25:00, 179.4, 179.4, 179, 179, 1502
MCLEODRUSS,2016-08-16 09:26:00, 178.8, 179.5, 178.8, 179.5, 5423
MCLEODRUSS,2016-08-16 09:27:00, 179.5, 179.6, 179.3, 179.6, 911
MCLEODRUSS,2016-08-16 09:28:00, 179.6, 179.75, 179.35, 179.4, 2489
MCLEODRUSS,2016-08-16 09:29:00, 179.4, 179.75, 179.4, 179.75, 1249
MCLEODRUSS,2016-08-16 09:30:00, 179.75, 179.75, 179.75, 179.75, 0
MCLEODRUSS,2016-08-16 09:31:00, 179.75, 179.75, 179.4, 179.4, 1393
MCLEODRUSS,2016-08-16 09:32:00, 179.4, 179.4, 178.95, 179.2, 3550
MCLEODRUSS,2016-08-16 09:33:00, 179.2, 179.2, 178.8, 178.8, 498
MCLEODRUSS,2016-08-16 09:34:00, 178.8, 179.65, 178.45, 179.45, 4353
MCLEODRUSS,2016-08-16 09:35:00, 179.45, 179.45, 179, 179.4, 6609
MCLEODRUSS,2016-08-16 09:36:00, 179.4, 179.45, 178.95, 178.95, 1914
MCLEODRUSS,2016-08-16 09:37:00, 178.8, 179, 178.75, 179, 784
MCLEODRUSS,2016-08-16 09:38:00, 179, 179.25, 178.85, 178.9, 2708
MCLEODRUSS,2016-08-16 09:39:00, 178.9, 179.05, 178.8, 179, 6071
MCLEODRUSS,2016-08-16 09:40:00, 179, 179.2, 178.85, 179.15, 2511
MCLEODRUSS,2016-08-16 09:41:00, 179.15, 179.15, 178.95, 179, 1075
MCLEODRUSS,2016-08-16 09:42:00, 179, 179.1, 178.95, 178.95, 887
MCLEODRUSS,2016-08-16 09:44:00, 178.8, 179.3, 178.7, 179.3, 1033
MCLEODRUSS,2016-08-16 09:43:00, 178.95, 178.95, 178.7, 178.8, 488
MCLEODRUSS,2016-08-16 09:45:00, 179.35, 179.45, 179.35, 179.35, 770
MCLEODRUSS,2016-08-16 09:46:00, 179.45, 179.45, 178.85, 179.2, 1628
MCLEODRUSS,2016-08-16 09:47:00, 179.2, 179.2, 179.05, 179.15, 1003
MCLEODRUSS,2016-08-16 09:48:00, 179.15, 179.15, 179, 179.1, 435
MCLEODRUSS,2016-08-16 09:49:00, 179.1, 179.1, 178.9, 178.9, 143
MCLEODRUSS,2016-08-16 09:50:00, 178.9, 179.2, 178.9, 179, 550
MCLEODRUSS,2016-08-16 09:51:00, 179, 179.2, 179, 179.2, 186
MCLEODRUSS,2016-08-16 09:52:00, 179.2, 179.2, 178.75, 178.75, 1263
MCLEODRUSS,2016-08-16 09:54:00, 178.65, 178.75, 178.3, 178.4, 959
MCLEODRUSS,2016-08-16 09:53:00, 178.75, 178.8, 178.65, 178.65, 211
MCLEODRUSS,2016-08-16 09:55:00, 178.4, 178.55, 178.4, 178.45, 681
MCLEODRUSS,2016-08-16 09:56:00, 178.45, 178.45, 178.35, 178.35, 233
MCLEODRUSS,2016-08-16 09:57:00, 178.35, 178.5, 178.35, 178.5, 592
MCLEODRUSS,2016-08-16 09:58:00, 178.5, 178.75, 178.5, 178.65, 601
MCLEODRUSS,2016-08-16 09:59:00, 178.65, 178.8, 178.35, 178.45, 583
MCLEODRUSS,2016-08-16 10:00:00, 178.3, 178.45, 178.2, 178.35, 2652
MCLEODRUSS,2016-08-16 10:01:00, 178.35, 178.35, 178.25, 178.25, 143
MCLEODRUSS,2016-08-16 10:02:00, 178.2, 178.65, 178.2, 178.6, 399
MCLEODRUSS,2016-08-16 10:03:00, 178.6, 178.65, 178.45, 178.6, 2172
MCLEODRUSS,2016-08-16 10:04:00, 178.6, 178.6, 178.55, 178.55, 100
