Code,Date,Open,High,Low,Close,Volume
MOTHERSUMI,2016-08-16 09:15:00, 319, 321.65, 318.4, 321, 18649
MOTHERSUMI,2016-08-16 09:16:00, 321, 321, 320, 320.8, 9434
MOTHERSUMI,2016-08-16 09:17:00, 320.65, 321.25, 319.4, 319.65, 17085
MOTHERSUMI,2016-08-16 09:18:00, 319.5, 320.25, 319.5, 319.9, 14154
MOTHERSUMI,2016-08-16 09:19:00, 319.9, 320.1, 319.2, 319.25, 13761
MOTHERSUMI,2016-08-16 09:20:00, 319.25, 320.95, 319.25, 320.95, 10491
MOTHERSUMI,2016-08-16 09:21:00, 320.95, 321.25, 320.75, 320.95, 10130
MOTHERSUMI,2016-08-16 09:22:00, 320.85, 322, 320.7, 321.9, 13624
MOTHERSUMI,2016-08-16 09:23:00, 321.9, 321.95, 321.1, 321.5, 13398
MOTHERSUMI,2016-08-16 09:24:00, 321.5, 321.95, 321.25, 321.9, 3413
MOTHERSUMI,2016-08-16 09:25:00, 321.9, 322.75, 321.8, 322.65, 29161
MOTHERSUMI,2016-08-16 09:26:00, 322.6, 323.4, 322.5, 322.95, 23711
MOTHERSUMI,2016-08-16 09:27:00, 322.95, 323.35, 322.5, 322.75, 5877
MOTHERSUMI,2016-08-16 09:28:00, 322.75, 323, 322.6, 322.95, 6416
MOTHERSUMI,2016-08-16 09:29:00, 322.95, 323.6, 322.95, 323.6, 11184
MOTHERSUMI,2016-08-16 09:30:00, 323.6, 323.6, 323, 323.2, 5629
MOTHERSUMI,2016-08-16 09:31:00, 323.2, 323.25, 322.45, 322.45, 10812
MOTHERSUMI,2016-08-16 09:32:00, 322.65, 323.1, 322.3, 323, 9052
MOTHERSUMI,2016-08-16 09:33:00, 323, 323.05, 322.3, 322.6, 11709
MOTHERSUMI,2016-08-16 09:34:00, 322.6, 322.6, 321.8, 322.5, 5569
MOTHERSUMI,2016-08-16 09:35:00, 322.5, 322.5, 322.25, 322.4, 1878
MOTHERSUMI,2016-08-16 09:36:00, 322.4, 322.4, 321.55, 321.6, 5762
MOTHERSUMI,2016-08-16 09:37:00, 321.75, 321.8, 321.5, 321.75, 5836
MOTHERSUMI,2016-08-16 09:38:00, 321.75, 321.75, 321.5, 321.7, 1609
MOTHERSUMI,2016-08-16 09:39:00, 321.7, 322.05, 321.55, 322, 1195
MOTHERSUMI,2016-08-16 09:40:00, 322, 322.45, 322, 322.25, 3278
MOTHERSUMI,2016-08-16 09:41:00, 322.25, 322.3, 321.75, 321.9, 2512
MOTHERSUMI,2016-08-16 09:42:00, 321.9, 322.3, 321.9, 322.25, 2013
MOTHERSUMI,2016-08-16 09:43:00, 322.25, 322.25, 322.05, 322.2, 2390
MOTHERSUMI,2016-08-16 09:44:00, 322, 322.25, 322, 322.1, 1424
MOTHERSUMI,2016-08-16 09:45:00, 322.4, 322.4, 322.05, 322.05, 4405
MOTHERSUMI,2016-08-16 09:46:00, 322.05, 322.25, 322.05, 322.2, 2006
MOTHERSUMI,2016-08-16 09:47:00, 322.2, 322.2, 322, 322.05, 1322
MOTHERSUMI,2016-08-16 09:48:00, 322.05, 322.05, 321.55, 321.65, 1161
MOTHERSUMI,2016-08-16 09:49:00, 321.65, 321.7, 321.55, 321.55, 1640
