Code,Date,Open,High,Low,Close,Volume
MRF,2016-08-16 09:15:00, 36224.95, 36224.95, 36200, 36200, 11
MRF,2016-08-16 09:16:00, 36123.2, 36123.2, 36016.6, 36046.95, 41
MRF,2016-08-16 09:18:00, 36200, 36350, 36200, 36349, 64
MRF,2016-08-16 09:17:00, 36048.55, 36200, 36048.55, 36172.95, 52
MRF,2016-08-16 09:19:00, 36311.75, 36331.95, 36290.1, 36328, 36
MRF,2016-08-16 09:20:00, 36291.2, 36300.75, 36240.8, 36300.75, 15
MRF,2016-08-16 09:23:00, 36300, 36321.35, 36300, 36300.1, 7
MRF,2016-08-16 09:22:00, 36314.5, 36342, 36300, 36300, 75
MRF,2016-08-16 09:21:00, 36300.75, 36320, 36289.95, 36314.5, 22
MRF,2016-08-16 09:24:00, 36300.1, 36315, 36300, 36300, 9
MRF,2016-08-16 09:25:00, 36300, 36300, 36187.2, 36267.5, 42
MRF,2016-08-16 09:26:00, 36267.5, 36267.5, 36230.1, 36230.1, 25
MRF,2016-08-16 09:27:00, 36230.1, 36239.55, 36230.1, 36239.55, 1
MRF,2016-08-16 09:28:00, 36239.55, 36249.5, 36214.55, 36214.55, 11
MRF,2016-08-16 09:29:00, 36214.55, 36268.9, 36214.55, 36266.95, 7
MRF,2016-08-16 09:30:00, 36266.95, 36266.95, 36249.95, 36250, 4
MRF,2016-08-16 09:31:00, 36250, 36289.95, 36250, 36289.95, 25
MRF,2016-08-16 09:32:00, 36289.95, 36289.95, 36279.95, 36280, 7
MRF,2016-08-16 09:33:00, 36280, 36280, 36265.05, 36265.05, 1
MRF,2016-08-16 09:34:00, 36265.05, 36282.5, 36265.05, 36279.6, 4
MRF,2016-08-16 09:35:00, 36279.6, 36285, 36270, 36270, 6
MRF,2016-08-16 09:36:00, 36270, 36283.95, 36266, 36283.95, 5
MRF,2016-08-16 09:37:00, 36283.95, 36283.95, 36237.65, 36240, 9
MRF,2016-08-16 09:38:00, 36240, 36240, 36240, 36240, 3
MRF,2016-08-16 09:39:00, 36240, 36240, 36240, 36240, 0
MRF,2016-08-16 09:40:00, 36240, 36250, 36240, 36241.2, 7
MRF,2016-08-16 09:41:00, 36241.2, 36241.2, 36151, 36151, 54
MRF,2016-08-16 09:42:00, 36151, 36164, 36150, 36156.05, 15
MRF,2016-08-16 09:43:00, 36156.05, 36181.8, 36156.05, 36180, 16
MRF,2016-08-16 09:44:00, 36180, 36216.9, 36180, 36216.9, 2
MRF,2016-08-16 09:45:00, 36216.9, 36216.9, 36195.8, 36195.8, 6
MRF,2016-08-16 09:46:00, 36195.8, 36232.5, 36195.8, 36232.5, 1
MRF,2016-08-16 09:47:00, 36248.95, 36269, 36242.8, 36269, 6
MRF,2016-08-16 09:48:00, 36269, 36269, 36250, 36250, 2
MRF,2016-08-16 09:49:00, 36250, 36250, 36236.95, 36236.95, 6
MRF,2016-08-16 09:50:00, 36249.95, 36249.95, 36240, 36240, 3
MRF,2016-08-16 09:51:00, 36250, 36274.95, 36250, 36274.95, 5
MRF,2016-08-16 09:52:00, 36274.95, 36274.95, 36274.95, 36274.95, 0
MRF,2016-08-16 09:53:00, 36274.95, 36274.95, 36274.95, 36274.95, 0
MRF,2016-08-16 09:54:00, 36274.95, 36274.95, 36250.15, 36269.95, 2
MRF,2016-08-16 09:55:00, 36269.95, 36270, 36260.45, 36260.5, 5
MRF,2016-08-16 09:56:00, 36274, 36274, 36274, 36274, 3
MRF,2016-08-16 09:57:00, 36274, 36290, 36274, 36290, 8
MRF,2016-08-16 09:58:00, 36290.95, 36300, 36290.95, 36300, 3
MRF,2016-08-16 09:59:00, 36300, 36300, 36283, 36300, 6
MRF,2016-08-16 10:00:00, 36300, 36300, 36290, 36294.5, 14
MRF,2016-08-16 10:01:00, 36294.5, 36390, 36294.5, 36390, 102
MRF,2016-08-16 10:02:00, 36390, 36390, 36337.45, 36346.5, 13
MRF,2016-08-16 10:03:00, 36346.5, 36350, 36335.85, 36350, 11
MRF,2016-08-16 10:04:00, 36350, 36360, 36340.15, 36359.95, 21
MRF,2016-08-16 10:05:00, 36359.95, 36359.95, 36325, 36325, 15
MRF,2016-08-16 10:06:00, 36325, 36344.95, 36325, 36325.1, 2
MRF,2016-08-16 10:07:00, 36325.1, 36345, 36325.1, 36340.05, 8
MRF,2016-08-16 10:08:00, 36340.05, 36340.05, 36340.05, 36340.05, 0
MRF,2016-08-16 10:09:00, 36340.05, 36340.05, 36340.05, 36340.05, 0
MRF,2016-08-16 10:10:00, 36340.05, 36340.05, 36335.25, 36335.25, 1
MRF,2016-08-16 10:11:00, 36335.25, 36344, 36335.25, 36340, 7
MRF,2016-08-16 10:12:00, 36340, 36371.95, 36335.3, 36350, 77
MRF,2016-08-16 10:13:00, 36350, 36372, 36350, 36372, 24
MRF,2016-08-16 10:14:00, 36372, 36390, 36372, 36375, 35
MRF,2016-08-16 10:15:00, 36375, 36425, 36350, 36411.65, 133
MRF,2016-08-16 10:16:00, 36411.65, 36490.5, 36411.65, 36455, 117
MRF,2016-08-16 10:17:00, 36455, 36455.1, 36450, 36455.1, 5
MRF,2016-08-16 10:18:00, 36455.1, 36490.5, 36455.1, 36490, 154
MRF,2016-08-16 10:19:00, 36490, 36490, 36450.05, 36450.05, 2
MRF,2016-08-16 10:20:00, 36450.05, 36450.05, 36426.05, 36426.05, 2
MRF,2016-08-16 10:21:00, 36426.05, 36450, 36426.05, 36450, 3
MRF,2016-08-16 10:22:00, 36450, 36450, 36435, 36435, 2
MRF,2016-08-16 10:23:00, 36435, 36457.95, 36433.1, 36457.95, 28
MRF,2016-08-16 10:24:00, 36457.95, 36458, 36457.95, 36458, 1
MRF,2016-08-16 10:25:00, 36458, 36458, 36457.95, 36458, 2
MRF,2016-08-16 10:26:00, 36458, 36460, 36458, 36460, 2
MRF,2016-08-16 10:27:00, 36460, 36480.15, 36460, 36480.15, 3
MRF,2016-08-16 10:28:00, 36480.15, 36488.85, 36458, 36458, 34
MRF,2016-08-16 10:29:00, 36458, 36464, 36433, 36433, 14
MRF,2016-08-16 10:30:00, 36433, 36433, 36382, 36388.75, 3
MRF,2016-08-16 10:31:00, 36388.75, 36388.75, 36360.2, 36360.2, 4
MRF,2016-08-16 10:32:00, 36360.2, 36417.6, 36360.2, 36417.6, 18
MRF,2016-08-16 10:33:00, 36417.6, 36417.6, 36352.85, 36352.85, 5
MRF,2016-08-16 10:34:00, 36352.85, 36413.8, 36352.85, 36355, 6
MRF,2016-08-16 10:35:00, 36354, 36354, 36346.5, 36346.5, 2
MRF,2016-08-16 10:36:00, 36335.05, 36350.05, 36335.05, 36350.05, 2
MRF,2016-08-16 10:37:00, 36350.05, 36350.05, 36342, 36342, 1
MRF,2016-08-16 10:38:00, 36379.95, 36379.95, 36350.85, 36350.85, 3
MRF,2016-08-16 10:39:00, 36350.85, 36399, 36350.85, 36399, 7
MRF,2016-08-16 10:40:00, 36399, 36410, 36399, 36410, 3
MRF,2016-08-16 10:41:00, 36410, 36410, 36399, 36399, 8
MRF,2016-08-16 10:42:00, 36399, 36399, 36355, 36355, 1
MRF,2016-08-16 10:43:00, 36355, 36355, 36355, 36355, 0
MRF,2016-08-16 10:44:00, 36355, 36409, 36355, 36409, 8
MRF,2016-08-16 10:45:00, 36409, 36409, 36409, 36409, 0
MRF,2016-08-16 10:46:00, 36409, 36437.9, 36399, 36437.9, 6
MRF,2016-08-16 10:47:00, 36437.9, 36437.9, 36437.9, 36437.9, 0
MRF,2016-08-16 10:48:00, 36437.9, 36437.9, 36367.4, 36367.4, 1
MRF,2016-08-16 10:49:00, 36367.4, 36367.4, 36367.4, 36367.4, 0
MRF,2016-08-16 10:50:00, 36367.4, 36367.4, 36366, 36366, 1
MRF,2016-08-16 10:51:00, 36366, 36409, 36365.15, 36409, 20
MRF,2016-08-16 10:52:00, 36409, 36438.75, 36400, 36438.75, 9
MRF,2016-08-16 10:53:00, 36438.75, 36450, 36403.9, 36403.9, 2
MRF,2016-08-16 10:54:00, 36403.9, 36403.9, 36390, 36390, 10
MRF,2016-08-16 10:55:00, 36390, 36390, 36390, 36390, 0
MRF,2016-08-16 10:56:00, 36390, 36390, 36390, 36390, 0
MRF,2016-08-16 10:57:00, 36390, 36399.95, 36390, 36399.95, 2
MRF,2016-08-16 10:58:00, 36399.95, 36399.95, 36389.6, 36389.6, 8
MRF,2016-08-16 10:59:00, 36389.6, 36389.6, 36365.15, 36365.15, 6
MRF,2016-08-16 11:00:00, 36365.15, 36365.15, 36365.15, 36365.15, 0
MRF,2016-08-16 11:01:00, 36365.15, 36375, 36365.15, 36375, 6
MRF,2016-08-16 11:02:00, 36375, 36375, 36335, 36365.9, 46
MRF,2016-08-16 11:03:00, 36365.9, 36365.9, 36320.05, 36320.05, 1
MRF,2016-08-16 11:04:00, 36320.05, 36321, 36320.05, 36320.1, 18
MRF,2016-08-16 11:05:00, 36320.1, 36374.35, 36311, 36374.35, 11
MRF,2016-08-16 11:06:00, 36374.35, 36374.35, 36374.35, 36374.35, 0
MRF,2016-08-16 11:07:00, 36374.35, 36374.35, 36350, 36350, 1
MRF,2016-08-16 11:08:00, 36360, 36389.45, 36360, 36389.45, 8
MRF,2016-08-16 11:09:00, 36389.45, 36389.45, 36342.05, 36342.05, 1
MRF,2016-08-16 11:10:00, 36342.05, 36342.05, 36342, 36342, 3
MRF,2016-08-16 11:11:00, 36342, 36342.05, 36325.05, 36342.05, 4
MRF,2016-08-16 11:12:00, 36342.05, 36390, 36342.05, 36390, 17
MRF,2016-08-16 11:13:00, 36390, 36438.2, 36390, 36438.2, 8
MRF,2016-08-16 11:14:00, 36438.2, 36438.2, 36350, 36350, 6
MRF,2016-08-16 11:15:00, 36350, 36350, 36350, 36350, 0
MRF,2016-08-16 11:16:00, 36350, 36350, 36350, 36350, 0
MRF,2016-08-16 11:17:00, 36350, 36410, 36350, 36410, 8
MRF,2016-08-16 11:18:00, 36410, 36410, 36410, 36410, 0
MRF,2016-08-16 11:19:00, 36350.05, 36350.05, 36350.05, 36350.05, 5
MRF,2016-08-16 11:20:00, 36365.05, 36365.05, 36365.05, 36365.05, 2
MRF,2016-08-16 11:21:00, 36365.05, 36431.9, 36365.05, 36431.9, 7
MRF,2016-08-16 11:22:00, 36431.9, 36431.9, 36387.1, 36387.1, 1
MRF,2016-08-16 11:23:00, 36387.1, 36387.1, 36387.1, 36387.1, 0
MRF,2016-08-16 11:24:00, 36387.1, 36387.1, 36387.1, 36387.1, 0
MRF,2016-08-16 11:25:00, 36387.1, 36400, 36382.45, 36382.45, 3
MRF,2016-08-16 11:26:00, 36382.45, 36391.2, 36382.45, 36391.2, 1
MRF,2016-08-16 11:27:00, 36382.05, 36400, 36382, 36400, 8
MRF,2016-08-16 11:28:00, 36400, 36400, 36400, 36400, 0
MRF,2016-08-16 11:29:00, 36400, 36424.95, 36400, 36400, 5
