Code,Date,Open,High,Low,Close,Volume
NCC,2016-08-16 09:16:00, 77.6, 78.55, 77.55, 78.55, 131360
NCC,2016-08-16 09:15:00, 76.7, 77.55, 76.7, 77.5, 60267
NCC,2016-08-16 09:17:00, 78.5, 79.05, 78.45, 78.65, 77911
NCC,2016-08-16 09:18:00, 78.65, 78.65, 78.4, 78.4, 33818
NCC,2016-08-16 09:19:00, 78.4, 78.4, 78, 78.1, 39897
NCC,2016-08-16 09:20:00, 78.1, 78.5, 78, 78.5, 30068
NCC,2016-08-16 09:21:00, 78.45, 79.1, 78.45, 79, 97117
NCC,2016-08-16 09:22:00, 78.9, 79, 78.8, 78.95, 36202
NCC,2016-08-16 09:23:00, 78.95, 78.95, 78.7, 78.75, 26171
NCC,2016-08-16 09:24:00, 78.8, 78.8, 78.7, 78.8, 17781
NCC,2016-08-16 09:25:00, 78.8, 78.8, 78.55, 78.6, 4396
NCC,2016-08-16 09:26:00, 78.6, 78.8, 78.55, 78.8, 19000
NCC,2016-08-16 09:27:00, 78.8, 78.8, 78.5, 78.5, 20530
NCC,2016-08-16 09:28:00, 78.45, 78.6, 78.45, 78.5, 7140
NCC,2016-08-16 09:29:00, 78.5, 78.75, 78.5, 78.7, 13813
NCC,2016-08-16 09:30:00, 78.7, 78.85, 78.7, 78.75, 5798
NCC,2016-08-16 09:31:00, 78.75, 78.75, 78.6, 78.7, 5467
NCC,2016-08-16 09:32:00, 78.7, 78.9, 78.7, 78.9, 3493
NCC,2016-08-16 09:33:00, 78.9, 78.95, 78.6, 78.6, 18019
NCC,2016-08-16 09:34:00, 78.6, 78.65, 78.55, 78.65, 6170
NCC,2016-08-16 09:35:00, 78.65, 78.7, 78.45, 78.45, 6249
NCC,2016-08-16 09:36:00, 78.45, 78.45, 78.35, 78.35, 4283
NCC,2016-08-16 09:37:00, 78.4, 78.6, 78.4, 78.4, 16332
NCC,2016-08-16 09:38:00, 78.4, 78.5, 78.3, 78.3, 5242
NCC,2016-08-16 09:39:00, 78.3, 78.55, 78.3, 78.45, 5394
NCC,2016-08-16 09:40:00, 78.5, 78.5, 78.3, 78.3, 11296
NCC,2016-08-16 09:41:00, 78.25, 78.35, 78.2, 78.2, 6431
NCC,2016-08-16 09:42:00, 78.2, 78.25, 78.05, 78.05, 25430
NCC,2016-08-16 09:43:00, 78.1, 78.25, 78.05, 78.15, 9229
NCC,2016-08-16 09:44:00, 78.15, 78.2, 78.05, 78.1, 4456
NCC,2016-08-16 09:45:00, 78.1, 78.2, 78.05, 78.2, 3270
NCC,2016-08-16 09:46:00, 78.2, 78.3, 78.2, 78.25, 2442
NCC,2016-08-16 09:47:00, 78.25, 78.3, 78.2, 78.3, 4042
NCC,2016-08-16 09:48:00, 78.3, 78.35, 78.2, 78.2, 3955
NCC,2016-08-16 09:49:00, 78.2, 78.3, 78.1, 78.3, 6414
NCC,2016-08-16 09:50:00, 78.3, 78.3, 78.2, 78.2, 3338
NCC,2016-08-16 09:51:00, 78.3, 78.45, 78.2, 78.4, 10565
NCC,2016-08-16 09:52:00, 78.4, 78.4, 78.3, 78.3, 6546
NCC,2016-08-16 09:53:00, 78.35, 78.4, 78.25, 78.25, 37313
NCC,2016-08-16 09:54:00, 78.25, 78.25, 78.15, 78.15, 4461
NCC,2016-08-16 09:55:00, 78.2, 78.2, 77.9, 77.95, 39400
NCC,2016-08-16 09:56:00, 78, 78, 77.95, 77.95, 4708
NCC,2016-08-16 09:57:00, 77.95, 78, 77.95, 78, 24638
NCC,2016-08-16 09:59:00, 77.95, 78, 77.9, 78, 8031
NCC,2016-08-16 09:58:00, 77.95, 78, 77.9, 77.95, 6332
NCC,2016-08-16 10:01:00, 77.95, 78, 77.95, 77.95, 10385
NCC,2016-08-16 10:00:00, 78, 78, 77.95, 77.95, 4327
NCC,2016-08-16 10:02:00, 77.95, 78, 77.9, 78, 2079
NCC,2016-08-16 10:03:00, 78, 78, 78, 78, 9645
NCC,2016-08-16 10:04:00, 78, 78.1, 78, 78.05, 3429
NCC,2016-08-16 10:05:00, 78.05, 78.05, 78, 78.05, 1712
NCC,2016-08-16 10:06:00, 78, 78.1, 78, 78.1, 3737
NCC,2016-08-16 10:07:00, 78.1, 78.1, 78.05, 78.1, 5043
NCC,2016-08-16 10:08:00, 78.1, 78.1, 78, 78.1, 1709
NCC,2016-08-16 10:09:00, 78.1, 78.15, 78, 78.15, 3217
NCC,2016-08-16 10:10:00, 78.15, 78.2, 78.1, 78.15, 5475
NCC,2016-08-16 10:11:00, 78.15, 78.25, 78.15, 78.25, 4376
NCC,2016-08-16 10:12:00, 78.25, 78.25, 78.15, 78.2, 3281
NCC,2016-08-16 10:13:00, 78.2, 78.25, 78.15, 78.25, 9486
NCC,2016-08-16 10:14:00, 78.25, 78.25, 78.2, 78.25, 2828
