Code,Date,Open,High,Low,Close,Volume
NHPC,2016-08-16 09:15:00, 26.4, 26.4, 26.25, 26.25, 40962
NHPC,2016-08-16 09:16:00, 26.2, 26.3, 26.2, 26.3, 52712
NHPC,2016-08-16 09:17:00, 26.3, 26.3, 26.25, 26.3, 27872
NHPC,2016-08-16 09:18:00, 26.3, 26.3, 26.25, 26.3, 44851
NHPC,2016-08-16 09:19:00, 26.3, 26.3, 26.2, 26.3, 61598
NHPC,2016-08-16 09:20:00, 26.25, 26.3, 26.25, 26.3, 27387
NHPC,2016-08-16 09:21:00, 26.3, 26.4, 26.25, 26.4, 56541
NHPC,2016-08-16 09:22:00, 26.4, 26.4, 26.35, 26.4, 36133
NHPC,2016-08-16 09:23:00, 26.4, 26.4, 26.35, 26.35, 48914
NHPC,2016-08-16 09:24:00, 26.4, 26.4, 26.35, 26.4, 102023
NHPC,2016-08-16 09:25:00, 26.4, 26.4, 26.35, 26.4, 63434
NHPC,2016-08-16 09:26:00, 26.4, 26.4, 26.35, 26.4, 6010
NHPC,2016-08-16 09:27:00, 26.35, 26.4, 26.35, 26.4, 26565
NHPC,2016-08-16 09:28:00, 26.4, 26.5, 26.4, 26.5, 159568
NHPC,2016-08-16 09:29:00, 26.55, 26.6, 26.5, 26.55, 231098
NHPC,2016-08-16 09:30:00, 26.55, 26.6, 26.55, 26.6, 34506
NHPC,2016-08-16 09:31:00, 26.6, 26.6, 26.55, 26.6, 35274
NHPC,2016-08-16 09:32:00, 26.6, 26.6, 26.5, 26.55, 73137
NHPC,2016-08-16 09:33:00, 26.5, 26.55, 26.5, 26.55, 50090
NHPC,2016-08-16 09:34:00, 26.55, 26.55, 26.45, 26.5, 99760
NHPC,2016-08-16 09:35:00, 26.5, 26.55, 26.45, 26.5, 42150
NHPC,2016-08-16 09:36:00, 26.55, 26.55, 26.5, 26.5, 74255
NHPC,2016-08-16 09:38:00, 26.55, 26.6, 26.5, 26.6, 126018
NHPC,2016-08-16 09:37:00, 26.5, 26.55, 26.45, 26.55, 22072
NHPC,2016-08-16 09:39:00, 26.65, 26.8, 26.65, 26.7, 314468
NHPC,2016-08-16 09:40:00, 26.7, 26.7, 26.65, 26.65, 16847
NHPC,2016-08-16 09:41:00, 26.7, 26.75, 26.7, 26.75, 66884
NHPC,2016-08-16 09:42:00, 26.75, 26.75, 26.65, 26.7, 65239
NHPC,2016-08-16 09:43:00, 26.75, 26.75, 26.7, 26.7, 20777
NHPC,2016-08-16 09:44:00, 26.75, 26.75, 26.7, 26.75, 50282
NHPC,2016-08-16 09:45:00, 26.75, 26.8, 26.75, 26.8, 184541
NHPC,2016-08-16 09:46:00, 26.8, 26.8, 26.75, 26.75, 26248
NHPC,2016-08-16 09:47:00, 26.75, 26.8, 26.75, 26.8, 75611
NHPC,2016-08-16 09:48:00, 26.75, 26.8, 26.75, 26.75, 91182
NHPC,2016-08-16 09:49:00, 26.75, 26.8, 26.75, 26.75, 46342
NHPC,2016-08-16 09:50:00, 26.75, 26.8, 26.75, 26.8, 21411
NHPC,2016-08-16 09:51:00, 26.8, 26.8, 26.75, 26.8, 3586
NHPC,2016-08-16 09:52:00, 26.8, 26.8, 26.75, 26.8, 58202
NHPC,2016-08-16 09:53:00, 26.75, 26.8, 26.75, 26.8, 56970
