Code,Date,Open,High,Low,Close,Volume
NIFTY50,2016-08-16 09:15:00, 3449.35, 3449.35, 3439.1, 3439.1, 0
NIFTY50,2016-08-16 09:16:00, 3439.1, 3439.35, 3437.1, 3438.25, 0
NIFTY50,2016-08-16 09:17:00, 3438.25, 3441.8, 3438.25, 3438.3, 0
NIFTY50,2016-08-16 09:18:00, 3438.3, 3439.2, 3436.95, 3437.4, 0
NIFTY50,2016-08-16 09:19:00, 3437.75, 3437.75, 3431.7, 3435.4, 0
NIFTY50,2016-08-16 09:20:00, 3435.4, 3441.35, 3435.4, 3441.35, 0
NIFTY50,2016-08-16 09:21:00, 3441.35, 3446.15, 3441.35, 3442.7, 0
NIFTY50,2016-08-16 09:22:00, 3441.8, 3441.8, 3438.35, 3441.45, 0
NIFTY50,2016-08-16 09:23:00, 3441.45, 3443.2, 3441.3, 3441.65, 0
NIFTY50,2016-08-16 09:24:00, 3441.65, 3442.1, 3439.05, 3442.1, 0
NIFTY50,2016-08-16 09:25:00, 3442.1, 3442.1, 3437.2, 3437.2, 0
NIFTY50,2016-08-16 09:26:00, 3437.2, 3444.5, 3437.15, 3444, 0
NIFTY50,2016-08-16 09:28:00, 3446.1, 3447.75, 3445.9, 3447.05, 0
NIFTY50,2016-08-16 09:27:00, 3444, 3445.95, 3444, 3445.95, 0
NIFTY50,2016-08-16 09:29:00, 3447.05, 3448.85, 3446.65, 3448.8, 0
NIFTY50,2016-08-16 09:30:00, 3448.8, 3450.8, 3446.8, 3450.8, 0
NIFTY50,2016-08-16 09:31:00, 3450.8, 3452.95, 3450.75, 3452.95, 0
NIFTY50,2016-08-16 09:32:00, 3452.95, 3454.1, 3452.05, 3454.1, 0
NIFTY50,2016-08-16 09:33:00, 3454.1, 3454.65, 3447.55, 3447.55, 0
NIFTY50,2016-08-16 09:34:00, 3447.55, 3451, 3446.4, 3451, 0
NIFTY50,2016-08-16 09:35:00, 3451, 3451, 3447.95, 3448.45, 0
NIFTY50,2016-08-16 09:36:00, 3448.45, 3448.45, 3444.7, 3444.7, 0
NIFTY50,2016-08-16 09:37:00, 3444.7, 3445.8, 3443.05, 3445.15, 0
NIFTY50,2016-08-16 09:38:00, 3445.15, 3447.2, 3445.15, 3445.2, 0
NIFTY50,2016-08-16 09:39:00, 3445.2, 3452.75, 3444.7, 3452.75, 0
NIFTY50,2016-08-16 09:40:00, 3452.75, 3452.85, 3449.6, 3450.75, 0
NIFTY50,2016-08-16 09:41:00, 3450.75, 3450.75, 3448.3, 3449.5, 0
NIFTY50,2016-08-16 09:42:00, 3449.5, 3450.5, 3448.85, 3448.85, 0
NIFTY50,2016-08-16 09:43:00, 3449.1, 3451.4, 3449.1, 3451.15, 0
NIFTY50,2016-08-16 09:44:00, 3451.05, 3453.2, 3450.65, 3452.85, 0
NIFTY50,2016-08-16 09:45:00, 3452.85, 3453.75, 3452.8, 3452.85, 0
NIFTY50,2016-08-16 09:46:00, 3452.85, 3455.5, 3452.5, 3453.9, 0
NIFTY50,2016-08-16 09:47:00, 3453.9, 3454.9, 3453.75, 3454.9, 0
NIFTY50,2016-08-16 09:49:00, 3455.3, 3455.9, 3454.55, 3454.8, 0
NIFTY50,2016-08-16 09:48:00, 3455.6, 3456.5, 3455.6, 3456.15, 0
NIFTY50,2016-08-16 09:50:00, 3454.8, 3456.4, 3454.8, 3456.3, 0
NIFTY50,2016-08-16 09:51:00, 3456.3, 3457.55, 3455.5, 3455.8, 0
NIFTY50,2016-08-16 09:52:00, 3455.8, 3456.25, 3452.9, 3452.9, 0
NIFTY50,2016-08-16 09:53:00, 3452.9, 3453.2, 3451, 3451, 0
NIFTY50,2016-08-16 09:54:00, 3451, 3454.25, 3451, 3452.45, 0
NIFTY50,2016-08-16 09:55:00, 3452.45, 3454.45, 3452.25, 3453, 0
NIFTY50,2016-08-16 09:56:00, 3453, 3453.7, 3451.6, 3451.6, 0
NIFTY50,2016-08-16 09:57:00, 3451.6, 3454.1, 3451.6, 3454.1, 0
NIFTY50,2016-08-16 09:58:00, 3454.1, 3454.1, 3451.2, 3451.9, 0
NIFTY50,2016-08-16 09:59:00, 3451.75, 3451.75, 3449.25, 3449.4, 0
NIFTY50,2016-08-16 10:00:00, 3449.6, 3450.3, 3449.55, 3449.7, 0
NIFTY50,2016-08-16 10:01:00, 3449.7, 3451.55, 3449.65, 3449.65, 0
NIFTY50,2016-08-16 10:02:00, 3449.65, 3452.6, 3449.65, 3451.25, 0
NIFTY50,2016-08-16 10:03:00, 3451.25, 3453.6, 3450.95, 3453.2, 0
NIFTY50,2016-08-16 10:04:00, 3453.2, 3453.2, 3451.55, 3451.55, 0
NIFTY50,2016-08-16 10:05:00, 3451.05, 3451.05, 3449.45, 3449.45, 0
NIFTY50,2016-08-16 10:06:00, 3449.45, 3452.05, 3449.35, 3452.05, 0
NIFTY50,2016-08-16 10:07:00, 3452.05, 3452.05, 3451.05, 3451.6, 0
NIFTY50,2016-08-16 10:08:00, 3451.6, 3451.85, 3450, 3451.85, 0
NIFTY50,2016-08-16 10:09:00, 3451.85, 3453.25, 3451.3, 3452.2, 0
NIFTY50,2016-08-16 10:10:00, 3452.55, 3454.55, 3452.2, 3454.55, 0
NIFTY50,2016-08-16 10:11:00, 3454.5, 3455.1, 3454, 3454.05, 0
NIFTY50,2016-08-16 10:12:00, 3454.05, 3455.05, 3453.95, 3453.95, 0
NIFTY50,2016-08-16 10:13:00, 3453.95, 3455.05, 3453.9, 3455.05, 0
NIFTY50,2016-08-16 10:14:00, 3455.05, 3458.2, 3455.05, 3457.95, 0
NIFTY50,2016-08-16 10:15:00, 3458.2, 3458.65, 3456.25, 3456.3, 0
NIFTY50,2016-08-16 10:16:00, 3456.4, 3456.8, 3455.85, 3456, 0
NIFTY50,2016-08-16 10:17:00, 3456, 3456.45, 3455.65, 3455.65, 0
NIFTY50,2016-08-16 10:18:00, 3455.65, 3456.05, 3454.65, 3454.65, 0
NIFTY50,2016-08-16 10:19:00, 3454.65, 3456.05, 3454.65, 3455.95, 0
NIFTY50,2016-08-16 10:20:00, 3455.95, 3456.8, 3455.5, 3456.25, 0
