Code,Date,Open,High,Low,Close,Volume
NIFTYAUTO,2016-08-16 09:15:00, 9622.55, 9622.55, 9599.65, 9603.25, 0
NIFTYAUTO,2016-08-16 09:16:00, 9600.5, 9600.5, 9594.55, 9596.15, 0
NIFTYAUTO,2016-08-16 09:17:00, 9598.85, 9607.65, 9598.55, 9602.25, 0
NIFTYAUTO,2016-08-16 09:18:00, 9602.25, 9602.25, 9592.3, 9595.8, 0
NIFTYAUTO,2016-08-16 09:19:00, 9595.8, 9596.6, 9590.7, 9591.85, 0
NIFTYAUTO,2016-08-16 09:20:00, 9591.85, 9595.7, 9588.95, 9595.7, 0
NIFTYAUTO,2016-08-16 09:21:00, 9595.7, 9602.6, 9588.2, 9588.2, 0
NIFTYAUTO,2016-08-16 09:22:00, 9588.2, 9588.2, 9573.15, 9584.85, 0
NIFTYAUTO,2016-08-16 09:23:00, 9585.8, 9588.05, 9581.9, 9583.4, 0
NIFTYAUTO,2016-08-16 09:24:00, 9583.4, 9584.5, 9582.05, 9582.05, 0
NIFTYAUTO,2016-08-16 09:25:00, 9582.05, 9584.6, 9580.3, 9581.3, 0
NIFTYAUTO,2016-08-16 09:26:00, 9581.3, 9584.2, 9577.75, 9583.6, 0
NIFTYAUTO,2016-08-16 09:27:00, 9583.6, 9590.45, 9583.6, 9590.45, 0
NIFTYAUTO,2016-08-16 09:28:00, 9590.45, 9599.1, 9590.45, 9599.1, 0
NIFTYAUTO,2016-08-16 09:29:00, 9600.15, 9605.1, 9600.15, 9605.1, 0
NIFTYAUTO,2016-08-16 09:30:00, 9606.3, 9606.75, 9604.1, 9606.7, 0
NIFTYAUTO,2016-08-16 09:31:00, 9606.7, 9607.75, 9605.5, 9605.5, 0
NIFTYAUTO,2016-08-16 09:32:00, 9605.5, 9606.25, 9603.85, 9604.95, 0
NIFTYAUTO,2016-08-16 09:33:00, 9604.95, 9605.55, 9589.3, 9590.95, 0
NIFTYAUTO,2016-08-16 09:34:00, 9590.95, 9593.05, 9587.9, 9593.05, 0
NIFTYAUTO,2016-08-16 09:35:00, 9596.95, 9598.25, 9593.25, 9593.25, 0
NIFTYAUTO,2016-08-16 09:36:00, 9592.5, 9592.5, 9587.85, 9587.85, 0
NIFTYAUTO,2016-08-16 09:37:00, 9587.6, 9591.8, 9586.65, 9588.95, 0
NIFTYAUTO,2016-08-16 09:38:00, 9588.95, 9591.6, 9588.95, 9589.2, 0
NIFTYAUTO,2016-08-16 09:39:00, 9589.2, 9604.6, 9589, 9604.6, 0
NIFTYAUTO,2016-08-16 09:40:00, 9604.6, 9609.9, 9604.6, 9609.9, 0
NIFTYAUTO,2016-08-16 09:41:00, 9609.9, 9609.9, 9604.1, 9605.95, 0
NIFTYAUTO,2016-08-16 09:42:00, 9605.95, 9605.95, 9601.5, 9601.5, 0
NIFTYAUTO,2016-08-16 09:43:00, 9601.55, 9606.2, 9601.55, 9606.1, 0
NIFTYAUTO,2016-08-16 09:44:00, 9606.35, 9611.25, 9606.35, 9611.25, 0
NIFTYAUTO,2016-08-16 09:45:00, 9611.25, 9615.15, 9610.35, 9614.45, 0
NIFTYAUTO,2016-08-16 09:46:00, 9614.45, 9617.1, 9614.35, 9614.75, 0
NIFTYAUTO,2016-08-16 09:47:00, 9614.75, 9615.75, 9613.75, 9614.45, 0
NIFTYAUTO,2016-08-16 09:48:00, 9614.45, 9615.7, 9613.8, 9613.8, 0
NIFTYAUTO,2016-08-16 09:49:00, 9614, 9614.1, 9612.15, 9612.15, 0
NIFTYAUTO,2016-08-16 09:50:00, 9611.4, 9611.4, 9609.7, 9610.4, 0
NIFTYAUTO,2016-08-16 09:51:00, 9610.4, 9612.5, 9609.45, 9611.4, 0
NIFTYAUTO,2016-08-16 09:52:00, 9611.4, 9612.05, 9605.9, 9605.9, 0
