Code,Date,Open,High,Low,Close,Volume
NIFTYINFRA,2016-08-16 09:15:00, 2909.85, 2911.95, 2904.6, 2904.6, 0
NIFTYINFRA,2016-08-16 09:16:00, 2903.45, 2904.35, 2902.65, 2903.95, 0
NIFTYINFRA,2016-08-16 09:17:00, 2904.15, 2908.4, 2903.95, 2907.8, 0
NIFTYINFRA,2016-08-16 09:19:00, 2901.2, 2901.25, 2896.95, 2898.4, 0
NIFTYINFRA,2016-08-16 09:20:00, 2898.4, 2901.1, 2897.5, 2901.1, 0
NIFTYINFRA,2016-08-16 09:21:00, 2901.1, 2903.6, 2901.1, 2901.1, 0
NIFTYINFRA,2016-08-16 09:22:00, 2901.1, 2902.1, 2898.5, 2901.75, 0
NIFTYINFRA,2016-08-16 09:23:00, 2902.15, 2904.05, 2901.7, 2902.25, 0
NIFTYINFRA,2016-08-16 09:18:00, 2907.8, 2907.8, 2901.2, 2901.2, 0
NIFTYINFRA,2016-08-16 09:24:00, 2902.25, 2902.25, 2900.6, 2901.2, 0
NIFTYINFRA,2016-08-16 09:25:00, 2901.2, 2901.5, 2900.65, 2900.65, 0
NIFTYINFRA,2016-08-16 09:26:00, 2900.65, 2908.1, 2900.3, 2907.6, 0
NIFTYINFRA,2016-08-16 09:27:00, 2907.6, 2911.05, 2907.6, 2910.9, 0
NIFTYINFRA,2016-08-16 09:28:00, 2910.9, 2911.35, 2910.15, 2910.6, 0
NIFTYINFRA,2016-08-16 09:29:00, 2909.8, 2910.85, 2909.55, 2910.65, 0
NIFTYINFRA,2016-08-16 09:30:00, 2910.5, 2913.35, 2908.35, 2913.35, 0
NIFTYINFRA,2016-08-16 09:31:00, 2913.35, 2913.35, 2912.25, 2912.6, 0
NIFTYINFRA,2016-08-16 09:32:00, 2912.6, 2912.95, 2912.1, 2912.95, 0
NIFTYINFRA,2016-08-16 09:33:00, 2912.95, 2912.95, 2909.7, 2909.7, 0
NIFTYINFRA,2016-08-16 09:34:00, 2909.7, 2909.7, 2907.8, 2908.8, 0
NIFTYINFRA,2016-08-16 09:35:00, 2909.05, 2909.5, 2908.15, 2908.65, 0
NIFTYINFRA,2016-08-16 09:36:00, 2908.5, 2908.95, 2906.55, 2906.55, 0
NIFTYINFRA,2016-08-16 09:37:00, 2906.4, 2907.35, 2906.15, 2907.25, 0
NIFTYINFRA,2016-08-16 09:38:00, 2907.25, 2909.05, 2907.25, 2908.65, 0
NIFTYINFRA,2016-08-16 09:39:00, 2908.65, 2916.4, 2908.65, 2915.65, 0
NIFTYINFRA,2016-08-16 09:40:00, 2915.65, 2915.65, 2914.05, 2914.5, 0
NIFTYINFRA,2016-08-16 09:41:00, 2914.5, 2914.5, 2912.35, 2913.65, 0
NIFTYINFRA,2016-08-16 09:42:00, 2913.65, 2913.85, 2912.6, 2912.6, 0
NIFTYINFRA,2016-08-16 09:43:00, 2912.65, 2915.25, 2912.65, 2914.95, 0
NIFTYINFRA,2016-08-16 09:44:00, 2915.1, 2917.15, 2915.1, 2917.15, 0
NIFTYINFRA,2016-08-16 09:45:00, 2917.15, 2917.25, 2915, 2915, 0
NIFTYINFRA,2016-08-16 09:46:00, 2915, 2917.15, 2915, 2916.05, 0
NIFTYINFRA,2016-08-16 09:47:00, 2916.05, 2916.3, 2915.9, 2916.15, 0
NIFTYINFRA,2016-08-16 09:48:00, 2916.15, 2916.7, 2915.9, 2916.15, 0
NIFTYINFRA,2016-08-16 09:49:00, 2916.8, 2917.5, 2916.8, 2917.05, 0
