Code,Date,Open,High,Low,Close,Volume
NIFTYPSU BANK,2016-08-16 09:15:00, 2980.9, 2988.5, 2969.7, 2975.05, 0
NIFTYPSU BANK,2016-08-16 09:16:00, 2975.85, 2976.6, 2972.55, 2975.55, 0
NIFTYPSU BANK,2016-08-16 09:17:00, 2974.75, 2974.75, 2967.35, 2969.8, 0
NIFTYPSU BANK,2016-08-16 09:18:00, 2969.8, 2971.35, 2965.2, 2966.15, 0
NIFTYPSU BANK,2016-08-16 09:19:00, 2966.15, 2967.4, 2956.7, 2959.8, 0
NIFTYPSU BANK,2016-08-16 09:20:00, 2959.8, 2969.4, 2959.4, 2969.4, 0
NIFTYPSU BANK,2016-08-16 09:21:00, 2969.4, 2975.25, 2969.4, 2971.1, 0
NIFTYPSU BANK,2016-08-16 09:22:00, 2971.1, 2973.15, 2967.2, 2972.6, 0
NIFTYPSU BANK,2016-08-16 09:23:00, 2973.25, 2975.25, 2970.25, 2972.45, 0
NIFTYPSU BANK,2016-08-16 09:24:00, 2972.45, 2972.45, 2965.75, 2970.35, 0
NIFTYPSU BANK,2016-08-16 09:25:00, 2970.35, 2970.35, 2966.4, 2966.4, 0
NIFTYPSU BANK,2016-08-16 09:26:00, 2966.4, 2973.15, 2966.05, 2973.15, 0
NIFTYPSU BANK,2016-08-16 09:27:00, 2973.15, 2981.55, 2973.15, 2980.25, 0
NIFTYPSU BANK,2016-08-16 09:28:00, 2980.25, 2990.55, 2980.15, 2987.45, 0
NIFTYPSU BANK,2016-08-16 09:29:00, 2989.35, 2993.05, 2988.25, 2993.05, 0
NIFTYPSU BANK,2016-08-16 09:30:00, 2991.4, 2991.4, 2989.65, 2990.2, 0
NIFTYPSU BANK,2016-08-16 09:31:00, 2990.2, 2995.35, 2988.45, 2994.65, 0
NIFTYPSU BANK,2016-08-16 09:32:00, 2994.65, 3002.2, 2992.8, 3002.2, 0
NIFTYPSU BANK,2016-08-16 09:33:00, 3002.2, 3002.2, 2993.25, 2993.25, 0
NIFTYPSU BANK,2016-08-16 09:34:00, 2993.25, 2993.25, 2989.7, 2990.8, 0
NIFTYPSU BANK,2016-08-16 09:35:00, 2989, 2989, 2987.15, 2987.65, 0
NIFTYPSU BANK,2016-08-16 09:36:00, 2987.95, 2988.35, 2979.5, 2979.5, 0
NIFTYPSU BANK,2016-08-16 09:37:00, 2977.1, 2978.4, 2973.5, 2977.2, 0
NIFTYPSU BANK,2016-08-16 09:38:00, 2977.2, 2980.2, 2977.2, 2978.35, 0
NIFTYPSU BANK,2016-08-16 09:39:00, 2978.35, 2984.2, 2978.35, 2983.45, 0
NIFTYPSU BANK,2016-08-16 09:40:00, 2983.45, 2983.45, 2980.25, 2982.65, 0
NIFTYPSU BANK,2016-08-16 09:41:00, 2982.65, 2982.65, 2976.35, 2978.6, 0
NIFTYPSU BANK,2016-08-16 09:42:00, 2978.6, 2979.2, 2976.15, 2977.75, 0
NIFTYPSU BANK,2016-08-16 09:43:00, 2978, 2982.35, 2978, 2981.4, 0
NIFTYPSU BANK,2016-08-16 09:44:00, 2981.05, 2988, 2981.05, 2988, 0
NIFTYPSU BANK,2016-08-16 09:45:00, 2988, 2988, 2986.4, 2986.4, 0
NIFTYPSU BANK,2016-08-16 09:46:00, 2986.4, 2989.3, 2986.35, 2986.35, 0
NIFTYPSU BANK,2016-08-16 09:47:00, 2986.35, 2986.4, 2982.15, 2986.2, 0
NIFTYPSU BANK,2016-08-16 09:48:00, 2986.2, 2989.15, 2985.9, 2986.65, 0
NIFTYPSU BANK,2016-08-16 09:49:00, 2985.7, 2986.5, 2980.1, 2981.75, 0
NIFTYPSU BANK,2016-08-16 09:50:00, 2982.3, 2983.75, 2981, 2982.7, 0
NIFTYPSU BANK,2016-08-16 09:51:00, 2982.7, 2984.55, 2982.05, 2982.8, 0
NIFTYPSU BANK,2016-08-16 09:52:00, 2982.8, 2983.25, 2977.55, 2977.55, 0
