Code,Date,Open,High,Low,Close,Volume
NIFTYREALTY,2016-08-16 09:15:00, 208.95, 209.2, 208.55, 208.55, 0
NIFTYREALTY,2016-08-16 09:16:00, 208.45, 208.6, 208.4, 208.45, 0
NIFTYREALTY,2016-08-16 09:17:00, 208.6, 208.75, 208.55, 208.65, 0
NIFTYREALTY,2016-08-16 09:18:00, 208.65, 208.65, 207.95, 208.05, 0
NIFTYREALTY,2016-08-16 09:19:00, 208.05, 208.1, 207.4, 207.4, 0
NIFTYREALTY,2016-08-16 09:20:00, 207.4, 208.1, 207.4, 208.1, 0
NIFTYREALTY,2016-08-16 09:21:00, 208.1, 208.35, 208.1, 208.15, 0
NIFTYREALTY,2016-08-16 09:22:00, 208.15, 208.15, 207.7, 208.1, 0
NIFTYREALTY,2016-08-16 09:23:00, 208.15, 208.2, 207.9, 208, 0
NIFTYREALTY,2016-08-16 09:24:00, 208, 208, 207.75, 207.95, 0
NIFTYREALTY,2016-08-16 09:25:00, 207.95, 208.1, 207.8, 207.8, 0
NIFTYREALTY,2016-08-16 09:26:00, 207.8, 208.1, 207.65, 208, 0
NIFTYREALTY,2016-08-16 09:27:00, 208, 208.4, 208, 208.25, 0
NIFTYREALTY,2016-08-16 09:28:00, 208.25, 208.8, 208.25, 208.65, 0
NIFTYREALTY,2016-08-16 09:29:00, 208.6, 208.85, 208.5, 208.7, 0
NIFTYREALTY,2016-08-16 09:30:00, 208.55, 208.7, 208.45, 208.65, 0
NIFTYREALTY,2016-08-16 09:32:00, 208.6, 208.65, 208.5, 208.65, 0
NIFTYREALTY,2016-08-16 09:31:00, 208.65, 208.7, 208.6, 208.6, 0
NIFTYREALTY,2016-08-16 09:33:00, 208.65, 208.65, 208.1, 208.2, 0
NIFTYREALTY,2016-08-16 09:34:00, 208.2, 208.2, 207.9, 208.2, 0
NIFTYREALTY,2016-08-16 09:35:00, 208.2, 208.35, 208.2, 208.3, 0
NIFTYREALTY,2016-08-16 09:36:00, 208.3, 208.4, 208, 208, 0
NIFTYREALTY,2016-08-16 09:37:00, 208.05, 208.25, 208, 208.1, 0
NIFTYREALTY,2016-08-16 09:38:00, 208.1, 208.25, 207.7, 207.95, 0
NIFTYREALTY,2016-08-16 09:39:00, 207.95, 208, 207.75, 208, 0
NIFTYREALTY,2016-08-16 09:40:00, 208, 208.1, 207.95, 208.05, 0
NIFTYREALTY,2016-08-16 09:41:00, 208.05, 208.05, 207.8, 207.8, 0
NIFTYREALTY,2016-08-16 09:42:00, 207.8, 207.9, 207.65, 207.9, 0
NIFTYREALTY,2016-08-16 09:43:00, 208.05, 208.15, 207.95, 208, 0
NIFTYREALTY,2016-08-16 09:45:00, 208.05, 208.15, 207.9, 207.9, 0
NIFTYREALTY,2016-08-16 09:44:00, 208.1, 208.15, 208.05, 208.05, 0
NIFTYREALTY,2016-08-16 09:46:00, 207.9, 208.1, 207.9, 208.05, 0
NIFTYREALTY,2016-08-16 09:47:00, 208.05, 208.15, 207.95, 208.15, 0
NIFTYREALTY,2016-08-16 09:48:00, 208.15, 208.4, 208.15, 208.35, 0
NIFTYREALTY,2016-08-16 09:49:00, 208.35, 208.5, 208.35, 208.5, 0
NIFTYREALTY,2016-08-16 09:50:00, 208.5, 208.5, 208.3, 208.35, 0
NIFTYREALTY,2016-08-16 09:51:00, 208.35, 208.4, 208.2, 208.35, 0
NIFTYREALTY,2016-08-16 09:52:00, 208.35, 208.35, 207.95, 208, 0
NIFTYREALTY,2016-08-16 09:53:00, 208, 208, 207.8, 207.9, 0
NIFTYREALTY,2016-08-16 09:54:00, 207.9, 208.1, 207.9, 208.05, 0
NIFTYREALTY,2016-08-16 09:55:00, 208.05, 208.1, 207.85, 207.9, 0
NIFTYREALTY,2016-08-16 09:56:00, 207.95, 207.95, 207.7, 207.75, 0
NIFTYREALTY,2016-08-16 09:58:00, 207.75, 207.75, 207.65, 207.7, 0
NIFTYREALTY,2016-08-16 09:57:00, 207.75, 207.9, 207.65, 207.65, 0
NIFTYREALTY,2016-08-16 09:59:00, 207.65, 207.65, 207.55, 207.55, 0
NIFTYREALTY,2016-08-16 10:00:00, 207.55, 207.7, 207.55, 207.6, 0
NIFTYREALTY,2016-08-16 10:01:00, 207.6, 207.6, 207.15, 207.15, 0
NIFTYREALTY,2016-08-16 10:02:00, 207.15, 207.4, 207.15, 207.4, 0
NIFTYREALTY,2016-08-16 10:03:00, 207.4, 207.4, 207.25, 207.35, 0
NIFTYREALTY,2016-08-16 10:04:00, 207.35, 207.4, 207.25, 207.25, 0
NIFTYREALTY,2016-08-16 10:05:00, 207.25, 207.35, 207.15, 207.2, 0
NIFTYREALTY,2016-08-16 10:06:00, 207.2, 207.25, 207.1, 207.25, 0
NIFTYREALTY,2016-08-16 10:07:00, 207.25, 207.25, 207.15, 207.2, 0
NIFTYREALTY,2016-08-16 10:08:00, 207.2, 207.2, 206.95, 207.15, 0
NIFTYREALTY,2016-08-16 10:09:00, 207.15, 207.15, 207.1, 207.15, 0
NIFTYREALTY,2016-08-16 10:10:00, 207.15, 207.25, 207.1, 207.25, 0
NIFTYREALTY,2016-08-16 10:11:00, 207.25, 207.3, 207.2, 207.25, 0
NIFTYREALTY,2016-08-16 10:12:00, 207.3, 207.3, 207.15, 207.15, 0
NIFTYREALTY,2016-08-16 10:13:00, 207.1, 207.25, 207.1, 207.25, 0
NIFTYREALTY,2016-08-16 10:14:00, 207.25, 207.25, 207.2, 207.25, 0
NIFTYREALTY,2016-08-16 10:15:00, 207.25, 207.3, 207.2, 207.3, 0
NIFTYREALTY,2016-08-16 10:16:00, 207.3, 207.3, 207.05, 207.15, 0
NIFTYREALTY,2016-08-16 10:17:00, 207.15, 207.15, 207, 207.1, 0
NIFTYREALTY,2016-08-16 10:18:00, 207.1, 207.15, 207.05, 207.15, 0
NIFTYREALTY,2016-08-16 10:19:00, 207.15, 207.15, 207.05, 207.05, 0
NIFTYREALTY,2016-08-16 10:20:00, 207.05, 207.2, 207.05, 207.15, 0
NIFTYREALTY,2016-08-16 10:21:00, 207.15, 207.2, 207.1, 207.1, 0
NIFTYREALTY,2016-08-16 10:22:00, 207.1, 207.1, 206.95, 207, 0
NIFTYREALTY,2016-08-16 10:23:00, 207, 207.15, 207, 207.15, 0
NIFTYREALTY,2016-08-16 10:24:00, 207.15, 207.15, 207.05, 207.05, 0
NIFTYREALTY,2016-08-16 10:25:00, 207.05, 207.1, 207.05, 207.1, 0
NIFTYREALTY,2016-08-16 10:26:00, 207.1, 207.1, 207, 207, 0
NIFTYREALTY,2016-08-16 10:27:00, 207, 207.05, 207, 207, 0
NIFTYREALTY,2016-08-16 10:28:00, 207, 207, 206.6, 206.6, 0
