Code,Date,Open,High,Low,Close,Volume
NIITTECH,2016-08-16 09:15:00, 414.25, 414.3, 411, 411, 1376
NIITTECH,2016-08-16 09:16:00, 411, 413.55, 411, 412.45, 407
NIITTECH,2016-08-16 09:17:00, 412.45, 412.85, 412.45, 412.45, 73
NIITTECH,2016-08-16 09:18:00, 412.45, 412.8, 411.1, 411.1, 467
NIITTECH,2016-08-16 09:19:00, 411.15, 412.75, 411.15, 411.8, 98
NIITTECH,2016-08-16 09:20:00, 411.8, 412.75, 411.8, 412.75, 297
NIITTECH,2016-08-16 09:22:00, 412.85, 412.85, 412.05, 412.8, 416
NIITTECH,2016-08-16 09:21:00, 412.75, 412.8, 412, 412.75, 1641
NIITTECH,2016-08-16 09:23:00, 412.8, 412.85, 412.1, 412.1, 124
NIITTECH,2016-08-16 09:24:00, 412.2, 412.75, 412.2, 412.2, 144
NIITTECH,2016-08-16 09:25:00, 412.2, 412.5, 412.1, 412.5, 165
NIITTECH,2016-08-16 09:26:00, 412.5, 412.5, 411.1, 411.1, 1231
NIITTECH,2016-08-16 09:27:00, 411.1, 411.5, 410, 411.5, 1615
NIITTECH,2016-08-16 09:28:00, 411.5, 411.5, 411.45, 411.45, 46
NIITTECH,2016-08-16 09:29:00, 411.3, 411.5, 411.25, 411.4, 562
NIITTECH,2016-08-16 09:30:00, 411.4, 411.5, 411, 411, 1618
NIITTECH,2016-08-16 09:31:00, 411, 411.5, 411, 411.25, 566
NIITTECH,2016-08-16 09:32:00, 411.25, 411.45, 411.25, 411.3, 50
NIITTECH,2016-08-16 09:33:00, 411.3, 411.5, 411.05, 411.4, 751
NIITTECH,2016-08-16 09:34:00, 411.45, 411.45, 411.4, 411.45, 132
NIITTECH,2016-08-16 09:36:00, 411.35, 411.35, 411, 411.05, 109
NIITTECH,2016-08-16 09:35:00, 411.45, 411.5, 411, 411.35, 770
NIITTECH,2016-08-16 09:37:00, 411.2, 411.4, 410.55, 410.55, 210
NIITTECH,2016-08-16 09:38:00, 410.55, 410.6, 410.45, 410.5, 77
NIITTECH,2016-08-16 09:39:00, 410.5, 410.5, 410.15, 410.15, 75
NIITTECH,2016-08-16 09:40:00, 410.15, 411.15, 410, 410, 432
NIITTECH,2016-08-16 09:41:00, 410.95, 411.15, 410, 410.55, 227
NIITTECH,2016-08-16 09:42:00, 410.55, 411.5, 410.55, 411.05, 781
NIITTECH,2016-08-16 09:43:00, 411.05, 411.2, 411, 411, 127
NIITTECH,2016-08-16 09:44:00, 411, 411, 410.2, 410.2, 141
NIITTECH,2016-08-16 09:45:00, 410.2, 410.8, 410, 410.8, 749
NIITTECH,2016-08-16 09:46:00, 410.8, 411.2, 410.8, 411.2, 327
NIITTECH,2016-08-16 09:47:00, 411.2, 411.5, 411.2, 411.45, 148
NIITTECH,2016-08-16 09:48:00, 411.45, 411.5, 411.45, 411.45, 61
NIITTECH,2016-08-16 09:49:00, 411.45, 411.5, 410.85, 410.95, 404
NIITTECH,2016-08-16 09:50:00, 410.95, 411.3, 409.45, 410.4, 1699
NIITTECH,2016-08-16 09:51:00, 410.45, 411.2, 410.45, 411.05, 1545
NIITTECH,2016-08-16 09:52:00, 411.2, 411.2, 411, 411, 85
NIITTECH,2016-08-16 09:53:00, 411, 411.45, 410.9, 411.25, 65
NIITTECH,2016-08-16 09:54:00, 411.25, 411.45, 411.25, 411.45, 57
NIITTECH,2016-08-16 09:55:00, 411.45, 411.5, 411.4, 411.4, 84
NIITTECH,2016-08-16 09:56:00, 411.4, 411.4, 410.55, 410.55, 69
NIITTECH,2016-08-16 09:57:00, 410.55, 411.2, 410.55, 411.2, 89
NIITTECH,2016-08-16 09:58:00, 411.2, 411.45, 411.2, 411.35, 67
NIITTECH,2016-08-16 09:59:00, 411.35, 411.45, 411.2, 411.35, 206
NIITTECH,2016-08-16 10:00:00, 411.35, 411.5, 410.75, 410.8, 344
NIITTECH,2016-08-16 10:01:00, 410.8, 411.5, 410.35, 411, 211
NIITTECH,2016-08-16 10:02:00, 411, 411.2, 411, 411.2, 45
NIITTECH,2016-08-16 10:03:00, 411.2, 411.2, 411, 411, 71
NIITTECH,2016-08-16 10:04:00, 411, 411.1, 410.5, 410.9, 93
NIITTECH,2016-08-16 10:05:00, 410.9, 411.1, 409.15, 409.95, 2210
NIITTECH,2016-08-16 10:06:00, 409.95, 410.8, 409.75, 410.65, 193
