Code,Date,Open,High,Low,Close,Volume
NMDC,2016-08-16 09:15:00, 100.5, 101.1, 100.25, 100.25, 33523
NMDC,2016-08-16 09:16:00, 100.25, 100.25, 99.7, 99.7, 22845
NMDC,2016-08-16 09:17:00, 99.8, 100.05, 99.75, 100.05, 12684
NMDC,2016-08-16 09:19:00, 99.9, 100, 99.7, 99.8, 9572
NMDC,2016-08-16 09:18:00, 100.05, 100.05, 99.9, 100, 8899
NMDC,2016-08-16 09:20:00, 99.8, 100, 99.75, 100, 14138
NMDC,2016-08-16 09:21:00, 100, 100, 99.85, 99.9, 19958
NMDC,2016-08-16 09:22:00, 99.9, 100, 99.75, 99.9, 16951
NMDC,2016-08-16 09:24:00, 99.8, 99.85, 99.8, 99.85, 3695
NMDC,2016-08-16 09:23:00, 100, 100.05, 99.75, 99.8, 33473
NMDC,2016-08-16 09:25:00, 99.85, 99.95, 99.8, 99.95, 2455
NMDC,2016-08-16 09:26:00, 99.95, 99.95, 99.85, 99.9, 739
NMDC,2016-08-16 09:27:00, 99.9, 100, 99.9, 100, 5475
NMDC,2016-08-16 09:28:00, 100, 100, 99.95, 99.95, 5396
NMDC,2016-08-16 09:29:00, 99.95, 100.1, 99.95, 100.1, 1032
NMDC,2016-08-16 09:30:00, 100.1, 100.15, 100.05, 100.15, 1644
NMDC,2016-08-16 09:31:00, 100.15, 100.15, 100.15, 100.15, 749
NMDC,2016-08-16 09:32:00, 100.15, 100.2, 100.15, 100.15, 1051
NMDC,2016-08-16 09:33:00, 100.15, 100.2, 100.1, 100.15, 8093
NMDC,2016-08-16 09:34:00, 100.15, 100.15, 100.1, 100.1, 1607
NMDC,2016-08-16 09:35:00, 100.1, 100.15, 100.05, 100.1, 2031
NMDC,2016-08-16 09:36:00, 100.1, 100.1, 100.05, 100.05, 3337
NMDC,2016-08-16 09:37:00, 100.05, 100.1, 100, 100.05, 4659
NMDC,2016-08-16 09:38:00, 100.05, 100.1, 100, 100, 6210
NMDC,2016-08-16 09:39:00, 100, 100, 100, 100, 151
NMDC,2016-08-16 09:40:00, 100, 100.1, 100, 100.1, 1485
NMDC,2016-08-16 09:41:00, 100.1, 100.1, 99.85, 99.85, 18973
NMDC,2016-08-16 09:42:00, 99.85, 99.95, 99.85, 99.9, 2594
NMDC,2016-08-16 09:43:00, 99.9, 100.05, 99.9, 100.05, 8430
NMDC,2016-08-16 09:44:00, 100.05, 100.05, 99.9, 99.9, 9059
NMDC,2016-08-16 09:45:00, 99.9, 100, 99.9, 100, 2363
NMDC,2016-08-16 09:46:00, 100, 100, 99.95, 100, 11836
NMDC,2016-08-16 09:47:00, 100, 100, 99.95, 99.95, 1751
NMDC,2016-08-16 09:48:00, 100, 100, 99.9, 99.95, 9262
NMDC,2016-08-16 09:49:00, 99.95, 99.95, 99.85, 99.85, 9287
NMDC,2016-08-16 09:50:00, 99.9, 100, 99.85, 100, 33634
NMDC,2016-08-16 09:51:00, 100, 100, 100, 100, 117
NMDC,2016-08-16 09:52:00, 100, 100.05, 100, 100.05, 862
NMDC,2016-08-16 09:53:00, 100.05, 100.05, 100, 100, 749
NMDC,2016-08-16 09:54:00, 100, 100.05, 100, 100.05, 7369
NMDC,2016-08-16 09:55:00, 100.05, 100.05, 100, 100, 2839
NMDC,2016-08-16 09:56:00, 100.05, 100.05, 99.95, 99.95, 8152
NMDC,2016-08-16 09:57:00, 99.95, 100, 99.95, 99.95, 5177
NMDC,2016-08-16 09:58:00, 99.95, 100.1, 99.95, 100.1, 1275
NMDC,2016-08-16 09:59:00, 100, 100.1, 99.95, 99.95, 8281
NMDC,2016-08-16 10:00:00, 99.95, 100, 99.95, 100, 638
NMDC,2016-08-16 10:01:00, 99.95, 100, 99.95, 100, 901
NMDC,2016-08-16 10:02:00, 100, 100.05, 100, 100, 1272
NMDC,2016-08-16 10:03:00, 100, 100, 100, 100, 720
NMDC,2016-08-16 10:04:00, 100, 100, 100, 100, 10
NMDC,2016-08-16 10:05:00, 100, 100.05, 100, 100.05, 191
NMDC,2016-08-16 10:06:00, 100.05, 100.05, 100, 100.05, 12876
NMDC,2016-08-16 10:07:00, 100, 100.05, 100, 100, 1555
NMDC,2016-08-16 10:08:00, 100, 100.05, 100, 100, 768
NMDC,2016-08-16 10:09:00, 100.05, 100.05, 100, 100.05, 1689
NMDC,2016-08-16 10:10:00, 100.05, 100.05, 100, 100, 662
NMDC,2016-08-16 10:11:00, 100, 100.1, 100, 100.05, 767
NMDC,2016-08-16 10:12:00, 100.05, 100.25, 100.05, 100.25, 102985
NMDC,2016-08-16 10:13:00, 100.45, 100.45, 100.3, 100.35, 2617
NMDC,2016-08-16 10:14:00, 100.35, 100.45, 100.35, 100.45, 4320
NMDC,2016-08-16 10:15:00, 100.45, 100.45, 100.4, 100.4, 539
NMDC,2016-08-16 10:16:00, 100.45, 100.5, 100.45, 100.5, 2525
NMDC,2016-08-16 10:17:00, 100.5, 100.5, 100.3, 100.3, 17231
NMDC,2016-08-16 10:18:00, 100.45, 100.45, 100.3, 100.35, 2919
NMDC,2016-08-16 10:19:00, 100.35, 100.35, 100.3, 100.3, 1425
NMDC,2016-08-16 10:20:00, 100.3, 100.35, 100.3, 100.35, 485
NMDC,2016-08-16 10:21:00, 100.4, 100.4, 100.3, 100.4, 440
NMDC,2016-08-16 10:22:00, 100.4, 100.4, 100.3, 100.3, 80
NMDC,2016-08-16 10:23:00, 100.3, 100.35, 100.3, 100.35, 210
