Code,Date,Open,High,Low,Close,Volume
NTPC,2016-08-16 09:15:00, 160.45, 160.5, 159.9, 159.95, 7894
NTPC,2016-08-16 09:16:00, 160.2, 160.45, 160.2, 160.4, 11114
NTPC,2016-08-16 09:17:00, 160.45, 160.75, 160.35, 160.75, 10631
NTPC,2016-08-16 09:18:00, 160.8, 160.95, 159.75, 160, 54391
NTPC,2016-08-16 09:19:00, 159.9, 160.05, 159.75, 159.9, 7274
NTPC,2016-08-16 09:20:00, 159.9, 160.1, 159.9, 160.1, 2115
NTPC,2016-08-16 09:21:00, 160.25, 160.55, 160.15, 160.3, 37152
NTPC,2016-08-16 09:22:00, 160.3, 160.5, 160.2, 160.35, 16169
NTPC,2016-08-16 09:23:00, 160.35, 160.45, 160.35, 160.35, 2477
NTPC,2016-08-16 09:24:00, 160.35, 160.45, 160.3, 160.3, 8421
NTPC,2016-08-16 09:25:00, 160.3, 160.35, 160.3, 160.35, 2547
NTPC,2016-08-16 09:26:00, 160.35, 160.65, 160.3, 160.65, 5118
NTPC,2016-08-16 09:27:00, 160.7, 160.75, 160.65, 160.75, 3493
NTPC,2016-08-16 09:29:00, 160.85, 160.85, 160.5, 160.5, 18953
NTPC,2016-08-16 09:28:00, 160.75, 160.8, 160.75, 160.8, 4009
NTPC,2016-08-16 09:30:00, 160.55, 160.6, 160.4, 160.6, 6921
NTPC,2016-08-16 09:31:00, 160.6, 160.65, 160.6, 160.65, 1108
NTPC,2016-08-16 09:32:00, 160.65, 160.65, 160.6, 160.65, 2085
NTPC,2016-08-16 09:33:00, 160.65, 160.7, 160.6, 160.7, 2473
NTPC,2016-08-16 09:34:00, 160.7, 160.7, 160.55, 160.55, 6079
NTPC,2016-08-16 09:35:00, 160.6, 160.6, 160.45, 160.45, 14226
NTPC,2016-08-16 09:36:00, 160.45, 160.5, 160.25, 160.35, 6509
NTPC,2016-08-16 09:37:00, 160.35, 160.35, 160.2, 160.25, 1096
NTPC,2016-08-16 09:38:00, 160.3, 160.3, 160.2, 160.25, 4459
NTPC,2016-08-16 09:39:00, 160.25, 160.35, 160.2, 160.35, 2119
NTPC,2016-08-16 09:40:00, 160.35, 160.4, 160.25, 160.25, 13526
NTPC,2016-08-16 09:41:00, 160.3, 160.3, 159.8, 159.95, 10904
NTPC,2016-08-16 09:42:00, 159.95, 159.95, 159.9, 159.95, 6877
NTPC,2016-08-16 09:43:00, 159.95, 160.05, 159.9, 160, 8859
NTPC,2016-08-16 09:44:00, 160, 160.05, 159.95, 160.05, 3164
NTPC,2016-08-16 09:46:00, 160, 160, 159.95, 159.95, 3107
NTPC,2016-08-16 09:45:00, 160.05, 160.05, 159.95, 160, 14083
NTPC,2016-08-16 09:47:00, 159.95, 160, 159.9, 159.95, 5058
NTPC,2016-08-16 09:48:00, 159.95, 160, 159.9, 160, 2527
NTPC,2016-08-16 09:49:00, 160, 160, 159.95, 160, 1311
NTPC,2016-08-16 09:50:00, 160, 160.05, 160, 160, 4877
NTPC,2016-08-16 09:51:00, 160, 160.05, 159.95, 160, 3271
NTPC,2016-08-16 09:52:00, 160, 160.05, 160, 160, 6093
NTPC,2016-08-16 09:53:00, 160, 160, 159.95, 160, 884
NTPC,2016-08-16 09:54:00, 159.95, 160, 159.95, 160, 1211
NTPC,2016-08-16 09:55:00, 160, 160.05, 160, 160, 6276
NTPC,2016-08-16 09:56:00, 160, 160, 159.95, 160, 688
NTPC,2016-08-16 09:57:00, 160, 160.05, 159.95, 160, 6826
NTPC,2016-08-16 09:58:00, 160, 160, 159.95, 160, 11914
NTPC,2016-08-16 09:59:00, 160, 160, 159.95, 160, 4191
NTPC,2016-08-16 10:00:00, 160, 160.05, 159.95, 159.95, 4833
NTPC,2016-08-16 10:01:00, 159.95, 160, 159.95, 160, 2924
NTPC,2016-08-16 10:02:00, 160, 160.05, 159.95, 160, 4437
NTPC,2016-08-16 10:03:00, 160, 160.05, 159.95, 160, 7346
NTPC,2016-08-16 10:04:00, 160.05, 160.05, 159.9, 159.95, 8644
NTPC,2016-08-16 10:05:00, 159.95, 159.95, 159.9, 159.95, 4649
NTPC,2016-08-16 10:06:00, 159.95, 159.95, 159.9, 159.95, 4672
NTPC,2016-08-16 10:07:00, 159.95, 160, 159.95, 160, 1255
NTPC,2016-08-16 10:08:00, 160, 160, 159.95, 160, 5806
NTPC,2016-08-16 10:09:00, 160, 160.05, 159.95, 160.05, 7553
NTPC,2016-08-16 10:10:00, 160.1, 160.2, 160.1, 160.2, 1440
NTPC,2016-08-16 10:11:00, 160.2, 160.25, 160.2, 160.25, 881
NTPC,2016-08-16 10:12:00, 160.25, 160.6, 160.25, 160.45, 9358
NTPC,2016-08-16 10:13:00, 160.45, 160.65, 160.45, 160.65, 1890
NTPC,2016-08-16 10:14:00, 160.65, 160.65, 160.6, 160.6, 549
NTPC,2016-08-16 10:15:00, 160.65, 160.75, 160.6, 160.7, 8780
NTPC,2016-08-16 10:16:00, 160.7, 160.7, 160.65, 160.7, 3052
NTPC,2016-08-16 10:17:00, 160.7, 160.7, 160.65, 160.7, 10999
NTPC,2016-08-16 10:18:00, 160.7, 160.7, 160.65, 160.7, 3844
NTPC,2016-08-16 10:19:00, 160.7, 160.7, 160.65, 160.7, 3092
NTPC,2016-08-16 10:20:00, 160.7, 160.75, 160.65, 160.75, 1577
NTPC,2016-08-16 10:21:00, 160.75, 160.8, 160.7, 160.8, 1870
NTPC,2016-08-16 10:22:00, 160.75, 160.85, 160.75, 160.85, 3906
NTPC,2016-08-16 10:23:00, 160.85, 160.85, 160.8, 160.85, 5870
NTPC,2016-08-16 10:24:00, 160.85, 160.85, 160.8, 160.85, 1894
NTPC,2016-08-16 10:25:00, 160.8, 160.9, 160.8, 160.9, 4905
NTPC,2016-08-16 10:26:00, 160.9, 160.95, 160.85, 160.95, 2652
NTPC,2016-08-16 10:27:00, 160.9, 160.95, 160.85, 160.95, 3179
NTPC,2016-08-16 10:28:00, 160.95, 160.95, 160.9, 160.95, 3547
NTPC,2016-08-16 10:29:00, 160.95, 160.95, 160.7, 160.75, 14235
NTPC,2016-08-16 10:31:00, 160.9, 160.95, 160.85, 160.95, 1703
NTPC,2016-08-16 10:30:00, 160.8, 160.9, 160.75, 160.9, 7320
NTPC,2016-08-16 10:32:00, 160.95, 160.95, 160.85, 160.9, 4538
NTPC,2016-08-16 10:33:00, 160.9, 160.9, 160.85, 160.9, 1022
NTPC,2016-08-16 10:34:00, 160.9, 160.9, 160.8, 160.9, 11294
NTPC,2016-08-16 10:35:00, 160.9, 161, 160.9, 161, 5151
NTPC,2016-08-16 10:36:00, 160.95, 161, 160.95, 161, 2971
NTPC,2016-08-16 10:37:00, 161, 161, 160.65, 160.8, 12330
NTPC,2016-08-16 10:38:00, 160.8, 160.8, 160.6, 160.75, 6036
NTPC,2016-08-16 10:39:00, 160.75, 161, 160.75, 161, 7489
NTPC,2016-08-16 10:40:00, 160.9, 161.1, 160.9, 161.1, 9649
NTPC,2016-08-16 10:41:00, 161.1, 161.15, 161.05, 161.15, 5650
NTPC,2016-08-16 10:42:00, 161.15, 161.25, 161.1, 161.2, 10066
NTPC,2016-08-16 10:43:00, 161.2, 161.25, 161.15, 161.25, 8243
NTPC,2016-08-16 10:44:00, 161.25, 161.25, 161.2, 161.25, 3377
NTPC,2016-08-16 10:45:00, 161.25, 161.25, 161.2, 161.2, 11829
NTPC,2016-08-16 10:46:00, 161.25, 161.25, 161.2, 161.25, 20030
NTPC,2016-08-16 10:47:00, 161.25, 161.25, 161.2, 161.25, 4897
NTPC,2016-08-16 10:48:00, 161.25, 161.3, 161.2, 161.3, 4057
NTPC,2016-08-16 10:49:00, 161.3, 161.35, 161.25, 161.35, 2655
NTPC,2016-08-16 10:50:00, 161.3, 161.4, 161.3, 161.4, 2375
NTPC,2016-08-16 10:51:00, 161.4, 161.45, 161.35, 161.35, 2702
NTPC,2016-08-16 10:52:00, 161.4, 161.45, 161.35, 161.45, 8598
NTPC,2016-08-16 10:53:00, 161.45, 161.65, 161.4, 161.65, 41957
NTPC,2016-08-16 10:54:00, 161.65, 161.7, 161.6, 161.6, 6433
NTPC,2016-08-16 10:55:00, 161.6, 161.7, 161.6, 161.7, 15959
NTPC,2016-08-16 10:56:00, 161.7, 161.7, 161.65, 161.7, 2268
