Code,Date,Open,High,Low,Close,Volume
OIL,2016-08-16 09:15:00, 370, 371.7, 370, 370.5, 1502
OIL,2016-08-16 09:16:00, 370.9, 372, 370.6, 371.35, 1758
OIL,2016-08-16 09:17:00, 371.35, 371.9, 371.35, 371.5, 1030
OIL,2016-08-16 09:18:00, 371.5, 371.9, 371.5, 371.9, 369
OIL,2016-08-16 09:19:00, 371.6, 371.75, 371.5, 371.5, 187
OIL,2016-08-16 09:20:00, 371.5, 371.75, 371.45, 371.75, 1818
OIL,2016-08-16 09:21:00, 371.75, 371.9, 371.55, 371.55, 363
OIL,2016-08-16 09:22:00, 371.55, 371.55, 370.85, 371, 1522
OIL,2016-08-16 09:23:00, 370.85, 371.3, 370.3, 370.4, 5909
OIL,2016-08-16 09:24:00, 370.4, 371, 370.4, 370.8, 861
OIL,2016-08-16 09:25:00, 370.8, 371, 370.8, 370.85, 512
OIL,2016-08-16 09:26:00, 370.85, 371, 370.8, 370.85, 1045
OIL,2016-08-16 09:28:00, 370.85, 371, 370.8, 370.8, 670
OIL,2016-08-16 09:27:00, 370.9, 371.05, 370.8, 370.85, 345
OIL,2016-08-16 09:29:00, 370.8, 371.05, 370.8, 371.05, 121
OIL,2016-08-16 09:30:00, 371.05, 371.1, 370.9, 371.1, 528
OIL,2016-08-16 09:31:00, 371.1, 371.1, 371, 371.1, 456
OIL,2016-08-16 09:32:00, 371, 371.1, 371, 371.1, 354
OIL,2016-08-16 09:33:00, 371.1, 371.1, 371.1, 371.1, 0
OIL,2016-08-16 09:34:00, 371.1, 371.1, 371, 371, 393
OIL,2016-08-16 09:35:00, 370.85, 370.85, 370.4, 370.8, 945
OIL,2016-08-16 09:36:00, 370.8, 370.8, 370.7, 370.7, 201
OIL,2016-08-16 09:37:00, 370.7, 370.7, 370.5, 370.7, 181
OIL,2016-08-16 09:38:00, 370.7, 370.8, 370.7, 370.8, 2
OIL,2016-08-16 09:39:00, 370.8, 370.8, 370.6, 370.6, 199
OIL,2016-08-16 09:40:00, 370.6, 371, 370.6, 371, 758
OIL,2016-08-16 09:41:00, 371, 371, 371, 371, 100
OIL,2016-08-16 09:42:00, 371, 371, 371, 371, 0
OIL,2016-08-16 09:43:00, 371, 371, 370.85, 370.85, 696
OIL,2016-08-16 09:44:00, 370.85, 371, 370.85, 371, 142
OIL,2016-08-16 09:46:00, 370.9, 371.2, 370.9, 371, 36
OIL,2016-08-16 09:45:00, 371, 371, 370.9, 370.9, 132
OIL,2016-08-16 09:47:00, 371, 371, 371, 371, 155
OIL,2016-08-16 09:48:00, 371, 371, 371, 371, 0
