Code,Date,Open,High,Low,Close,Volume
ONGC,2016-08-16 09:15:00, 235.3, 236, 235.1, 235.85, 55815
ONGC,2016-08-16 09:16:00, 235.6, 235.95, 235.3, 235.3, 36751
ONGC,2016-08-16 09:17:00, 235.15, 235.5, 235.1, 235.25, 30899
ONGC,2016-08-16 09:18:00, 235.3, 235.3, 234.6, 234.8, 18314
ONGC,2016-08-16 09:19:00, 234.9, 235, 234.6, 235, 16920
ONGC,2016-08-16 09:20:00, 235, 235.65, 234.8, 235.65, 22840
ONGC,2016-08-16 09:21:00, 235.7, 235.8, 235, 235, 21013
ONGC,2016-08-16 09:22:00, 235.05, 235.1, 234.5, 235.1, 23714
ONGC,2016-08-16 09:23:00, 235.1, 235.6, 235.05, 235.1, 16959
ONGC,2016-08-16 09:24:00, 235.1, 235.1, 234.8, 234.85, 11779
ONGC,2016-08-16 09:25:00, 234.8, 235, 234.75, 234.9, 5682
ONGC,2016-08-16 09:26:00, 234.9, 235, 234.8, 235, 3454
ONGC,2016-08-16 09:27:00, 235, 235.15, 234.75, 235.05, 28142
ONGC,2016-08-16 09:28:00, 235.05, 235.6, 235, 235.45, 18105
ONGC,2016-08-16 09:30:00, 235.35, 235.35, 234.75, 234.8, 12695
ONGC,2016-08-16 09:29:00, 235.45, 235.7, 235.35, 235.35, 13945
ONGC,2016-08-16 09:32:00, 234.9, 235.2, 234.9, 235.2, 9530
ONGC,2016-08-16 09:31:00, 234.85, 234.9, 234.75, 234.9, 9425
ONGC,2016-08-16 09:33:00, 235.2, 235.2, 234.3, 234.35, 44645
ONGC,2016-08-16 09:34:00, 234.25, 234.3, 233.75, 234.15, 40528
ONGC,2016-08-16 09:35:00, 234.3, 234.3, 233.9, 234.05, 22079
ONGC,2016-08-16 09:36:00, 234.05, 234.35, 234.05, 234.3, 22150
ONGC,2016-08-16 09:37:00, 234.3, 234.45, 233.75, 234.4, 25720
ONGC,2016-08-16 09:38:00, 234.4, 234.65, 234.4, 234.55, 6481
ONGC,2016-08-16 09:39:00, 234.55, 235.25, 234.55, 235.25, 25107
ONGC,2016-08-16 09:40:00, 235.15, 235.35, 235.15, 235.3, 8343
ONGC,2016-08-16 09:41:00, 235.3, 235.4, 235.15, 235.3, 9577
ONGC,2016-08-16 09:42:00, 235.3, 235.45, 235.25, 235.45, 3896
ONGC,2016-08-16 09:43:00, 235.45, 235.6, 235.4, 235.6, 7838
ONGC,2016-08-16 09:44:00, 235.6, 235.7, 235.5, 235.6, 11319
ONGC,2016-08-16 09:45:00, 235.65, 235.7, 235.5, 235.55, 9044
ONGC,2016-08-16 09:46:00, 235.7, 235.7, 235.25, 235.4, 14797
ONGC,2016-08-16 09:47:00, 235.3, 235.7, 235.3, 235.7, 6126
ONGC,2016-08-16 09:48:00, 235.65, 235.7, 235.45, 235.45, 6054
ONGC,2016-08-16 09:49:00, 235.6, 235.7, 235.45, 235.6, 4469
ONGC,2016-08-16 09:50:00, 235.6, 235.65, 235.4, 235.55, 7831
ONGC,2016-08-16 09:51:00, 235.55, 235.8, 235.45, 235.75, 6004
ONGC,2016-08-16 09:53:00, 235.75, 235.85, 235.55, 235.8, 5145
ONGC,2016-08-16 09:52:00, 235.8, 235.9, 235.65, 235.65, 7691
ONGC,2016-08-16 09:54:00, 235.8, 235.85, 235.5, 235.5, 12623
ONGC,2016-08-16 09:55:00, 235.6, 235.75, 235.55, 235.7, 5272
ONGC,2016-08-16 09:56:00, 235.7, 235.75, 235.55, 235.7, 6561
ONGC,2016-08-16 09:57:00, 235.7, 235.7, 235.5, 235.7, 9152
ONGC,2016-08-16 09:58:00, 235.7, 235.7, 235, 235, 23735
ONGC,2016-08-16 09:59:00, 234.8, 235.05, 234.75, 234.9, 13854
ONGC,2016-08-16 10:00:00, 234.9, 235.25, 234.85, 235.2, 4245
ONGC,2016-08-16 10:01:00, 235.1, 235.45, 235.05, 235.25, 8088
ONGC,2016-08-16 10:02:00, 235.25, 235.65, 235.25, 235.65, 6613
ONGC,2016-08-16 10:03:00, 235.6, 235.8, 235.5, 235.8, 8835
ONGC,2016-08-16 10:04:00, 235.8, 235.85, 235.7, 235.75, 5377
ONGC,2016-08-16 10:05:00, 235.8, 235.85, 235.5, 235.8, 9473
ONGC,2016-08-16 10:06:00, 235.8, 235.85, 235.6, 235.7, 7835
ONGC,2016-08-16 10:07:00, 235.7, 235.9, 235.55, 235.85, 7425
ONGC,2016-08-16 10:08:00, 235.65, 235.9, 235.65, 235.75, 5767
ONGC,2016-08-16 10:09:00, 235.75, 235.9, 235.65, 235.8, 5811
ONGC,2016-08-16 10:10:00, 235.8, 235.9, 235.7, 235.8, 6155
ONGC,2016-08-16 10:11:00, 235.8, 235.95, 235.75, 235.95, 8332
ONGC,2016-08-16 10:12:00, 235.9, 236.15, 235.9, 236.1, 41728
ONGC,2016-08-16 10:13:00, 236.25, 236.3, 235.9, 236.05, 29655
ONGC,2016-08-16 10:14:00, 236.1, 236.35, 236.05, 236.3, 18179
ONGC,2016-08-16 10:15:00, 236.2, 236.3, 236, 236.05, 20981
ONGC,2016-08-16 10:16:00, 236, 236.05, 235.85, 235.95, 7033
ONGC,2016-08-16 10:17:00, 235.9, 236, 235.7, 235.7, 9088
ONGC,2016-08-16 10:18:00, 235.85, 235.85, 235.4, 235.55, 5631
ONGC,2016-08-16 10:19:00, 235.5, 235.6, 235.4, 235.45, 3589
ONGC,2016-08-16 10:20:00, 235.45, 235.7, 235.4, 235.7, 6209
ONGC,2016-08-16 10:21:00, 235.7, 235.75, 235.45, 235.45, 3702
ONGC,2016-08-16 10:22:00, 235.5, 235.6, 235.45, 235.55, 1555
ONGC,2016-08-16 10:23:00, 235.55, 235.6, 235.5, 235.55, 2516
ONGC,2016-08-16 10:24:00, 235.6, 235.6, 235.35, 235.35, 3718
ONGC,2016-08-16 10:25:00, 235.35, 235.5, 235.2, 235.4, 3669
ONGC,2016-08-16 10:26:00, 235.4, 235.45, 235.15, 235.35, 2225
ONGC,2016-08-16 10:27:00, 235.35, 235.45, 235.35, 235.45, 1149
ONGC,2016-08-16 10:28:00, 235.45, 235.45, 235.15, 235.15, 2890
ONGC,2016-08-16 10:29:00, 235.15, 235.15, 234.8, 235, 12486
ONGC,2016-08-16 10:30:00, 234.95, 234.95, 234.8, 234.85, 7415
ONGC,2016-08-16 10:31:00, 234.85, 234.9, 234.8, 234.85, 2334
ONGC,2016-08-16 10:32:00, 234.85, 234.9, 234.85, 234.85, 729
ONGC,2016-08-16 10:33:00, 234.85, 234.95, 234.8, 234.8, 1875
ONGC,2016-08-16 10:34:00, 234.8, 234.95, 234.8, 234.9, 1582
ONGC,2016-08-16 10:35:00, 234.9, 234.95, 234.85, 234.9, 2458
ONGC,2016-08-16 10:36:00, 234.9, 235, 234.8, 234.85, 3407
ONGC,2016-08-16 10:37:00, 234.85, 235, 234.75, 234.8, 1680
ONGC,2016-08-16 10:38:00, 234.8, 234.95, 234.8, 234.8, 2590
ONGC,2016-08-16 10:39:00, 234.8, 235, 234.8, 234.9, 1710
ONGC,2016-08-16 10:40:00, 234.9, 234.95, 234.8, 234.95, 2122
ONGC,2016-08-16 10:41:00, 234.95, 234.95, 234.75, 234.75, 1933
ONGC,2016-08-16 10:42:00, 234.75, 234.75, 234.65, 234.75, 3242
ONGC,2016-08-16 10:43:00, 234.75, 234.85, 234.75, 234.8, 1734
ONGC,2016-08-16 10:44:00, 234.8, 234.85, 234.75, 234.8, 2755
ONGC,2016-08-16 10:45:00, 234.8, 234.95, 234.7, 234.8, 1944
ONGC,2016-08-16 10:46:00, 234.8, 234.8, 234.5, 234.75, 8676
ONGC,2016-08-16 10:47:00, 234.75, 234.8, 234.3, 234.7, 7764
ONGC,2016-08-16 10:48:00, 234.6, 234.85, 234.6, 234.8, 4583
ONGC,2016-08-16 10:49:00, 234.8, 234.8, 234.7, 234.8, 442
ONGC,2016-08-16 10:50:00, 234.75, 234.8, 234.6, 234.8, 6516
ONGC,2016-08-16 10:51:00, 234.85, 234.85, 234.65, 234.85, 4348
ONGC,2016-08-16 10:52:00, 234.65, 234.85, 234.65, 234.85, 4968
ONGC,2016-08-16 10:53:00, 234.85, 234.85, 234.7, 234.85, 1152
ONGC,2016-08-16 10:54:00, 234.85, 235, 234.75, 235, 2389
ONGC,2016-08-16 10:55:00, 234.95, 235.7, 234.95, 235.6, 27343
ONGC,2016-08-16 10:56:00, 235.45, 235.55, 235.05, 235.05, 6066
ONGC,2016-08-16 10:57:00, 235.1, 235.15, 235, 235, 4251
ONGC,2016-08-16 10:58:00, 235, 235.05, 234.8, 234.95, 5638
ONGC,2016-08-16 10:59:00, 234.95, 235.15, 234.8, 235.1, 10066
ONGC,2016-08-16 11:00:00, 235.1, 235.4, 235, 235.05, 36173
ONGC,2016-08-16 11:01:00, 235.15, 235.15, 234.85, 235.1, 8400
ONGC,2016-08-16 11:02:00, 235.1, 235.15, 234.5, 234.5, 10484
ONGC,2016-08-16 11:03:00, 234.6, 234.8, 234.5, 234.8, 2086
ONGC,2016-08-16 11:04:00, 234.8, 234.85, 234.7, 234.85, 2871
ONGC,2016-08-16 11:05:00, 234.85, 234.85, 234.45, 234.55, 5608
ONGC,2016-08-16 11:06:00, 234.45, 234.85, 234.45, 234.85, 3599
ONGC,2016-08-16 11:07:00, 234.85, 234.9, 234.8, 234.9, 1238
ONGC,2016-08-16 11:08:00, 234.9, 235, 234.85, 235, 4951
ONGC,2016-08-16 11:09:00, 234.9, 235, 234.8, 235, 4959
ONGC,2016-08-16 11:10:00, 235, 235, 234.75, 234.85, 4161
ONGC,2016-08-16 11:11:00, 234.85, 235, 234.85, 235, 2054
ONGC,2016-08-16 11:12:00, 235, 235.15, 234.85, 234.95, 4492
ONGC,2016-08-16 11:13:00, 234.95, 235, 234.25, 234.45, 36386
ONGC,2016-08-16 11:14:00, 234.35, 234.6, 234.1, 234.15, 5032
ONGC,2016-08-16 11:15:00, 234.05, 234.4, 234.05, 234.4, 4756
ONGC,2016-08-16 11:16:00, 234.4, 234.45, 234.1, 234.35, 16912
ONGC,2016-08-16 11:17:00, 234.35, 234.4, 234.2, 234.4, 1740
ONGC,2016-08-16 11:18:00, 234.3, 234.45, 234.3, 234.4, 2974
ONGC,2016-08-16 11:19:00, 234.4, 234.45, 234.2, 234.4, 1858
ONGC,2016-08-16 11:20:00, 234.4, 234.4, 234.15, 234.35, 11944
ONGC,2016-08-16 11:21:00, 234.35, 234.5, 234.2, 234.5, 8776
ONGC,2016-08-16 11:22:00, 234.5, 234.5, 234.2, 234.4, 6640
ONGC,2016-08-16 11:23:00, 234.25, 234.45, 234.2, 234.4, 968
ONGC,2016-08-16 11:24:00, 234.45, 234.6, 234.45, 234.5, 1738
ONGC,2016-08-16 11:25:00, 234.5, 234.7, 234.5, 234.7, 2044
ONGC,2016-08-16 11:26:00, 234.7, 234.75, 234.4, 234.4, 4747
ONGC,2016-08-16 11:27:00, 234.4, 234.45, 234.35, 234.45, 317
ONGC,2016-08-16 11:28:00, 234.45, 234.45, 234.35, 234.35, 1339
ONGC,2016-08-16 11:29:00, 234.35, 234.35, 234, 234, 20732
ONGC,2016-08-16 11:30:00, 234.05, 234.55, 233.85, 234.55, 11776
ONGC,2016-08-16 11:31:00, 234.55, 234.65, 234.5, 234.55, 7500
ONGC,2016-08-16 11:32:00, 234.55, 234.65, 233.9, 233.9, 8343
ONGC,2016-08-16 11:33:00, 234, 234.55, 233.9, 234.5, 16057
ONGC,2016-08-16 11:34:00, 234.5, 234.6, 234.45, 234.55, 2470
ONGC,2016-08-16 11:35:00, 234.6, 234.6, 234, 234.05, 11651
ONGC,2016-08-16 11:36:00, 234.1, 234.2, 234, 234.1, 5251
ONGC,2016-08-16 11:37:00, 234.1, 234.6, 234.1, 234.55, 15849
ONGC,2016-08-16 11:38:00, 234.55, 234.55, 234.45, 234.55, 4040
ONGC,2016-08-16 11:39:00, 234.55, 234.55, 233.6, 233.8, 107705
ONGC,2016-08-16 11:40:00, 233.8, 234.25, 233.75, 234.1, 27301
ONGC,2016-08-16 11:41:00, 234.1, 234.3, 233.8, 233.9, 12928
ONGC,2016-08-16 11:42:00, 233.9, 233.9, 233.25, 233.55, 14590
