Code,Date,Open,High,Low,Close,Volume
PAGEIND,2016-08-16 09:15:00, 14083, 14249.95, 13955.05, 14249.95, 16
PAGEIND,2016-08-16 09:16:00, 14161.85, 14161.85, 14051, 14051, 35
PAGEIND,2016-08-16 09:17:00, 14063.2, 14070, 14017.8, 14055.1, 106
PAGEIND,2016-08-16 09:18:00, 14055.1, 14115.95, 14055.1, 14075.5, 20
PAGEIND,2016-08-16 09:19:00, 14075.5, 14167.6, 14062.9, 14099.4, 76
PAGEIND,2016-08-16 09:20:00, 14099.1, 14099.1, 14051, 14077.75, 82
PAGEIND,2016-08-16 09:21:00, 14077.75, 14082.45, 14064.05, 14082.45, 7
PAGEIND,2016-08-16 09:22:00, 14082.45, 14082.45, 14055.35, 14055.35, 30
PAGEIND,2016-08-16 09:23:00, 14055.35, 14055.35, 14039.25, 14049.95, 9
PAGEIND,2016-08-16 09:24:00, 14048.8, 14050, 14017.5, 14017.5, 60
PAGEIND,2016-08-16 09:25:00, 14017.5, 14025.2, 14011, 14025.2, 11
PAGEIND,2016-08-16 09:26:00, 14025.2, 14048.9, 14025.2, 14048.9, 1
PAGEIND,2016-08-16 09:27:00, 14048.9, 14057.05, 14038.5, 14057.05, 30
PAGEIND,2016-08-16 09:28:00, 14057.05, 14095, 14057.05, 14095, 6
PAGEIND,2016-08-16 09:29:00, 14095, 14095, 14050, 14066.1, 14
PAGEIND,2016-08-16 09:30:00, 14066.1, 14066.1, 14011, 14042.35, 39
PAGEIND,2016-08-16 09:31:00, 14042.35, 14042.35, 14034.95, 14034.95, 1
PAGEIND,2016-08-16 09:32:00, 14034.95, 14034.95, 14022.4, 14029.85, 26
PAGEIND,2016-08-16 09:34:00, 14022, 14025.05, 14011.05, 14011.45, 92
PAGEIND,2016-08-16 09:33:00, 14029.85, 14042.4, 14022, 14022, 41
PAGEIND,2016-08-16 09:35:00, 14011.45, 14069.35, 14011.45, 14050, 7
PAGEIND,2016-08-16 09:36:00, 14050, 14050, 14020, 14025, 13
PAGEIND,2016-08-16 09:37:00, 14040, 14050, 14025.1, 14025.1, 94
PAGEIND,2016-08-16 09:38:00, 14025.1, 14067.8, 14025.1, 14065.85, 11
PAGEIND,2016-08-16 09:40:00, 14050.05, 14050.65, 14015, 14015, 26
PAGEIND,2016-08-16 09:39:00, 14065.85, 14066.5, 14050, 14050.05, 30
PAGEIND,2016-08-16 09:41:00, 14015, 14015, 14015, 14015, 0
PAGEIND,2016-08-16 09:42:00, 14015, 14030.05, 14015, 14030, 5
PAGEIND,2016-08-16 09:43:00, 14030, 14030.05, 14029.5, 14029.5, 4
PAGEIND,2016-08-16 09:45:00, 14020, 14020.4, 14014.3, 14020, 17
PAGEIND,2016-08-16 09:44:00, 14029.5, 14029.5, 14015, 14020, 35
PAGEIND,2016-08-16 09:46:00, 14020, 14020, 14011.45, 14011.45, 4
PAGEIND,2016-08-16 09:47:00, 14018.7, 14018.7, 14018.7, 14018.7, 1
PAGEIND,2016-08-16 09:48:00, 14018.7, 14018.7, 14001, 14001, 34
PAGEIND,2016-08-16 09:49:00, 14001, 14001, 13974.9, 13985.3, 36
PAGEIND,2016-08-16 09:50:00, 13985.3, 13985.3, 13970, 13985, 33
PAGEIND,2016-08-16 09:51:00, 13985, 13985, 13975.1, 13975.1, 3
PAGEIND,2016-08-16 09:52:00, 13975.1, 13975.1, 13909.75, 13910.05, 44
PAGEIND,2016-08-16 09:53:00, 13910.05, 13949.95, 13910.05, 13949.95, 73
PAGEIND,2016-08-16 09:54:00, 13949.95, 13975.1, 13929.1, 13975.1, 19
PAGEIND,2016-08-16 09:55:00, 13975.1, 13999.8, 13975.1, 13999.8, 8
PAGEIND,2016-08-16 09:56:00, 13999.8, 13999.95, 13977.9, 13990, 21
PAGEIND,2016-08-16 09:57:00, 13990, 14061.6, 13980.7, 14061.6, 51
PAGEIND,2016-08-16 09:58:00, 14061.6, 14061.6, 14049, 14049, 4
PAGEIND,2016-08-16 09:59:00, 14049, 14049, 14049, 14049, 0
PAGEIND,2016-08-16 10:00:00, 14049, 14049, 14026.1, 14026.1, 20
PAGEIND,2016-08-16 10:01:00, 14026.1, 14029, 14026.1, 14029, 1
PAGEIND,2016-08-16 10:02:00, 14029, 14049, 14029, 14049, 17
PAGEIND,2016-08-16 10:03:00, 14049, 14049, 14049, 14049, 0
PAGEIND,2016-08-16 10:04:00, 14049, 14063.15, 14049, 14063.15, 1
PAGEIND,2016-08-16 10:05:00, 14063, 14063, 14055.2, 14055.2, 8
PAGEIND,2016-08-16 10:06:00, 14055.2, 14060.3, 14053.75, 14053.75, 15
PAGEIND,2016-08-16 10:07:00, 14053.75, 14053.75, 14053.75, 14053.75, 0
PAGEIND,2016-08-16 10:08:00, 14053.75, 14065, 14047.15, 14047.15, 4
PAGEIND,2016-08-16 10:09:00, 14047.15, 14049.45, 14040, 14049.45, 7
PAGEIND,2016-08-16 10:10:00, 14049.45, 14049.45, 14037.8, 14037.8, 5
PAGEIND,2016-08-16 10:11:00, 14037.8, 14037.8, 14037.4, 14037.4, 10
PAGEIND,2016-08-16 10:12:00, 14037.4, 14040, 14035, 14040, 58
PAGEIND,2016-08-16 10:13:00, 14040, 14066, 14040, 14066, 35
PAGEIND,2016-08-16 10:14:00, 14066, 14090, 14055.05, 14058.25, 132
PAGEIND,2016-08-16 10:15:00, 14058.25, 14076, 14058.25, 14061.45, 4
PAGEIND,2016-08-16 10:16:00, 14061.45, 14061.45, 14061.45, 14061.45, 0
PAGEIND,2016-08-16 10:17:00, 14061.45, 14061.45, 14061.25, 14061.25, 3
PAGEIND,2016-08-16 10:18:00, 14061.25, 14061.25, 14061.25, 14061.25, 0
PAGEIND,2016-08-16 10:19:00, 14061.25, 14061.25, 14061.25, 14061.25, 1
PAGEIND,2016-08-16 10:20:00, 14061.25, 14061.25, 14061.05, 14061.05, 1
PAGEIND,2016-08-16 10:21:00, 14061.05, 14061.05, 14061.05, 14061.05, 0
PAGEIND,2016-08-16 10:22:00, 14061.25, 14061.25, 14060.9, 14060.9, 6
PAGEIND,2016-08-16 10:23:00, 14060.9, 14060.9, 14060.9, 14060.9, 0
PAGEIND,2016-08-16 10:24:00, 14060.9, 14060.9, 14060.9, 14060.9, 0
PAGEIND,2016-08-16 10:25:00, 14060.9, 14079.6, 14060.9, 14079.6, 8
PAGEIND,2016-08-16 10:26:00, 14079.6, 14120, 14079.6, 14112.75, 60
PAGEIND,2016-08-16 10:27:00, 14112.75, 14136.4, 14106.35, 14115, 42
PAGEIND,2016-08-16 10:28:00, 14115.4, 14120, 14115, 14115, 12
PAGEIND,2016-08-16 10:29:00, 14115, 14115, 14100, 14100, 1
PAGEIND,2016-08-16 10:30:00, 14100, 14124.95, 14100, 14124.95, 15
PAGEIND,2016-08-16 10:31:00, 14124.95, 14132.8, 14124.95, 14125.7, 4
PAGEIND,2016-08-16 10:32:00, 14125.7, 14130, 14120, 14120, 15
PAGEIND,2016-08-16 10:33:00, 14120, 14131.5, 14120, 14131.5, 11
PAGEIND,2016-08-16 10:34:00, 14131.9, 14170.25, 14131.9, 14145, 105
PAGEIND,2016-08-16 10:35:00, 14145, 14155.95, 14126.9, 14142.6, 14
PAGEIND,2016-08-16 10:36:00, 14142.6, 14153.85, 14142.6, 14151.5, 21
PAGEIND,2016-08-16 10:37:00, 14151.5, 14153.05, 14130, 14130, 62
PAGEIND,2016-08-16 10:38:00, 14130, 14130, 14130, 14130, 0
PAGEIND,2016-08-16 10:39:00, 14130, 14130, 14130, 14130, 0
PAGEIND,2016-08-16 10:41:00, 14120.35, 14130, 14120.35, 14130, 17
PAGEIND,2016-08-16 10:40:00, 14148.5, 14148.5, 14120.35, 14120.35, 5
PAGEIND,2016-08-16 10:42:00, 14130, 14130, 14130, 14130, 1
PAGEIND,2016-08-16 10:43:00, 14130, 14138.15, 14110.6, 14110.8, 9
PAGEIND,2016-08-16 10:44:00, 14110.8, 14121.35, 14101.15, 14121.35, 2
PAGEIND,2016-08-16 10:45:00, 14121.35, 14121.35, 14121.35, 14121.35, 0
PAGEIND,2016-08-16 10:46:00, 14115, 14128.15, 14115, 14128.15, 14
PAGEIND,2016-08-16 10:47:00, 14128.15, 14128.15, 14089, 14102.15, 23
