Code,Date,Open,High,Low,Close,Volume
PCJEWELLER,2016-08-16 09:15:00, 418, 418, 405.85, 409.1, 2850
PCJEWELLER,2016-08-16 09:16:00, 409.55, 414, 409.55, 413.8, 914
PCJEWELLER,2016-08-16 09:17:00, 413.45, 414, 412.9, 414, 884
PCJEWELLER,2016-08-16 09:18:00, 413.75, 413.8, 413, 413, 669
PCJEWELLER,2016-08-16 09:19:00, 413.4, 413.8, 413.4, 413.65, 1009
PCJEWELLER,2016-08-16 09:20:00, 413.65, 414, 413.55, 414, 249
PCJEWELLER,2016-08-16 09:21:00, 414.65, 415.9, 414.05, 415.9, 1343
PCJEWELLER,2016-08-16 09:22:00, 416, 417.5, 415.05, 417.5, 2639
PCJEWELLER,2016-08-16 09:23:00, 416.9, 417.5, 416.75, 417.5, 465
PCJEWELLER,2016-08-16 09:24:00, 417.5, 417.9, 417.5, 417.6, 207
PCJEWELLER,2016-08-16 09:25:00, 417.5, 417.6, 416.85, 416.95, 3255
PCJEWELLER,2016-08-16 09:26:00, 416.95, 416.95, 416.05, 416.65, 685
PCJEWELLER,2016-08-16 09:27:00, 416.65, 417, 416.65, 417, 250
PCJEWELLER,2016-08-16 09:28:00, 417, 417, 416.75, 416.75, 50
PCJEWELLER,2016-08-16 09:29:00, 416.75, 417, 416.75, 417, 1557
PCJEWELLER,2016-08-16 09:30:00, 417, 417, 416.8, 416.8, 459
PCJEWELLER,2016-08-16 09:31:00, 416.8, 416.9, 416.75, 416.9, 72
PCJEWELLER,2016-08-16 09:32:00, 416.95, 418.3, 416.95, 418.3, 1005
PCJEWELLER,2016-08-16 09:33:00, 418.3, 420, 418.25, 419.35, 1057
PCJEWELLER,2016-08-16 09:34:00, 419.35, 420, 419.35, 419.55, 749
PCJEWELLER,2016-08-16 09:35:00, 419.55, 420.2, 419.55, 420.2, 222
PCJEWELLER,2016-08-16 09:36:00, 420.2, 420.2, 418.5, 418.5, 835
PCJEWELLER,2016-08-16 09:37:00, 418.5, 419.05, 418.2, 418.8, 520
PCJEWELLER,2016-08-16 09:38:00, 418.8, 418.8, 418.4, 418.4, 375
PCJEWELLER,2016-08-16 09:39:00, 418.4, 418.75, 418.4, 418.4, 60
PCJEWELLER,2016-08-16 09:40:00, 418.4, 419, 418.4, 419, 376
PCJEWELLER,2016-08-16 09:41:00, 419, 419.3, 419, 419.3, 25
PCJEWELLER,2016-08-16 09:42:00, 419.3, 419.85, 419.3, 419.5, 416
PCJEWELLER,2016-08-16 09:44:00, 419.85, 420.2, 419.85, 420.2, 727
PCJEWELLER,2016-08-16 09:45:00, 420.2, 420.75, 420.2, 420.35, 702
PCJEWELLER,2016-08-16 09:43:00, 419.75, 419.95, 419.6, 419.85, 382
PCJEWELLER,2016-08-16 09:46:00, 420.4, 420.5, 419.05, 419.05, 433
PCJEWELLER,2016-08-16 09:47:00, 419.05, 419.65, 418.8, 418.8, 320
PCJEWELLER,2016-08-16 09:49:00, 419, 419, 419, 419, 2
PCJEWELLER,2016-08-16 09:48:00, 418.8, 419.45, 418.8, 419, 190
PCJEWELLER,2016-08-16 09:50:00, 419, 419, 418.7, 418.95, 829
PCJEWELLER,2016-08-16 09:51:00, 418.9, 419, 418.35, 418.8, 75
PCJEWELLER,2016-08-16 09:52:00, 418.8, 418.95, 416.85, 418.95, 956
