Code,Date,Open,High,Low,Close,Volume
PETRONET,2016-08-16 09:16:00, 314.55, 314.7, 314.35, 314.6, 1461
PETRONET,2016-08-16 09:15:00, 314.5, 314.95, 314.3, 314.55, 1829
PETRONET,2016-08-16 09:17:00, 314.6, 314.7, 314.5, 314.6, 805
PETRONET,2016-08-16 09:18:00, 314.65, 314.9, 314.55, 314.8, 837
PETRONET,2016-08-16 09:19:00, 314.45, 314.45, 313.35, 313.35, 2532
PETRONET,2016-08-16 09:20:00, 313.35, 313.85, 313.25, 313.85, 883
PETRONET,2016-08-16 09:21:00, 313.85, 314.15, 313.85, 313.95, 1036
PETRONET,2016-08-16 09:22:00, 313.95, 314.5, 313.75, 314.5, 1903
PETRONET,2016-08-16 09:23:00, 314.5, 314.5, 314.15, 314.35, 1715
PETRONET,2016-08-16 09:24:00, 314.35, 314.4, 314, 314.25, 1382
PETRONET,2016-08-16 09:25:00, 314.25, 314.7, 314.2, 314.6, 1081
PETRONET,2016-08-16 09:26:00, 314.6, 315.75, 314.6, 315.75, 9307
PETRONET,2016-08-16 09:28:00, 314.6, 315, 314.5, 314.55, 1257
PETRONET,2016-08-16 09:27:00, 315.15, 315.15, 314.5, 314.6, 1968
PETRONET,2016-08-16 09:29:00, 314.55, 315.1, 314.5, 314.85, 1090
PETRONET,2016-08-16 09:30:00, 314.85, 315.2, 314.85, 315.05, 441
PETRONET,2016-08-16 09:31:00, 315.05, 315.15, 315, 315.15, 707
PETRONET,2016-08-16 09:32:00, 315.2, 315.45, 314.85, 314.9, 816
PETRONET,2016-08-16 09:33:00, 314.9, 314.95, 314.75, 314.85, 1337
PETRONET,2016-08-16 09:34:00, 315, 315.35, 314.9, 315.35, 2240
PETRONET,2016-08-16 09:35:00, 315.35, 315.65, 315.35, 315.65, 433
PETRONET,2016-08-16 09:36:00, 315.6, 315.6, 315.3, 315.4, 1227
PETRONET,2016-08-16 09:37:00, 315.4, 315.4, 314.8, 314.85, 988
PETRONET,2016-08-16 09:38:00, 314.85, 315.1, 314.8, 315.1, 1910
PETRONET,2016-08-16 09:39:00, 315.05, 315.25, 315, 315.25, 426
PETRONET,2016-08-16 09:42:00, 315.15, 315.3, 315.15, 315.3, 247
PETRONET,2016-08-16 09:40:00, 315.25, 315.25, 315.05, 315.05, 138
PETRONET,2016-08-16 09:41:00, 315.05, 315.2, 315.05, 315.2, 310
PETRONET,2016-08-16 09:43:00, 315.2, 315.3, 315.2, 315.25, 370
PETRONET,2016-08-16 09:44:00, 315.25, 315.45, 315.25, 315.25, 1408
PETRONET,2016-08-16 09:45:00, 315.25, 315.3, 315.15, 315.15, 514
PETRONET,2016-08-16 09:46:00, 315.25, 315.25, 315.15, 315.15, 282
PETRONET,2016-08-16 09:47:00, 315.15, 315.2, 315.15, 315.15, 490
PETRONET,2016-08-16 09:48:00, 315.15, 315.25, 315.15, 315.15, 321
PETRONET,2016-08-16 09:49:00, 315.15, 315.25, 315.15, 315.25, 219
PETRONET,2016-08-16 09:50:00, 315.2, 315.5, 315.15, 315.25, 305
PETRONET,2016-08-16 09:51:00, 315.25, 315.7, 315.25, 315.7, 660
PETRONET,2016-08-16 09:52:00, 315.7, 315.75, 315.6, 315.65, 395
PETRONET,2016-08-16 09:53:00, 315.65, 315.75, 315.65, 315.7, 721
PETRONET,2016-08-16 09:54:00, 315.75, 316, 315.35, 315.35, 2529
PETRONET,2016-08-16 09:55:00, 315.35, 315.35, 315.35, 315.35, 811
PETRONET,2016-08-16 09:56:00, 315.3, 316.2, 315.3, 316.1, 1307
PETRONET,2016-08-16 09:57:00, 316, 316, 315.95, 315.95, 842
PETRONET,2016-08-16 09:58:00, 315.95, 316.05, 315.8, 316.05, 2019
PETRONET,2016-08-16 09:59:00, 316.05, 316.75, 316.05, 316.45, 2461
PETRONET,2016-08-16 10:00:00, 316.45, 316.6, 316.1, 316.4, 1745
PETRONET,2016-08-16 10:01:00, 316.4, 316.65, 316.35, 316.5, 418
PETRONET,2016-08-16 10:02:00, 316.5, 317.8, 316.5, 317.75, 6029
PETRONET,2016-08-16 10:03:00, 317.75, 318.9, 317.75, 318.85, 8731
PETRONET,2016-08-16 10:04:00, 318.75, 319.95, 318.75, 319.7, 13954
PETRONET,2016-08-16 10:05:00, 319.75, 321, 319.75, 320.9, 23334
PETRONET,2016-08-16 10:06:00, 320.8, 320.8, 320.3, 320.5, 5442
PETRONET,2016-08-16 10:07:00, 320.5, 320.5, 320, 320.05, 6359
PETRONET,2016-08-16 10:08:00, 320, 320, 319.7, 320, 3746
PETRONET,2016-08-16 10:09:00, 320, 320.4, 319.95, 320.3, 5437
PETRONET,2016-08-16 10:10:00, 320.3, 320.4, 320.1, 320.1, 3074
PETRONET,2016-08-16 10:11:00, 320.1, 320.3, 320, 320.05, 1813
PETRONET,2016-08-16 10:12:00, 320.05, 320.1, 319.75, 319.75, 2207
PETRONET,2016-08-16 10:13:00, 319.75, 319.85, 319.4, 319.4, 2775
