Code,Date,Open,High,Low,Close,Volume
PIDILITIND,2016-08-16 09:15:00, 713.8, 714.95, 710.75, 711.55, 4342
PIDILITIND,2016-08-16 09:16:00, 711.55, 711.95, 710.05, 710.6, 2077
PIDILITIND,2016-08-16 09:17:00, 710.7, 713.15, 710.7, 711.7, 3407
PIDILITIND,2016-08-16 09:18:00, 711.7, 713.4, 711.7, 713.4, 706
PIDILITIND,2016-08-16 09:19:00, 713.35, 713.35, 712.45, 712.8, 1462
PIDILITIND,2016-08-16 09:20:00, 712.95, 713.65, 712.6, 713.65, 523
PIDILITIND,2016-08-16 09:21:00, 713.7, 714.35, 713.7, 713.95, 2172
PIDILITIND,2016-08-16 09:22:00, 713.4, 713.9, 713.25, 713.9, 1321
PIDILITIND,2016-08-16 09:23:00, 713.9, 714.75, 713.9, 714.6, 480
PIDILITIND,2016-08-16 09:24:00, 714.6, 715.5, 714.4, 715.4, 1252
PIDILITIND,2016-08-16 09:25:00, 715.4, 716.5, 715.3, 715.3, 1783
PIDILITIND,2016-08-16 09:26:00, 715.3, 718.25, 715.05, 717.35, 6572
PIDILITIND,2016-08-16 09:27:00, 717.5, 717.7, 715.55, 715.95, 564
PIDILITIND,2016-08-16 09:28:00, 715.95, 718.6, 715.95, 718.45, 1028
PIDILITIND,2016-08-16 09:29:00, 718.45, 718.65, 717.85, 718.15, 1626
PIDILITIND,2016-08-16 09:30:00, 718.15, 718.15, 717, 717.15, 1076
PIDILITIND,2016-08-16 09:31:00, 717.15, 717.5, 717.05, 717.15, 569
PIDILITIND,2016-08-16 09:32:00, 717.15, 717.45, 717.15, 717.45, 151
PIDILITIND,2016-08-16 09:33:00, 717.45, 717.6, 717.25, 717.35, 1279
PIDILITIND,2016-08-16 09:34:00, 717.1, 717.45, 716.45, 717.4, 890
PIDILITIND,2016-08-16 09:35:00, 717.1, 717.1, 716.05, 716.75, 996
PIDILITIND,2016-08-16 09:37:00, 716.45, 716.45, 716, 716.25, 737
PIDILITIND,2016-08-16 09:36:00, 716.8, 716.8, 716.4, 716.45, 782
PIDILITIND,2016-08-16 09:38:00, 716.25, 716.4, 715.65, 716, 724
PIDILITIND,2016-08-16 09:39:00, 716, 716.25, 716, 716.25, 1002
PIDILITIND,2016-08-16 09:40:00, 716.25, 716.25, 716, 716, 938
PIDILITIND,2016-08-16 09:41:00, 716, 716.25, 716, 716.25, 334
PIDILITIND,2016-08-16 09:42:00, 716.1, 716.25, 716.05, 716.25, 784
PIDILITIND,2016-08-16 09:43:00, 716.25, 716.25, 716.1, 716.1, 813
PIDILITIND,2016-08-16 09:44:00, 716.1, 716.15, 715.9, 716.1, 542
PIDILITIND,2016-08-16 09:45:00, 716.1, 716.3, 716.1, 716.15, 936
PIDILITIND,2016-08-16 09:46:00, 716.15, 716.4, 716, 716.25, 692
PIDILITIND,2016-08-16 09:47:00, 716.25, 716.25, 715.95, 716.25, 882
PIDILITIND,2016-08-16 09:48:00, 716.25, 716.25, 716, 716.25, 473
PIDILITIND,2016-08-16 09:49:00, 716.2, 716.4, 715.7, 715.85, 1373
PIDILITIND,2016-08-16 09:50:00, 715.85, 716.1, 715.85, 716.1, 218
PIDILITIND,2016-08-16 09:51:00, 716.1, 716.5, 716, 716.4, 1235
