Code,Date,Open,High,Low,Close,Volume
PNB,2016-08-16 09:16:00, 122.95, 123.35, 122.85, 123.25, 84686
PNB,2016-08-16 09:15:00, 123.55, 123.8, 122.8, 122.95, 116722
PNB,2016-08-16 09:18:00, 122.65, 122.8, 122, 122.3, 209330
PNB,2016-08-16 09:17:00, 123.25, 123.45, 122.75, 122.75, 116334
PNB,2016-08-16 09:19:00, 122.3, 122.3, 121.8, 121.95, 148465
PNB,2016-08-16 09:20:00, 122, 122, 121.45, 121.9, 198952
PNB,2016-08-16 09:21:00, 121.9, 122.1, 121.65, 121.8, 84771
PNB,2016-08-16 09:22:00, 121.7, 121.8, 121.5, 121.65, 111982
PNB,2016-08-16 09:23:00, 121.7, 121.9, 121.35, 121.5, 127679
PNB,2016-08-16 09:24:00, 121.5, 121.5, 121.1, 121.4, 100198
PNB,2016-08-16 09:25:00, 121.4, 121.7, 121.3, 121.35, 87592
PNB,2016-08-16 09:26:00, 121.3, 121.8, 121.3, 121.8, 72724
PNB,2016-08-16 09:27:00, 121.8, 122.15, 121.8, 122.15, 71321
PNB,2016-08-16 09:28:00, 122.05, 122.4, 121.85, 122.4, 66722
PNB,2016-08-16 09:29:00, 122.4, 122.85, 122.4, 122.8, 96870
PNB,2016-08-16 09:30:00, 122.85, 123.2, 122.6, 123, 134391
PNB,2016-08-16 09:31:00, 123, 123.65, 123, 123.4, 133571
PNB,2016-08-16 09:32:00, 123.35, 123.6, 123.25, 123.5, 126871
PNB,2016-08-16 09:33:00, 123.5, 123.55, 123.1, 123.25, 81604
PNB,2016-08-16 09:34:00, 123.1, 123.35, 123.05, 123.35, 75616
PNB,2016-08-16 09:35:00, 123.35, 123.35, 123.2, 123.2, 45497
PNB,2016-08-16 09:36:00, 123.25, 123.3, 122.85, 122.85, 58343
PNB,2016-08-16 09:37:00, 122.9, 123, 122.8, 122.95, 41259
PNB,2016-08-16 09:38:00, 122.95, 123, 122.8, 122.9, 32962
PNB,2016-08-16 09:39:00, 122.85, 123.1, 122.8, 122.9, 89161
PNB,2016-08-16 09:40:00, 122.9, 123, 122.8, 122.95, 36266
PNB,2016-08-16 09:41:00, 122.95, 122.95, 122.75, 122.9, 55692
PNB,2016-08-16 09:42:00, 122.9, 122.9, 122.65, 122.75, 27767
PNB,2016-08-16 09:43:00, 122.75, 123, 122.65, 122.9, 27465
PNB,2016-08-16 09:44:00, 122.9, 123, 122.85, 122.95, 18090
