Code,Date,Open,High,Low,Close,Volume
POWERGRID,2016-08-16 09:15:00, 178.85, 179.8, 178.85, 179.75, 62566
POWERGRID,2016-08-16 09:16:00, 179.75, 179.95, 179.75, 179.85, 46215
POWERGRID,2016-08-16 09:17:00, 179.85, 181.35, 179.85, 181.2, 106534
POWERGRID,2016-08-16 09:18:00, 181.25, 181.25, 181.05, 181.05, 120741
POWERGRID,2016-08-16 09:19:00, 181.05, 181.1, 180.9, 180.9, 41314
POWERGRID,2016-08-16 09:20:00, 180.95, 181, 180.9, 181, 25959
POWERGRID,2016-08-16 09:21:00, 181.1, 181.75, 181.1, 181.25, 95172
POWERGRID,2016-08-16 09:22:00, 181.2, 181.9, 181.15, 181.9, 62162
POWERGRID,2016-08-16 09:23:00, 181.85, 181.95, 181.35, 181.6, 61670
POWERGRID,2016-08-16 09:24:00, 181.6, 181.85, 181.55, 181.7, 43763
POWERGRID,2016-08-16 09:25:00, 181.75, 181.95, 181.6, 181.8, 97214
POWERGRID,2016-08-16 09:26:00, 181.85, 182.7, 181.85, 182.65, 88139
POWERGRID,2016-08-16 09:27:00, 182.6, 183, 182.6, 182.75, 90732
POWERGRID,2016-08-16 09:28:00, 182.8, 182.8, 182.1, 182.1, 40783
POWERGRID,2016-08-16 09:29:00, 182.15, 182.35, 181.75, 182.25, 44327
POWERGRID,2016-08-16 09:30:00, 182.15, 182.5, 181.9, 182.35, 42442
POWERGRID,2016-08-16 09:31:00, 182.4, 182.4, 181.95, 182, 65607
POWERGRID,2016-08-16 09:32:00, 182, 182.1, 181.85, 182.1, 25098
POWERGRID,2016-08-16 09:33:00, 182.1, 182.1, 181.85, 181.9, 26674
POWERGRID,2016-08-16 09:34:00, 181.8, 181.85, 181.25, 181.35, 62414
POWERGRID,2016-08-16 09:35:00, 181.25, 181.35, 181.1, 181.15, 31089
POWERGRID,2016-08-16 09:36:00, 181.15, 181.15, 180.6, 180.65, 31776
POWERGRID,2016-08-16 09:37:00, 180.7, 180.9, 180.6, 180.9, 28733
POWERGRID,2016-08-16 09:38:00, 180.85, 181.2, 180.85, 181.1, 22587
POWERGRID,2016-08-16 09:39:00, 181.15, 181.3, 181.05, 181.2, 31391
POWERGRID,2016-08-16 09:40:00, 181.25, 181.3, 181.05, 181.2, 19005
POWERGRID,2016-08-16 09:41:00, 181.2, 181.25, 181.15, 181.2, 9336
POWERGRID,2016-08-16 09:42:00, 181.2, 181.25, 181, 181, 14470
POWERGRID,2016-08-16 09:43:00, 181, 181.15, 181, 181.1, 17360
POWERGRID,2016-08-16 09:44:00, 181.1, 181.35, 181.1, 181.3, 17987
POWERGRID,2016-08-16 09:45:00, 181.3, 181.55, 181.25, 181.25, 25133
POWERGRID,2016-08-16 09:46:00, 181.25, 181.3, 181.15, 181.15, 10718
POWERGRID,2016-08-16 09:47:00, 181.2, 181.25, 181.15, 181.2, 14138
POWERGRID,2016-08-16 09:48:00, 181.2, 181.3, 181.2, 181.2, 5586
POWERGRID,2016-08-16 09:49:00, 181.3, 181.45, 181.2, 181.4, 6573
POWERGRID,2016-08-16 09:50:00, 181.45, 181.75, 181.45, 181.7, 13642
POWERGRID,2016-08-16 09:51:00, 181.7, 181.75, 181.5, 181.6, 36667
POWERGRID,2016-08-16 09:52:00, 181.6, 181.7, 181.45, 181.5, 18522
POWERGRID,2016-08-16 09:53:00, 181.5, 181.55, 181.5, 181.5, 13430
POWERGRID,2016-08-16 09:54:00, 181.5, 181.6, 181.5, 181.5, 48133
POWERGRID,2016-08-16 09:55:00, 181.5, 181.6, 181.5, 181.55, 17278
POWERGRID,2016-08-16 09:56:00, 181.6, 181.7, 181.55, 181.65, 15703
POWERGRID,2016-08-16 09:57:00, 181.65, 181.85, 181.65, 181.75, 19456
POWERGRID,2016-08-16 09:58:00, 181.75, 182.05, 181.7, 182, 103981
POWERGRID,2016-08-16 09:59:00, 182, 182.05, 182, 182, 24366
POWERGRID,2016-08-16 10:00:00, 182, 182.05, 182, 182, 21097
POWERGRID,2016-08-16 10:01:00, 182, 182.05, 182, 182, 9976
POWERGRID,2016-08-16 10:02:00, 182, 182.05, 182, 182, 36356
POWERGRID,2016-08-16 10:03:00, 182, 182.15, 181.95, 181.95, 48370
POWERGRID,2016-08-16 10:04:00, 181.95, 182.15, 181.95, 182, 73052
POWERGRID,2016-08-16 10:05:00, 182, 182.05, 182, 182, 41733
POWERGRID,2016-08-16 10:06:00, 182, 182.05, 182, 182.05, 8392
POWERGRID,2016-08-16 10:07:00, 182, 182.05, 182, 182.05, 11774
POWERGRID,2016-08-16 10:08:00, 182, 182.05, 182, 182, 5825
POWERGRID,2016-08-16 10:09:00, 182.05, 182.05, 182, 182, 7607
POWERGRID,2016-08-16 10:10:00, 182, 182.05, 182, 182, 38650
POWERGRID,2016-08-16 10:11:00, 182, 182.05, 182, 182, 9095
POWERGRID,2016-08-16 10:12:00, 182, 182.05, 182, 182, 6071
POWERGRID,2016-08-16 10:13:00, 182.05, 182.05, 182, 182, 5868
POWERGRID,2016-08-16 10:14:00, 182, 182.05, 182, 182, 18059
POWERGRID,2016-08-16 10:15:00, 182.05, 182.1, 182, 182, 28368
POWERGRID,2016-08-16 10:16:00, 182, 182.05, 182, 182, 17534
POWERGRID,2016-08-16 10:17:00, 182, 182.1, 182, 182.05, 31358
POWERGRID,2016-08-16 10:18:00, 182.05, 182.1, 182.05, 182.05, 3538
POWERGRID,2016-08-16 10:19:00, 182.05, 182.15, 182.05, 182.1, 6179
POWERGRID,2016-08-16 10:20:00, 182.1, 182.2, 182.05, 182.05, 16596
POWERGRID,2016-08-16 10:21:00, 182.05, 182.1, 182.05, 182.05, 4333
POWERGRID,2016-08-16 10:22:00, 182.05, 182.05, 182, 182, 10239
POWERGRID,2016-08-16 10:23:00, 182.1, 182.1, 182, 182, 15438
POWERGRID,2016-08-16 10:24:00, 182, 182.05, 182, 182, 9992
POWERGRID,2016-08-16 10:25:00, 182, 182.05, 182, 182, 17836
POWERGRID,2016-08-16 10:26:00, 182, 182.05, 182, 182, 18042
POWERGRID,2016-08-16 10:27:00, 182.05, 182.05, 182, 182, 15302
POWERGRID,2016-08-16 10:28:00, 182, 182.05, 182, 182, 16796
POWERGRID,2016-08-16 10:29:00, 182, 182.05, 182, 182, 7606
POWERGRID,2016-08-16 10:30:00, 182.05, 182.05, 182, 182, 24999
POWERGRID,2016-08-16 10:31:00, 182, 182.05, 182, 182, 26058
POWERGRID,2016-08-16 10:32:00, 182, 182.05, 182, 182, 7316
POWERGRID,2016-08-16 10:33:00, 182, 182.05, 182, 182.05, 36085
POWERGRID,2016-08-16 10:34:00, 182.05, 182.1, 182.05, 182.05, 6271
POWERGRID,2016-08-16 10:35:00, 182.05, 182.1, 182, 182, 13237
POWERGRID,2016-08-16 10:36:00, 182, 182.1, 182, 182.05, 7418
POWERGRID,2016-08-16 10:37:00, 182.1, 182.1, 182, 182, 18461
POWERGRID,2016-08-16 10:38:00, 182, 182.05, 182, 182, 3579
POWERGRID,2016-08-16 10:39:00, 182.05, 182.05, 182, 182, 5921
POWERGRID,2016-08-16 10:40:00, 182.05, 182.05, 182, 182, 4752
POWERGRID,2016-08-16 10:41:00, 182.05, 182.1, 182, 182.05, 7144
POWERGRID,2016-08-16 10:42:00, 182.05, 182.1, 182.05, 182.05, 5639
POWERGRID,2016-08-16 10:43:00, 182.1, 182.1, 182, 182, 15968
POWERGRID,2016-08-16 10:44:00, 182, 182.1, 182, 182.05, 3531
POWERGRID,2016-08-16 10:45:00, 182.05, 182.05, 182, 182, 9897
POWERGRID,2016-08-16 10:46:00, 182, 182.05, 182, 182, 9587
POWERGRID,2016-08-16 10:47:00, 182, 182.05, 182, 182, 13076
POWERGRID,2016-08-16 10:48:00, 182, 182.1, 182, 182.05, 10859
POWERGRID,2016-08-16 10:49:00, 182.05, 182.1, 182, 182.05, 7838
POWERGRID,2016-08-16 10:50:00, 182.05, 182.1, 182.05, 182.05, 4360
POWERGRID,2016-08-16 10:51:00, 182.1, 182.1, 182.05, 182.05, 3166
POWERGRID,2016-08-16 10:52:00, 182.05, 182.1, 182, 182, 7863
POWERGRID,2016-08-16 10:53:00, 182.05, 182.1, 182, 182, 13482
POWERGRID,2016-08-16 10:54:00, 182, 182.05, 182, 182, 7084
POWERGRID,2016-08-16 10:55:00, 182, 182.1, 182, 182, 15846
POWERGRID,2016-08-16 10:56:00, 182, 182.15, 182, 182.1, 7183
POWERGRID,2016-08-16 10:57:00, 182.1, 182.15, 182.1, 182.1, 2791
POWERGRID,2016-08-16 10:58:00, 182.1, 182.15, 182.1, 182.1, 4836
POWERGRID,2016-08-16 10:59:00, 182.1, 182.15, 182, 182, 16435
POWERGRID,2016-08-16 11:00:00, 182, 182.1, 181.65, 181.65, 16094
POWERGRID,2016-08-16 11:01:00, 181.65, 181.7, 181.55, 181.55, 6803
POWERGRID,2016-08-16 11:02:00, 181.55, 181.7, 181.55, 181.6, 5034
POWERGRID,2016-08-16 11:03:00, 181.6, 181.65, 181.3, 181.3, 15592
POWERGRID,2016-08-16 11:04:00, 181.3, 181.65, 181.3, 181.5, 16460
POWERGRID,2016-08-16 11:05:00, 181.5, 181.5, 181.05, 181.1, 16733
POWERGRID,2016-08-16 11:06:00, 181.1, 181.35, 181.1, 181.25, 6182
POWERGRID,2016-08-16 11:07:00, 181.35, 181.6, 181.3, 181.55, 11536
POWERGRID,2016-08-16 11:08:00, 181.55, 181.95, 181.55, 181.8, 19972
POWERGRID,2016-08-16 11:09:00, 181.8, 181.85, 181.5, 181.55, 13265
POWERGRID,2016-08-16 11:10:00, 181.55, 181.7, 181.55, 181.65, 5704
POWERGRID,2016-08-16 11:11:00, 181.65, 181.65, 181.55, 181.55, 6363
POWERGRID,2016-08-16 11:12:00, 181.6, 181.6, 181.3, 181.3, 13180
POWERGRID,2016-08-16 11:13:00, 181.3, 181.55, 181.3, 181.5, 10355
POWERGRID,2016-08-16 11:14:00, 181.5, 181.6, 181.5, 181.5, 6379
