Code,Date,Open,High,Low,Close,Volume
RCOM,2016-08-16 09:15:00, 48.9, 48.9, 48.6, 48.6, 81174
RCOM,2016-08-16 09:16:00, 48.7, 48.9, 48.65, 48.8, 68548
RCOM,2016-08-16 09:17:00, 48.8, 48.9, 48.8, 48.85, 34433
RCOM,2016-08-16 09:18:00, 48.8, 48.85, 48.75, 48.8, 30005
RCOM,2016-08-16 09:19:00, 48.75, 48.8, 48.7, 48.75, 13175
RCOM,2016-08-16 09:20:00, 48.7, 48.8, 48.7, 48.75, 23717
RCOM,2016-08-16 09:21:00, 48.75, 48.85, 48.75, 48.75, 42599
RCOM,2016-08-16 09:22:00, 48.8, 48.85, 48.7, 48.75, 35554
RCOM,2016-08-16 09:23:00, 48.75, 48.8, 48.7, 48.7, 11305
RCOM,2016-08-16 09:24:00, 48.7, 48.75, 48.65, 48.7, 22516
RCOM,2016-08-16 09:25:00, 48.7, 48.8, 48.7, 48.8, 28245
RCOM,2016-08-16 09:26:00, 48.8, 48.8, 48.7, 48.75, 15977
RCOM,2016-08-16 09:27:00, 48.7, 48.75, 48.7, 48.75, 6419
RCOM,2016-08-16 09:28:00, 48.75, 48.75, 48.65, 48.75, 40097
RCOM,2016-08-16 09:29:00, 48.7, 48.75, 48.65, 48.7, 28864
RCOM,2016-08-16 09:30:00, 48.7, 48.7, 48.65, 48.7, 16242
RCOM,2016-08-16 09:31:00, 48.7, 48.7, 48.6, 48.7, 41603
RCOM,2016-08-16 09:32:00, 48.7, 48.75, 48.65, 48.7, 4255
RCOM,2016-08-16 09:33:00, 48.7, 48.75, 48.65, 48.7, 25457
RCOM,2016-08-16 09:34:00, 48.65, 48.7, 48.65, 48.7, 17479
RCOM,2016-08-16 09:36:00, 48.7, 48.75, 48.65, 48.65, 14274
RCOM,2016-08-16 09:35:00, 48.7, 48.75, 48.65, 48.7, 4147
RCOM,2016-08-16 09:37:00, 48.65, 48.7, 48.6, 48.65, 14330
RCOM,2016-08-16 09:38:00, 48.7, 48.7, 48.65, 48.7, 14413
RCOM,2016-08-16 09:39:00, 48.7, 48.7, 48.65, 48.7, 10255
RCOM,2016-08-16 09:40:00, 48.7, 48.7, 48.65, 48.7, 5717
RCOM,2016-08-16 09:41:00, 48.65, 48.65, 48.6, 48.65, 50873
RCOM,2016-08-16 09:42:00, 48.65, 48.65, 48.6, 48.6, 16905
RCOM,2016-08-16 09:43:00, 48.6, 48.7, 48.6, 48.65, 26455
RCOM,2016-08-16 09:44:00, 48.65, 48.7, 48.6, 48.65, 19865
RCOM,2016-08-16 09:45:00, 48.65, 48.7, 48.55, 48.6, 82321
RCOM,2016-08-16 09:46:00, 48.6, 48.8, 48.6, 48.7, 120586
RCOM,2016-08-16 09:47:00, 48.7, 48.8, 48.7, 48.7, 15492
RCOM,2016-08-16 09:48:00, 48.7, 48.8, 48.7, 48.75, 21932
RCOM,2016-08-16 09:49:00, 48.75, 48.8, 48.7, 48.75, 11360
RCOM,2016-08-16 09:50:00, 48.75, 48.8, 48.7, 48.75, 14920
RCOM,2016-08-16 09:51:00, 48.75, 48.8, 48.75, 48.75, 4867
RCOM,2016-08-16 09:52:00, 48.75, 48.8, 48.75, 48.75, 4011
RCOM,2016-08-16 09:53:00, 48.75, 48.8, 48.7, 48.75, 21855
RCOM,2016-08-16 09:54:00, 48.8, 48.8, 48.7, 48.75, 20713
RCOM,2016-08-16 09:55:00, 48.75, 48.75, 48.7, 48.75, 8189
RCOM,2016-08-16 09:56:00, 48.75, 48.75, 48.55, 48.55, 189627
RCOM,2016-08-16 09:57:00, 48.55, 48.75, 48.55, 48.75, 48727
RCOM,2016-08-16 09:58:00, 48.75, 48.75, 48.65, 48.75, 24072
RCOM,2016-08-16 09:59:00, 48.75, 48.75, 48.7, 48.7, 8353
