Code,Date,Open,High,Low,Close,Volume
RELIANCE,2016-08-16 09:15:00, 1036.25, 1039, 1036.25, 1039, 57006
RELIANCE,2016-08-16 09:16:00, 1038.55, 1039.25, 1037.55, 1037.55, 48335
RELIANCE,2016-08-16 09:17:00, 1037.7, 1038.1, 1036.65, 1036.65, 13143
RELIANCE,2016-08-16 09:18:00, 1036.65, 1037.15, 1035, 1035.35, 16837
RELIANCE,2016-08-16 09:19:00, 1035.35, 1035.5, 1033.75, 1033.8, 22220
RELIANCE,2016-08-16 09:20:00, 1034, 1035.4, 1034, 1035.35, 17380
RELIANCE,2016-08-16 09:21:00, 1035.5, 1035.8, 1034.45, 1034.45, 18494
RELIANCE,2016-08-16 09:22:00, 1034.45, 1034.6, 1033.5, 1034.6, 13434
RELIANCE,2016-08-16 09:23:00, 1034.6, 1034.75, 1034, 1034, 8300
RELIANCE,2016-08-16 09:24:00, 1034.3, 1034.3, 1032.8, 1033.15, 8329
RELIANCE,2016-08-16 09:25:00, 1033.15, 1033.85, 1032.8, 1032.8, 12700
RELIANCE,2016-08-16 09:26:00, 1032.8, 1035.55, 1032.8, 1035.25, 18812
RELIANCE,2016-08-16 09:27:00, 1035.05, 1035.55, 1035.05, 1035.45, 8180
RELIANCE,2016-08-16 09:28:00, 1035.5, 1036.05, 1035.45, 1036.05, 12243
RELIANCE,2016-08-16 09:29:00, 1036.2, 1036.2, 1035.75, 1036, 10962
RELIANCE,2016-08-16 09:30:00, 1036.1, 1036.25, 1035.25, 1035.9, 13681
RELIANCE,2016-08-16 09:31:00, 1035.8, 1036.45, 1035.75, 1036.1, 12396
RELIANCE,2016-08-16 09:32:00, 1036, 1036.15, 1035.6, 1036.05, 8652
RELIANCE,2016-08-16 09:33:00, 1036, 1036.2, 1035.5, 1035.5, 15934
RELIANCE,2016-08-16 09:34:00, 1035.7, 1035.8, 1035.25, 1035.55, 5628
RELIANCE,2016-08-16 09:35:00, 1035.55, 1036.45, 1035.45, 1036.25, 8882
RELIANCE,2016-08-16 09:36:00, 1036.2, 1036.25, 1035.9, 1035.95, 5589
RELIANCE,2016-08-16 09:38:00, 1036.2, 1037.05, 1036, 1036, 9036
RELIANCE,2016-08-16 09:37:00, 1035.95, 1036.25, 1035.7, 1036.2, 6695
RELIANCE,2016-08-16 09:39:00, 1036.1, 1037.55, 1036, 1037.55, 9122
RELIANCE,2016-08-16 09:40:00, 1037.5, 1037.6, 1036.95, 1037.1, 9451
RELIANCE,2016-08-16 09:41:00, 1037.45, 1037.5, 1036.45, 1036.45, 13733
RELIANCE,2016-08-16 09:42:00, 1036.45, 1037.45, 1036.45, 1037.25, 9376
RELIANCE,2016-08-16 09:44:00, 1038.45, 1039.75, 1038.4, 1039.75, 16044
RELIANCE,2016-08-16 09:43:00, 1037.25, 1038.55, 1037, 1038.45, 21165
RELIANCE,2016-08-16 09:45:00, 1039.6, 1040.45, 1038.1, 1038.1, 21013
RELIANCE,2016-08-16 09:47:00, 1039, 1039.5, 1038.2, 1038.9, 9606
RELIANCE,2016-08-16 09:46:00, 1038.2, 1039.85, 1038.2, 1039.2, 12965
RELIANCE,2016-08-16 09:49:00, 1038.3, 1039.35, 1038.3, 1039.3, 7349
RELIANCE,2016-08-16 09:48:00, 1038.8, 1039, 1038.15, 1038.5, 5002
RELIANCE,2016-08-16 09:50:00, 1039.3, 1042.4, 1039.3, 1042.15, 28037
RELIANCE,2016-08-16 09:52:00, 1042.4, 1042.45, 1040.25, 1041.05, 17297
RELIANCE,2016-08-16 09:51:00, 1042.15, 1044.8, 1042.1, 1042.35, 62045
RELIANCE,2016-08-16 09:53:00, 1041.05, 1041.6, 1040.95, 1041.6, 7136
RELIANCE,2016-08-16 09:54:00, 1041.5, 1041.7, 1040.65, 1040.65, 12325
RELIANCE,2016-08-16 09:55:00, 1040.65, 1041, 1040.5, 1040.65, 6360
