Code,Date,Open,High,Low,Close,Volume
RELINFRA,2016-08-16 09:15:00, 577.55, 578.35, 576.05, 576.2, 9930
RELINFRA,2016-08-16 09:17:00, 576.5, 577.8, 576.5, 577.55, 5772
RELINFRA,2016-08-16 09:16:00, 576.2, 577, 576.2, 576.5, 8353
RELINFRA,2016-08-16 09:18:00, 577.2, 577.55, 576.5, 576.65, 5668
RELINFRA,2016-08-16 09:19:00, 576.4, 576.8, 576.1, 576.3, 7619
RELINFRA,2016-08-16 09:20:00, 576.3, 580, 576.2, 580, 10579
RELINFRA,2016-08-16 09:21:00, 580, 580.5, 578.15, 578.15, 7426
RELINFRA,2016-08-16 09:22:00, 578.15, 579, 577.6, 578.75, 3530
RELINFRA,2016-08-16 09:23:00, 578.75, 579.25, 578.5, 578.5, 2921
RELINFRA,2016-08-16 09:24:00, 578.5, 578.9, 578.25, 578.85, 3491
RELINFRA,2016-08-16 09:25:00, 578.85, 578.85, 578.15, 578.15, 4889
RELINFRA,2016-08-16 09:26:00, 578.15, 579.05, 578.05, 578.85, 7793
RELINFRA,2016-08-16 09:27:00, 579.1, 579.5, 578.5, 578.6, 4048
RELINFRA,2016-08-16 09:28:00, 578.6, 578.95, 578.55, 578.6, 1321
RELINFRA,2016-08-16 09:29:00, 578.6, 578.9, 578.55, 578.6, 1203
RELINFRA,2016-08-16 09:30:00, 578.6, 579.4, 578.1, 579.2, 2797
RELINFRA,2016-08-16 09:31:00, 579.2, 579.45, 578.55, 578.55, 4975
RELINFRA,2016-08-16 09:32:00, 578.55, 579.1, 578.55, 578.55, 1456
RELINFRA,2016-08-16 09:33:00, 579, 579, 578.2, 578.75, 3402
RELINFRA,2016-08-16 09:34:00, 578.75, 578.75, 578, 578.5, 3582
RELINFRA,2016-08-16 09:35:00, 578.5, 579, 578.3, 578.7, 1138
RELINFRA,2016-08-16 09:36:00, 578.7, 579.15, 578.3, 578.3, 9119
RELINFRA,2016-08-16 09:37:00, 578.5, 579.4, 578.1, 579.4, 5039
RELINFRA,2016-08-16 09:38:00, 579.5, 579.8, 579.05, 579.3, 8711
RELINFRA,2016-08-16 09:39:00, 579.3, 581.3, 579.1, 580.85, 19481
RELINFRA,2016-08-16 09:40:00, 580.85, 581.5, 580.4, 581.15, 9068
RELINFRA,2016-08-16 09:41:00, 581.15, 581.4, 580.45, 581, 5674
RELINFRA,2016-08-16 09:42:00, 581.25, 582.3, 581, 582.3, 12720
RELINFRA,2016-08-16 09:43:00, 582.5, 583, 581.95, 582.2, 14375
RELINFRA,2016-08-16 09:44:00, 582, 582.8, 581.8, 582.8, 12848
RELINFRA,2016-08-16 09:45:00, 583, 583.5, 582.2, 582.6, 15849
RELINFRA,2016-08-16 09:46:00, 582.6, 583.9, 582.6, 583.45, 7310
RELINFRA,2016-08-16 09:47:00, 583.2, 583.7, 583, 583.7, 7211
RELINFRA,2016-08-16 09:48:00, 583.4, 583.6, 582.7, 582.7, 4706
RELINFRA,2016-08-16 09:49:00, 582.7, 582.95, 582.1, 582.45, 6136
RELINFRA,2016-08-16 09:50:00, 582.45, 582.8, 582.3, 582.45, 3655
RELINFRA,2016-08-16 09:51:00, 582.45, 582.9, 582.3, 582.9, 3301
RELINFRA,2016-08-16 09:52:00, 582.9, 583, 582, 582.4, 4327
RELINFRA,2016-08-16 09:53:00, 582.5, 582.5, 581, 581, 5857
RELINFRA,2016-08-16 09:54:00, 581.1, 581.95, 581.1, 581.95, 5773
RELINFRA,2016-08-16 09:55:00, 581.9, 582.4, 580.85, 581.05, 4080
RELINFRA,2016-08-16 09:56:00, 581.25, 581.25, 579.7, 580, 6858
RELINFRA,2016-08-16 09:57:00, 580, 580.9, 580, 580.8, 2801
RELINFRA,2016-08-16 09:58:00, 580.8, 580.8, 579.6, 580.3, 3720
RELINFRA,2016-08-16 09:59:00, 580.3, 580.6, 579.9, 580, 2656
