Code,Date,Open,High,Low,Close,Volume
SBIN,2016-08-16 09:15:00, 245.55, 246.35, 244.05, 245.3, 692491
SBIN,2016-08-16 09:16:00, 245.25, 245.35, 244.8, 245.15, 394274
SBIN,2016-08-16 09:18:00, 244.4, 244.6, 244, 244.2, 226727
SBIN,2016-08-16 09:17:00, 245, 245.2, 243.7, 244.35, 390576
SBIN,2016-08-16 09:19:00, 244.2, 244.3, 242.95, 243.7, 359719
SBIN,2016-08-16 09:20:00, 243.8, 244.75, 243.7, 244.75, 201948
SBIN,2016-08-16 09:21:00, 244.8, 245.45, 244.8, 244.9, 397078
SBIN,2016-08-16 09:22:00, 244.9, 245.2, 244.35, 245.2, 230158
SBIN,2016-08-16 09:23:00, 245.25, 245.35, 244.75, 245.15, 270419
SBIN,2016-08-16 09:24:00, 245.2, 245.2, 244.5, 245, 126366
SBIN,2016-08-16 09:25:00, 245.1, 245.1, 244.55, 244.6, 135177
SBIN,2016-08-16 09:26:00, 244.65, 245.2, 244.55, 245.15, 116683
SBIN,2016-08-16 09:27:00, 245.3, 246, 245.25, 245.75, 304638
SBIN,2016-08-16 09:28:00, 245.8, 246.7, 245.8, 246.5, 378460
SBIN,2016-08-16 09:29:00, 246.65, 246.85, 246.35, 246.65, 339558
SBIN,2016-08-16 09:30:00, 246.6, 246.7, 246.1, 246.1, 207288
SBIN,2016-08-16 09:31:00, 246.05, 246.75, 246.05, 246.7, 196840
SBIN,2016-08-16 09:32:00, 246.65, 247.75, 246.65, 247.7, 555809
SBIN,2016-08-16 09:33:00, 247.7, 247.7, 246.85, 247, 292372
SBIN,2016-08-16 09:34:00, 247, 247, 246.2, 246.25, 145951
SBIN,2016-08-16 09:35:00, 246.35, 246.5, 246.2, 246.3, 93987
SBIN,2016-08-16 09:36:00, 246.3, 246.45, 245.15, 245.2, 210101
SBIN,2016-08-16 09:37:00, 245.2, 245.45, 244.75, 245.4, 228716
SBIN,2016-08-16 09:38:00, 245.5, 245.65, 245.3, 245.45, 117705
SBIN,2016-08-16 09:39:00, 245.45, 246, 245.45, 245.85, 88467
SBIN,2016-08-16 09:40:00, 245.8, 245.9, 245.45, 245.8, 76078
SBIN,2016-08-16 09:41:00, 245.8, 245.8, 245.3, 245.55, 66365
SBIN,2016-08-16 09:42:00, 245.55, 245.55, 245.2, 245.45, 44096
SBIN,2016-08-16 09:43:00, 245.5, 245.95, 245.5, 245.75, 53954
SBIN,2016-08-16 09:44:00, 245.75, 246.55, 245.7, 246.5, 132375
SBIN,2016-08-16 09:45:00, 246.5, 246.6, 246.3, 246.45, 200611
SBIN,2016-08-16 09:46:00, 246.45, 246.75, 246.3, 246.4, 99809
SBIN,2016-08-16 09:47:00, 246.35, 246.35, 245.85, 246.2, 51165
SBIN,2016-08-16 09:48:00, 246.2, 246.5, 246.1, 246.3, 57428
SBIN,2016-08-16 09:49:00, 246.15, 246.25, 245.5, 245.7, 85356
SBIN,2016-08-16 09:50:00, 245.7, 245.95, 245.6, 245.75, 22247
SBIN,2016-08-16 09:51:00, 245.75, 246, 245.7, 245.9, 30050
SBIN,2016-08-16 09:52:00, 245.85, 245.85, 245.15, 245.2, 104818
SBIN,2016-08-16 09:53:00, 245.05, 245.35, 244.7, 244.85, 173404
SBIN,2016-08-16 09:54:00, 245, 245, 244.7, 244.9, 74695
SBIN,2016-08-16 09:55:00, 244.8, 245.1, 244.8, 244.95, 74988
SBIN,2016-08-16 09:56:00, 245, 245.1, 243.75, 244.15, 316663
SBIN,2016-08-16 09:57:00, 244.15, 244.8, 244.1, 244.8, 100257
SBIN,2016-08-16 09:58:00, 244.7, 244.8, 244.35, 244.5, 56952
SBIN,2016-08-16 09:59:00, 244.5, 244.5, 243.35, 243.55, 194382
SBIN,2016-08-16 10:00:00, 243.55, 243.9, 243.1, 243.5, 176120
SBIN,2016-08-16 10:01:00, 243.45, 244.05, 243.45, 243.9, 86215
SBIN,2016-08-16 10:02:00, 243.9, 244.3, 243.85, 244.3, 48270
SBIN,2016-08-16 10:03:00, 244.3, 244.45, 244.15, 244.35, 72201
SBIN,2016-08-16 10:04:00, 244.35, 244.7, 244.15, 244.5, 106862
SBIN,2016-08-16 10:05:00, 244.45, 244.5, 244.2, 244.35, 36786
SBIN,2016-08-16 10:06:00, 244.3, 244.65, 244.25, 244.45, 33231
SBIN,2016-08-16 10:07:00, 244.4, 244.5, 244.15, 244.15, 65087
SBIN,2016-08-16 10:08:00, 244.15, 244.3, 243.9, 244.2, 74204
SBIN,2016-08-16 10:09:00, 244.05, 244.3, 244, 244, 86345
SBIN,2016-08-16 10:10:00, 244, 244.4, 243.85, 244.4, 72216
SBIN,2016-08-16 10:11:00, 244.4, 244.4, 244.1, 244.2, 54788
SBIN,2016-08-16 10:12:00, 244.25, 244.4, 244, 244, 67409
SBIN,2016-08-16 10:13:00, 244, 244.25, 243.9, 244.25, 29519
SBIN,2016-08-16 10:14:00, 244.2, 244.4, 244.15, 244.35, 30981
SBIN,2016-08-16 10:15:00, 244.4, 244.5, 244.35, 244.45, 56912
SBIN,2016-08-16 10:16:00, 244.4, 244.65, 244.3, 244.65, 50687
SBIN,2016-08-16 10:17:00, 244.6, 244.9, 244.6, 244.75, 87453
SBIN,2016-08-16 10:18:00, 244.9, 244.9, 244.5, 244.7, 31109
SBIN,2016-08-16 10:19:00, 244.7, 244.9, 244.65, 244.9, 32373
SBIN,2016-08-16 10:20:00, 244.9, 245.1, 244.8, 244.9, 129167
SBIN,2016-08-16 10:21:00, 244.9, 244.95, 244.55, 244.6, 63375
SBIN,2016-08-16 10:22:00, 244.55, 244.8, 244.5, 244.65, 66886
SBIN,2016-08-16 10:24:00, 244.45, 244.6, 244.4, 244.4, 82155
SBIN,2016-08-16 10:23:00, 244.75, 244.75, 244.4, 244.45, 44447
SBIN,2016-08-16 10:25:00, 244.4, 244.7, 244.35, 244.5, 82044
SBIN,2016-08-16 10:26:00, 244.6, 244.65, 244.5, 244.6, 14859
SBIN,2016-08-16 10:27:00, 244.6, 244.75, 244.6, 244.7, 22238
SBIN,2016-08-16 10:28:00, 244.7, 244.95, 244.6, 244.6, 36096
