Code,Date,Open,High,Low,Close,Volume
SINTEX,2016-08-16 09:15:00, 71.95, 71.95, 71.8, 71.9, 26322
SINTEX,2016-08-16 09:16:00, 71.9, 71.95, 71.8, 71.85, 8087
SINTEX,2016-08-16 09:17:00, 71.85, 71.9, 71.7, 71.85, 22806
SINTEX,2016-08-16 09:18:00, 71.9, 71.95, 71.85, 71.9, 17797
SINTEX,2016-08-16 09:20:00, 71.9, 72.05, 71.8, 72.05, 16498
SINTEX,2016-08-16 09:19:00, 71.9, 71.9, 71.85, 71.85, 12344
SINTEX,2016-08-16 09:21:00, 72.05, 72.15, 71.95, 72.15, 18957
SINTEX,2016-08-16 09:22:00, 72.15, 72.15, 72.05, 72.15, 14321
SINTEX,2016-08-16 09:23:00, 72.15, 72.2, 72.1, 72.2, 12316
SINTEX,2016-08-16 09:24:00, 72.2, 72.3, 72.1, 72.3, 12808
SINTEX,2016-08-16 09:25:00, 72.3, 72.45, 72.25, 72.25, 21657
SINTEX,2016-08-16 09:27:00, 72.25, 72.45, 72.25, 72.35, 10748
SINTEX,2016-08-16 09:26:00, 72.25, 72.3, 72.2, 72.25, 12045
SINTEX,2016-08-16 09:28:00, 72.35, 72.5, 72.35, 72.5, 19913
SINTEX,2016-08-16 09:30:00, 72.5, 72.5, 72.45, 72.45, 9738
SINTEX,2016-08-16 09:29:00, 72.45, 72.55, 72.45, 72.45, 18288
SINTEX,2016-08-16 09:31:00, 72.45, 72.45, 72.4, 72.45, 6468
SINTEX,2016-08-16 09:32:00, 72.45, 72.45, 72.3, 72.4, 14999
SINTEX,2016-08-16 09:33:00, 72.4, 72.4, 72.3, 72.4, 7219
SINTEX,2016-08-16 09:34:00, 72.4, 72.4, 72.3, 72.4, 5069
SINTEX,2016-08-16 09:35:00, 72.4, 72.4, 72.2, 72.3, 7646
SINTEX,2016-08-16 09:36:00, 72.3, 72.3, 72.15, 72.25, 4408
SINTEX,2016-08-16 09:37:00, 72.25, 72.3, 72.2, 72.2, 3797
SINTEX,2016-08-16 09:38:00, 72.2, 72.25, 72.2, 72.25, 4803
SINTEX,2016-08-16 09:39:00, 72.25, 72.3, 72.2, 72.25, 7265
SINTEX,2016-08-16 09:40:00, 72.25, 72.3, 72.25, 72.3, 2717
SINTEX,2016-08-16 09:41:00, 72.3, 72.35, 72.25, 72.35, 7571
SINTEX,2016-08-16 09:42:00, 72.35, 72.35, 72.25, 72.3, 3118
SINTEX,2016-08-16 09:43:00, 72.3, 72.35, 72.25, 72.35, 2525
SINTEX,2016-08-16 09:44:00, 72.4, 72.4, 72.3, 72.35, 3000
SINTEX,2016-08-16 09:45:00, 72.35, 72.4, 72.3, 72.35, 6644
SINTEX,2016-08-16 09:46:00, 72.35, 72.4, 72.35, 72.35, 5651
SINTEX,2016-08-16 09:47:00, 72.35, 72.35, 72.25, 72.3, 3088
SINTEX,2016-08-16 09:48:00, 72.3, 72.35, 72.3, 72.35, 3850
SINTEX,2016-08-16 09:49:00, 72.35, 72.35, 72.3, 72.35, 2244
SINTEX,2016-08-16 09:50:00, 72.35, 72.35, 72.3, 72.35, 2642
SINTEX,2016-08-16 09:51:00, 72.35, 72.35, 72.25, 72.35, 7224
SINTEX,2016-08-16 09:52:00, 72.35, 72.35, 72.3, 72.3, 2095
SINTEX,2016-08-16 09:53:00, 72.3, 72.3, 72.15, 72.15, 10907
SINTEX,2016-08-16 09:54:00, 72.15, 72.15, 72.1, 72.15, 8040
SINTEX,2016-08-16 09:55:00, 72.15, 72.2, 72.15, 72.2, 2466
SINTEX,2016-08-16 09:56:00, 72.2, 72.25, 72.15, 72.2, 3439
SINTEX,2016-08-16 09:57:00, 72.15, 72.2, 72.15, 72.2, 3490
SINTEX,2016-08-16 09:58:00, 72.2, 72.2, 72.1, 72.1, 4438
SINTEX,2016-08-16 09:59:00, 72.1, 72.15, 72.1, 72.1, 7396
SINTEX,2016-08-16 10:00:00, 72.1, 72.15, 72.05, 72.1, 1916
SINTEX,2016-08-16 10:01:00, 72.1, 72.15, 72.05, 72.05, 4171
SINTEX,2016-08-16 10:02:00, 72.05, 72.15, 72.05, 72.05, 6919
SINTEX,2016-08-16 10:03:00, 72.05, 72.15, 72.05, 72.15, 2813
SINTEX,2016-08-16 10:04:00, 72.15, 72.15, 72.1, 72.15, 5262
SINTEX,2016-08-16 10:05:00, 72.1, 72.1, 72.1, 72.1, 2513
SINTEX,2016-08-16 10:06:00, 72.1, 72.1, 72, 72, 11862
SINTEX,2016-08-16 10:07:00, 72, 72.05, 72, 72.05, 2016
SINTEX,2016-08-16 10:08:00, 72.05, 72.1, 72, 72.05, 1110
SINTEX,2016-08-16 10:09:00, 72.05, 72.05, 72, 72.05, 983
SINTEX,2016-08-16 10:10:00, 72.05, 72.05, 72, 72.05, 2994
SINTEX,2016-08-16 10:11:00, 72.05, 72.05, 72, 72, 1750
SINTEX,2016-08-16 10:12:00, 72.05, 72.05, 72, 72.05, 2957
SINTEX,2016-08-16 10:13:00, 72.05, 72.1, 72.05, 72.1, 2550
