Code,Date,Open,High,Low,Close,Volume
SOUTHBANK,2016-08-16 09:15:00, 21.3, 21.3, 21.3, 21.3, 43694
SOUTHBANK,2016-08-16 09:16:00, 21.25, 21.3, 21.25, 21.3, 8507
SOUTHBANK,2016-08-16 09:17:00, 21.25, 21.3, 21.25, 21.3, 5907
SOUTHBANK,2016-08-16 09:18:00, 21.3, 21.3, 21.25, 21.25, 167
SOUTHBANK,2016-08-16 09:19:00, 21.25, 21.3, 21.25, 21.3, 12216
SOUTHBANK,2016-08-16 09:20:00, 21.3, 21.35, 21.3, 21.35, 1335
SOUTHBANK,2016-08-16 09:21:00, 21.35, 21.4, 21.35, 21.35, 9031
SOUTHBANK,2016-08-16 09:22:00, 21.35, 21.4, 21.35, 21.4, 3501
SOUTHBANK,2016-08-16 09:23:00, 21.4, 21.4, 21.35, 21.4, 11038
SOUTHBANK,2016-08-16 09:24:00, 21.4, 21.4, 21.35, 21.4, 6316
SOUTHBANK,2016-08-16 09:25:00, 21.4, 21.4, 21.4, 21.4, 6254
SOUTHBANK,2016-08-16 09:26:00, 21.4, 21.4, 21.35, 21.4, 4171
SOUTHBANK,2016-08-16 09:27:00, 21.4, 21.45, 21.4, 21.45, 60885
SOUTHBANK,2016-08-16 09:28:00, 21.45, 21.5, 21.45, 21.45, 1103
SOUTHBANK,2016-08-16 09:29:00, 21.45, 21.5, 21.45, 21.5, 5253
SOUTHBANK,2016-08-16 09:30:00, 21.5, 21.5, 21.45, 21.5, 87853
SOUTHBANK,2016-08-16 09:31:00, 21.45, 21.5, 21.45, 21.5, 3157
SOUTHBANK,2016-08-16 09:32:00, 21.5, 21.5, 21.45, 21.5, 1500
SOUTHBANK,2016-08-16 09:33:00, 21.5, 21.5, 21.45, 21.5, 1809
SOUTHBANK,2016-08-16 09:34:00, 21.5, 21.5, 21.45, 21.5, 11041
SOUTHBANK,2016-08-16 09:35:00, 21.5, 21.5, 21.4, 21.45, 68885
SOUTHBANK,2016-08-16 09:36:00, 21.45, 21.45, 21.4, 21.4, 2821
SOUTHBANK,2016-08-16 09:37:00, 21.4, 21.4, 21.35, 21.4, 33770
SOUTHBANK,2016-08-16 09:38:00, 21.35, 21.4, 21.35, 21.35, 31002
SOUTHBANK,2016-08-16 09:39:00, 21.35, 21.35, 21.35, 21.35, 1
SOUTHBANK,2016-08-16 09:40:00, 21.35, 21.4, 21.35, 21.35, 1330
