Code,Date,Open,High,Low,Close,Volume
SUNTV,2016-08-16 09:16:00, 454.5, 454.5, 452.05, 453.95, 9044
SUNTV,2016-08-16 09:15:00, 454, 457.7, 454, 454.5, 7295
SUNTV,2016-08-16 09:17:00, 453.95, 454.65, 452.85, 453.65, 6471
SUNTV,2016-08-16 09:18:00, 453.65, 454.5, 453.35, 453.85, 3699
SUNTV,2016-08-16 09:19:00, 453.8, 453.8, 452.35, 453, 11933
SUNTV,2016-08-16 09:20:00, 453, 454.35, 452.7, 454.35, 7277
SUNTV,2016-08-16 09:21:00, 455, 455.15, 454.45, 454.7, 2993
SUNTV,2016-08-16 09:23:00, 454.7, 455.4, 454.7, 455.1, 1536
SUNTV,2016-08-16 09:22:00, 454.7, 455.5, 454.15, 454.7, 4031
SUNTV,2016-08-16 09:24:00, 455.55, 456.2, 455.55, 456.2, 5098
SUNTV,2016-08-16 09:25:00, 456.75, 456.9, 455.05, 455.3, 3885
SUNTV,2016-08-16 09:26:00, 455.3, 456.35, 455, 456.1, 3299
SUNTV,2016-08-16 09:27:00, 456.2, 457.9, 456.2, 457.5, 6777
SUNTV,2016-08-16 09:28:00, 457.5, 457.7, 457.5, 457.5, 4922
SUNTV,2016-08-16 09:29:00, 457.5, 459.7, 457.5, 458.75, 5589
SUNTV,2016-08-16 09:31:00, 456.25, 457.4, 456.25, 456.9, 2295
SUNTV,2016-08-16 09:30:00, 458.5, 458.5, 456.25, 456.25, 20780
SUNTV,2016-08-16 09:32:00, 456.9, 456.95, 456.6, 456.85, 967
SUNTV,2016-08-16 09:33:00, 456.9, 456.9, 456.15, 456.3, 2598
SUNTV,2016-08-16 09:34:00, 456.5, 458.3, 456.15, 457.8, 7134
SUNTV,2016-08-16 09:35:00, 457.4, 457.4, 456.65, 456.65, 2221
SUNTV,2016-08-16 09:36:00, 456.65, 456.85, 456.35, 456.55, 3468
SUNTV,2016-08-16 09:37:00, 456.55, 457.35, 456.3, 456.6, 2393
SUNTV,2016-08-16 09:38:00, 456.6, 456.7, 456.15, 456.15, 552
SUNTV,2016-08-16 09:39:00, 456.15, 456.5, 456.15, 456.5, 2328
SUNTV,2016-08-16 09:40:00, 456.5, 456.6, 456, 456.1, 3374
SUNTV,2016-08-16 09:41:00, 456.1, 456.1, 455.4, 456, 3240
SUNTV,2016-08-16 09:42:00, 456.1, 456.2, 455.7, 455.8, 2797
SUNTV,2016-08-16 09:43:00, 455.8, 455.95, 455.45, 455.7, 194
SUNTV,2016-08-16 09:44:00, 455.95, 456.2, 455.7, 456.1, 1319
SUNTV,2016-08-16 09:45:00, 456.1, 456.15, 456, 456.05, 1266
SUNTV,2016-08-16 09:46:00, 456.05, 456.3, 455.9, 456.05, 784
SUNTV,2016-08-16 09:47:00, 455.85, 456.25, 455.8, 456.15, 1576
SUNTV,2016-08-16 09:48:00, 456.15, 456.25, 456.15, 456.25, 1027
SUNTV,2016-08-16 09:49:00, 456.25, 456.3, 456, 456, 2065
SUNTV,2016-08-16 09:50:00, 456, 456, 455.5, 455.6, 2345
SUNTV,2016-08-16 09:51:00, 455.6, 455.6, 455.25, 455.25, 861
SUNTV,2016-08-16 09:52:00, 455.25, 455.45, 454.9, 454.9, 3036
SUNTV,2016-08-16 09:53:00, 454.9, 454.9, 454.2, 454.35, 1076
SUNTV,2016-08-16 09:54:00, 454.4, 455, 454, 454.05, 2769
SUNTV,2016-08-16 09:55:00, 454.05, 454.65, 454.05, 454.4, 1421
SUNTV,2016-08-16 09:56:00, 454.3, 454.4, 454.15, 454.15, 190
SUNTV,2016-08-16 09:57:00, 454.15, 454.4, 454.15, 454.4, 1922
SUNTV,2016-08-16 09:58:00, 454.4, 454.5, 454.4, 454.5, 1200
SUNTV,2016-08-16 09:59:00, 454.5, 455.3, 454.5, 455.05, 6931
SUNTV,2016-08-16 10:00:00, 455.05, 455.35, 453.5, 454.7, 10591
SUNTV,2016-08-16 10:01:00, 454.7, 455.15, 453.65, 454.15, 21003
SUNTV,2016-08-16 10:02:00, 454.15, 454.45, 453.55, 454, 12743
SUNTV,2016-08-16 10:03:00, 453.65, 454.3, 453.5, 454.3, 8744
SUNTV,2016-08-16 10:04:00, 454.2, 454.5, 454.05, 454.5, 7242
SUNTV,2016-08-16 10:05:00, 454.5, 454.5, 453.85, 454.3, 3863
SUNTV,2016-08-16 10:06:00, 454.3, 455.05, 454.3, 455, 7551
SUNTV,2016-08-16 10:07:00, 455, 455.7, 454.95, 455.5, 2924
SUNTV,2016-08-16 10:08:00, 455.5, 455.8, 455.4, 455.6, 2833
SUNTV,2016-08-16 10:09:00, 455.6, 455.7, 455.15, 455.15, 635
SUNTV,2016-08-16 10:10:00, 455.15, 455.6, 455.15, 455.6, 266
SUNTV,2016-08-16 10:11:00, 455.6, 456.25, 455.55, 456.2, 3531
