Code,Date,Open,High,Low,Close,Volume
TATACHEM,2016-08-16 09:15:00, 493, 494.9, 492.65, 493.85, 3813
TATACHEM,2016-08-16 09:16:00, 493.85, 494.3, 493.2, 494.15, 2075
TATACHEM,2016-08-16 09:17:00, 494.3, 494.75, 493.7, 494.5, 1433
TATACHEM,2016-08-16 09:18:00, 494.5, 494.75, 493.25, 493.4, 1623
TATACHEM,2016-08-16 09:19:00, 493.4, 494, 488.7, 489.4, 6097
TATACHEM,2016-08-16 09:20:00, 489.8, 492.85, 489.75, 492.85, 1027
TATACHEM,2016-08-16 09:21:00, 492.75, 493, 491.8, 491.8, 465
TATACHEM,2016-08-16 09:22:00, 491.8, 492, 491, 491.8, 644
TATACHEM,2016-08-16 09:23:00, 492, 492.4, 491.8, 492.2, 1043
TATACHEM,2016-08-16 09:24:00, 492.2, 492.5, 492.2, 492.4, 109
TATACHEM,2016-08-16 09:25:00, 492.4, 492.4, 491.6, 491.85, 1118
TATACHEM,2016-08-16 09:26:00, 491.55, 493, 491.1, 492.05, 2897
TATACHEM,2016-08-16 09:27:00, 492.05, 493, 492, 493, 2357
TATACHEM,2016-08-16 09:28:00, 493, 493, 492.4, 492.4, 471
TATACHEM,2016-08-16 09:29:00, 492.4, 492.7, 492.4, 492.7, 248
TATACHEM,2016-08-16 09:30:00, 492.7, 493.05, 491.8, 493.05, 2245
TATACHEM,2016-08-16 09:31:00, 493.05, 497.15, 493.05, 496.6, 6631
TATACHEM,2016-08-16 09:32:00, 497, 497.4, 495.75, 496.35, 2271
TATACHEM,2016-08-16 09:33:00, 496.35, 496.35, 493.95, 494.65, 7997
TATACHEM,2016-08-16 09:34:00, 494.7, 495.3, 494.15, 495.3, 402
TATACHEM,2016-08-16 09:35:00, 495.4, 495.6, 495, 495.4, 1169
TATACHEM,2016-08-16 09:36:00, 495.4, 495.45, 494.7, 495.4, 792
TATACHEM,2016-08-16 09:37:00, 495.4, 495.4, 494.55, 495.3, 1136
TATACHEM,2016-08-16 09:38:00, 495.3, 495.4, 495, 495.25, 518
TATACHEM,2016-08-16 09:39:00, 495.2, 495.9, 495, 495.9, 149
TATACHEM,2016-08-16 09:40:00, 495.9, 496, 495.65, 495.75, 651
TATACHEM,2016-08-16 09:41:00, 495.75, 496.5, 495.45, 496.5, 724
TATACHEM,2016-08-16 09:42:00, 496.5, 497, 496.45, 496.8, 2074
TATACHEM,2016-08-16 09:43:00, 496.8, 496.8, 496.5, 496.5, 400
