Code,Date,Open,High,Low,Close,Volume
TATACOMM,2016-08-16 09:15:00, 479, 479, 476.95, 476.95, 2195
TATACOMM,2016-08-16 09:16:00, 476.95, 476.95, 475.55, 476.5, 1357
TATACOMM,2016-08-16 09:17:00, 476.5, 477.7, 476.45, 476.45, 3683
TATACOMM,2016-08-16 09:19:00, 477.25, 478.05, 477.05, 477.25, 1478
TATACOMM,2016-08-16 09:18:00, 476.45, 477.7, 476.45, 477.25, 2676
TATACOMM,2016-08-16 09:20:00, 477.25, 477.7, 476.9, 477.6, 4613
TATACOMM,2016-08-16 09:21:00, 477.55, 482, 477.55, 479.1, 4385
TATACOMM,2016-08-16 09:22:00, 479.8, 479.8, 478.1, 479.6, 2379
TATACOMM,2016-08-16 09:23:00, 479.35, 480.8, 479.35, 479.8, 6774
TATACOMM,2016-08-16 09:24:00, 479.8, 479.8, 478.6, 479.35, 1960
TATACOMM,2016-08-16 09:25:00, 479.45, 479.45, 476.55, 476.75, 3820
TATACOMM,2016-08-16 09:26:00, 476.75, 478, 476.55, 478, 2823
TATACOMM,2016-08-16 09:27:00, 478, 479.65, 478, 479.15, 1517
TATACOMM,2016-08-16 09:28:00, 479.15, 479.55, 479, 479, 184
TATACOMM,2016-08-16 09:30:00, 480.6, 480.9, 479.9, 480.9, 1900
TATACOMM,2016-08-16 09:29:00, 479, 481.2, 479, 480.8, 2437
TATACOMM,2016-08-16 09:31:00, 479.9, 480.5, 479.9, 480.15, 352
TATACOMM,2016-08-16 09:32:00, 480.15, 480.8, 480, 480, 2799
TATACOMM,2016-08-16 09:33:00, 480, 480, 479.2, 479.7, 830
TATACOMM,2016-08-16 09:34:00, 479.7, 479.7, 478.95, 479.45, 1936
TATACOMM,2016-08-16 09:35:00, 479.1, 479.1, 476.35, 477.65, 8642
TATACOMM,2016-08-16 09:36:00, 478, 478.45, 477.65, 477.65, 393
TATACOMM,2016-08-16 09:37:00, 478, 478, 477.1, 477.75, 411
TATACOMM,2016-08-16 09:38:00, 477.75, 477.8, 477.55, 477.55, 108
TATACOMM,2016-08-16 09:39:00, 477.55, 477.8, 476.85, 476.85, 3122
TATACOMM,2016-08-16 09:40:00, 476.8, 477.2, 476.1, 476.35, 703
TATACOMM,2016-08-16 09:42:00, 476.65, 476.65, 475.55, 476.45, 2783
TATACOMM,2016-08-16 09:41:00, 476.35, 477, 476.2, 476.65, 2645
TATACOMM,2016-08-16 09:43:00, 476.45, 477, 476.25, 477, 1966
TATACOMM,2016-08-16 09:44:00, 477, 478.2, 476.85, 477.25, 8161
TATACOMM,2016-08-16 09:45:00, 477.5, 477.7, 477.25, 477.25, 449
TATACOMM,2016-08-16 09:46:00, 477.3, 477.8, 477.3, 477.5, 706
TATACOMM,2016-08-16 09:47:00, 477.5, 478, 477.3, 478, 1817
TATACOMM,2016-08-16 09:48:00, 478, 478, 477.5, 477.5, 192
TATACOMM,2016-08-16 09:50:00, 477.1, 477.1, 476.65, 476.95, 1785
TATACOMM,2016-08-16 09:49:00, 477.5, 477.5, 476.8, 477.1, 2430
TATACOMM,2016-08-16 09:51:00, 476.95, 477, 476.8, 477, 1097
TATACOMM,2016-08-16 09:52:00, 477, 477, 476.6, 476.85, 399
TATACOMM,2016-08-16 09:53:00, 476.65, 476.85, 475.95, 475.95, 2917
TATACOMM,2016-08-16 09:54:00, 476, 476, 475.2, 475.7, 4494
TATACOMM,2016-08-16 09:55:00, 475.7, 476.25, 475.7, 476.2, 8429
TATACOMM,2016-08-16 09:56:00, 476.2, 476.25, 475.95, 475.95, 942
TATACOMM,2016-08-16 09:57:00, 476, 476, 475.9, 476, 1503
TATACOMM,2016-08-16 09:58:00, 476, 476.25, 475.7, 476.15, 3226
TATACOMM,2016-08-16 09:59:00, 476.15, 476.3, 475.85, 476.3, 1070
TATACOMM,2016-08-16 10:00:00, 476.3, 476.45, 476.3, 476.45, 563
TATACOMM,2016-08-16 10:01:00, 476.45, 476.5, 476.3, 476.4, 1343
TATACOMM,2016-08-16 10:02:00, 476.4, 476.85, 476.2, 476.7, 1185
TATACOMM,2016-08-16 10:03:00, 476.7, 476.8, 476.35, 476.7, 207
TATACOMM,2016-08-16 10:04:00, 476.7, 476.7, 475.9, 475.9, 4853
TATACOMM,2016-08-16 10:05:00, 475.3, 475.85, 475.3, 475.5, 1225
TATACOMM,2016-08-16 10:06:00, 475.5, 476.5, 475.5, 476.25, 1257
TATACOMM,2016-08-16 10:07:00, 476.25, 478.45, 476.2, 476.4, 17890
TATACOMM,2016-08-16 10:08:00, 476.4, 477, 476, 477, 11718
TATACOMM,2016-08-16 10:09:00, 477, 477, 476.65, 476.7, 7197
TATACOMM,2016-08-16 10:10:00, 476.65, 476.8, 476.45, 476.7, 673
TATACOMM,2016-08-16 10:11:00, 476.85, 476.85, 476.45, 476.8, 234
TATACOMM,2016-08-16 10:13:00, 476.65, 476.65, 476.15, 476.35, 731
TATACOMM,2016-08-16 10:12:00, 476.8, 476.8, 476.5, 476.65, 22
TATACOMM,2016-08-16 10:14:00, 476.35, 477, 476.2, 477, 13419
TATACOMM,2016-08-16 10:15:00, 477.5, 477.5, 477, 477, 1455
TATACOMM,2016-08-16 10:16:00, 477, 477.35, 477, 477.3, 22
