Code,Date,Open,High,Low,Close,Volume
TATAELXSI,2016-08-16 09:15:00, 1655, 1655, 1644.2, 1646.8, 1365
TATAELXSI,2016-08-16 09:16:00, 1646.8, 1647, 1644, 1645.2, 1774
TATAELXSI,2016-08-16 09:17:00, 1645.2, 1648.85, 1645.1, 1645.15, 1205
TATAELXSI,2016-08-16 09:18:00, 1644.95, 1644.95, 1640, 1640, 2395
TATAELXSI,2016-08-16 09:19:00, 1640, 1640, 1638, 1638, 1118
TATAELXSI,2016-08-16 09:20:00, 1638.85, 1647, 1638.1, 1647, 1735
TATAELXSI,2016-08-16 09:22:00, 1647.25, 1648, 1645, 1646.35, 512
TATAELXSI,2016-08-16 09:21:00, 1647.2, 1647.2, 1646, 1647, 938
TATAELXSI,2016-08-16 09:23:00, 1646.35, 1646.5, 1645.5, 1645.5, 600
TATAELXSI,2016-08-16 09:24:00, 1645.5, 1648.85, 1645.45, 1648.85, 466
TATAELXSI,2016-08-16 09:25:00, 1648.85, 1649, 1644, 1644, 916
TATAELXSI,2016-08-16 09:26:00, 1644, 1648.75, 1643.65, 1648.75, 955
TATAELXSI,2016-08-16 09:27:00, 1648.75, 1649, 1646.9, 1648.45, 825
TATAELXSI,2016-08-16 09:28:00, 1648.9, 1649.4, 1648.4, 1648.85, 947
TATAELXSI,2016-08-16 09:29:00, 1648.85, 1648.85, 1646.55, 1647.65, 243
TATAELXSI,2016-08-16 09:30:00, 1648.1, 1648.8, 1646.55, 1648.05, 804
TATAELXSI,2016-08-16 09:31:00, 1648.05, 1648.35, 1647.05, 1647.6, 397
TATAELXSI,2016-08-16 09:32:00, 1647.85, 1647.85, 1645.45, 1646.4, 1280
TATAELXSI,2016-08-16 09:33:00, 1646.4, 1647, 1644.4, 1644.4, 132
TATAELXSI,2016-08-16 09:34:00, 1644.4, 1645, 1643.75, 1644.1, 632
TATAELXSI,2016-08-16 09:35:00, 1644.1, 1644.75, 1643.1, 1643.1, 311
TATAELXSI,2016-08-16 09:37:00, 1641.85, 1641.85, 1639, 1639.55, 1030
TATAELXSI,2016-08-16 09:36:00, 1643.1, 1643.55, 1641, 1641.85, 445
TATAELXSI,2016-08-16 09:38:00, 1639.05, 1639.05, 1635.15, 1635.25, 1777
TATAELXSI,2016-08-16 09:39:00, 1635.55, 1639.95, 1635.55, 1639.4, 1036
TATAELXSI,2016-08-16 09:40:00, 1638.75, 1640, 1638.7, 1640, 286
TATAELXSI,2016-08-16 09:41:00, 1640, 1642.4, 1640, 1642.4, 1152
TATAELXSI,2016-08-16 09:42:00, 1642.4, 1643, 1642, 1642.9, 137
TATAELXSI,2016-08-16 09:43:00, 1643, 1643.1, 1642.2, 1643, 305
TATAELXSI,2016-08-16 09:44:00, 1643, 1643, 1641.25, 1641.9, 401
TATAELXSI,2016-08-16 09:45:00, 1641.9, 1642.65, 1640, 1640, 836
TATAELXSI,2016-08-16 09:46:00, 1640, 1645, 1640, 1644.05, 1350
TATAELXSI,2016-08-16 09:47:00, 1644.05, 1647, 1644.05, 1646.8, 249
TATAELXSI,2016-08-16 09:48:00, 1646.8, 1647, 1644.05, 1645.6, 419
TATAELXSI,2016-08-16 09:49:00, 1645.6, 1645.6, 1643.15, 1644, 278
TATAELXSI,2016-08-16 09:50:00, 1644, 1644, 1643.15, 1643.15, 335
TATAELXSI,2016-08-16 09:52:00, 1644.4, 1644.4, 1641.55, 1642.9, 871
TATAELXSI,2016-08-16 09:51:00, 1642.95, 1644.95, 1642.95, 1644.4, 1651
TATAELXSI,2016-08-16 09:53:00, 1642.9, 1642.9, 1642.3, 1642.6, 213
TATAELXSI,2016-08-16 09:54:00, 1642.9, 1643.9, 1641.5, 1641.5, 317
TATAELXSI,2016-08-16 09:55:00, 1641.5, 1644.75, 1641.5, 1643.7, 394
TATAELXSI,2016-08-16 09:56:00, 1643.9, 1644.3, 1642.9, 1644.05, 460
TATAELXSI,2016-08-16 09:57:00, 1644.05, 1644.7, 1644, 1644, 348
TATAELXSI,2016-08-16 09:58:00, 1644, 1644.55, 1644, 1644.35, 554
