Code,Date,Open,High,Low,Close,Volume
TATAGLOBAL,2016-08-16 09:15:00, 137, 137.45, 137, 137, 3217
TATAGLOBAL,2016-08-16 09:17:00, 136.95, 136.95, 136.85, 136.85, 5929
TATAGLOBAL,2016-08-16 09:16:00, 136.9, 137, 136.85, 136.85, 1812
TATAGLOBAL,2016-08-16 09:18:00, 136.9, 136.9, 136.8, 136.85, 1978
TATAGLOBAL,2016-08-16 09:19:00, 136.85, 136.9, 136.45, 136.45, 8955
TATAGLOBAL,2016-08-16 09:20:00, 136.45, 136.6, 136.4, 136.6, 4709
TATAGLOBAL,2016-08-16 09:22:00, 136.55, 136.75, 136.5, 136.75, 5615
TATAGLOBAL,2016-08-16 09:21:00, 136.6, 136.9, 136.55, 136.55, 11886
TATAGLOBAL,2016-08-16 09:23:00, 136.75, 136.8, 136.65, 136.7, 5665
TATAGLOBAL,2016-08-16 09:24:00, 136.7, 136.9, 136.7, 136.85, 2755
TATAGLOBAL,2016-08-16 09:25:00, 136.85, 136.95, 136.7, 136.7, 3436
TATAGLOBAL,2016-08-16 09:26:00, 136.7, 136.95, 136.7, 136.75, 2039
TATAGLOBAL,2016-08-16 09:27:00, 136.75, 137, 136.75, 137, 1676
TATAGLOBAL,2016-08-16 09:28:00, 137, 137.25, 136.95, 137.25, 6489
TATAGLOBAL,2016-08-16 09:29:00, 137.25, 137.4, 137.1, 137.2, 4021
TATAGLOBAL,2016-08-16 09:30:00, 137.2, 137.4, 137.15, 137.2, 3420
TATAGLOBAL,2016-08-16 09:32:00, 137.25, 137.35, 137.2, 137.3, 998
TATAGLOBAL,2016-08-16 09:31:00, 137.2, 137.4, 137.15, 137.25, 3381
TATAGLOBAL,2016-08-16 09:33:00, 137.3, 137.3, 137.15, 137.25, 5793
TATAGLOBAL,2016-08-16 09:34:00, 137.25, 137.4, 137.15, 137.4, 440
TATAGLOBAL,2016-08-16 09:35:00, 137.4, 137.4, 137.2, 137.3, 1135
TATAGLOBAL,2016-08-16 09:36:00, 137.3, 137.45, 137.3, 137.3, 3437
TATAGLOBAL,2016-08-16 09:37:00, 137.3, 137.4, 137.2, 137.4, 1500
TATAGLOBAL,2016-08-16 09:38:00, 137.4, 137.5, 137.25, 137.25, 6375
TATAGLOBAL,2016-08-16 09:39:00, 137.25, 137.5, 137.25, 137.5, 143
TATAGLOBAL,2016-08-16 09:40:00, 137.5, 137.5, 137.4, 137.4, 449
TATAGLOBAL,2016-08-16 09:41:00, 137.4, 137.5, 137.4, 137.5, 1950
TATAGLOBAL,2016-08-16 09:42:00, 137.5, 137.5, 137.4, 137.5, 1989
TATAGLOBAL,2016-08-16 09:43:00, 137.5, 138, 137.5, 138, 6800
TATAGLOBAL,2016-08-16 09:44:00, 138, 138.05, 137.75, 137.75, 3911
TATAGLOBAL,2016-08-16 09:45:00, 137.75, 137.75, 137.6, 137.6, 1430
TATAGLOBAL,2016-08-16 09:46:00, 137.7, 137.8, 137.65, 137.8, 267
TATAGLOBAL,2016-08-16 09:47:00, 137.8, 138, 137.8, 138, 1045
TATAGLOBAL,2016-08-16 09:48:00, 138, 138, 137.8, 137.95, 963
TATAGLOBAL,2016-08-16 09:50:00, 137.85, 138, 137.85, 138, 1632
TATAGLOBAL,2016-08-16 09:49:00, 137.95, 137.95, 137.8, 137.85, 255
TATAGLOBAL,2016-08-16 09:51:00, 138, 138, 137.85, 137.85, 2457
TATAGLOBAL,2016-08-16 09:52:00, 137.85, 137.85, 137.75, 137.75, 2254
TATAGLOBAL,2016-08-16 09:53:00, 137.75, 137.75, 137.7, 137.7, 843
TATAGLOBAL,2016-08-16 09:54:00, 137.75, 137.85, 137.7, 137.7, 1024
TATAGLOBAL,2016-08-16 09:55:00, 137.7, 137.75, 137.7, 137.7, 799
TATAGLOBAL,2016-08-16 09:56:00, 137.7, 137.75, 137.55, 137.55, 2606
TATAGLOBAL,2016-08-16 09:57:00, 137.55, 137.75, 137.55, 137.65, 1573
TATAGLOBAL,2016-08-16 09:58:00, 137.65, 137.65, 137.5, 137.55, 1219
TATAGLOBAL,2016-08-16 09:59:00, 137.55, 137.55, 137.4, 137.4, 2311
TATAGLOBAL,2016-08-16 10:00:00, 137.4, 137.5, 137.35, 137.4, 7462
TATAGLOBAL,2016-08-16 10:01:00, 137.4, 137.45, 137.3, 137.3, 1719
TATAGLOBAL,2016-08-16 10:02:00, 137.3, 137.35, 137.25, 137.35, 2113
TATAGLOBAL,2016-08-16 10:03:00, 137.35, 137.55, 137.35, 137.45, 1241
TATAGLOBAL,2016-08-16 10:04:00, 137.45, 137.6, 137.45, 137.45, 340
TATAGLOBAL,2016-08-16 10:05:00, 137.45, 137.5, 137.45, 137.45, 814
TATAGLOBAL,2016-08-16 10:06:00, 137.5, 137.55, 137.2, 137.4, 4620
TATAGLOBAL,2016-08-16 10:07:00, 137.4, 137.4, 137.4, 137.4, 0
TATAGLOBAL,2016-08-16 10:08:00, 137.4, 137.4, 137.3, 137.35, 925
TATAGLOBAL,2016-08-16 10:09:00, 137.35, 137.45, 137.3, 137.45, 1297
TATAGLOBAL,2016-08-16 10:10:00, 137.45, 137.45, 137.3, 137.3, 242
TATAGLOBAL,2016-08-16 10:11:00, 137.3, 137.3, 137.3, 137.3, 0
TATAGLOBAL,2016-08-16 10:12:00, 137.3, 137.5, 137.3, 137.4, 244
TATAGLOBAL,2016-08-16 10:13:00, 137.4, 137.5, 137.4, 137.5, 744
TATAGLOBAL,2016-08-16 10:14:00, 137.5, 137.9, 137.5, 137.9, 6949
TATAGLOBAL,2016-08-16 10:15:00, 137.9, 138, 137.85, 137.85, 1140
TATAGLOBAL,2016-08-16 10:16:00, 137.85, 137.85, 137.65, 137.85, 1885
TATAGLOBAL,2016-08-16 10:17:00, 137.85, 137.85, 137.65, 137.65, 1709
TATAGLOBAL,2016-08-16 10:18:00, 137.65, 137.65, 137.45, 137.55, 4394
TATAGLOBAL,2016-08-16 10:19:00, 137.45, 137.65, 137.45, 137.65, 254
TATAGLOBAL,2016-08-16 10:20:00, 137.65, 137.75, 137.6, 137.7, 160
TATAGLOBAL,2016-08-16 10:21:00, 137.7, 137.7, 137.55, 137.55, 643
TATAGLOBAL,2016-08-16 10:22:00, 137.55, 137.6, 137.5, 137.5, 1100
TATAGLOBAL,2016-08-16 10:23:00, 137.5, 137.75, 137.5, 137.75, 535
TATAGLOBAL,2016-08-16 10:24:00, 137.75, 137.8, 137.75, 137.75, 408
TATAGLOBAL,2016-08-16 10:25:00, 137.75, 137.8, 137.65, 137.65, 2638
TATAGLOBAL,2016-08-16 10:26:00, 137.65, 137.65, 137.4, 137.6, 5191
TATAGLOBAL,2016-08-16 10:27:00, 137.6, 137.7, 137.5, 137.7, 1015
TATAGLOBAL,2016-08-16 10:28:00, 137.7, 137.7, 137.5, 137.6, 800
TATAGLOBAL,2016-08-16 10:29:00, 137.6, 137.6, 137.5, 137.5, 760
TATAGLOBAL,2016-08-16 10:30:00, 137.5, 137.5, 137.45, 137.45, 100
TATAGLOBAL,2016-08-16 10:31:00, 137.45, 137.55, 137.45, 137.55, 200
TATAGLOBAL,2016-08-16 10:32:00, 137.55, 137.55, 137.35, 137.35, 1781
TATAGLOBAL,2016-08-16 10:33:00, 137.35, 137.45, 137.3, 137.3, 1234
TATAGLOBAL,2016-08-16 10:34:00, 137.3, 137.4, 137.3, 137.4, 300
TATAGLOBAL,2016-08-16 10:35:00, 137.4, 137.4, 137.35, 137.4, 147
TATAGLOBAL,2016-08-16 10:36:00, 137.4, 137.45, 137.4, 137.45, 1000
TATAGLOBAL,2016-08-16 10:37:00, 137.45, 137.55, 137.45, 137.55, 5110
TATAGLOBAL,2016-08-16 10:38:00, 137.55, 137.7, 137.55, 137.7, 1007
TATAGLOBAL,2016-08-16 10:39:00, 137.7, 137.7, 137.6, 137.6, 207
TATAGLOBAL,2016-08-16 10:40:00, 137.6, 137.6, 137.6, 137.6, 0
TATAGLOBAL,2016-08-16 10:41:00, 137.6, 137.6, 137.6, 137.6, 458
TATAGLOBAL,2016-08-16 10:42:00, 137.6, 137.6, 137.6, 137.6, 350
TATAGLOBAL,2016-08-16 10:43:00, 137.6, 137.7, 137.6, 137.65, 618
TATAGLOBAL,2016-08-16 10:44:00, 137.65, 137.7, 137.65, 137.7, 1017
TATAGLOBAL,2016-08-16 10:45:00, 137.55, 137.7, 137.5, 137.5, 1562
TATAGLOBAL,2016-08-16 10:46:00, 137.5, 137.5, 137.5, 137.5, 0
TATAGLOBAL,2016-08-16 10:47:00, 137.5, 137.6, 137.5, 137.6, 10
TATAGLOBAL,2016-08-16 10:48:00, 137.6, 137.7, 137.6, 137.65, 249
TATAGLOBAL,2016-08-16 10:49:00, 137.65, 137.65, 137.65, 137.65, 536
TATAGLOBAL,2016-08-16 10:50:00, 137.65, 137.65, 137.6, 137.6, 833
