Code,Date,Open,High,Low,Close,Volume
TATAMOTORS,2016-08-16 09:15:00, 512.75, 513, 509.65, 509.7, 153569
TATAMOTORS,2016-08-16 09:16:00, 509.8, 510.45, 509.1, 510.45, 40572
TATAMOTORS,2016-08-16 09:17:00, 510.55, 511.5, 510.3, 510.9, 55736
TATAMOTORS,2016-08-16 09:19:00, 510.5, 510.7, 510.35, 510.65, 28159
TATAMOTORS,2016-08-16 09:18:00, 511, 511.1, 510.45, 510.5, 29222
TATAMOTORS,2016-08-16 09:20:00, 510.7, 511, 510.2, 511, 21785
TATAMOTORS,2016-08-16 09:21:00, 510.95, 511.35, 510.05, 510.05, 52383
TATAMOTORS,2016-08-16 09:22:00, 509.65, 509.65, 507.7, 508.85, 56566
TATAMOTORS,2016-08-16 09:23:00, 508.85, 509.1, 507.8, 508.55, 31295
TATAMOTORS,2016-08-16 09:24:00, 508.7, 508.9, 508, 508.1, 21896
TATAMOTORS,2016-08-16 09:25:00, 508.1, 508.25, 507.8, 507.9, 27909
TATAMOTORS,2016-08-16 09:26:00, 507.85, 507.95, 507.55, 507.6, 18312
TATAMOTORS,2016-08-16 09:27:00, 507.6, 508.35, 507.6, 508.2, 28847
TATAMOTORS,2016-08-16 09:28:00, 508.2, 508.65, 508.2, 508.5, 13705
TATAMOTORS,2016-08-16 09:29:00, 508.55, 508.75, 508.5, 508.75, 7529
TATAMOTORS,2016-08-16 09:30:00, 508.75, 508.75, 508.35, 508.6, 16260
TATAMOTORS,2016-08-16 09:31:00, 508.6, 508.95, 508.45, 508.55, 21342
TATAMOTORS,2016-08-16 09:32:00, 508.45, 508.7, 508.45, 508.55, 16263
TATAMOTORS,2016-08-16 09:33:00, 508.55, 508.55, 507.15, 507.4, 40197
TATAMOTORS,2016-08-16 09:34:00, 507.4, 508.65, 507.35, 508.55, 10313
TATAMOTORS,2016-08-16 09:35:00, 508.65, 508.65, 507.55, 507.6, 23038
TATAMOTORS,2016-08-16 09:36:00, 507.6, 508, 507.6, 507.8, 15116
TATAMOTORS,2016-08-16 09:37:00, 507.85, 508.5, 507.85, 508.35, 13658
TATAMOTORS,2016-08-16 09:38:00, 508.35, 508.65, 508.3, 508.55, 11968
TATAMOTORS,2016-08-16 09:39:00, 508.55, 510.45, 508.55, 510.35, 25415
TATAMOTORS,2016-08-16 09:40:00, 510.4, 510.7, 510, 510.3, 25697
TATAMOTORS,2016-08-16 09:41:00, 510.25, 510.3, 509.85, 510.2, 14058
TATAMOTORS,2016-08-16 09:42:00, 510.05, 510.35, 510, 510.1, 9357
TATAMOTORS,2016-08-16 09:43:00, 510.1, 510.6, 510.1, 510.6, 11534
TATAMOTORS,2016-08-16 09:44:00, 510.6, 510.9, 510.55, 510.6, 13687
TATAMOTORS,2016-08-16 09:45:00, 510.9, 511.7, 510.9, 511.5, 31615
TATAMOTORS,2016-08-16 09:46:00, 511.5, 511.85, 511.25, 511.3, 22899
TATAMOTORS,2016-08-16 09:47:00, 511.3, 511.7, 511.3, 511.4, 14243
TATAMOTORS,2016-08-16 09:48:00, 511.45, 511.45, 511.1, 511.3, 14767
TATAMOTORS,2016-08-16 09:49:00, 511.15, 511.35, 511.15, 511.15, 11889
TATAMOTORS,2016-08-16 09:50:00, 511.1, 511.2, 511.05, 511.1, 7688
TATAMOTORS,2016-08-16 09:51:00, 511.1, 511.1, 510.7, 510.7, 14952
TATAMOTORS,2016-08-16 09:52:00, 510.85, 510.85, 510.3, 510.3, 10658
TATAMOTORS,2016-08-16 09:53:00, 510.3, 510.3, 510, 510.1, 12543
TATAMOTORS,2016-08-16 09:54:00, 510.1, 510.55, 510.1, 510.15, 10483
TATAMOTORS,2016-08-16 09:55:00, 510.15, 510.3, 510.15, 510.2, 9949
TATAMOTORS,2016-08-16 09:56:00, 510.25, 510.35, 510.25, 510.3, 9381
TATAMOTORS,2016-08-16 09:57:00, 510.3, 510.6, 510.3, 510.55, 7449
TATAMOTORS,2016-08-16 09:58:00, 510.55, 510.6, 510.35, 510.4, 8042
TATAMOTORS,2016-08-16 09:59:00, 510.4, 510.4, 510.05, 510.05, 18293
