Code,Date,Open,High,Low,Close,Volume
TATAMTRDVR,2016-08-16 09:15:00, 335, 336.95, 334, 335.7, 21001
TATAMTRDVR,2016-08-16 09:16:00, 335.7, 336, 335.2, 336, 13267
TATAMTRDVR,2016-08-16 09:17:00, 336, 337, 335.9, 336.3, 10684
TATAMTRDVR,2016-08-16 09:18:00, 336.25, 336.6, 336.2, 336.35, 9802
TATAMTRDVR,2016-08-16 09:20:00, 336.05, 336.6, 335.85, 336.6, 5922
TATAMTRDVR,2016-08-16 09:19:00, 336.35, 336.35, 335.7, 336.1, 6162
TATAMTRDVR,2016-08-16 09:21:00, 336.6, 337, 334.95, 334.95, 10757
TATAMTRDVR,2016-08-16 09:22:00, 334.95, 335.65, 334, 335.25, 20285
TATAMTRDVR,2016-08-16 09:23:00, 335.2, 336, 334.55, 335, 9697
TATAMTRDVR,2016-08-16 09:24:00, 335, 335.1, 334.45, 334.45, 7922
TATAMTRDVR,2016-08-16 09:25:00, 334.45, 334.5, 333.8, 333.95, 20305
TATAMTRDVR,2016-08-16 09:26:00, 333.8, 334.25, 333.35, 334, 7470
TATAMTRDVR,2016-08-16 09:27:00, 334, 334.1, 333.2, 333.5, 7399
TATAMTRDVR,2016-08-16 09:28:00, 333.5, 334, 333.45, 333.7, 4550
TATAMTRDVR,2016-08-16 09:29:00, 333.7, 334, 333.45, 333.85, 6378
TATAMTRDVR,2016-08-16 09:32:00, 333.75, 333.85, 333.65, 333.65, 2410
TATAMTRDVR,2016-08-16 09:31:00, 333.9, 334, 333.75, 333.75, 2393
TATAMTRDVR,2016-08-16 09:30:00, 333.85, 333.95, 333.8, 333.9, 2727
TATAMTRDVR,2016-08-16 09:33:00, 333.65, 333.65, 333, 333.1, 9737
TATAMTRDVR,2016-08-16 09:34:00, 333.3, 333.3, 332.9, 333.25, 10699
TATAMTRDVR,2016-08-16 09:36:00, 332.75, 332.85, 332.5, 332.5, 2637
TATAMTRDVR,2016-08-16 09:35:00, 333.25, 333.4, 332.75, 332.9, 3700
TATAMTRDVR,2016-08-16 09:37:00, 332.5, 333.05, 332.5, 332.95, 5122
TATAMTRDVR,2016-08-16 09:38:00, 332.95, 333, 332.7, 332.95, 3232
TATAMTRDVR,2016-08-16 09:39:00, 332.95, 333.75, 332.95, 333.75, 1609
TATAMTRDVR,2016-08-16 09:40:00, 333.75, 334.05, 333.75, 334.05, 7719
TATAMTRDVR,2016-08-16 09:41:00, 334, 334, 333.5, 333.75, 6654
TATAMTRDVR,2016-08-16 09:42:00, 333.75, 333.85, 333.6, 333.65, 2035
TATAMTRDVR,2016-08-16 09:44:00, 333.75, 334.65, 333.75, 334.5, 6174
TATAMTRDVR,2016-08-16 09:43:00, 333.65, 333.85, 333.65, 333.75, 234
TATAMTRDVR,2016-08-16 09:45:00, 334.5, 334.95, 334.45, 334.55, 6336
