Code,Date,Open,High,Low,Close,Volume
TATAPOWER,2016-08-16 09:15:00, 75, 75.55, 75, 75.2, 25543
TATAPOWER,2016-08-16 09:16:00, 75.2, 75.4, 75.2, 75.4, 8201
TATAPOWER,2016-08-16 09:17:00, 75.4, 75.6, 75.4, 75.55, 26683
TATAPOWER,2016-08-16 09:18:00, 75.55, 75.55, 75.35, 75.35, 12726
TATAPOWER,2016-08-16 09:19:00, 75.35, 75.35, 75.1, 75.25, 20805
TATAPOWER,2016-08-16 09:20:00, 75.3, 75.6, 75.3, 75.6, 26226
TATAPOWER,2016-08-16 09:21:00, 75.6, 75.8, 75.5, 75.65, 42356
TATAPOWER,2016-08-16 09:22:00, 75.65, 75.7, 75.6, 75.65, 16609
TATAPOWER,2016-08-16 09:23:00, 75.65, 75.75, 75.65, 75.7, 11223
TATAPOWER,2016-08-16 09:24:00, 75.7, 75.8, 75.7, 75.7, 5526
TATAPOWER,2016-08-16 09:25:00, 75.7, 75.9, 75.7, 75.9, 25855
TATAPOWER,2016-08-16 09:26:00, 75.9, 76, 75.85, 75.95, 19878
TATAPOWER,2016-08-16 09:27:00, 76, 76, 75.95, 76, 27104
TATAPOWER,2016-08-16 09:28:00, 76, 76, 75.9, 76, 15512
TATAPOWER,2016-08-16 09:29:00, 76, 76, 75.6, 75.75, 59067
TATAPOWER,2016-08-16 09:30:00, 75.75, 75.75, 75.65, 75.7, 27057
TATAPOWER,2016-08-16 09:31:00, 75.65, 75.8, 75.65, 75.8, 24323
TATAPOWER,2016-08-16 09:33:00, 75.7, 75.75, 75.65, 75.7, 21848
TATAPOWER,2016-08-16 09:32:00, 75.8, 75.8, 75.7, 75.7, 2676
TATAPOWER,2016-08-16 09:34:00, 75.7, 75.75, 75.6, 75.75, 10361
TATAPOWER,2016-08-16 09:35:00, 75.75, 75.75, 75.65, 75.75, 15064
TATAPOWER,2016-08-16 09:36:00, 75.75, 75.95, 75.7, 75.75, 22066
TATAPOWER,2016-08-16 09:37:00, 75.75, 75.8, 75.75, 75.8, 5304
TATAPOWER,2016-08-16 09:39:00, 75.75, 75.9, 75.75, 75.85, 9850
TATAPOWER,2016-08-16 09:38:00, 75.8, 75.85, 75.7, 75.75, 7960
TATAPOWER,2016-08-16 09:40:00, 75.85, 75.9, 75.85, 75.9, 5955
TATAPOWER,2016-08-16 09:41:00, 75.9, 75.9, 75.85, 75.85, 5493
TATAPOWER,2016-08-16 09:42:00, 75.85, 75.9, 75.75, 75.75, 10071
TATAPOWER,2016-08-16 09:43:00, 75.75, 75.75, 75.7, 75.7, 10120
TATAPOWER,2016-08-16 09:44:00, 75.7, 75.7, 75.65, 75.7, 5347
TATAPOWER,2016-08-16 09:45:00, 75.7, 75.7, 75.5, 75.55, 11120
TATAPOWER,2016-08-16 09:46:00, 75.55, 75.7, 75.55, 75.7, 13724
TATAPOWER,2016-08-16 09:47:00, 75.7, 75.75, 75.65, 75.75, 9665
TATAPOWER,2016-08-16 09:48:00, 75.75, 75.75, 75.7, 75.7, 2010
TATAPOWER,2016-08-16 09:49:00, 75.7, 75.7, 75.65, 75.65, 6664
TATAPOWER,2016-08-16 09:50:00, 75.65, 75.7, 75.55, 75.55, 8313
TATAPOWER,2016-08-16 09:51:00, 75.55, 75.65, 75.55, 75.6, 4146
TATAPOWER,2016-08-16 09:52:00, 75.6, 75.6, 75.5, 75.5, 9151
TATAPOWER,2016-08-16 09:53:00, 75.5, 75.6, 75.5, 75.6, 3109
TATAPOWER,2016-08-16 09:54:00, 75.55, 75.6, 75.55, 75.6, 1989
TATAPOWER,2016-08-16 09:55:00, 75.6, 75.65, 75.5, 75.5, 11321
TATAPOWER,2016-08-16 09:56:00, 75.5, 75.55, 75.5, 75.5, 17022
TATAPOWER,2016-08-16 09:57:00, 75.5, 75.6, 75.5, 75.6, 1656
TATAPOWER,2016-08-16 09:58:00, 75.6, 75.6, 75.25, 75.25, 37595
TATAPOWER,2016-08-16 09:59:00, 75.25, 75.35, 75.25, 75.35, 1825
TATAPOWER,2016-08-16 10:00:00, 75.35, 75.35, 75.3, 75.35, 2708
TATAPOWER,2016-08-16 10:01:00, 75.35, 75.35, 75.3, 75.35, 3154
TATAPOWER,2016-08-16 10:02:00, 75.35, 75.45, 75.3, 75.45, 12231
TATAPOWER,2016-08-16 10:03:00, 75.45, 75.6, 75.45, 75.6, 10759
TATAPOWER,2016-08-16 10:04:00, 75.6, 75.6, 75.55, 75.6, 1152
TATAPOWER,2016-08-16 10:05:00, 75.6, 75.6, 75.55, 75.6, 3068
TATAPOWER,2016-08-16 10:06:00, 75.55, 75.65, 75.55, 75.65, 3632
TATAPOWER,2016-08-16 10:07:00, 75.55, 75.6, 75.5, 75.5, 3618
TATAPOWER,2016-08-16 10:08:00, 75.5, 75.55, 75.45, 75.45, 3111
TATAPOWER,2016-08-16 10:09:00, 75.45, 75.5, 75.45, 75.5, 1220
