Code,Date,Open,High,Low,Close,Volume
TATASTEEL,2016-08-16 09:16:00, 374.05, 374.9, 374, 374.8, 50093
TATASTEEL,2016-08-16 09:15:00, 374.95, 375, 373.05, 374.05, 54133
TATASTEEL,2016-08-16 09:17:00, 374.6, 375.5, 374.6, 375, 31023
TATASTEEL,2016-08-16 09:18:00, 375, 375.15, 374.7, 374.8, 33985
TATASTEEL,2016-08-16 09:19:00, 374.8, 375.05, 373.35, 374, 50965
TATASTEEL,2016-08-16 09:20:00, 374, 374.35, 373.6, 374.15, 31369
TATASTEEL,2016-08-16 09:21:00, 374.15, 374.5, 374, 374.1, 35919
TATASTEEL,2016-08-16 09:22:00, 374.15, 375.1, 373.5, 375.1, 35890
TATASTEEL,2016-08-16 09:23:00, 375.1, 375.8, 374.7, 375.25, 23877
TATASTEEL,2016-08-16 09:24:00, 375.25, 375.35, 374.9, 375.15, 11078
TATASTEEL,2016-08-16 09:25:00, 375.2, 375.35, 374.9, 375, 14801
TATASTEEL,2016-08-16 09:26:00, 375, 376.25, 374.9, 375.9, 25623
TATASTEEL,2016-08-16 09:27:00, 375.9, 376.35, 375.8, 376.2, 20083
TATASTEEL,2016-08-16 09:28:00, 376.25, 376.25, 376, 376, 10951
TATASTEEL,2016-08-16 09:29:00, 376, 376.15, 375.75, 376, 15517
TATASTEEL,2016-08-16 09:30:00, 376, 376, 375.6, 375.9, 7239
TATASTEEL,2016-08-16 09:31:00, 375.8, 375.95, 375.75, 375.95, 7654
TATASTEEL,2016-08-16 09:32:00, 375.75, 375.95, 375.6, 375.65, 8956
TATASTEEL,2016-08-16 09:33:00, 375.7, 375.7, 375.1, 375.4, 12900
TATASTEEL,2016-08-16 09:34:00, 375.4, 375.7, 375.15, 375.6, 7014
TATASTEEL,2016-08-16 09:35:00, 375.6, 375.75, 375.25, 375.55, 7875
TATASTEEL,2016-08-16 09:36:00, 375.55, 376, 375.55, 375.75, 7833
TATASTEEL,2016-08-16 09:37:00, 375.75, 376.9, 375.5, 376.75, 38479
TATASTEEL,2016-08-16 09:38:00, 376.6, 376.8, 376.2, 376.45, 11417
TATASTEEL,2016-08-16 09:39:00, 376.45, 377.2, 376.45, 377.2, 20290
TATASTEEL,2016-08-16 09:40:00, 376.95, 377.6, 376.7, 377.1, 23211
TATASTEEL,2016-08-16 09:41:00, 377.2, 377.3, 376.75, 376.9, 16032
TATASTEEL,2016-08-16 09:42:00, 376.9, 377.8, 376.9, 377.8, 29563
TATASTEEL,2016-08-16 09:43:00, 377.8, 378.15, 377.65, 377.7, 26649
TATASTEEL,2016-08-16 09:44:00, 377.7, 378.55, 377.7, 378.55, 25050
TATASTEEL,2016-08-16 09:45:00, 378.6, 379.45, 378.45, 379.25, 87030
TATASTEEL,2016-08-16 09:46:00, 379.3, 379.7, 379, 379, 63644
TATASTEEL,2016-08-16 09:47:00, 379.1, 379.35, 379, 379.3, 53482
TATASTEEL,2016-08-16 09:48:00, 379.3, 379.5, 379.1, 379.2, 40107
TATASTEEL,2016-08-16 09:49:00, 379.2, 379.4, 379.05, 379.15, 31122
TATASTEEL,2016-08-16 09:50:00, 379.15, 379.4, 378.8, 378.8, 40494
TATASTEEL,2016-08-16 09:51:00, 378.9, 379.1, 378.7, 378.7, 18411
TATASTEEL,2016-08-16 09:52:00, 378.7, 378.7, 378.35, 378.35, 14751
TATASTEEL,2016-08-16 09:53:00, 378.35, 378.45, 378, 378.05, 15647
TATASTEEL,2016-08-16 09:54:00, 378.2, 378.4, 378, 378.05, 12631
TATASTEEL,2016-08-16 09:55:00, 378.05, 378.5, 378.05, 378.2, 13942
TATASTEEL,2016-08-16 09:56:00, 378.3, 378.4, 378, 378.25, 13512
TATASTEEL,2016-08-16 09:57:00, 378.25, 379, 378.25, 378.7, 17994
TATASTEEL,2016-08-16 09:58:00, 378.95, 378.95, 378.35, 378.35, 6309
TATASTEEL,2016-08-16 09:59:00, 378.45, 378.9, 378.3, 378.65, 19982
TATASTEEL,2016-08-16 10:00:00, 378.8, 379.1, 378.65, 379.1, 37133
TATASTEEL,2016-08-16 10:01:00, 379.1, 379.4, 378.9, 379.2, 14911
TATASTEEL,2016-08-16 10:02:00, 379.2, 379.45, 378.95, 379.25, 72476
TATASTEEL,2016-08-16 10:03:00, 379.15, 379.25, 378.55, 378.7, 18753
TATASTEEL,2016-08-16 10:04:00, 378.7, 378.9, 378.5, 378.75, 7698
TATASTEEL,2016-08-16 10:05:00, 378.75, 378.85, 378.4, 378.5, 10362
TATASTEEL,2016-08-16 10:06:00, 378.5, 379, 378.5, 378.95, 9084
TATASTEEL,2016-08-16 10:07:00, 378.9, 379, 378.7, 378.9, 3799
TATASTEEL,2016-08-16 10:08:00, 378.9, 378.9, 378.6, 378.6, 4748
TATASTEEL,2016-08-16 10:09:00, 378.6, 379.25, 378.55, 378.75, 18079
TATASTEEL,2016-08-16 10:10:00, 378.75, 378.9, 378.5, 378.7, 6719
TATASTEEL,2016-08-16 10:11:00, 378.6, 378.65, 378.15, 378.5, 13543
TATASTEEL,2016-08-16 10:12:00, 378.25, 378.6, 378.25, 378.3, 4450
TATASTEEL,2016-08-16 10:13:00, 378.3, 378.3, 378.05, 378.3, 9681
TATASTEEL,2016-08-16 10:14:00, 378.3, 378.6, 378.3, 378.35, 9326
TATASTEEL,2016-08-16 10:15:00, 378.35, 378.35, 378.15, 378.15, 5447
TATASTEEL,2016-08-16 10:16:00, 378.1, 378.4, 378.05, 378.4, 6353
TATASTEEL,2016-08-16 10:17:00, 378.4, 378.4, 377.95, 378.2, 14516
TATASTEEL,2016-08-16 10:18:00, 378.2, 378.2, 377.5, 377.75, 21830
TATASTEEL,2016-08-16 10:19:00, 377.8, 377.85, 377.4, 377.75, 13450
TATASTEEL,2016-08-16 10:20:00, 377.7, 378.1, 377.7, 377.75, 6204
TATASTEEL,2016-08-16 10:21:00, 377.75, 377.9, 377.5, 377.9, 3233
TATASTEEL,2016-08-16 10:23:00, 378.1, 378.2, 377.65, 377.9, 5359
TATASTEEL,2016-08-16 10:22:00, 377.75, 378.25, 377.6, 378.05, 18273
TATASTEEL,2016-08-16 10:24:00, 377.9, 378, 377.8, 377.8, 4197
TATASTEEL,2016-08-16 10:25:00, 377.8, 377.9, 377.6, 377.85, 4466
TATASTEEL,2016-08-16 10:26:00, 377.85, 377.85, 377.25, 377.45, 15203
TATASTEEL,2016-08-16 10:27:00, 377.45, 377.45, 377.15, 377.25, 10784
TATASTEEL,2016-08-16 10:28:00, 377.25, 377.55, 377.2, 377.2, 8030
TATASTEEL,2016-08-16 10:29:00, 377.2, 377.4, 377.15, 377.2, 7743
TATASTEEL,2016-08-16 10:30:00, 377.2, 377.4, 377.2, 377.25, 7189
TATASTEEL,2016-08-16 10:31:00, 377.25, 377.25, 377.05, 377.1, 10046
TATASTEEL,2016-08-16 10:32:00, 377, 377.05, 376.6, 376.85, 13177
TATASTEEL,2016-08-16 10:33:00, 376.85, 377, 376.75, 376.9, 9911
TATASTEEL,2016-08-16 10:34:00, 376.85, 376.95, 376.75, 376.75, 8188
TATASTEEL,2016-08-16 10:35:00, 376.75, 377.3, 376.75, 377.3, 13265
TATASTEEL,2016-08-16 10:36:00, 377.3, 377.3, 376.9, 377, 8235
TATASTEEL,2016-08-16 10:37:00, 377, 377.15, 376.85, 377.1, 4663
TATASTEEL,2016-08-16 10:38:00, 377.1, 377.4, 377.1, 377.2, 8608
TATASTEEL,2016-08-16 10:39:00, 377.2, 377.2, 376.95, 377.15, 4531
TATASTEEL,2016-08-16 10:40:00, 377.15, 377.2, 376.8, 376.8, 7755
TATASTEEL,2016-08-16 10:41:00, 376.8, 376.9, 376.1, 376.4, 27360
TATASTEEL,2016-08-16 10:42:00, 376.4, 376.5, 376.2, 376.4, 11547
TATASTEEL,2016-08-16 10:43:00, 376.5, 376.75, 376.4, 376.55, 8032
TATASTEEL,2016-08-16 10:44:00, 376.55, 377.2, 376.55, 376.8, 14831
TATASTEEL,2016-08-16 10:45:00, 376.8, 377.25, 376.8, 376.95, 5694
TATASTEEL,2016-08-16 10:46:00, 376.95, 377.15, 376.7, 376.7, 7167
TATASTEEL,2016-08-16 10:47:00, 376.65, 376.7, 376.25, 376.4, 8731
TATASTEEL,2016-08-16 10:48:00, 376.4, 377.1, 376.4, 377.1, 8313
TATASTEEL,2016-08-16 10:49:00, 377.1, 377.4, 377.05, 377.05, 8779
TATASTEEL,2016-08-16 10:50:00, 377.05, 377.3, 377, 377.05, 3739
TATASTEEL,2016-08-16 10:51:00, 377.05, 377.2, 376.9, 377, 7079
TATASTEEL,2016-08-16 10:52:00, 377, 377.35, 377, 377.1, 8698
TATASTEEL,2016-08-16 10:53:00, 377.1, 378.1, 376.95, 377.45, 23355
TATASTEEL,2016-08-16 10:54:00, 377.45, 377.95, 377.1, 377.55, 16405
TATASTEEL,2016-08-16 10:55:00, 377.55, 377.7, 377.15, 377.2, 14227
TATASTEEL,2016-08-16 10:56:00, 377.3, 377.45, 377.05, 377.1, 7287
TATASTEEL,2016-08-16 10:57:00, 377.05, 377.1, 376.5, 376.85, 25655
TATASTEEL,2016-08-16 10:58:00, 376.7, 377.25, 376.7, 376.85, 12289
TATASTEEL,2016-08-16 10:59:00, 376.85, 377.05, 376.65, 376.95, 7346
TATASTEEL,2016-08-16 11:00:00, 376.95, 376.95, 376.2, 376.3, 11429
TATASTEEL,2016-08-16 11:01:00, 376.3, 376.6, 376.1, 376.4, 15006
TATASTEEL,2016-08-16 11:02:00, 376.45, 376.45, 376.25, 376.45, 13507
TATASTEEL,2016-08-16 11:03:00, 376.45, 376.8, 376.45, 376.75, 6985
TATASTEEL,2016-08-16 11:04:00, 376.75, 377.35, 376.75, 377.2, 16050
TATASTEEL,2016-08-16 11:05:00, 377.2, 377.2, 376.75, 376.8, 6779
TATASTEEL,2016-08-16 11:06:00, 376.95, 377.65, 376.95, 377.45, 12725
TATASTEEL,2016-08-16 11:07:00, 377.5, 377.6, 377.1, 377.5, 3831
TATASTEEL,2016-08-16 11:08:00, 377.5, 377.95, 377.25, 377.25, 52674
TATASTEEL,2016-08-16 11:09:00, 377.25, 377.55, 377.25, 377.55, 7253
TATASTEEL,2016-08-16 11:10:00, 377.55, 377.9, 377.55, 377.9, 3006
TATASTEEL,2016-08-16 11:11:00, 377.85, 377.95, 377.75, 377.75, 5413
TATASTEEL,2016-08-16 11:12:00, 377.75, 377.95, 377.6, 377.6, 7791
TATASTEEL,2016-08-16 11:13:00, 377.6, 377.6, 377.35, 377.35, 4222
TATASTEEL,2016-08-16 11:14:00, 377.35, 377.7, 377.35, 377.6, 4490
TATASTEEL,2016-08-16 11:15:00, 377.5, 377.6, 377.25, 377.35, 4623
TATASTEEL,2016-08-16 11:16:00, 377.35, 377.75, 377.25, 377.65, 5941
TATASTEEL,2016-08-16 11:17:00, 377.65, 377.8, 377.6, 377.65, 4865
TATASTEEL,2016-08-16 11:18:00, 377.65, 377.75, 377.5, 377.5, 4894
TATASTEEL,2016-08-16 11:19:00, 377.5, 377.8, 377.45, 377.65, 3914
TATASTEEL,2016-08-16 11:20:00, 377.7, 377.7, 377.55, 377.7, 3124
TATASTEEL,2016-08-16 11:21:00, 377.7, 377.7, 377.55, 377.55, 5091
TATASTEEL,2016-08-16 11:22:00, 377.55, 377.7, 377.5, 377.7, 8667
TATASTEEL,2016-08-16 11:23:00, 377.65, 377.9, 377.6, 377.7, 4309
TATASTEEL,2016-08-16 11:24:00, 377.7, 377.8, 377.55, 377.7, 3661
