Code,Date,Open,High,Low,Close,Volume
TECHM,2016-08-16 09:15:00, 490.6, 491.65, 487.05, 488.2, 14022
TECHM,2016-08-16 09:16:00, 487.85, 489.1, 487.5, 488.85, 9463
TECHM,2016-08-16 09:17:00, 488.6, 489.9, 488, 488.35, 6581
TECHM,2016-08-16 09:18:00, 488.35, 489.25, 488.05, 488.9, 8902
TECHM,2016-08-16 09:19:00, 488.9, 489.3, 488, 488.05, 8153
TECHM,2016-08-16 09:20:00, 488.05, 488.25, 487.3, 488.1, 9525
TECHM,2016-08-16 09:21:00, 488.1, 488.35, 487.6, 487.6, 2948
TECHM,2016-08-16 09:22:00, 487.6, 487.65, 487.05, 487.1, 2490
TECHM,2016-08-16 09:23:00, 487.1, 487.45, 486.9, 486.9, 4714
TECHM,2016-08-16 09:24:00, 486.9, 487.9, 486.9, 487.65, 5313
TECHM,2016-08-16 09:25:00, 487.65, 488.1, 487.4, 487.4, 4128
TECHM,2016-08-16 09:26:00, 487.9, 488.4, 487.7, 488.4, 8434
TECHM,2016-08-16 09:27:00, 488.4, 488.85, 486.75, 486.75, 14686
TECHM,2016-08-16 09:28:00, 486.75, 487.2, 486.75, 487.2, 1570
TECHM,2016-08-16 09:29:00, 487.2, 487.45, 487, 487.3, 2117
TECHM,2016-08-16 09:30:00, 487.3, 487.5, 487.2, 487.5, 1615
TECHM,2016-08-16 09:31:00, 487.5, 487.6, 486.65, 487.25, 17749
TECHM,2016-08-16 09:33:00, 488, 488.2, 487.7, 488.15, 5071
TECHM,2016-08-16 09:32:00, 487.25, 488, 487.25, 487.95, 3164
TECHM,2016-08-16 09:34:00, 487.9, 489.2, 487.8, 489.2, 3932
TECHM,2016-08-16 09:35:00, 489.2, 489.3, 488.65, 488.75, 4191
TECHM,2016-08-16 09:36:00, 488.75, 489, 488.2, 488.6, 3511
TECHM,2016-08-16 09:37:00, 488.65, 488.7, 488.3, 488.55, 735
TECHM,2016-08-16 09:38:00, 488.7, 488.9, 488.5, 488.7, 1258
TECHM,2016-08-16 09:39:00, 488.7, 488.95, 488.7, 488.9, 560
TECHM,2016-08-16 09:40:00, 488.9, 488.95, 488, 488.35, 5109
TECHM,2016-08-16 09:41:00, 488.35, 488.85, 488.35, 488.65, 935
TECHM,2016-08-16 09:42:00, 488.65, 488.9, 488.65, 488.85, 584
