Code,Date,Open,High,Low,Close,Volume
TITAN,2016-08-16 09:15:00, 402.25, 407, 402.25, 402.5, 11091
TITAN,2016-08-16 09:16:00, 402.75, 403.7, 402.65, 403.65, 2114
TITAN,2016-08-16 09:17:00, 403.65, 403.75, 403.35, 403.6, 870
TITAN,2016-08-16 09:18:00, 403.6, 403.6, 401.55, 402.2, 3629
TITAN,2016-08-16 09:19:00, 402.3, 402.95, 402.3, 402.35, 2639
TITAN,2016-08-16 09:20:00, 402.65, 403.4, 402.65, 403.4, 1658
TITAN,2016-08-16 09:21:00, 403.4, 403.7, 403.35, 403.55, 2663
TITAN,2016-08-16 09:22:00, 403.45, 403.55, 403.25, 403.4, 1352
TITAN,2016-08-16 09:23:00, 403.4, 403.4, 402.85, 402.85, 650
TITAN,2016-08-16 09:24:00, 402.85, 403.4, 402.85, 403.2, 563
TITAN,2016-08-16 09:25:00, 403.2, 403.25, 403.15, 403.25, 406
TITAN,2016-08-16 09:26:00, 403.25, 403.25, 403.15, 403.2, 424
TITAN,2016-08-16 09:27:00, 403.15, 403.15, 403.05, 403.05, 281
TITAN,2016-08-16 09:28:00, 403.05, 403.45, 403.05, 403.2, 787
TITAN,2016-08-16 09:29:00, 403.2, 403.2, 403.15, 403.15, 162
TITAN,2016-08-16 09:30:00, 403.15, 403.2, 402.65, 402.65, 1519
TITAN,2016-08-16 09:31:00, 402.85, 402.9, 402.3, 402.35, 2345
TITAN,2016-08-16 09:32:00, 402.3, 402.3, 401.75, 401.8, 1187
TITAN,2016-08-16 09:33:00, 401.8, 401.8, 401.75, 401.8, 1089
TITAN,2016-08-16 09:34:00, 401.8, 401.8, 401.75, 401.8, 494
TITAN,2016-08-16 09:35:00, 401.75, 401.8, 401.2, 401.8, 2399
TITAN,2016-08-16 09:36:00, 401.8, 401.8, 401.65, 401.8, 791
TITAN,2016-08-16 09:37:00, 401.8, 401.8, 400, 400, 9277
TITAN,2016-08-16 09:38:00, 399.8, 400.35, 399.75, 400.15, 4728
TITAN,2016-08-16 09:39:00, 400.15, 401.2, 399.95, 401.1, 2259
TITAN,2016-08-16 09:40:00, 401.1, 401.1, 400.9, 401, 558
TITAN,2016-08-16 09:41:00, 401, 401.15, 400.85, 401.15, 1497
TITAN,2016-08-16 09:42:00, 401.15, 401.25, 401.15, 401.2, 588
TITAN,2016-08-16 09:43:00, 401.15, 401.2, 400.2, 400.65, 5922
TITAN,2016-08-16 09:44:00, 400.65, 401.2, 400.2, 401.2, 4655
TITAN,2016-08-16 09:45:00, 401.2, 401.5, 401, 401, 3519
TITAN,2016-08-16 09:46:00, 400.7, 401.15, 400.7, 401, 646
TITAN,2016-08-16 09:47:00, 401, 401.1, 401, 401.1, 933
TITAN,2016-08-16 09:48:00, 401.05, 401.5, 401.05, 401.4, 1099
TITAN,2016-08-16 09:49:00, 401.4, 401.75, 401.05, 401.25, 2861
TITAN,2016-08-16 09:50:00, 401.25, 401.45, 401.1, 401.45, 605
TITAN,2016-08-16 09:51:00, 401.45, 401.8, 401.4, 401.7, 685
TITAN,2016-08-16 09:52:00, 401.7, 401.7, 401.2, 401.2, 1552
TITAN,2016-08-16 09:53:00, 401.4, 401.5, 400.35, 401.05, 21250
TITAN,2016-08-16 09:54:00, 401.05, 401.05, 401, 401, 1878
TITAN,2016-08-16 09:55:00, 401, 401.2, 400.85, 400.85, 3270
TITAN,2016-08-16 09:56:00, 400.75, 400.8, 400.6, 400.8, 675
TITAN,2016-08-16 09:57:00, 400.75, 400.95, 400.75, 400.95, 377
TITAN,2016-08-16 09:58:00, 400.95, 400.95, 400.7, 400.85, 715
TITAN,2016-08-16 09:59:00, 400.85, 400.85, 400.75, 400.85, 632
TITAN,2016-08-16 10:00:00, 400.8, 401.1, 400.8, 401.1, 532
TITAN,2016-08-16 10:01:00, 401.1, 401.1, 400.95, 400.95, 541
TITAN,2016-08-16 10:02:00, 400.9, 401.9, 400.9, 401.45, 4111
TITAN,2016-08-16 10:03:00, 401.65, 401.65, 401.2, 401.25, 1521
TITAN,2016-08-16 10:04:00, 401.2, 401.4, 401.05, 401.1, 1118
TITAN,2016-08-16 10:05:00, 401.1, 401.4, 401.1, 401.2, 1070
TITAN,2016-08-16 10:06:00, 401.2, 401.3, 401, 401.15, 1143
TITAN,2016-08-16 10:07:00, 401.15, 401.3, 401.15, 401.3, 426
TITAN,2016-08-16 10:08:00, 401.35, 401.35, 401.3, 401.3, 620
TITAN,2016-08-16 10:09:00, 401.3, 401.6, 401.1, 401.3, 2016
TITAN,2016-08-16 10:10:00, 401.05, 401.25, 401.05, 401.1, 2153
TITAN,2016-08-16 10:11:00, 401.1, 401.9, 400.65, 401.45, 20867
TITAN,2016-08-16 10:12:00, 401.45, 401.7, 401.2, 401.2, 5089
TITAN,2016-08-16 10:13:00, 401.1, 401.15, 400.85, 401, 1379
TITAN,2016-08-16 10:14:00, 401, 401.15, 401, 401, 25217
TITAN,2016-08-16 10:15:00, 401, 401.2, 401, 401.2, 164
TITAN,2016-08-16 10:16:00, 401.25, 401.3, 401.2, 401.25, 1174
TITAN,2016-08-16 10:17:00, 401.2, 401.25, 401.2, 401.2, 212
TITAN,2016-08-16 10:18:00, 401.2, 401.25, 400.7, 400.7, 969
TITAN,2016-08-16 10:19:00, 400.65, 400.9, 400.5, 400.8, 586
