Code,Date,Open,High,Low,Close,Volume
TORNTPHARM,2016-08-16 09:15:00, 1500, 1500, 1486, 1495, 68
TORNTPHARM,2016-08-16 09:16:00, 1495, 1495, 1486.05, 1495, 560
TORNTPHARM,2016-08-16 09:17:00, 1495, 1497.95, 1492.1, 1494.55, 1151
TORNTPHARM,2016-08-16 09:18:00, 1494.6, 1495, 1492.05, 1492.95, 561
TORNTPHARM,2016-08-16 09:19:00, 1492.95, 1493.55, 1490.3, 1491.8, 393
TORNTPHARM,2016-08-16 09:20:00, 1491.65, 1492.4, 1491.1, 1492, 462
TORNTPHARM,2016-08-16 09:21:00, 1492, 1493.4, 1491, 1491, 59
TORNTPHARM,2016-08-16 09:22:00, 1493, 1493, 1491.7, 1492.9, 58
TORNTPHARM,2016-08-16 09:23:00, 1492.9, 1492.9, 1491.85, 1492.9, 117
TORNTPHARM,2016-08-16 09:25:00, 1492.9, 1494.95, 1490.6, 1494.55, 853
TORNTPHARM,2016-08-16 09:24:00, 1492.9, 1492.9, 1492.9, 1492.9, 90
TORNTPHARM,2016-08-16 09:26:00, 1494.55, 1494.55, 1494, 1494, 39
TORNTPHARM,2016-08-16 09:27:00, 1494, 1495, 1494, 1494, 267
TORNTPHARM,2016-08-16 09:28:00, 1494, 1494.2, 1492.4, 1492.4, 245
TORNTPHARM,2016-08-16 09:29:00, 1492.95, 1493.85, 1491.35, 1491.95, 422
TORNTPHARM,2016-08-16 09:30:00, 1491.95, 1491.95, 1491.85, 1491.9, 318
TORNTPHARM,2016-08-16 09:31:00, 1491.85, 1491.9, 1491.85, 1491.9, 53
TORNTPHARM,2016-08-16 09:32:00, 1491.9, 1491.9, 1490.15, 1491.8, 520
TORNTPHARM,2016-08-16 09:33:00, 1491.8, 1491.9, 1491.2, 1491.9, 203
TORNTPHARM,2016-08-16 09:34:00, 1491.9, 1491.9, 1490, 1490.5, 479
TORNTPHARM,2016-08-16 09:35:00, 1490.5, 1491.75, 1490.5, 1491.55, 170
TORNTPHARM,2016-08-16 09:36:00, 1491.8, 1491.9, 1491.8, 1491.9, 179
TORNTPHARM,2016-08-16 09:37:00, 1491.9, 1491.9, 1491.9, 1491.9, 33
TORNTPHARM,2016-08-16 09:38:00, 1491.9, 1491.9, 1491.6, 1491.9, 182
TORNTPHARM,2016-08-16 09:39:00, 1491.9, 1491.9, 1491.65, 1491.9, 127
TORNTPHARM,2016-08-16 09:40:00, 1491.9, 1491.9, 1491, 1491.65, 223
TORNTPHARM,2016-08-16 09:41:00, 1491.65, 1491.9, 1491.35, 1491.9, 146
TORNTPHARM,2016-08-16 09:42:00, 1491.9, 1491.9, 1491.9, 1491.9, 28
TORNTPHARM,2016-08-16 09:43:00, 1491.9, 1491.9, 1491.5, 1491.9, 33
TORNTPHARM,2016-08-16 09:44:00, 1491.9, 1491.9, 1489, 1490, 591
TORNTPHARM,2016-08-16 09:45:00, 1490, 1492.7, 1490, 1492.7, 273
TORNTPHARM,2016-08-16 09:46:00, 1492.7, 1494.95, 1492.7, 1494.95, 729
TORNTPHARM,2016-08-16 09:47:00, 1494.95, 1499, 1494.95, 1499, 1504
TORNTPHARM,2016-08-16 09:48:00, 1499, 1505.15, 1496.75, 1505, 5273
TORNTPHARM,2016-08-16 09:49:00, 1505.15, 1509, 1505, 1508, 2214
TORNTPHARM,2016-08-16 09:50:00, 1507.95, 1508, 1503.2, 1507, 1451
TORNTPHARM,2016-08-16 09:51:00, 1507, 1507, 1505.95, 1505.95, 936
TORNTPHARM,2016-08-16 09:52:00, 1505.95, 1508.7, 1505.9, 1508.5, 1395
TORNTPHARM,2016-08-16 09:53:00, 1508.65, 1512.5, 1506.65, 1510, 2721
TORNTPHARM,2016-08-16 09:54:00, 1510, 1514.95, 1509, 1510.3, 1858
TORNTPHARM,2016-08-16 09:55:00, 1514.8, 1515, 1510.55, 1513, 1460
TORNTPHARM,2016-08-16 09:56:00, 1513.05, 1513.95, 1511.25, 1512, 404
TORNTPHARM,2016-08-16 09:57:00, 1512, 1514, 1512, 1513.95, 532
TORNTPHARM,2016-08-16 09:58:00, 1513.95, 1513.95, 1513.45, 1513.85, 274
TORNTPHARM,2016-08-16 09:59:00, 1513.85, 1514, 1513.85, 1514, 414
TORNTPHARM,2016-08-16 10:00:00, 1514.5, 1516, 1514.5, 1515.95, 1600
TORNTPHARM,2016-08-16 10:01:00, 1515.95, 1516, 1514.55, 1515.75, 311
TORNTPHARM,2016-08-16 10:02:00, 1515.75, 1515.75, 1511.85, 1515.3, 541
TORNTPHARM,2016-08-16 10:03:00, 1515.3, 1515.6, 1515.3, 1515.3, 39
TORNTPHARM,2016-08-16 10:04:00, 1515.8, 1516.5, 1515.35, 1516.5, 513
TORNTPHARM,2016-08-16 10:05:00, 1516.5, 1517, 1515.95, 1517, 322
TORNTPHARM,2016-08-16 10:06:00, 1517, 1518.65, 1517, 1517.3, 65
TORNTPHARM,2016-08-16 10:07:00, 1517.3, 1518, 1517.3, 1517.65, 88
TORNTPHARM,2016-08-16 10:08:00, 1517.65, 1518.6, 1517.65, 1518.6, 77
TORNTPHARM,2016-08-16 10:09:00, 1518.6, 1518.6, 1517.85, 1518.05, 361
TORNTPHARM,2016-08-16 10:10:00, 1518.05, 1519.5, 1518, 1518.7, 548
TORNTPHARM,2016-08-16 10:11:00, 1518.75, 1519, 1518.75, 1518.9, 1297
TORNTPHARM,2016-08-16 10:12:00, 1518.9, 1518.9, 1516, 1516, 791
TORNTPHARM,2016-08-16 10:13:00, 1518.75, 1520, 1518.5, 1519.05, 1067
TORNTPHARM,2016-08-16 10:14:00, 1519.05, 1520, 1519, 1520, 413
TORNTPHARM,2016-08-16 10:15:00, 1520, 1521.85, 1519.95, 1521.85, 882
TORNTPHARM,2016-08-16 10:16:00, 1521.85, 1522.85, 1521, 1522.8, 465
TORNTPHARM,2016-08-16 10:17:00, 1522.75, 1523, 1522.7, 1523, 280
TORNTPHARM,2016-08-16 10:18:00, 1523, 1524.85, 1523, 1524.7, 502
TORNTPHARM,2016-08-16 10:19:00, 1524.7, 1524.7, 1522.4, 1524.3, 236
TORNTPHARM,2016-08-16 10:20:00, 1524.3, 1524.3, 1522.8, 1523, 86
TORNTPHARM,2016-08-16 10:21:00, 1523.3, 1524, 1523.3, 1523.75, 105
TORNTPHARM,2016-08-16 10:22:00, 1523.75, 1523.75, 1522.35, 1523.75, 108
TORNTPHARM,2016-08-16 10:23:00, 1523.75, 1523.75, 1522, 1522.65, 198
TORNTPHARM,2016-08-16 10:24:00, 1522.65, 1523.15, 1522, 1522.55, 61
TORNTPHARM,2016-08-16 10:25:00, 1522.55, 1522.55, 1522.05, 1522.05, 23
TORNTPHARM,2016-08-16 10:26:00, 1522.05, 1522.05, 1520.15, 1520.15, 261
TORNTPHARM,2016-08-16 10:27:00, 1520.15, 1520.9, 1520, 1520.9, 121
TORNTPHARM,2016-08-16 10:28:00, 1520.9, 1521.9, 1518.75, 1521.7, 721
TORNTPHARM,2016-08-16 10:29:00, 1521.7, 1521.7, 1519.25, 1520.55, 200
TORNTPHARM,2016-08-16 10:30:00, 1520.55, 1520.55, 1518.65, 1519, 126
TORNTPHARM,2016-08-16 10:31:00, 1519, 1519, 1518.7, 1518.7, 20
TORNTPHARM,2016-08-16 10:32:00, 1518.7, 1519, 1518.7, 1518.8, 22
TORNTPHARM,2016-08-16 10:33:00, 1518.8, 1518.8, 1518.65, 1518.65, 35
TORNTPHARM,2016-08-16 10:34:00, 1518.65, 1518.65, 1517.6, 1518, 112
TORNTPHARM,2016-08-16 10:35:00, 1518, 1518.6, 1517.55, 1517.55, 840
TORNTPHARM,2016-08-16 10:36:00, 1517.55, 1518.5, 1517.55, 1518.5, 1
TORNTPHARM,2016-08-16 10:37:00, 1518.5, 1518.5, 1516.8, 1517, 673
TORNTPHARM,2016-08-16 10:38:00, 1517, 1517, 1515.75, 1515.75, 447
TORNTPHARM,2016-08-16 10:39:00, 1516.7, 1516.7, 1515.85, 1515.85, 20
TORNTPHARM,2016-08-16 10:40:00, 1515.85, 1516.7, 1515.85, 1516.3, 60
TORNTPHARM,2016-08-16 10:41:00, 1515.45, 1515.95, 1515, 1515.5, 352
TORNTPHARM,2016-08-16 10:42:00, 1515.5, 1516, 1515.1, 1515.2, 66
TORNTPHARM,2016-08-16 10:43:00, 1515.2, 1515.7, 1515, 1515.05, 221
TORNTPHARM,2016-08-16 10:44:00, 1515.05, 1515.05, 1514.2, 1515, 63
TORNTPHARM,2016-08-16 10:45:00, 1515, 1515.75, 1515, 1515.75, 8
TORNTPHARM,2016-08-16 10:46:00, 1515.15, 1515.15, 1515.15, 1515.15, 51
TORNTPHARM,2016-08-16 10:47:00, 1515.15, 1515.15, 1514, 1514.95, 302
TORNTPHARM,2016-08-16 10:48:00, 1514.95, 1514.95, 1514.95, 1514.95, 23
TORNTPHARM,2016-08-16 10:49:00, 1514.95, 1515.7, 1514.95, 1515.4, 11
TORNTPHARM,2016-08-16 10:50:00, 1515.4, 1515.4, 1514.05, 1515, 182
TORNTPHARM,2016-08-16 10:51:00, 1515.1, 1515.15, 1515.1, 1515.15, 10
TORNTPHARM,2016-08-16 10:52:00, 1515.15, 1515.15, 1515.15, 1515.15, 0
TORNTPHARM,2016-08-16 10:53:00, 1514.55, 1516.85, 1514.55, 1516.85, 192
TORNTPHARM,2016-08-16 10:54:00, 1516.85, 1516.85, 1516.85, 1516.85, 0
TORNTPHARM,2016-08-16 10:55:00, 1516.85, 1516.85, 1515.95, 1515.95, 16
TORNTPHARM,2016-08-16 10:56:00, 1515.95, 1515.95, 1512.8, 1512.8, 110
TORNTPHARM,2016-08-16 10:57:00, 1512.8, 1515, 1512.8, 1514.95, 140
TORNTPHARM,2016-08-16 10:58:00, 1514.95, 1514.95, 1514.35, 1514.35, 3
TORNTPHARM,2016-08-16 10:59:00, 1514.35, 1514.95, 1514.35, 1514.9, 19
TORNTPHARM,2016-08-16 11:00:00, 1514.9, 1515, 1513.95, 1514, 186
TORNTPHARM,2016-08-16 11:01:00, 1514, 1514.1, 1513.2, 1514.1, 73
