Code,Date,Open,High,Low,Close,Volume
TVSMOTOR,2016-08-16 09:15:00, 299.75, 300.6, 299.35, 299.55, 1789
TVSMOTOR,2016-08-16 09:16:00, 299.55, 299.85, 299.1, 299.1, 1047
TVSMOTOR,2016-08-16 09:17:00, 299.05, 300.15, 299, 299.9, 3968
TVSMOTOR,2016-08-16 09:18:00, 300, 300.35, 299.35, 299.45, 4660
TVSMOTOR,2016-08-16 09:19:00, 299.45, 299.45, 298.9, 298.9, 2648
TVSMOTOR,2016-08-16 09:20:00, 298.9, 299.75, 298.9, 299.7, 2438
TVSMOTOR,2016-08-16 09:21:00, 299.7, 299.75, 299.25, 299.25, 1479
TVSMOTOR,2016-08-16 09:22:00, 299.25, 299.8, 299.1, 299.8, 1771
TVSMOTOR,2016-08-16 09:23:00, 299.6, 299.6, 299.3, 299.3, 673
TVSMOTOR,2016-08-16 09:24:00, 299.6, 299.85, 299.3, 299.85, 883
TVSMOTOR,2016-08-16 09:25:00, 299.85, 299.85, 299.45, 299.45, 1048
TVSMOTOR,2016-08-16 09:26:00, 299.45, 300.25, 299.4, 300.2, 3581
TVSMOTOR,2016-08-16 09:27:00, 300.2, 300.8, 300.05, 300.8, 1195
TVSMOTOR,2016-08-16 09:28:00, 300.8, 300.95, 300.6, 300.65, 1941
TVSMOTOR,2016-08-16 09:29:00, 300.65, 301.4, 300.65, 301.2, 2486
TVSMOTOR,2016-08-16 09:30:00, 301.2, 301.2, 300.3, 300.5, 3629
TVSMOTOR,2016-08-16 09:31:00, 300.5, 300.5, 299.65, 299.65, 3201
TVSMOTOR,2016-08-16 09:32:00, 299.65, 300.55, 299.65, 300.55, 5143
TVSMOTOR,2016-08-16 09:33:00, 300.55, 300.55, 299.6, 299.8, 1493
TVSMOTOR,2016-08-16 09:34:00, 299.8, 300.5, 299.3, 300.4, 2269
TVSMOTOR,2016-08-16 09:35:00, 300.4, 300.55, 300.35, 300.4, 982
TVSMOTOR,2016-08-16 09:36:00, 300.35, 300.4, 299.45, 299.7, 3893
TVSMOTOR,2016-08-16 09:37:00, 299.7, 300, 299.7, 299.7, 282
TVSMOTOR,2016-08-16 09:38:00, 299.7, 299.8, 299.7, 299.75, 387
TVSMOTOR,2016-08-16 09:39:00, 299.75, 300, 299.7, 300, 381
TVSMOTOR,2016-08-16 09:40:00, 300, 300.3, 299.85, 300.3, 968
TVSMOTOR,2016-08-16 09:41:00, 300.3, 300.4, 300.05, 300.4, 1293
TVSMOTOR,2016-08-16 09:42:00, 300.4, 300.45, 300.25, 300.45, 313
TVSMOTOR,2016-08-16 09:43:00, 300.45, 300.45, 300.25, 300.25, 321
TVSMOTOR,2016-08-16 09:44:00, 300.25, 300.8, 300.25, 300.5, 3097
TVSMOTOR,2016-08-16 09:45:00, 300.5, 300.75, 300, 300, 2278
TVSMOTOR,2016-08-16 09:46:00, 300.45, 300.45, 300.2, 300.4, 2049
TVSMOTOR,2016-08-16 09:47:00, 300.4, 300.4, 300.15, 300.15, 485
TVSMOTOR,2016-08-16 09:48:00, 300.15, 300.15, 299.85, 299.95, 1495
TVSMOTOR,2016-08-16 09:49:00, 299.95, 300.05, 299.85, 300, 385
TVSMOTOR,2016-08-16 09:50:00, 300, 300, 299.8, 299.85, 204
TVSMOTOR,2016-08-16 09:51:00, 299.85, 299.9, 299.7, 299.8, 453
TVSMOTOR,2016-08-16 09:52:00, 299.8, 299.8, 298.55, 298.65, 3652
TVSMOTOR,2016-08-16 09:53:00, 298.65, 298.8, 298.4, 298.5, 4331
TVSMOTOR,2016-08-16 09:54:00, 298.5, 299.35, 298.5, 299.15, 2480
TVSMOTOR,2016-08-16 09:56:00, 299, 299.05, 299, 299.05, 122
TVSMOTOR,2016-08-16 09:55:00, 299.15, 299.2, 299, 299, 401
TVSMOTOR,2016-08-16 09:57:00, 299.05, 299.5, 299.05, 299.4, 390
TVSMOTOR,2016-08-16 09:58:00, 299.4, 299.4, 299.35, 299.4, 75
TVSMOTOR,2016-08-16 09:59:00, 299.4, 299.4, 298.8, 298.8, 377
TVSMOTOR,2016-08-16 10:00:00, 298.9, 299, 298.9, 299, 622
TVSMOTOR,2016-08-16 10:01:00, 299, 299, 298.55, 298.55, 2023
TVSMOTOR,2016-08-16 10:02:00, 298.55, 298.7, 298.45, 298.45, 1177
TVSMOTOR,2016-08-16 10:03:00, 298.45, 299, 298.45, 298.7, 3633
TVSMOTOR,2016-08-16 10:04:00, 298.7, 298.95, 298.7, 298.95, 1008
TVSMOTOR,2016-08-16 10:05:00, 298.95, 299.3, 298.95, 299.15, 2636
TVSMOTOR,2016-08-16 10:06:00, 299.15, 299.25, 299.05, 299.05, 269
TVSMOTOR,2016-08-16 10:07:00, 299.05, 299.2, 299.05, 299.15, 253
TVSMOTOR,2016-08-16 10:08:00, 299.15, 299.15, 299, 299, 2520
TVSMOTOR,2016-08-16 10:09:00, 299.1, 299.2, 299, 299.15, 2997
TVSMOTOR,2016-08-16 10:10:00, 299.2, 299.25, 299, 299.25, 256
TVSMOTOR,2016-08-16 10:11:00, 299.25, 299.35, 299.1, 299.1, 4069
TVSMOTOR,2016-08-16 10:12:00, 299.1, 299.2, 299.1, 299.2, 256
TVSMOTOR,2016-08-16 10:13:00, 299.2, 299.25, 299.1, 299.25, 887
TVSMOTOR,2016-08-16 10:14:00, 299.25, 299.25, 299.25, 299.25, 37
TVSMOTOR,2016-08-16 10:15:00, 299.25, 299.25, 299.15, 299.15, 800
TVSMOTOR,2016-08-16 10:16:00, 299.15, 299.15, 299.05, 299.05, 1491
TVSMOTOR,2016-08-16 10:17:00, 299.05, 299.05, 298.65, 298.65, 461
TVSMOTOR,2016-08-16 10:18:00, 298.95, 298.95, 298.65, 298.95, 278
TVSMOTOR,2016-08-16 10:19:00, 298.95, 299, 298.95, 299, 140
TVSMOTOR,2016-08-16 10:20:00, 299, 299, 299, 299, 988
TVSMOTOR,2016-08-16 10:21:00, 299, 299, 298.75, 298.9, 375
TVSMOTOR,2016-08-16 10:22:00, 298.9, 298.9, 298.5, 298.5, 709
TVSMOTOR,2016-08-16 10:23:00, 298.5, 298.85, 298.25, 298.6, 2426
TVSMOTOR,2016-08-16 10:24:00, 298.6, 298.7, 298.4, 298.4, 1797
TVSMOTOR,2016-08-16 10:25:00, 298.4, 298.95, 298.4, 298.8, 750
TVSMOTOR,2016-08-16 10:26:00, 298.95, 299, 298.3, 298.35, 2612
TVSMOTOR,2016-08-16 10:27:00, 298.35, 298.65, 298.35, 298.65, 8
TVSMOTOR,2016-08-16 10:28:00, 298.65, 298.65, 298.45, 298.45, 350
TVSMOTOR,2016-08-16 10:29:00, 298.45, 298.65, 298.45, 298.5, 388
TVSMOTOR,2016-08-16 10:30:00, 298.5, 298.55, 298.4, 298.45, 1592
TVSMOTOR,2016-08-16 10:31:00, 298.45, 298.55, 298.45, 298.55, 636
TVSMOTOR,2016-08-16 10:32:00, 298.7, 298.75, 298.5, 298.75, 338
TVSMOTOR,2016-08-16 10:33:00, 298.75, 298.95, 298.7, 298.9, 1305
TVSMOTOR,2016-08-16 10:34:00, 298.9, 298.95, 298.9, 298.95, 116
TVSMOTOR,2016-08-16 10:35:00, 298.95, 298.95, 298.8, 298.8, 110
TVSMOTOR,2016-08-16 10:36:00, 298.8, 298.95, 298.8, 298.95, 5
TVSMOTOR,2016-08-16 10:37:00, 298.95, 299.35, 298.95, 299.3, 3809
TVSMOTOR,2016-08-16 10:38:00, 299.25, 299.35, 299.2, 299.2, 1289
TVSMOTOR,2016-08-16 10:39:00, 299.2, 299.4, 299.2, 299.4, 450
TVSMOTOR,2016-08-16 10:40:00, 299.35, 299.4, 299.3, 299.3, 860
