Code,Date,Open,High,Low,Close,Volume
UBL,2016-08-16 09:15:00, 805.9, 811.95, 804.75, 811.9, 7957
UBL,2016-08-16 09:16:00, 810.3, 810.4, 807.15, 808.05, 3554
UBL,2016-08-16 09:17:00, 808.05, 809.05, 802, 808, 4035
UBL,2016-08-16 09:18:00, 808, 808, 804.45, 807.4, 1704
UBL,2016-08-16 09:19:00, 807.4, 808, 805, 806.45, 1290
UBL,2016-08-16 09:20:00, 806.45, 808, 805.85, 806.05, 2677
UBL,2016-08-16 09:21:00, 806.05, 806.5, 805.6, 805.9, 964
UBL,2016-08-16 09:24:00, 805, 805.4, 804.6, 804.6, 703
UBL,2016-08-16 09:22:00, 806.4, 806.4, 804.6, 804.65, 1755
UBL,2016-08-16 09:23:00, 804.65, 805.5, 804.65, 804.75, 1859
UBL,2016-08-16 09:25:00, 804.65, 805.5, 804.55, 805, 789
UBL,2016-08-16 09:26:00, 805, 806.3, 804.55, 805.3, 832
UBL,2016-08-16 09:27:00, 805.3, 806.8, 805.3, 806.8, 488
UBL,2016-08-16 09:28:00, 806.8, 808, 806.7, 808, 947
UBL,2016-08-16 09:29:00, 808, 808.65, 806.45, 807.65, 3228
UBL,2016-08-16 09:30:00, 807.65, 808.9, 806.6, 807.05, 893
UBL,2016-08-16 09:31:00, 807.05, 809.45, 807.05, 807.85, 2056
UBL,2016-08-16 09:32:00, 808, 808, 806, 806.3, 1380
UBL,2016-08-16 09:33:00, 807.2, 808.65, 806.25, 807, 537
UBL,2016-08-16 09:34:00, 807, 807, 806.5, 806.6, 407
UBL,2016-08-16 09:35:00, 806.6, 807, 804.5, 804.5, 1996
UBL,2016-08-16 09:36:00, 804.1, 805.7, 800.9, 805.7, 5549
UBL,2016-08-16 09:37:00, 805.1, 805.1, 801.15, 801.95, 2526
UBL,2016-08-16 09:38:00, 801.95, 801.95, 800.8, 801.05, 521
UBL,2016-08-16 09:39:00, 801.05, 801.25, 800.5, 801.05, 316
UBL,2016-08-16 09:40:00, 801.15, 802, 801.05, 801.95, 718
UBL,2016-08-16 09:41:00, 801.95, 803.15, 801.45, 802.5, 456
UBL,2016-08-16 09:42:00, 802.5, 803.45, 802.5, 802.7, 441
UBL,2016-08-16 09:43:00, 802.7, 803.35, 802.6, 803.3, 389
UBL,2016-08-16 09:44:00, 803.3, 803.8, 803.05, 803.05, 358
UBL,2016-08-16 09:45:00, 803.05, 803.55, 803, 803.55, 160
UBL,2016-08-16 09:46:00, 803.55, 803.55, 802.9, 803.1, 275
UBL,2016-08-16 09:47:00, 803.1, 803.6, 803.1, 803.55, 314
UBL,2016-08-16 09:48:00, 803.55, 803.6, 803.1, 803.1, 536
UBL,2016-08-16 09:49:00, 803.1, 803.6, 803, 803.6, 174
UBL,2016-08-16 09:50:00, 803.6, 803.6, 803, 803.5, 111
UBL,2016-08-16 09:51:00, 803.5, 803.6, 803.1, 803.35, 695
UBL,2016-08-16 09:52:00, 803.35, 804.25, 803.35, 803.6, 719
UBL,2016-08-16 09:53:00, 803.6, 804.4, 803.4, 803.6, 143
UBL,2016-08-16 09:54:00, 803.6, 805, 803.6, 804.9, 680
UBL,2016-08-16 09:55:00, 804.9, 805, 804.05, 804.05, 281
UBL,2016-08-16 09:56:00, 804.05, 804.05, 803, 803.55, 661
UBL,2016-08-16 09:57:00, 803.55, 803.55, 803, 803, 322
UBL,2016-08-16 09:58:00, 803, 804, 803, 803.5, 318
UBL,2016-08-16 09:59:00, 803.5, 804.25, 803.5, 804.25, 25
UBL,2016-08-16 10:00:00, 804.25, 804.6, 803.85, 803.85, 184
UBL,2016-08-16 10:01:00, 803.85, 804.95, 803.85, 804.95, 112
UBL,2016-08-16 10:02:00, 804.95, 805, 804.65, 805, 277
UBL,2016-08-16 10:03:00, 805, 807.05, 804.95, 805.75, 2720
UBL,2016-08-16 10:04:00, 805.75, 806.3, 804.8, 804.95, 334
UBL,2016-08-16 10:05:00, 804.95, 805.95, 804.95, 805.95, 283
UBL,2016-08-16 10:06:00, 805.95, 806, 805.8, 806, 405
UBL,2016-08-16 10:07:00, 806, 806.7, 806, 806.5, 81
UBL,2016-08-16 10:08:00, 806.5, 807.4, 806, 806.95, 425
UBL,2016-08-16 10:09:00, 806.95, 807.95, 806.95, 807.95, 1483
UBL,2016-08-16 10:10:00, 807.95, 809.5, 806.8, 807.8, 2536
UBL,2016-08-16 10:11:00, 807.8, 808.55, 806.6, 808.05, 2681
UBL,2016-08-16 10:12:00, 808.6, 809.8, 808.1, 808.65, 4785
UBL,2016-08-16 10:13:00, 808.65, 809, 807.5, 808.9, 2877
UBL,2016-08-16 10:14:00, 808.9, 809.1, 808.5, 808.5, 711
UBL,2016-08-16 10:15:00, 808.5, 809.35, 808.5, 808.5, 155
UBL,2016-08-16 10:16:00, 808.5, 809.95, 808.1, 808.1, 903
UBL,2016-08-16 10:17:00, 808.5, 808.5, 807.6, 807.6, 1053
UBL,2016-08-16 10:18:00, 807.6, 807.6, 805.15, 805.15, 482
UBL,2016-08-16 10:19:00, 806.15, 806.2, 805.9, 805.9, 76
UBL,2016-08-16 10:20:00, 805.9, 806.7, 805.35, 806.45, 79
UBL,2016-08-16 10:21:00, 806.45, 806.95, 805.8, 805.8, 301
UBL,2016-08-16 10:22:00, 805.8, 807, 805.8, 806.9, 560
UBL,2016-08-16 10:23:00, 806.9, 806.95, 804.2, 805.5, 1374
UBL,2016-08-16 10:24:00, 805.5, 806.4, 805, 805.65, 401
UBL,2016-08-16 10:25:00, 805.65, 806.2, 804.35, 805.85, 1831
UBL,2016-08-16 10:26:00, 805.85, 806.8, 805, 805, 741
UBL,2016-08-16 10:27:00, 805.5, 805.8, 805.25, 805.25, 233
UBL,2016-08-16 10:28:00, 805.25, 805.25, 805.25, 805.25, 36
UBL,2016-08-16 10:29:00, 805.25, 805.3, 805, 805, 626
UBL,2016-08-16 10:30:00, 805, 806.3, 804.95, 806.3, 76
UBL,2016-08-16 10:31:00, 806.3, 807.05, 804.95, 804.95, 664
UBL,2016-08-16 10:32:00, 804.9, 806.5, 804.9, 805.3, 159
UBL,2016-08-16 10:33:00, 805.3, 806.5, 805.3, 805.95, 527
UBL,2016-08-16 10:34:00, 805.95, 805.95, 805.3, 805.3, 133
UBL,2016-08-16 10:35:00, 805.3, 805.65, 805, 805.65, 396
UBL,2016-08-16 10:36:00, 805.65, 805.85, 804.75, 805.85, 38
UBL,2016-08-16 10:37:00, 805.85, 805.85, 803.4, 803.4, 488
UBL,2016-08-16 10:38:00, 803.4, 804.5, 803.3, 803.35, 185
UBL,2016-08-16 10:39:00, 803.35, 804.35, 803, 804.25, 333
UBL,2016-08-16 10:40:00, 804.25, 804.25, 802, 802.85, 843
UBL,2016-08-16 10:41:00, 802.9, 802.9, 801.65, 802, 468
UBL,2016-08-16 10:42:00, 802, 802.6, 801.15, 801.15, 838
UBL,2016-08-16 10:43:00, 801.15, 802.45, 801.15, 801.4, 203
UBL,2016-08-16 10:44:00, 801.4, 803.15, 801.4, 802.05, 99
UBL,2016-08-16 10:45:00, 802.05, 803.15, 802.05, 802.05, 397
UBL,2016-08-16 10:46:00, 802.05, 803.45, 802.05, 802.35, 2082
UBL,2016-08-16 10:47:00, 802.35, 805, 802.35, 805, 2418
UBL,2016-08-16 10:48:00, 805, 805, 803.8, 803.8, 26
UBL,2016-08-16 10:49:00, 803.8, 803.8, 803.8, 803.8, 20
UBL,2016-08-16 10:50:00, 803.8, 804.5, 803.8, 804.5, 101
UBL,2016-08-16 10:51:00, 804.5, 804.5, 803.95, 804.5, 4
UBL,2016-08-16 10:52:00, 804.5, 804.5, 803.95, 803.95, 1
UBL,2016-08-16 10:53:00, 803.95, 804.45, 803.95, 804.05, 80
UBL,2016-08-16 10:54:00, 804.05, 804.05, 803.95, 803.95, 81
UBL,2016-08-16 10:55:00, 803.95, 804.35, 803.95, 804.35, 31
UBL,2016-08-16 10:56:00, 804.35, 804.35, 804.2, 804.2, 20
UBL,2016-08-16 10:57:00, 804.2, 804.2, 803.95, 803.95, 33
UBL,2016-08-16 10:58:00, 803.95, 804.4, 803.95, 804.4, 8
UBL,2016-08-16 10:59:00, 804.4, 804.4, 803.95, 803.95, 20
UBL,2016-08-16 11:00:00, 803.95, 803.95, 802.4, 802.5, 433
UBL,2016-08-16 11:01:00, 802.5, 802.5, 801.5, 801.5, 634
UBL,2016-08-16 11:02:00, 801.35, 801.35, 799.05, 799.15, 1943
UBL,2016-08-16 11:03:00, 799.7, 799.7, 798.6, 799.65, 921
UBL,2016-08-16 11:04:00, 799.65, 800.4, 799, 799, 645
UBL,2016-08-16 11:05:00, 799, 799, 796.2, 797.05, 1859
UBL,2016-08-16 11:06:00, 797.05, 799.85, 797, 799.85, 475
UBL,2016-08-16 11:07:00, 799.85, 800.75, 798.7, 800.75, 471
UBL,2016-08-16 11:08:00, 800.75, 800.75, 799.1, 800.65, 1086
UBL,2016-08-16 11:09:00, 800.65, 800.75, 799.55, 800.4, 411
UBL,2016-08-16 11:10:00, 800, 800.4, 799.1, 799.95, 910
UBL,2016-08-16 11:11:00, 799.95, 801, 799.95, 800.1, 172
UBL,2016-08-16 11:12:00, 800.1, 802.35, 800.1, 802, 704
UBL,2016-08-16 11:13:00, 802, 803.8, 802, 803.75, 679
UBL,2016-08-16 11:14:00, 803.75, 804, 803, 803.95, 198
UBL,2016-08-16 11:15:00, 803.95, 803.95, 803, 803, 151
UBL,2016-08-16 11:16:00, 803, 803.8, 803, 803.75, 26
UBL,2016-08-16 11:17:00, 803.75, 803.8, 803.7, 803.75, 184
UBL,2016-08-16 11:18:00, 803.75, 804, 803.75, 803.9, 106
UBL,2016-08-16 11:19:00, 803.9, 803.95, 803.9, 803.95, 1
UBL,2016-08-16 11:20:00, 803.95, 803.95, 803.75, 803.75, 36
UBL,2016-08-16 11:21:00, 803.75, 803.75, 802.7, 803.7, 172
UBL,2016-08-16 11:22:00, 803.5, 803.95, 803.3, 803.95, 266
UBL,2016-08-16 11:24:00, 803.2, 803.2, 801.25, 801.3, 1089
UBL,2016-08-16 11:23:00, 803.95, 804, 802.6, 802.6, 978
UBL,2016-08-16 11:25:00, 801.3, 802.75, 801.3, 802.55, 161
UBL,2016-08-16 11:26:00, 802.55, 802.9, 802, 802.9, 342
UBL,2016-08-16 11:28:00, 802.9, 802.9, 802.15, 802.15, 32
UBL,2016-08-16 11:27:00, 802.9, 802.9, 802.1, 802.9, 71
UBL,2016-08-16 11:29:00, 802.15, 802.15, 802.15, 802.15, 1
UBL,2016-08-16 11:30:00, 802.15, 802.15, 802.15, 802.15, 0
UBL,2016-08-16 11:31:00, 802.15, 802.9, 802.15, 802.9, 50
UBL,2016-08-16 11:32:00, 802.9, 802.9, 802.85, 802.85, 25
UBL,2016-08-16 11:33:00, 802.85, 802.85, 802.15, 802.15, 29
UBL,2016-08-16 11:34:00, 802.15, 802.75, 802.15, 802.75, 168
UBL,2016-08-16 11:35:00, 802.75, 802.75, 801.4, 801.4, 171
UBL,2016-08-16 11:36:00, 801.4, 801.8, 800, 800.8, 422
UBL,2016-08-16 11:37:00, 800.8, 800.8, 799, 799, 227
UBL,2016-08-16 11:38:00, 799, 799.8, 798.95, 799.7, 144
UBL,2016-08-16 11:39:00, 799.7, 799.7, 793, 793.4, 5242
UBL,2016-08-16 11:40:00, 793, 795.4, 793, 794.9, 1023
UBL,2016-08-16 11:41:00, 794.9, 795.45, 794.5, 795.15, 586
UBL,2016-08-16 11:42:00, 795.15, 795.6, 794, 794, 550
UBL,2016-08-16 11:44:00, 795, 796.25, 794.45, 796, 1733
UBL,2016-08-16 11:43:00, 794, 795.4, 794, 795, 533
UBL,2016-08-16 11:45:00, 796, 796.15, 795.3, 796.1, 122
UBL,2016-08-16 11:46:00, 796.1, 797.4, 796, 797.4, 605
UBL,2016-08-16 11:47:00, 797.4, 798.7, 796.9, 798.7, 266
UBL,2016-08-16 11:48:00, 798.7, 798.9, 798.65, 798.9, 79
UBL,2016-08-16 11:49:00, 798.9, 799.4, 798.9, 799.4, 201
UBL,2016-08-16 11:50:00, 799.4, 799.4, 798.7, 799, 60
UBL,2016-08-16 11:51:00, 799, 799.7, 799, 799.7, 104
UBL,2016-08-16 11:52:00, 799.7, 799.7, 796.8, 796.8, 441
UBL,2016-08-16 11:53:00, 796.8, 796.8, 795.35, 795.65, 596
UBL,2016-08-16 11:54:00, 795.65, 797.5, 795.65, 797.5, 341
UBL,2016-08-16 11:55:00, 797.5, 797.75, 797, 797.75, 36
UBL,2016-08-16 11:56:00, 797.75, 798.6, 797.75, 798.6, 27
UBL,2016-08-16 11:57:00, 798.6, 798.95, 797.3, 797.3, 319
UBL,2016-08-16 11:58:00, 797.3, 798.75, 797.2, 797.7, 671
UBL,2016-08-16 11:59:00, 797.7, 799, 797.7, 799, 326
UBL,2016-08-16 12:00:00, 799, 799, 796.7, 796.7, 251
UBL,2016-08-16 12:01:00, 796.7, 796.95, 796.05, 796.35, 265
UBL,2016-08-16 12:02:00, 796.35, 797.5, 796.35, 797.5, 40
UBL,2016-08-16 12:03:00, 797.5, 797.85, 796.4, 797.85, 1125
UBL,2016-08-16 12:04:00, 797.85, 797.95, 797.2, 797.65, 113
UBL,2016-08-16 12:05:00, 797.65, 797.9, 797.15, 797.15, 218
