Code,Date,Open,High,Low,Close,Volume
ULTRACEMCO,2016-08-16 09:15:00, 3725.1, 3742.4, 3725.1, 3742.25, 340
ULTRACEMCO,2016-08-16 09:16:00, 3742.45, 3751.7, 3742.25, 3742.4, 867
ULTRACEMCO,2016-08-16 09:17:00, 3742.4, 3749, 3739.5, 3739.5, 862
ULTRACEMCO,2016-08-16 09:18:00, 3736.55, 3737.7, 3727.05, 3727.1, 1276
ULTRACEMCO,2016-08-16 09:19:00, 3727.1, 3727.1, 3713.25, 3716.25, 584
ULTRACEMCO,2016-08-16 09:20:00, 3716.25, 3721, 3713.3, 3721, 1202
ULTRACEMCO,2016-08-16 09:21:00, 3721, 3721, 3718.35, 3720.9, 378
ULTRACEMCO,2016-08-16 09:22:00, 3720.1, 3725, 3720.1, 3723.65, 143
ULTRACEMCO,2016-08-16 09:23:00, 3723.65, 3727.4, 3723.1, 3727.4, 244
ULTRACEMCO,2016-08-16 09:24:00, 3727.4, 3727.4, 3713.5, 3715.2, 1057
ULTRACEMCO,2016-08-16 09:25:00, 3715.2, 3715.55, 3710, 3710.05, 834
ULTRACEMCO,2016-08-16 09:26:00, 3710.05, 3710.45, 3708.55, 3710.45, 382
ULTRACEMCO,2016-08-16 09:27:00, 3710.45, 3712.65, 3710.1, 3712, 134
ULTRACEMCO,2016-08-16 09:28:00, 3712, 3717.95, 3712, 3717.95, 318
ULTRACEMCO,2016-08-16 09:29:00, 3715.35, 3720.45, 3715.35, 3720.45, 123
ULTRACEMCO,2016-08-16 09:30:00, 3720.45, 3727.4, 3718.65, 3724.8, 790
ULTRACEMCO,2016-08-16 09:31:00, 3724.9, 3734.9, 3724.65, 3734.1, 369
ULTRACEMCO,2016-08-16 09:32:00, 3732.2, 3738, 3732.2, 3736.95, 229
ULTRACEMCO,2016-08-16 09:33:00, 3736.95, 3738.05, 3727.55, 3729.85, 224
ULTRACEMCO,2016-08-16 09:34:00, 3734.3, 3734.3, 3730.75, 3733.35, 110
ULTRACEMCO,2016-08-16 09:35:00, 3733.35, 3739.95, 3732.6, 3737.55, 95
ULTRACEMCO,2016-08-16 09:36:00, 3737.55, 3739.9, 3737.1, 3737.1, 241
ULTRACEMCO,2016-08-16 09:37:00, 3737.1, 3739.5, 3737.1, 3739.15, 142
ULTRACEMCO,2016-08-16 09:38:00, 3739.15, 3739.9, 3737.1, 3737.7, 280
ULTRACEMCO,2016-08-16 09:39:00, 3737.7, 3742.85, 3737.7, 3742.85, 1245
ULTRACEMCO,2016-08-16 09:40:00, 3743.85, 3747.7, 3743.35, 3745.2, 1108
ULTRACEMCO,2016-08-16 09:41:00, 3745.2, 3745.2, 3741, 3745, 288
ULTRACEMCO,2016-08-16 09:42:00, 3745, 3745, 3733.15, 3733.15, 1394
ULTRACEMCO,2016-08-16 09:43:00, 3733.1, 3733.15, 3727.2, 3731.75, 1654
ULTRACEMCO,2016-08-16 09:44:00, 3732.15, 3734.3, 3731.3, 3732.15, 764
ULTRACEMCO,2016-08-16 09:46:00, 3735.6, 3737.75, 3733.5, 3733.6, 182
ULTRACEMCO,2016-08-16 09:45:00, 3734, 3738, 3734, 3736.85, 1007
ULTRACEMCO,2016-08-16 09:47:00, 3733.6, 3737.5, 3733.6, 3737, 278
ULTRACEMCO,2016-08-16 09:48:00, 3735.5, 3743.55, 3735.5, 3739, 1032
ULTRACEMCO,2016-08-16 09:49:00, 3739, 3739.9, 3732.45, 3733.05, 440
ULTRACEMCO,2016-08-16 09:50:00, 3733.05, 3739.9, 3732.25, 3737.4, 1407
ULTRACEMCO,2016-08-16 09:51:00, 3736.25, 3736.25, 3734.2, 3734.75, 1391
ULTRACEMCO,2016-08-16 09:52:00, 3734.75, 3735.9, 3732.2, 3734.35, 548
ULTRACEMCO,2016-08-16 09:53:00, 3734.35, 3735.2, 3733.3, 3734, 651
ULTRACEMCO,2016-08-16 09:54:00, 3734, 3734.75, 3731.15, 3732.6, 411
ULTRACEMCO,2016-08-16 09:55:00, 3731.8, 3734.15, 3730.1, 3730.1, 372
ULTRACEMCO,2016-08-16 09:56:00, 3730.1, 3733.6, 3729.5, 3730, 352
