Code,Date,Open,High,Low,Close,Volume
UPL,2016-08-16 09:15:00, 629.6, 631.65, 628.7, 630.8, 11992
UPL,2016-08-16 09:16:00, 630.7, 631.75, 630.6, 631.55, 5006
UPL,2016-08-16 09:19:00, 631.7, 631.8, 628.6, 628.6, 3704
UPL,2016-08-16 09:17:00, 631.5, 633.3, 631.1, 632.85, 13233
UPL,2016-08-16 09:18:00, 632.95, 632.95, 631.65, 631.75, 3684
UPL,2016-08-16 09:20:00, 628.6, 629.5, 628.4, 629.5, 4249
UPL,2016-08-16 09:21:00, 629.5, 629.75, 628.65, 628.9, 8448
UPL,2016-08-16 09:22:00, 628.9, 629.8, 628.05, 629.45, 5778
UPL,2016-08-16 09:23:00, 629.65, 629.75, 628.4, 628.4, 2616
UPL,2016-08-16 09:24:00, 628.2, 629.1, 628.2, 628.55, 1977
UPL,2016-08-16 09:26:00, 627.7, 628.75, 627.7, 628.3, 2417
UPL,2016-08-16 09:25:00, 628.55, 628.55, 627.4, 627.7, 2739
UPL,2016-08-16 09:27:00, 628.3, 629, 628.3, 628.45, 2909
UPL,2016-08-16 09:29:00, 628.7, 629.7, 628.45, 629.45, 3157
UPL,2016-08-16 09:28:00, 628.7, 628.9, 628.5, 628.7, 1177
UPL,2016-08-16 09:31:00, 629.3, 629.7, 629.2, 629.7, 1887
UPL,2016-08-16 09:30:00, 629.1, 629.3, 628.2, 629.3, 3232
UPL,2016-08-16 09:32:00, 629.7, 629.9, 629.65, 629.65, 1792
UPL,2016-08-16 09:33:00, 629.65, 629.65, 627.2, 627.8, 2612
UPL,2016-08-16 09:34:00, 627.8, 627.8, 626.4, 626.9, 2348
UPL,2016-08-16 09:35:00, 627.15, 627.5, 626.65, 627.4, 2812
UPL,2016-08-16 09:36:00, 627.4, 627.4, 627.05, 627.05, 838
UPL,2016-08-16 09:37:00, 627.05, 627.05, 624.25, 624.45, 7330
UPL,2016-08-16 09:38:00, 624.3, 625.05, 624.25, 625, 6415
UPL,2016-08-16 09:39:00, 624.85, 626.75, 624.8, 626.7, 8541
UPL,2016-08-16 09:40:00, 627, 627.2, 626.1, 626.1, 3347
UPL,2016-08-16 09:42:00, 626.45, 626.5, 626.05, 626.25, 1618
UPL,2016-08-16 09:41:00, 626.1, 626.4, 626.05, 626.4, 1434
UPL,2016-08-16 09:43:00, 626.25, 626.75, 626.2, 626.6, 754
UPL,2016-08-16 09:44:00, 626.6, 626.9, 626.55, 626.85, 1363
UPL,2016-08-16 09:45:00, 626.85, 627.4, 626.85, 627.05, 1671
UPL,2016-08-16 09:46:00, 627.25, 627.35, 627, 627.35, 3117
UPL,2016-08-16 09:47:00, 627.35, 627.35, 627.15, 627.35, 1542
UPL,2016-08-16 09:48:00, 627.35, 627.35, 626.9, 626.9, 1753
UPL,2016-08-16 09:49:00, 627, 627, 626.8, 626.8, 2950
UPL,2016-08-16 09:50:00, 626.8, 626.8, 626.2, 626.45, 3514
UPL,2016-08-16 09:51:00, 626.45, 626.45, 626.1, 626.3, 1915
UPL,2016-08-16 09:52:00, 626.3, 626.35, 625.85, 625.9, 3208
UPL,2016-08-16 09:53:00, 625.95, 626.5, 625.7, 626.25, 3482
UPL,2016-08-16 09:54:00, 626.25, 627.9, 626.25, 627.9, 5436
UPL,2016-08-16 09:55:00, 627.9, 627.9, 627.55, 627.75, 4034
UPL,2016-08-16 09:56:00, 627.75, 627.75, 627.55, 627.65, 827
UPL,2016-08-16 09:57:00, 627.65, 627.7, 627.55, 627.65, 1528
UPL,2016-08-16 09:58:00, 627.65, 627.95, 627.65, 627.95, 1377
UPL,2016-08-16 09:59:00, 627.85, 627.85, 627.2, 627.5, 3038
UPL,2016-08-16 10:00:00, 627.5, 627.6, 627.15, 627.6, 918
UPL,2016-08-16 10:01:00, 627.6, 627.95, 627.5, 627.95, 938
UPL,2016-08-16 10:02:00, 627.9, 630.05, 627.9, 630.05, 6533
UPL,2016-08-16 10:03:00, 629.95, 630.75, 629.95, 630.75, 3200
UPL,2016-08-16 10:04:00, 630.75, 631.55, 630.75, 631.5, 8167
UPL,2016-08-16 10:05:00, 631.2, 632.05, 631, 631.4, 11484
UPL,2016-08-16 10:06:00, 631.3, 631.75, 631.1, 631.45, 2553
UPL,2016-08-16 10:07:00, 631.45, 631.8, 631.45, 631.5, 3639
UPL,2016-08-16 10:08:00, 631.5, 631.65, 631.45, 631.5, 2259
UPL,2016-08-16 10:09:00, 631.5, 631.65, 631.1, 631.6, 4672
UPL,2016-08-16 10:10:00, 631.6, 632.8, 631.6, 632.55, 6350
UPL,2016-08-16 10:11:00, 632.55, 636.8, 632.55, 636.45, 39760
UPL,2016-08-16 10:12:00, 636.4, 637.7, 633.6, 634.1, 30088
UPL,2016-08-16 10:13:00, 634.3, 634.85, 632.4, 633.25, 11249
UPL,2016-08-16 10:14:00, 633.25, 634.4, 632.8, 634.4, 7105
UPL,2016-08-16 10:15:00, 634.1, 634.8, 632.5, 633.65, 5046
UPL,2016-08-16 10:16:00, 633.45, 633.65, 632.65, 633, 4672
UPL,2016-08-16 10:17:00, 632.85, 633, 632.25, 632.35, 4505
UPL,2016-08-16 10:18:00, 632.3, 632.7, 631.2, 631.55, 7815
UPL,2016-08-16 10:19:00, 631.45, 631.45, 630.25, 630.65, 10416
UPL,2016-08-16 10:20:00, 630.6, 631.7, 630.55, 631.65, 4321
UPL,2016-08-16 10:21:00, 631.3, 631.75, 631.3, 631.6, 2112
UPL,2016-08-16 10:22:00, 631.6, 631.8, 631.5, 631.6, 1841
UPL,2016-08-16 10:23:00, 631.6, 632, 631.6, 631.75, 954
UPL,2016-08-16 10:24:00, 631.8, 634.75, 631.75, 634.4, 12966
UPL,2016-08-16 10:25:00, 634.4, 635, 633.35, 633.55, 11396
UPL,2016-08-16 10:26:00, 633.55, 634.35, 633.2, 634.35, 3491
UPL,2016-08-16 10:27:00, 634, 634.4, 633.35, 633.35, 2050
