Code,Date,Open,High,Low,Close,Volume
VOLTAS,2016-08-16 09:15:00, 366.95, 367.45, 366.5, 366.5, 16674
VOLTAS,2016-08-16 09:16:00, 366.5, 367.2, 365.8, 367.2, 20956
VOLTAS,2016-08-16 09:17:00, 367, 367.8, 366.9, 367.3, 29709
VOLTAS,2016-08-16 09:18:00, 367, 367.45, 366.9, 367.45, 23888
VOLTAS,2016-08-16 09:19:00, 367.05, 367.3, 366.45, 367.05, 12425
VOLTAS,2016-08-16 09:20:00, 367.05, 368.8, 367.05, 368.8, 19026
VOLTAS,2016-08-16 09:21:00, 368.9, 369, 368.2, 368.2, 13526
VOLTAS,2016-08-16 09:22:00, 368.5, 368.75, 368, 368.3, 10832
VOLTAS,2016-08-16 09:23:00, 368, 368.5, 367.3, 368.05, 8455
VOLTAS,2016-08-16 09:24:00, 368.1, 368.2, 367.65, 368.2, 9295
VOLTAS,2016-08-16 09:25:00, 368.2, 368.25, 367.45, 367.5, 7566
VOLTAS,2016-08-16 09:26:00, 367.65, 368.4, 367.5, 368.25, 6148
VOLTAS,2016-08-16 09:27:00, 368.25, 368.7, 367.65, 367.65, 9184
VOLTAS,2016-08-16 09:29:00, 367.9, 368.7, 367.9, 368.3, 8684
VOLTAS,2016-08-16 09:28:00, 367.65, 368.05, 367.6, 368, 5103
VOLTAS,2016-08-16 09:30:00, 368.3, 368.4, 367.95, 368.1, 5185
VOLTAS,2016-08-16 09:31:00, 368.3, 369.3, 368.15, 369.3, 8835
VOLTAS,2016-08-16 09:32:00, 369.15, 369.2, 368.6, 369, 15988
VOLTAS,2016-08-16 09:35:00, 368.6, 368.85, 368.1, 368.1, 8931
VOLTAS,2016-08-16 09:33:00, 368.95, 369, 367.6, 367.7, 9362
VOLTAS,2016-08-16 09:34:00, 367.6, 368.75, 367.6, 368.6, 2241
VOLTAS,2016-08-16 09:36:00, 368.25, 368.35, 367.6, 367.7, 8827
VOLTAS,2016-08-16 09:37:00, 367.5, 368, 367, 367.9, 9797
VOLTAS,2016-08-16 09:40:00, 368.3, 368.4, 368.2, 368.3, 2733
VOLTAS,2016-08-16 09:38:00, 368, 368.2, 367.55, 367.7, 4152
VOLTAS,2016-08-16 09:39:00, 367.7, 368.3, 367.55, 368.3, 1800
VOLTAS,2016-08-16 09:41:00, 368.3, 368.3, 367.85, 368.05, 4346
VOLTAS,2016-08-16 09:42:00, 368.4, 368.5, 368.2, 368.2, 1305
VOLTAS,2016-08-16 09:45:00, 368.25, 368.45, 367.6, 367.75, 5642
VOLTAS,2016-08-16 09:44:00, 368.5, 368.5, 368.2, 368.25, 1353
VOLTAS,2016-08-16 09:43:00, 368.2, 368.65, 368.2, 368.5, 8318
VOLTAS,2016-08-16 09:46:00, 367.75, 368.5, 367.65, 368.45, 5748
VOLTAS,2016-08-16 09:47:00, 368.45, 368.7, 368.15, 368.55, 4947
VOLTAS,2016-08-16 09:48:00, 368.55, 368.85, 368.55, 368.65, 5449
VOLTAS,2016-08-16 09:49:00, 368.65, 368.65, 368.3, 368.3, 1500
VOLTAS,2016-08-16 09:50:00, 368.3, 368.45, 368.15, 368.2, 1406
VOLTAS,2016-08-16 09:52:00, 368.4, 368.4, 367.7, 367.75, 4765
VOLTAS,2016-08-16 09:51:00, 368.2, 368.5, 368.2, 368.35, 1836
VOLTAS,2016-08-16 09:53:00, 367.7, 368, 367.7, 367.85, 4316
VOLTAS,2016-08-16 09:54:00, 368.25, 368.25, 367.9, 367.95, 3996
VOLTAS,2016-08-16 09:55:00, 367.95, 368.3, 367.85, 367.9, 3951
VOLTAS,2016-08-16 09:56:00, 367.9, 367.95, 367.6, 367.8, 3675
VOLTAS,2016-08-16 09:57:00, 367.8, 368, 367.5, 367.75, 8000
VOLTAS,2016-08-16 09:58:00, 367.8, 367.9, 367.2, 367.35, 3153
VOLTAS,2016-08-16 09:59:00, 367.35, 367.95, 367, 367.75, 6152
VOLTAS,2016-08-16 10:00:00, 367.7, 368, 367.55, 367.9, 8614
VOLTAS,2016-08-16 10:01:00, 367.9, 368, 367.35, 367.5, 7935
VOLTAS,2016-08-16 10:02:00, 367.5, 368.25, 367.45, 368.05, 2001
VOLTAS,2016-08-16 10:03:00, 368.05, 368.05, 367.65, 367.65, 1469
VOLTAS,2016-08-16 10:04:00, 367.65, 367.85, 367.5, 367.8, 846
VOLTAS,2016-08-16 10:05:00, 367.8, 367.9, 367.5, 367.7, 3792
VOLTAS,2016-08-16 10:06:00, 367.7, 368.3, 367.7, 367.95, 4919
VOLTAS,2016-08-16 10:07:00, 367.95, 368.25, 367.95, 368.25, 326
VOLTAS,2016-08-16 10:08:00, 368.25, 368.25, 367.6, 367.85, 5471
VOLTAS,2016-08-16 10:09:00, 367.85, 368, 367.7, 368, 2324
VOLTAS,2016-08-16 10:10:00, 367.9, 368.2, 367.85, 368.2, 3455
VOLTAS,2016-08-16 10:11:00, 368.2, 368.25, 368.1, 368.15, 721
VOLTAS,2016-08-16 10:12:00, 368.15, 368.25, 368, 368.1, 5170
VOLTAS,2016-08-16 10:13:00, 368.1, 368.25, 368.1, 368.1, 4420
VOLTAS,2016-08-16 10:14:00, 368.2, 368.5, 368.1, 368.5, 6154
VOLTAS,2016-08-16 10:15:00, 368.5, 368.55, 368.4, 368.5, 4426
VOLTAS,2016-08-16 10:16:00, 368.5, 368.85, 368.35, 368.6, 3854
VOLTAS,2016-08-16 10:17:00, 368.6, 368.9, 368, 368.4, 5566
VOLTAS,2016-08-16 10:18:00, 368.5, 368.55, 367.95, 368.25, 5237
VOLTAS,2016-08-16 10:19:00, 368.25, 368.3, 367.9, 367.9, 2078
VOLTAS,2016-08-16 10:20:00, 367.9, 368.2, 367.85, 368.15, 1798
VOLTAS,2016-08-16 10:21:00, 368.15, 368.45, 367.6, 368.05, 4557
VOLTAS,2016-08-16 10:22:00, 367.85, 368.15, 367.85, 368.05, 444
VOLTAS,2016-08-16 10:23:00, 368.05, 368.2, 368, 368.05, 982
VOLTAS,2016-08-16 10:24:00, 368.05, 368.05, 367.9, 367.9, 658
VOLTAS,2016-08-16 10:25:00, 367.9, 368.15, 367.9, 368, 3610
VOLTAS,2016-08-16 10:26:00, 368, 368.2, 367.95, 368.2, 600
VOLTAS,2016-08-16 10:27:00, 368.2, 368.25, 367.8, 367.8, 3586
VOLTAS,2016-08-16 10:28:00, 367.8, 368.15, 367.75, 367.75, 2016
VOLTAS,2016-08-16 10:29:00, 367.75, 367.75, 367.7, 367.75, 1443
VOLTAS,2016-08-16 10:30:00, 367.75, 368, 367.7, 367.9, 875
VOLTAS,2016-08-16 10:31:00, 367.8, 368, 367.8, 367.8, 690
VOLTAS,2016-08-16 10:32:00, 367.8, 367.9, 367.65, 367.65, 3109
VOLTAS,2016-08-16 10:33:00, 367.65, 367.75, 367.65, 367.7, 471
VOLTAS,2016-08-16 10:34:00, 367.7, 367.9, 367.7, 367.8, 2337
VOLTAS,2016-08-16 10:35:00, 367.8, 367.95, 367.8, 367.9, 361
VOLTAS,2016-08-16 10:36:00, 367.9, 367.95, 367.5, 367.6, 11509
VOLTAS,2016-08-16 10:37:00, 367.6, 367.95, 367.55, 367.85, 722
VOLTAS,2016-08-16 10:38:00, 367.85, 368, 367.85, 368, 740
VOLTAS,2016-08-16 10:39:00, 368, 368, 367.55, 367.7, 3739
VOLTAS,2016-08-16 10:40:00, 367.7, 367.75, 367.55, 367.55, 867
