Code,Date,Open,High,Low,Close,Volume
WIPRO,2016-08-16 09:15:00, 543.7, 544.75, 543, 544.7, 2231
WIPRO,2016-08-16 09:16:00, 544.7, 545, 544.35, 544.7, 2671
WIPRO,2016-08-16 09:17:00, 544.7, 545, 544.05, 545, 3056
WIPRO,2016-08-16 09:18:00, 545, 545.95, 545, 545.55, 2496
WIPRO,2016-08-16 09:19:00, 545.55, 546, 544.5, 544.55, 5837
WIPRO,2016-08-16 09:20:00, 545.05, 545.05, 543.8, 543.8, 3913
WIPRO,2016-08-16 09:21:00, 544.15, 544.55, 543, 543.2, 1842
WIPRO,2016-08-16 09:22:00, 543.2, 543.8, 543.05, 543.7, 2036
WIPRO,2016-08-16 09:24:00, 543.7, 543.7, 543.15, 543.4, 2108
WIPRO,2016-08-16 09:25:00, 543.4, 544.05, 543, 543, 9173
WIPRO,2016-08-16 09:23:00, 543.7, 543.75, 543.25, 543.7, 1386
WIPRO,2016-08-16 09:26:00, 542.9, 543.6, 542.9, 543, 6178
WIPRO,2016-08-16 09:27:00, 543, 543.4, 542.75, 542.75, 1241
WIPRO,2016-08-16 09:28:00, 542.75, 543.15, 542.75, 543.05, 497
WIPRO,2016-08-16 09:29:00, 543.05, 543.15, 542.95, 543.15, 1026
WIPRO,2016-08-16 09:30:00, 542.85, 543.35, 542.8, 543.35, 1617
WIPRO,2016-08-16 09:31:00, 543.25, 543.25, 542.75, 543.15, 3986
WIPRO,2016-08-16 09:32:00, 543, 543.2, 542.95, 543.15, 1585
WIPRO,2016-08-16 09:33:00, 543, 543.05, 542.7, 543, 1075
WIPRO,2016-08-16 09:34:00, 543, 543, 542.7, 543, 123
WIPRO,2016-08-16 09:35:00, 543, 543, 542.75, 543, 346
WIPRO,2016-08-16 09:36:00, 543, 543, 542.55, 542.9, 987
WIPRO,2016-08-16 09:37:00, 542.9, 542.9, 542.45, 542.8, 2446
WIPRO,2016-08-16 09:38:00, 542.8, 542.8, 542.5, 542.6, 121
WIPRO,2016-08-16 09:39:00, 542.6, 542.65, 542.55, 542.6, 371
WIPRO,2016-08-16 09:40:00, 542.6, 542.6, 541.8, 541.8, 4343
WIPRO,2016-08-16 09:41:00, 541.55, 541.8, 541.4, 541.65, 1506
WIPRO,2016-08-16 09:42:00, 541.65, 541.65, 541.2, 541.4, 973
WIPRO,2016-08-16 09:43:00, 541.4, 541.4, 541.25, 541.35, 498
WIPRO,2016-08-16 09:44:00, 541.35, 541.35, 541.25, 541.25, 938
WIPRO,2016-08-16 09:45:00, 541.25, 541.3, 541.25, 541.25, 497
WIPRO,2016-08-16 09:46:00, 541.25, 541.25, 540.95, 541, 2791
WIPRO,2016-08-16 09:47:00, 541.1, 541.1, 540.9, 540.9, 1774
WIPRO,2016-08-16 09:48:00, 540.9, 540.9, 540.25, 540.35, 7934
WIPRO,2016-08-16 09:49:00, 540.55, 540.7, 540.25, 540.25, 4635
WIPRO,2016-08-16 09:50:00, 540.25, 541.9, 540.25, 541.75, 16704
WIPRO,2016-08-16 09:51:00, 541.9, 541.9, 540.7, 541.1, 4778
WIPRO,2016-08-16 09:52:00, 541.1, 541.3, 539.5, 540, 19350
WIPRO,2016-08-16 09:53:00, 539.8, 539.8, 538.75, 538.8, 19873
WIPRO,2016-08-16 09:54:00, 538.8, 541.15, 538.8, 541, 12528
WIPRO,2016-08-16 09:55:00, 541.05, 541.25, 539.75, 539.75, 15879
WIPRO,2016-08-16 09:56:00, 539.75, 540.25, 539.65, 539.9, 2962
WIPRO,2016-08-16 09:57:00, 540.25, 541.8, 540.25, 541.8, 15790
WIPRO,2016-08-16 09:58:00, 541.75, 541.75, 540.2, 540.2, 11003
WIPRO,2016-08-16 09:59:00, 540.2, 540.65, 539.7, 540.65, 3977
WIPRO,2016-08-16 10:00:00, 540.65, 541, 540.05, 540.4, 4965
WIPRO,2016-08-16 10:01:00, 540.4, 540.85, 540, 540.2, 1113
WIPRO,2016-08-16 10:02:00, 540.2, 540.6, 540, 540.2, 616
WIPRO,2016-08-16 10:03:00, 540.2, 540.4, 539.95, 539.95, 3658
WIPRO,2016-08-16 10:04:00, 539.95, 540.5, 539.95, 540.5, 3309
WIPRO,2016-08-16 10:05:00, 540.5, 541.3, 540.5, 541.25, 7117
WIPRO,2016-08-16 10:06:00, 541.25, 541.3, 540.5, 540.5, 6799
WIPRO,2016-08-16 10:07:00, 540.4, 540.4, 539.75, 539.75, 4695
WIPRO,2016-08-16 10:08:00, 539.75, 540, 539.75, 539.8, 6193
WIPRO,2016-08-16 10:09:00, 539.8, 540.25, 539.8, 540.25, 1814
WIPRO,2016-08-16 10:10:00, 540.2, 540.5, 540, 540, 2090
WIPRO,2016-08-16 10:11:00, 540, 540.05, 540, 540, 320
WIPRO,2016-08-16 10:12:00, 540, 540.2, 540, 540.2, 2249
WIPRO,2016-08-16 10:13:00, 540.2, 540.55, 540.15, 540.55, 2668
WIPRO,2016-08-16 10:14:00, 540.55, 540.8, 540.2, 540.2, 1609
WIPRO,2016-08-16 10:15:00, 540.2, 540.5, 540.1, 540.1, 629
WIPRO,2016-08-16 10:16:00, 540.1, 540.45, 540.1, 540.45, 133
WIPRO,2016-08-16 10:17:00, 540.45, 540.45, 540.35, 540.35, 901
WIPRO,2016-08-16 10:18:00, 540.35, 540.55, 540.35, 540.35, 879
WIPRO,2016-08-16 10:19:00, 540.6, 540.75, 540.55, 540.6, 307
WIPRO,2016-08-16 10:20:00, 540.6, 540.75, 540.4, 540.5, 231
WIPRO,2016-08-16 10:21:00, 540.5, 540.8, 540.5, 540.8, 229
WIPRO,2016-08-16 10:22:00, 540.85, 541.25, 540.8, 541.2, 3134
WIPRO,2016-08-16 10:23:00, 541.2, 541.2, 540.8, 540.9, 969
WIPRO,2016-08-16 10:24:00, 540.9, 541, 540.8, 540.9, 255
WIPRO,2016-08-16 10:25:00, 540.95, 540.95, 540.75, 540.75, 1023
WIPRO,2016-08-16 10:26:00, 540.75, 541.2, 540.75, 541, 1425
WIPRO,2016-08-16 10:27:00, 541, 541.25, 540.85, 541, 817
WIPRO,2016-08-16 10:28:00, 541, 541, 540.75, 540.9, 599
WIPRO,2016-08-16 10:29:00, 540.9, 540.95, 540.55, 540.75, 578
WIPRO,2016-08-16 10:30:00, 540.75, 540.95, 540.75, 540.85, 276
WIPRO,2016-08-16 10:31:00, 540.95, 540.95, 540.65, 540.65, 1918
WIPRO,2016-08-16 10:32:00, 540.65, 540.65, 540.5, 540.5, 733
WIPRO,2016-08-16 10:33:00, 540.5, 540.5, 540.4, 540.5, 309
WIPRO,2016-08-16 10:34:00, 540.5, 541.05, 540.5, 541, 406
WIPRO,2016-08-16 10:35:00, 541, 541, 540.95, 540.95, 142
WIPRO,2016-08-16 10:36:00, 540.95, 541.25, 540.95, 541.25, 216
WIPRO,2016-08-16 10:37:00, 541.25, 541.95, 541.25, 541.6, 2129
WIPRO,2016-08-16 10:38:00, 541.6, 542, 541.6, 542, 565
WIPRO,2016-08-16 10:39:00, 541.9, 541.9, 541.75, 541.75, 532
WIPRO,2016-08-16 10:40:00, 541.75, 541.75, 541.5, 541.5, 537
WIPRO,2016-08-16 10:41:00, 541.5, 541.5, 541.1, 541.25, 414
WIPRO,2016-08-16 10:42:00, 541.25, 541.7, 541.25, 541.7, 398
WIPRO,2016-08-16 10:43:00, 541.65, 541.7, 541.4, 541.65, 396
WIPRO,2016-08-16 10:44:00, 541.35, 541.65, 541.35, 541.6, 156
WIPRO,2016-08-16 10:45:00, 541.65, 541.65, 541.5, 541.5, 608
WIPRO,2016-08-16 10:46:00, 541.5, 541.6, 541.5, 541.55, 234
WIPRO,2016-08-16 10:47:00, 541.55, 541.6, 541.5, 541.5, 485
WIPRO,2016-08-16 10:48:00, 541.5, 541.6, 541.5, 541.55, 210
WIPRO,2016-08-16 10:49:00, 541.6, 541.7, 541.4, 541.4, 727
WIPRO,2016-08-16 10:50:00, 541.4, 541.9, 541.05, 541.9, 1509
WIPRO,2016-08-16 10:51:00, 541.9, 541.9, 541.6, 541.9, 86
WIPRO,2016-08-16 10:52:00, 541.9, 541.95, 541.75, 541.75, 398
WIPRO,2016-08-16 10:53:00, 541.75, 541.9, 541.55, 541.55, 774
WIPRO,2016-08-16 10:54:00, 541.45, 541.45, 541.15, 541.45, 240
WIPRO,2016-08-16 10:55:00, 541.45, 541.45, 541.35, 541.4, 181
WIPRO,2016-08-16 10:56:00, 541.4, 541.4, 541.05, 541.05, 919
WIPRO,2016-08-16 10:57:00, 541.05, 541.05, 540.9, 540.9, 434
WIPRO,2016-08-16 10:58:00, 540.9, 541.15, 540.85, 541.15, 1438
WIPRO,2016-08-16 10:59:00, 541.15, 541.15, 540.8, 540.8, 842
WIPRO,2016-08-16 11:00:00, 540.8, 540.85, 540.65, 540.85, 763
WIPRO,2016-08-16 11:01:00, 540.85, 540.95, 540.7, 540.7, 599
WIPRO,2016-08-16 11:02:00, 540.7, 540.7, 540.55, 540.55, 314
WIPRO,2016-08-16 11:03:00, 540.55, 541.15, 540.55, 541.1, 778
WIPRO,2016-08-16 11:04:00, 541.1, 541.6, 541.1, 541.6, 2614
WIPRO,2016-08-16 11:05:00, 541.7, 541.9, 541.45, 541.9, 3135
WIPRO,2016-08-16 11:06:00, 541.9, 541.9, 541.6, 541.6, 1950
WIPRO,2016-08-16 11:07:00, 541.6, 541.75, 541.5, 541.75, 1856
WIPRO,2016-08-16 11:08:00, 541.75, 541.9, 541.45, 541.45, 1427
WIPRO,2016-08-16 11:09:00, 541.45, 541.45, 540.85, 540.85, 1955
WIPRO,2016-08-16 11:10:00, 540.85, 540.85, 540.15, 540.15, 2996
WIPRO,2016-08-16 11:11:00, 540.15, 540.15, 539.95, 539.95, 5263
WIPRO,2016-08-16 11:12:00, 539.95, 540.6, 539.95, 540.45, 2616
WIPRO,2016-08-16 11:13:00, 540.4, 541, 540.4, 540.95, 1310
WIPRO,2016-08-16 11:14:00, 540.9, 541.15, 540.6, 540.9, 2339
WIPRO,2016-08-16 11:15:00, 540.9, 541.05, 540.9, 540.9, 307
WIPRO,2016-08-16 11:16:00, 540.9, 541.4, 540.9, 541.05, 1059
WIPRO,2016-08-16 11:17:00, 541.05, 541.3, 540.9, 541.2, 291
WIPRO,2016-08-16 11:18:00, 541.2, 541.45, 541.15, 541.25, 619
WIPRO,2016-08-16 11:19:00, 541.25, 541.25, 540.55, 540.6, 433
WIPRO,2016-08-16 11:20:00, 540.6, 541, 540.6, 541, 175
WIPRO,2016-08-16 11:21:00, 541, 541.05, 540.9, 541.05, 172
WIPRO,2016-08-16 11:22:00, 541.05, 541.15, 540.95, 540.95, 619
WIPRO,2016-08-16 11:23:00, 540.95, 541.05, 540.8, 540.9, 332
WIPRO,2016-08-16 11:24:00, 540.9, 541.7, 540.8, 541.5, 2096
WIPRO,2016-08-16 11:25:00, 541.7, 541.8, 541, 541, 1977
WIPRO,2016-08-16 11:26:00, 540.85, 541.05, 540.15, 541.05, 5132
WIPRO,2016-08-16 11:27:00, 541.05, 541.4, 540.8, 541.15, 2369
WIPRO,2016-08-16 11:28:00, 541.25, 541.25, 540.9, 540.9, 1591
WIPRO,2016-08-16 11:29:00, 540.9, 541, 540.1, 540.1, 1991
WIPRO,2016-08-16 11:30:00, 540.1, 541.15, 540.1, 540.8, 4058
WIPRO,2016-08-16 11:31:00, 540.8, 541.2, 540.7, 541, 880
WIPRO,2016-08-16 11:32:00, 541, 541, 540.6, 540.6, 732
WIPRO,2016-08-16 11:33:00, 540.6, 540.6, 540.45, 540.45, 594
WIPRO,2016-08-16 11:34:00, 540.45, 540.9, 540.3, 540.9, 482
WIPRO,2016-08-16 11:35:00, 540.9, 540.9, 540.55, 540.85, 1342
WIPRO,2016-08-16 11:36:00, 540.85, 541.05, 540.85, 541, 385
WIPRO,2016-08-16 11:37:00, 541, 541, 540.8, 540.85, 857
WIPRO,2016-08-16 11:38:00, 540.85, 540.9, 540.8, 540.85, 404
WIPRO,2016-08-16 11:39:00, 540.85, 541, 539.55, 539.55, 19390
WIPRO,2016-08-16 11:40:00, 539.8, 540.15, 539.65, 540, 3714
WIPRO,2016-08-16 11:41:00, 540, 540, 539.7, 539.7, 974
WIPRO,2016-08-16 11:42:00, 539.7, 540, 539.55, 540, 1555
WIPRO,2016-08-16 11:43:00, 540, 540, 539.55, 539.6, 1071
WIPRO,2016-08-16 11:44:00, 539.6, 540, 539.55, 540, 1820
WIPRO,2016-08-16 11:45:00, 539.8, 540, 539.65, 539.85, 1326
WIPRO,2016-08-16 11:46:00, 539.85, 540, 539.8, 540, 400
WIPRO,2016-08-16 11:47:00, 540, 540, 539.75, 539.85, 129
WIPRO,2016-08-16 11:48:00, 539.65, 539.8, 539.65, 539.8, 631
WIPRO,2016-08-16 11:49:00, 539.85, 540.1, 539.85, 540.1, 820
WIPRO,2016-08-16 11:50:00, 540.1, 540.45, 540, 540.45, 218
WIPRO,2016-08-16 11:51:00, 540.45, 540.55, 539.65, 539.75, 4943
WIPRO,2016-08-16 11:52:00, 539.65, 539.8, 539.6, 539.8, 1594
WIPRO,2016-08-16 11:53:00, 539.8, 539.8, 539.4, 539.6, 3974
WIPRO,2016-08-16 11:54:00, 539.4, 540.2, 539.4, 539.7, 949
WIPRO,2016-08-16 11:55:00, 539.7, 539.7, 539.4, 539.55, 1223
WIPRO,2016-08-16 11:56:00, 539.55, 539.55, 538.7, 538.7, 8759
WIPRO,2016-08-16 11:57:00, 538.7, 538.9, 538.7, 538.7, 3483
WIPRO,2016-08-16 11:58:00, 538.7, 538.9, 538.7, 538.9, 5739
WIPRO,2016-08-16 11:59:00, 539, 539, 538.7, 538.8, 1049
WIPRO,2016-08-16 12:00:00, 538.75, 539.05, 538.75, 538.9, 2578
WIPRO,2016-08-16 12:01:00, 538.8, 539.1, 538.8, 538.85, 1943
WIPRO,2016-08-16 12:02:00, 538.85, 539.15, 538.85, 539.15, 1229
WIPRO,2016-08-16 12:03:00, 539.15, 539.3, 538.85, 538.85, 2147
