Code,Date,Open,High,Low,Close,Volume
YESBANK,2016-08-16 09:15:00, 1297.75, 1297.75, 1293.25, 1296.5, 43363
YESBANK,2016-08-16 09:16:00, 1296.75, 1303, 1295.4, 1302.85, 40178
YESBANK,2016-08-16 09:17:00, 1302.05, 1304, 1300, 1303.25, 33200
YESBANK,2016-08-16 09:18:00, 1303, 1303.85, 1302.45, 1303.3, 22636
YESBANK,2016-08-16 09:19:00, 1303.3, 1304, 1302.35, 1303.5, 23746
YESBANK,2016-08-16 09:21:00, 1307.5, 1309, 1306.8, 1308, 91444
YESBANK,2016-08-16 09:20:00, 1303.2, 1307.25, 1302.85, 1307.25, 68992
YESBANK,2016-08-16 09:22:00, 1308.65, 1308.75, 1307.1, 1308.4, 32231
YESBANK,2016-08-16 09:23:00, 1308.1, 1311.9, 1308.1, 1311.25, 46520
YESBANK,2016-08-16 09:24:00, 1311.5, 1311.5, 1309.2, 1311.25, 34307
YESBANK,2016-08-16 09:25:00, 1311.5, 1311.8, 1309.7, 1310, 23154
YESBANK,2016-08-16 09:26:00, 1309.95, 1311, 1309.5, 1311, 19861
YESBANK,2016-08-16 09:27:00, 1310.6, 1310.9, 1310, 1310.7, 22563
YESBANK,2016-08-16 09:28:00, 1310.75, 1311.8, 1310.1, 1311, 45813
YESBANK,2016-08-16 09:30:00, 1313, 1314.1, 1313, 1313.75, 35567
YESBANK,2016-08-16 09:29:00, 1311.1, 1313.5, 1311, 1313, 27910
YESBANK,2016-08-16 09:31:00, 1313, 1313.95, 1311.45, 1311.45, 16971
YESBANK,2016-08-16 09:32:00, 1311.4, 1313, 1311.4, 1312, 11990
YESBANK,2016-08-16 09:33:00, 1312.9, 1313.05, 1308.95, 1309.8, 13741
YESBANK,2016-08-16 09:34:00, 1310, 1310.35, 1309.25, 1309.25, 14087
YESBANK,2016-08-16 09:35:00, 1309.55, 1310.4, 1308.75, 1308.75, 10275
YESBANK,2016-08-16 09:36:00, 1308.75, 1308.95, 1307.9, 1308, 9075
YESBANK,2016-08-16 09:37:00, 1307.6, 1310, 1307, 1309.5, 11032
YESBANK,2016-08-16 09:38:00, 1309.5, 1311.45, 1309.5, 1311, 6153
YESBANK,2016-08-16 09:39:00, 1311, 1313.7, 1311, 1313.55, 10884
YESBANK,2016-08-16 09:41:00, 1311.5, 1311.6, 1310.75, 1311.15, 5069
YESBANK,2016-08-16 09:40:00, 1312.9, 1313, 1310.85, 1311.6, 9721
YESBANK,2016-08-16 09:42:00, 1311.15, 1311.5, 1310.45, 1310.75, 4972
YESBANK,2016-08-16 09:43:00, 1310.8, 1311.15, 1310.15, 1311.15, 4900
YESBANK,2016-08-16 09:44:00, 1311.25, 1311.7, 1310.55, 1311.05, 6163
YESBANK,2016-08-16 09:45:00, 1311.35, 1311.75, 1310.1, 1310.7, 3397
YESBANK,2016-08-16 09:46:00, 1310.7, 1311.7, 1310.6, 1311, 4993
YESBANK,2016-08-16 09:47:00, 1311, 1311.2, 1310.7, 1310.75, 3311
YESBANK,2016-08-16 09:48:00, 1310.7, 1311.4, 1310.3, 1310.95, 7071
YESBANK,2016-08-16 09:49:00, 1310.9, 1311.4, 1310.1, 1311.15, 3662
YESBANK,2016-08-16 09:50:00, 1311.15, 1312, 1310.65, 1311.8, 3601
YESBANK,2016-08-16 09:51:00, 1311.85, 1312.05, 1310.75, 1311, 5578
YESBANK,2016-08-16 09:52:00, 1311, 1311.3, 1310.5, 1310.5, 3102
YESBANK,2016-08-16 09:53:00, 1310.9, 1311, 1310.05, 1310.5, 5316
YESBANK,2016-08-16 09:54:00, 1310.9, 1311.2, 1310.3, 1310.75, 6384
YESBANK,2016-08-16 09:55:00, 1310.5, 1310.75, 1310.5, 1310.65, 4838
YESBANK,2016-08-16 09:56:00, 1310.65, 1310.95, 1309.9, 1310.05, 6632
YESBANK,2016-08-16 09:57:00, 1310.05, 1310.8, 1309.9, 1310.25, 4118
YESBANK,2016-08-16 09:58:00, 1310.25, 1310.35, 1309.95, 1310.35, 4147
YESBANK,2016-08-16 09:59:00, 1310.35, 1310.35, 1308.6, 1308.6, 6640
YESBANK,2016-08-16 10:00:00, 1308.7, 1309.15, 1308.05, 1309.15, 4177
YESBANK,2016-08-16 10:01:00, 1309.15, 1309.75, 1309.15, 1309.5, 3940
YESBANK,2016-08-16 10:02:00, 1309.5, 1310.5, 1309, 1309.5, 5112
YESBANK,2016-08-16 10:03:00, 1309.45, 1310.15, 1309.15, 1309.15, 5615
YESBANK,2016-08-16 10:04:00, 1309, 1309.65, 1309, 1309.5, 4248
YESBANK,2016-08-16 10:05:00, 1309.45, 1309.5, 1309.15, 1309.25, 2864
YESBANK,2016-08-16 10:06:00, 1309.2, 1309.3, 1309, 1309.2, 2547
YESBANK,2016-08-16 10:07:00, 1309.2, 1310, 1309, 1309.8, 2552
YESBANK,2016-08-16 10:08:00, 1310, 1310, 1308.5, 1309.15, 5175
YESBANK,2016-08-16 10:09:00, 1309.15, 1310, 1309.15, 1309.5, 2375
YESBANK,2016-08-16 10:10:00, 1309.5, 1311.2, 1309.5, 1310.5, 5511
YESBANK,2016-08-16 10:11:00, 1310, 1310.75, 1309.8, 1310.25, 2444
YESBANK,2016-08-16 10:12:00, 1310.45, 1310.65, 1309.2, 1309.2, 4357
YESBANK,2016-08-16 10:13:00, 1309.2, 1310.1, 1309.2, 1309.9, 2376
YESBANK,2016-08-16 10:14:00, 1309.9, 1310.7, 1309.9, 1310.6, 3686
YESBANK,2016-08-16 10:15:00, 1310.4, 1310.55, 1309.6, 1310, 4226
YESBANK,2016-08-16 10:16:00, 1310, 1310.5, 1308.75, 1308.75, 4989
YESBANK,2016-08-16 10:17:00, 1308.75, 1309.1, 1308.55, 1308.55, 2398
YESBANK,2016-08-16 10:18:00, 1308.55, 1308.85, 1307.7, 1307.7, 5296
YESBANK,2016-08-16 10:19:00, 1307.7, 1307.95, 1306.3, 1306.4, 8420
YESBANK,2016-08-16 10:20:00, 1306.3, 1307.9, 1306.25, 1307.9, 4736
YESBANK,2016-08-16 10:21:00, 1307.85, 1308, 1306.5, 1306.5, 4562
YESBANK,2016-08-16 10:22:00, 1306.55, 1307.35, 1306.1, 1306.65, 5154
YESBANK,2016-08-16 10:23:00, 1306.65, 1306.9, 1306.65, 1306.8, 2198
YESBANK,2016-08-16 10:24:00, 1306.8, 1307.65, 1306.8, 1307.6, 3358
YESBANK,2016-08-16 10:25:00, 1307.6, 1307.8, 1307.5, 1307.55, 2104
YESBANK,2016-08-16 10:26:00, 1307.55, 1307.55, 1306.5, 1306.55, 3987
YESBANK,2016-08-16 10:27:00, 1306.95, 1306.95, 1306.15, 1306.15, 7273
YESBANK,2016-08-16 10:28:00, 1306.15, 1306.25, 1303, 1303.55, 24369
YESBANK,2016-08-16 10:29:00, 1303.35, 1305.2, 1303.35, 1305.2, 5834
YESBANK,2016-08-16 10:30:00, 1305.2, 1306.55, 1304.85, 1305.9, 3524
YESBANK,2016-08-16 10:31:00, 1305.9, 1305.9, 1305, 1305, 1982
YESBANK,2016-08-16 10:32:00, 1305, 1305.75, 1303.8, 1304, 8069
YESBANK,2016-08-16 10:33:00, 1303.9, 1304.95, 1303.8, 1304.8, 3676
YESBANK,2016-08-16 10:34:00, 1304.8, 1305, 1304.5, 1305, 3578
YESBANK,2016-08-16 10:35:00, 1305, 1306.2, 1305, 1306.05, 2114
YESBANK,2016-08-16 10:36:00, 1306.05, 1306.1, 1305, 1305.65, 3745
YESBANK,2016-08-16 10:37:00, 1305.65, 1306.25, 1305.65, 1306.25, 2618
YESBANK,2016-08-16 10:38:00, 1306.25, 1307.05, 1306.25, 1307.05, 3529
YESBANK,2016-08-16 10:39:00, 1307.05, 1307.45, 1306, 1306.55, 5752
YESBANK,2016-08-16 10:40:00, 1306.55, 1306.55, 1305.8, 1305.8, 3355
YESBANK,2016-08-16 10:41:00, 1305.5, 1305.7, 1305.5, 1305.5, 3279
YESBANK,2016-08-16 10:42:00, 1305.5, 1305.7, 1305.5, 1305.65, 1247
YESBANK,2016-08-16 10:43:00, 1305.65, 1306.9, 1305.65, 1306.5, 1885
YESBANK,2016-08-16 10:44:00, 1306.5, 1307.4, 1306, 1306.2, 6466
YESBANK,2016-08-16 10:45:00, 1306.2, 1306.2, 1305.3, 1305.35, 2678
YESBANK,2016-08-16 10:46:00, 1305.35, 1305.7, 1303.95, 1304.1, 3599
YESBANK,2016-08-16 10:47:00, 1304, 1304.2, 1303.3, 1303.3, 3387
YESBANK,2016-08-16 10:48:00, 1303.55, 1304.7, 1303.55, 1304.1, 3020
YESBANK,2016-08-16 10:49:00, 1304.6, 1305.2, 1304.1, 1305.1, 1447
YESBANK,2016-08-16 10:50:00, 1305.1, 1305.15, 1304.5, 1304.6, 2551
YESBANK,2016-08-16 10:51:00, 1304.6, 1304.8, 1304.25, 1304.5, 2121
YESBANK,2016-08-16 10:52:00, 1304.5, 1304.75, 1304.15, 1304.75, 2711
YESBANK,2016-08-16 10:53:00, 1304.75, 1305.1, 1304.45, 1304.45, 2779
YESBANK,2016-08-16 10:54:00, 1304.45, 1304.65, 1304, 1304.5, 2433
